Year,Units,Zeitreihe,Gebiet,COMMENT_OBS_0,Geschlecht,COMMENT_OBS_1,Bundesland,GeoCode,Value
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Sachsen-Anhalt,code15,4.7
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Sachsen-Anhalt,code15,4.3
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Schleswig-Holstein,code01,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Schleswig-Holstein,code01,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Schleswig-Holstein,code01,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Schleswig-Holstein,code01,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Schleswig-Holstein,code01,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Schleswig-Holstein,code01,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Schleswig-Holstein,code01,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Schleswig-Holstein,code01,4.0
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Schleswig-Holstein,code01,5.7
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Schleswig-Holstein,code01,6.7
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Schleswig-Holstein,code01,5.5
2014,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Thüringen,code16,
2015,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Thüringen,code16,
2016,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Thüringen,code16,
2017,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Thüringen,code16,
2018,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Thüringen,code16,
2019,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Thüringen,code16,
2020,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,.,,,Thüringen,code16,
2021,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Thüringen,code16,5.8
2022,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Thüringen,code16,6.6
2023,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Thüringen,code16,8.4
2024,Prozent,b) Erhebliche materielle und soziale Deprivation,Deutschland,,,,Thüringen,code16,6.5
