Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Federal state,GeoCode,Value
2010,Percentage,,,Thuringia,code16,21.343
2011,Percentage,,,Thuringia,code16,22.024
2012,Percentage,,,Thuringia,code16,21.755
2013,Percentage,,,Thuringia,code16,20.014
2014,Percentage,,,Thuringia,code16,20.033
2015,Percentage,,,Thuringia,code16,19.129
2016,Percentage,,,Thuringia,code16,20.909
2017,Percentage,,,Thuringia,code16,19.049
2018,Percentage,r,,Thuringia,code16,20.048
2019,Percentage,r,p,Thuringia,code16,20.457
2020,Percentage,p,,Thuringia,code16,20.556
2021,Percentage,,,Thuringia,code16,20.228
2022,Percentage,…,,Thuringia,code16,
2023,Percentage,…,,Thuringia,code16,
2024,Percentage,…,,Thuringia,code16,
