Year,Units,Series,Sex,Federal state,GeoCode,Value
2004,Percentage,Foreigns,Male,Bremen,code04,78.9
2005,Percentage,Foreigns,Male,Bremen,code04,79.1
2006,Percentage,Foreigns,Male,Bremen,code04,80.2
2007,Percentage,Foreigns,Male,Bremen,code04,81.7
2008,Percentage,Foreigns,Male,Bremen,code04,86.0
2009,Percentage,Foreigns,Male,Bremen,code04,86.8
2010,Percentage,Foreigns,Male,Bremen,code04,87.8
2011,Percentage,Foreigns,Male,Bremen,code04,82.9
2012,Percentage,Foreigns,Male,Bremen,code04,89.8
2013,Percentage,Foreigns,Male,Bremen,code04,85.1
2014,Percentage,Foreigns,Male,Bremen,code04,88.9
2015,Percentage,Foreigns,Male,Bremen,code04,86.1
2016,Percentage,Foreigns,Male,Bremen,code04,82.2
2017,Percentage,Foreigns,Male,Bremen,code04,75.0
2018,Percentage,Foreigns,Male,Bremen,code04,77.9
2019,Percentage,Foreigns,Male,Bremen,code04,72.8
2020,Percentage,Foreigns,Male,Bremen,code04,74.8
2021,Percentage,Foreigns,Male,Bremen,code04,77.3
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,,Hamburg,code02,81.4
1997,Percentage,Foreigns,,Hamburg,code02,82.8
1998,Percentage,Foreigns,,Hamburg,code02,81.8
1999,Percentage,Foreigns,,Hamburg,code02,79.6
2000,Percentage,Foreigns,,Hamburg,code02,79.5
2001,Percentage,Foreigns,,Hamburg,code02,80.3
2002,Percentage,Foreigns,,Hamburg,code02,82.3
2003,Percentage,Foreigns,,Hamburg,code02,81.7
2004,Percentage,Foreigns,,Hamburg,code02,80.1
2005,Percentage,Foreigns,,Hamburg,code02,80.1
2006,Percentage,Foreigns,,Hamburg,code02,79.6
2007,Percentage,Foreigns,,Hamburg,code02,81.6
2008,Percentage,Foreigns,,Hamburg,code02,84.7
2009,Percentage,Foreigns,,Hamburg,code02,85.1
2010,Percentage,Foreigns,,Hamburg,code02,87.4
2011,Percentage,Foreigns,,Hamburg,code02,87.6
2012,Percentage,Foreigns,,Hamburg,code02,89.5
2013,Percentage,Foreigns,,Hamburg,code02,90.5
2014,Percentage,Foreigns,,Hamburg,code02,90.0
2015,Percentage,Foreigns,,Hamburg,code02,89.6
2016,Percentage,Foreigns,,Hamburg,code02,86.5
2017,Percentage,Foreigns,,Hamburg,code02,87.6
2018,Percentage,Foreigns,,Hamburg,code02,84.9
2019,Percentage,Foreigns,,Hamburg,code02,86.7
2020,Percentage,Foreigns,,Hamburg,code02,84.5
2021,Percentage,Foreigns,,Hamburg,code02,86.5
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Female,Hamburg,code02,83.8
1997,Percentage,Foreigns,Female,Hamburg,code02,86.0
1998,Percentage,Foreigns,Female,Hamburg,code02,85.1
1999,Percentage,Foreigns,Female,Hamburg,code02,84.8
2000,Percentage,Foreigns,Female,Hamburg,code02,81.9
2001,Percentage,Foreigns,Female,Hamburg,code02,84.5
2002,Percentage,Foreigns,Female,Hamburg,code02,85.5
2003,Percentage,Foreigns,Female,Hamburg,code02,85.8
2004,Percentage,Foreigns,Female,Hamburg,code02,83.8
2005,Percentage,Foreigns,Female,Hamburg,code02,83.8
2006,Percentage,Foreigns,Female,Hamburg,code02,81.5
2007,Percentage,Foreigns,Female,Hamburg,code02,84.2
2008,Percentage,Foreigns,Female,Hamburg,code02,87.3
2009,Percentage,Foreigns,Female,Hamburg,code02,87.5
2010,Percentage,Foreigns,Female,Hamburg,code02,90.0
2011,Percentage,Foreigns,Female,Hamburg,code02,89.0
2012,Percentage,Foreigns,Female,Hamburg,code02,91.6
2013,Percentage,Foreigns,Female,Hamburg,code02,91.6
2014,Percentage,Foreigns,Female,Hamburg,code02,92.1
2015,Percentage,Foreigns,Female,Hamburg,code02,91.9
2016,Percentage,Foreigns,Female,Hamburg,code02,88.3
2017,Percentage,Foreigns,Female,Hamburg,code02,89.0
2018,Percentage,Foreigns,Female,Hamburg,code02,87.3
2019,Percentage,Foreigns,Female,Hamburg,code02,89.2
2020,Percentage,Foreigns,Female,Hamburg,code02,87.0
2021,Percentage,Foreigns,Female,Hamburg,code02,89.4
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Male,Hamburg,code02,79.2
1997,Percentage,Foreigns,Male,Hamburg,code02,79.8
1998,Percentage,Foreigns,Male,Hamburg,code02,79.0
1999,Percentage,Foreigns,Male,Hamburg,code02,75.0
2000,Percentage,Foreigns,Male,Hamburg,code02,77.4
2001,Percentage,Foreigns,Male,Hamburg,code02,76.5
2002,Percentage,Foreigns,Male,Hamburg,code02,79.6
2003,Percentage,Foreigns,Male,Hamburg,code02,78.1
2004,Percentage,Foreigns,Male,Hamburg,code02,76.7
2005,Percentage,Foreigns,Male,Hamburg,code02,76.8
2006,Percentage,Foreigns,Male,Hamburg,code02,77.9
2007,Percentage,Foreigns,Male,Hamburg,code02,79.0
2008,Percentage,Foreigns,Male,Hamburg,code02,82.2
2009,Percentage,Foreigns,Male,Hamburg,code02,82.9
2010,Percentage,Foreigns,Male,Hamburg,code02,84.7
2011,Percentage,Foreigns,Male,Hamburg,code02,86.2
2012,Percentage,Foreigns,Male,Hamburg,code02,87.4
2013,Percentage,Foreigns,Male,Hamburg,code02,89.3
2014,Percentage,Foreigns,Male,Hamburg,code02,88.0
2015,Percentage,Foreigns,Male,Hamburg,code02,87.1
2016,Percentage,Foreigns,Male,Hamburg,code02,84.7
2017,Percentage,Foreigns,Male,Hamburg,code02,86.4
2018,Percentage,Foreigns,Male,Hamburg,code02,83.1
2019,Percentage,Foreigns,Male,Hamburg,code02,84.7
2020,Percentage,Foreigns,Male,Hamburg,code02,82.4
2021,Percentage,Foreigns,Male,Hamburg,code02,83.9
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,,Hesse,code06,79.0
1997,Percentage,Foreigns,,Hesse,code06,80.5
1998,Percentage,Foreigns,,Hesse,code06,82.0
1999,Percentage,Foreigns,,Hesse,code06,79.9
2000,Percentage,Foreigns,,Hesse,code06,78.5
2001,Percentage,Foreigns,,Hesse,code06,80.0
2002,Percentage,Foreigns,,Hesse,code06,80.9
2003,Percentage,Foreigns,,Hesse,code06,81.1
2004,Percentage,Foreigns,,Hesse,code06,81.8
2005,Percentage,Foreigns,,Hesse,code06,83.2
2006,Percentage,Foreigns,,Hesse,code06,83.9
2007,Percentage,Foreigns,,Hesse,code06,84.0
2008,Percentage,Foreigns,,Hesse,code06,87.1
2009,Percentage,Foreigns,,Hesse,code06,85.9
2010,Percentage,Foreigns,,Hesse,code06,87.0
2011,Percentage,Foreigns,,Hesse,code06,88.3
2012,Percentage,Foreigns,,Hesse,code06,89.0
2013,Percentage,Foreigns,,Hesse,code06,90.3
2014,Percentage,Foreigns,,Hesse,code06,90.7
2015,Percentage,Foreigns,,Hesse,code06,91.9
2016,Percentage,Foreigns,,Hesse,code06,89.8
2017,Percentage,Foreigns,,Hesse,code06,89.7
2018,Percentage,Foreigns,,Hesse,code06,89.7
2019,Percentage,Foreigns,,Hesse,code06,88.7
2020,Percentage,Foreigns,,Hesse,code06,90.4
2021,Percentage,Foreigns,,Hesse,code06,88.2
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Female,Hesse,code06,83.2
1997,Percentage,Foreigns,Female,Hesse,code06,84.2
1998,Percentage,Foreigns,Female,Hesse,code06,85.9
1999,Percentage,Foreigns,Female,Hesse,code06,83.9
2000,Percentage,Foreigns,Female,Hesse,code06,82.6
2001,Percentage,Foreigns,Female,Hesse,code06,83.6
2002,Percentage,Foreigns,Female,Hesse,code06,83.9
2003,Percentage,Foreigns,Female,Hesse,code06,84.3
2004,Percentage,Foreigns,Female,Hesse,code06,84.9
2005,Percentage,Foreigns,Female,Hesse,code06,86.7
2006,Percentage,Foreigns,Female,Hesse,code06,86.0
2007,Percentage,Foreigns,Female,Hesse,code06,86.1
2008,Percentage,Foreigns,Female,Hesse,code06,88.7
2009,Percentage,Foreigns,Female,Hesse,code06,88.4
2010,Percentage,Foreigns,Female,Hesse,code06,89.6
2011,Percentage,Foreigns,Female,Hesse,code06,89.7
2012,Percentage,Foreigns,Female,Hesse,code06,91.2
2013,Percentage,Foreigns,Female,Hesse,code06,91.6
2014,Percentage,Foreigns,Female,Hesse,code06,92.9
2015,Percentage,Foreigns,Female,Hesse,code06,93.8
2016,Percentage,Foreigns,Female,Hesse,code06,92.2
2017,Percentage,Foreigns,Female,Hesse,code06,91.2
2018,Percentage,Foreigns,Female,Hesse,code06,91.9
2019,Percentage,Foreigns,Female,Hesse,code06,91.1
2020,Percentage,Foreigns,Female,Hesse,code06,92.9
2021,Percentage,Foreigns,Female,Hesse,code06,90.1
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Male,Hesse,code06,75.4
1997,Percentage,Foreigns,Male,Hesse,code06,77.1
1998,Percentage,Foreigns,Male,Hesse,code06,78.4
1999,Percentage,Foreigns,Male,Hesse,code06,76.4
2000,Percentage,Foreigns,Male,Hesse,code06,74.9
2001,Percentage,Foreigns,Male,Hesse,code06,76.8
2002,Percentage,Foreigns,Male,Hesse,code06,78.2
2003,Percentage,Foreigns,Male,Hesse,code06,78.4
2004,Percentage,Foreigns,Male,Hesse,code06,79.0
2005,Percentage,Foreigns,Male,Hesse,code06,80.0
2006,Percentage,Foreigns,Male,Hesse,code06,81.9
2007,Percentage,Foreigns,Male,Hesse,code06,82.0
2008,Percentage,Foreigns,Male,Hesse,code06,85.4
2009,Percentage,Foreigns,Male,Hesse,code06,83.4
2010,Percentage,Foreigns,Male,Hesse,code06,84.3
2011,Percentage,Foreigns,Male,Hesse,code06,87.0
2012,Percentage,Foreigns,Male,Hesse,code06,86.9
2013,Percentage,Foreigns,Male,Hesse,code06,89.0
2014,Percentage,Foreigns,Male,Hesse,code06,88.6
2015,Percentage,Foreigns,Male,Hesse,code06,90.0
2016,Percentage,Foreigns,Male,Hesse,code06,87.6
2017,Percentage,Foreigns,Male,Hesse,code06,88.4
2018,Percentage,Foreigns,Male,Hesse,code06,88.0
2019,Percentage,Foreigns,Male,Hesse,code06,86.7
2020,Percentage,Foreigns,Male,Hesse,code06,88.1
2021,Percentage,Foreigns,Male,Hesse,code06,86.5
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,87.2
1997,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,85.7
1998,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,73.9
1999,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,78.7
2000,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,85.6
2001,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,73.0
2002,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,83.4
2003,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,79.5
2004,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,85.3
2005,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,78.7
2006,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,85.2
2007,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,81.5
2008,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,86.7
2009,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,85.3
2010,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,83.8
2011,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,81.9
2012,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,89.3
2013,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,83.1
2014,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,87.2
2015,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,91.8
2016,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,84.1
2017,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,80.2
2018,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,75.0
2019,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,79.2
2020,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,87.7
2021,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,86.6
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,100.0
1997,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,90.0
1998,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,73.7
1999,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,79.7
2000,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,91.5
2001,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,83.3
2002,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,94.6
2003,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,88.0
2004,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,91.5
2005,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,86.5
2006,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,88.6
2007,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,82.9
2008,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,92.1
2009,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,89.9
2010,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,88.2
2011,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,87.4
2012,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,90.4
2013,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,85.8
2014,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,89.8
2015,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,92.7
2016,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,90.3
2017,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,89.9
2018,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,84.7
2019,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,82.8
2020,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,91.1
2021,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,89.2
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,75.0
1997,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,81.8
1998,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,74.1
1999,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,77.8
2000,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,76.6
2001,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,63.6
2002,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,71.8
2003,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,70.4
2004,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,77.7
2005,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,71.4
2006,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,82.7
2007,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,80.0
2008,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,80.8
2009,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,80.4
2010,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,79.6
2011,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,76.7
2012,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,88.3
2013,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,80.2
2014,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,84.6
2015,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,90.8
2016,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,78.7
2017,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,73.3
2018,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,69.7
2019,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,76.8
2020,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,85.1
2021,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,84.5
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,,Lower Saxony,code03,72.7
1997,Percentage,Foreigns,,Lower Saxony,code03,72.7
1998,Percentage,Foreigns,,Lower Saxony,code03,74.8
1999,Percentage,Foreigns,,Lower Saxony,code03,74.1
2000,Percentage,Foreigns,,Lower Saxony,code03,72.4
2001,Percentage,Foreigns,,Lower Saxony,code03,72.6
2002,Percentage,Foreigns,,Lower Saxony,code03,73.4
2003,Percentage,Foreigns,,Lower Saxony,code03,71.5
2004,Percentage,Foreigns,,Lower Saxony,code03,77.6
2005,Percentage,Foreigns,,Lower Saxony,code03,75.0
2006,Percentage,Foreigns,,Lower Saxony,code03,75.1
2007,Percentage,Foreigns,,Lower Saxony,code03,79.9
2008,Percentage,Foreigns,,Lower Saxony,code03,80.0
2009,Percentage,Foreigns,,Lower Saxony,code03,82.7
2010,Percentage,Foreigns,,Lower Saxony,code03,83.8
2011,Percentage,Foreigns,,Lower Saxony,code03,84.3
2012,Percentage,Foreigns,,Lower Saxony,code03,86.4
2013,Percentage,Foreigns,,Lower Saxony,code03,86.3
2014,Percentage,Foreigns,,Lower Saxony,code03,87.8
2015,Percentage,Foreigns,,Lower Saxony,code03,85.6
2016,Percentage,Foreigns,,Lower Saxony,code03,83.7
2017,Percentage,Foreigns,,Lower Saxony,code03,77.1
2018,Percentage,Foreigns,,Lower Saxony,code03,77.1
2019,Percentage,Foreigns,,Lower Saxony,code03,76.9
2020,Percentage,Foreigns,,Lower Saxony,code03,79.5
2021,Percentage,Foreigns,,Lower Saxony,code03,81.4
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Female,Lower Saxony,code03,77.4
1997,Percentage,Foreigns,Female,Lower Saxony,code03,77.4
1998,Percentage,Foreigns,Female,Lower Saxony,code03,80.1
1999,Percentage,Foreigns,Female,Lower Saxony,code03,79.9
2000,Percentage,Foreigns,Female,Lower Saxony,code03,78.3
2001,Percentage,Foreigns,Female,Lower Saxony,code03,78.5
2002,Percentage,Foreigns,Female,Lower Saxony,code03,79.4
2003,Percentage,Foreigns,Female,Lower Saxony,code03,77.1
2004,Percentage,Foreigns,Female,Lower Saxony,code03,82.6
2005,Percentage,Foreigns,Female,Lower Saxony,code03,80.5
2006,Percentage,Foreigns,Female,Lower Saxony,code03,80.3
2007,Percentage,Foreigns,Female,Lower Saxony,code03,84.1
2008,Percentage,Foreigns,Female,Lower Saxony,code03,84.0
2009,Percentage,Foreigns,Female,Lower Saxony,code03,86.2
2010,Percentage,Foreigns,Female,Lower Saxony,code03,87.1
2011,Percentage,Foreigns,Female,Lower Saxony,code03,87.8
2012,Percentage,Foreigns,Female,Lower Saxony,code03,89.0
2013,Percentage,Foreigns,Female,Lower Saxony,code03,87.7
2014,Percentage,Foreigns,Female,Lower Saxony,code03,88.6
2015,Percentage,Foreigns,Female,Lower Saxony,code03,86.5
2016,Percentage,Foreigns,Female,Lower Saxony,code03,85.8
2017,Percentage,Foreigns,Female,Lower Saxony,code03,82.0
2018,Percentage,Foreigns,Female,Lower Saxony,code03,80.6
2019,Percentage,Foreigns,Female,Lower Saxony,code03,80.5
2020,Percentage,Foreigns,Female,Lower Saxony,code03,82.1
2021,Percentage,Foreigns,Female,Lower Saxony,code03,84.1
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Male,Lower Saxony,code03,68.6
1997,Percentage,Foreigns,Male,Lower Saxony,code03,68.6
1998,Percentage,Foreigns,Male,Lower Saxony,code03,70.6
1999,Percentage,Foreigns,Male,Lower Saxony,code03,68.9
2000,Percentage,Foreigns,Male,Lower Saxony,code03,67.2
2001,Percentage,Foreigns,Male,Lower Saxony,code03,67.4
2002,Percentage,Foreigns,Male,Lower Saxony,code03,68.0
2003,Percentage,Foreigns,Male,Lower Saxony,code03,67.1
2004,Percentage,Foreigns,Male,Lower Saxony,code03,73.5
2005,Percentage,Foreigns,Male,Lower Saxony,code03,70.4
2006,Percentage,Foreigns,Male,Lower Saxony,code03,70.4
2007,Percentage,Foreigns,Male,Lower Saxony,code03,75.9
2008,Percentage,Foreigns,Male,Lower Saxony,code03,76.2
2009,Percentage,Foreigns,Male,Lower Saxony,code03,79.4
2010,Percentage,Foreigns,Male,Lower Saxony,code03,80.7
2011,Percentage,Foreigns,Male,Lower Saxony,code03,81.0
2012,Percentage,Foreigns,Male,Lower Saxony,code03,83.9
2013,Percentage,Foreigns,Male,Lower Saxony,code03,85.0
2014,Percentage,Foreigns,Male,Lower Saxony,code03,87.0
2015,Percentage,Foreigns,Male,Lower Saxony,code03,84.7
2016,Percentage,Foreigns,Male,Lower Saxony,code03,81.8
2017,Percentage,Foreigns,Male,Lower Saxony,code03,73.2
2018,Percentage,Foreigns,Male,Lower Saxony,code03,74.5
2019,Percentage,Foreigns,Male,Lower Saxony,code03,73.9
2020,Percentage,Foreigns,Male,Lower Saxony,code03,77.2
2021,Percentage,Foreigns,Male,Lower Saxony,code03,78.8
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,,North Rhine-Westphalia,code05,87.3
1997,Percentage,Foreigns,,North Rhine-Westphalia,code05,87.0
1998,Percentage,Foreigns,,North Rhine-Westphalia,code05,87.2
1999,Percentage,Foreigns,,North Rhine-Westphalia,code05,87.7
2000,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.9
2001,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.4
2002,Percentage,Foreigns,,North Rhine-Westphalia,code05,85.6
2003,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.3
2004,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.1
2005,Percentage,Foreigns,,North Rhine-Westphalia,code05,85.9
2006,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.2
2007,Percentage,Foreigns,,North Rhine-Westphalia,code05,85.8
2008,Percentage,Foreigns,,North Rhine-Westphalia,code05,85.9
2009,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.9
2010,Percentage,Foreigns,,North Rhine-Westphalia,code05,87.7
2011,Percentage,Foreigns,,North Rhine-Westphalia,code05,88.7
2012,Percentage,Foreigns,,North Rhine-Westphalia,code05,89.0
2013,Percentage,Foreigns,,North Rhine-Westphalia,code05,89.8
2014,Percentage,Foreigns,,North Rhine-Westphalia,code05,88.5
2015,Percentage,Foreigns,,North Rhine-Westphalia,code05,88.9
2016,Percentage,Foreigns,,North Rhine-Westphalia,code05,88.4
2017,Percentage,Foreigns,,North Rhine-Westphalia,code05,84.6
2018,Percentage,Foreigns,,North Rhine-Westphalia,code05,84.0
2019,Percentage,Foreigns,,North Rhine-Westphalia,code05,84.1
2020,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.7
2021,Percentage,Foreigns,,North Rhine-Westphalia,code05,85.4
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,90.2
1997,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,90.2
1998,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,90.4
1999,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,90.4
2000,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,89.7
2001,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,89.5
2002,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.6
2003,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,89.0
2004,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,89.2
2005,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,89.1
2006,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.8
2007,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.5
2008,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.6
2009,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.7
2010,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,89.6
2011,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,90.5
2012,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,90.6
2013,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,91.5
2014,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,90.3
2015,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,90.4
2016,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,90.3
2017,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,87.8
2018,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,86.7
2019,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,86.5
2020,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,89.1
2021,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.4
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,84.7
1997,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,84.1
1998,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,84.3
1999,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,85.2
2000,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,84.1
2001,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,83.5
2002,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,82.6
2003,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,83.7
2004,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,83.1
2005,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,83.1
2006,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,83.8
2007,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,83.1
2008,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,83.4
2009,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,85.1
2010,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,85.9
2011,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,86.9
2012,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,87.4
2013,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,88.1
2014,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,86.7
2015,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,87.4
2016,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,86.6
2017,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,81.7
2018,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,81.7
2019,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,82.1
2020,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,84.6
2021,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,82.7
2030,Percentage,Foreigns,,,,
1996,Percentage,Foreigns,,Rhineland Palatinate,code07,78.3
1997,Percentage,Foreigns,,Rhineland Palatinate,code07,77.2
1998,Percentage,Foreigns,,Rhineland Palatinate,code07,74.8
1999,Percentage,Foreigns,,Rhineland Palatinate,code07,73.0
2000,Percentage,Foreigns,,Rhineland Palatinate,code07,74.8
2001,Percentage,Foreigns,,Rhineland Palatinate,code07,76.8
2002,Percentage,Foreigns,,Rhineland Palatinate,code07,78.1
2003,Percentage,Foreigns,,Rhineland Palatinate,code07,74.6
2004,Percentage,Foreigns,,Rhineland Palatinate,code07,78.5
2005,Percentage,Foreigns,,Rhineland Palatinate,code07,85.0
2006,Percentage,Foreigns,,Rhineland Palatinate,code07,83.2
2007,Percentage,Foreigns,,Rhineland Palatinate,code07,84.9
2008,Percentage,Foreigns,,Rhineland Palatinate,code07,84.1
2009,Percentage,Foreigns,,Rhineland Palatinate,code07,86.4
