Year,Units,COMMENT_OBS_0,Länder,GeoCode,Age group,Sex,Value
2000,Percentage,.,,,55 to under 60 years,,
2001,Percentage,.,,,55 to under 60 years,,
2002,Percentage,.,,,55 to under 60 years,,
2004,Percentage,.,,,55 to under 60 years,,
2006,Percentage,.,,,55 to under 60 years,,
2007,Percentage,.,,,55 to under 60 years,,
2008,Percentage,.,,,55 to under 60 years,,
2010,Percentage,.,,,55 to under 60 years,,
2011,Percentage,.,,,55 to under 60 years,,
2012,Percentage,.,,,55 to under 60 years,,
2014,Percentage,.,,,55 to under 60 years,,
2015,Percentage,.,,,55 to under 60 years,,
2016,Percentage,.,,,55 to under 60 years,,
2018,Percentage,.,,,55 to under 60 years,,
2019,Percentage,.,,,55 to under 60 years,,
2020,Percentage,.,,,55 to under 60 years,,
1999,Percentage,,,,60 to under 65 years,,
2003,Percentage,.,,,60 to under 65 years,,
2005,Percentage,,,,60 to under 65 years,,
2009,Percentage,.,,,60 to under 65 years,,
2013,Percentage,,,,60 to under 65 years,,22.704
2017,Percentage,,,,60 to under 65 years,,21.982
2021,Percentage,,,,60 to under 65 years,,21.094
2000,Percentage,.,,,60 to under 65 years,,
2001,Percentage,.,,,60 to under 65 years,,
2002,Percentage,.,,,60 to under 65 years,,
2004,Percentage,.,,,60 to under 65 years,,
2006,Percentage,.,,,60 to under 65 years,,
2007,Percentage,.,,,60 to under 65 years,,
2008,Percentage,.,,,60 to under 65 years,,
2010,Percentage,.,,,60 to under 65 years,,
2011,Percentage,.,,,60 to under 65 years,,
2012,Percentage,.,,,60 to under 65 years,,
2014,Percentage,.,,,60 to under 65 years,,
2015,Percentage,.,,,60 to under 65 years,,
2016,Percentage,.,,,60 to under 65 years,,
2018,Percentage,.,,,60 to under 65 years,,
2019,Percentage,.,,,60 to under 65 years,,
2020,Percentage,.,,,60 to under 65 years,,
1999,Percentage,,,,65 to under 70 years,,
2003,Percentage,.,,,65 to under 70 years,,
2005,Percentage,,,,65 to under 70 years,,
2009,Percentage,.,,,65 to under 70 years,,
2013,Percentage,,,,65 to under 70 years,,21.943
2017,Percentage,,,,65 to under 70 years,,23.506
2021,Percentage,,,,65 to under 70 years,,21.126
2000,Percentage,.,,,65 to under 70 years,,
2001,Percentage,.,,,65 to under 70 years,,
2002,Percentage,.,,,65 to under 70 years,,
2004,Percentage,.,,,65 to under 70 years,,
2006,Percentage,.,,,65 to under 70 years,,
2007,Percentage,.,,,65 to under 70 years,,
2008,Percentage,.,,,65 to under 70 years,,
2010,Percentage,.,,,65 to under 70 years,,
2011,Percentage,.,,,65 to under 70 years,,
2012,Percentage,.,,,65 to under 70 years,,
2014,Percentage,.,,,65 to under 70 years,,
2015,Percentage,.,,,65 to under 70 years,,
2016,Percentage,.,,,65 to under 70 years,,
2018,Percentage,.,,,65 to under 70 years,,
2019,Percentage,.,,,65 to under 70 years,,
2020,Percentage,.,,,65 to under 70 years,,
1999,Percentage,,,,70 to under 75 years,,
2003,Percentage,,,,70 to under 75 years,,
2005,Percentage,,,,70 to under 75 years,,
2009,Percentage,.,,,70 to under 75 years,,
2013,Percentage,,,,70 to under 75 years,,20.257
2017,Percentage,,,,70 to under 75 years,,21.164
2021,Percentage,,,,70 to under 75 years,,21.283
2000,Percentage,.,,,70 to under 75 years,,
2001,Percentage,.,,,70 to under 75 years,,
2002,Percentage,.,,,70 to under 75 years,,
2004,Percentage,.,,,70 to under 75 years,,
2006,Percentage,.,,,70 to under 75 years,,
2007,Percentage,.,,,70 to under 75 years,,
2008,Percentage,.,,,70 to under 75 years,,
2010,Percentage,.,,,70 to under 75 years,,
2011,Percentage,.,,,70 to under 75 years,,
2012,Percentage,.,,,70 to under 75 years,,
2014,Percentage,.,,,70 to under 75 years,,
2015,Percentage,.,,,70 to under 75 years,,
2016,Percentage,.,,,70 to under 75 years,,
2018,Percentage,.,,,70 to under 75 years,,
2019,Percentage,.,,,70 to under 75 years,,
2020,Percentage,.,,,70 to under 75 years,,
1999,Percentage,,,,75 years and older,,
2003,Percentage,,,,75 years and older,,
2005,Percentage,.,,,75 years and older,,
2009,Percentage,.,,,75 years and older,,
2013,Percentage,,,,75 years and older,,17.403
2017,Percentage,,,,75 years and older,,17.837
2021,Percentage,,,,75 years and older,,16.281
2000,Percentage,.,,,75 years and older,,
2001,Percentage,.,,,75 years and older,,
2002,Percentage,.,,,75 years and older,,
2004,Percentage,.,,,75 years and older,,
2006,Percentage,.,,,75 years and older,,
2007,Percentage,.,,,75 years and older,,
2008,Percentage,.,,,75 years and older,,
2010,Percentage,.,,,75 years and older,,
2011,Percentage,.,,,75 years and older,,
2012,Percentage,.,,,75 years and older,,
2014,Percentage,.,,,75 years and older,,
2015,Percentage,.,,,75 years and older,,
2016,Percentage,.,,,75 years and older,,
2018,Percentage,.,,,75 years and older,,
2019,Percentage,.,,,75 years and older,,
2020,Percentage,.,,,75 years and older,,
1999,Percentage,,,,,Female,10.2
2003,Percentage,,,,,Female,11.2
2005,Percentage,,,,,Female,11.8
2009,Percentage,,,,,Female,12.4
2013,Percentage,,,,,Female,12.8
2017,Percentage,,,,,Female,13.047
2021,Percentage,,,,,Female,13.266
2000,Percentage,.,,,,Female,
2001,Percentage,.,,,,Female,
2002,Percentage,.,,,,Female,
2004,Percentage,.,,,,Female,
2006,Percentage,.,,,,Female,
2007,Percentage,.,,,,Female,
2008,Percentage,.,,,,Female,
2010,Percentage,.,,,,Female,
2011,Percentage,.,,,,Female,
2012,Percentage,.,,,,Female,
2014,Percentage,.,,,,Female,
2015,Percentage,.,,,,Female,
2016,Percentage,.,,,,Female,
2018,Percentage,.,,,,Female,
2019,Percentage,.,,,,Female,
2020,Percentage,.,,,,Female,
1999,Percentage,,Baden-Wuerttemberg,code08,,Female,9.252
2003,Percentage,,Baden-Wuerttemberg,code08,,Female,10.132
2005,Percentage,,Baden-Wuerttemberg,code08,,Female,11.239
2009,Percentage,,Baden-Wuerttemberg,code08,,Female,11.295
2013,Percentage,,Baden-Wuerttemberg,code08,,Female,11.239
2017,Percentage,,Baden-Wuerttemberg,code08,,Female,12.125
2021,Percentage,,Baden-Wuerttemberg,code08,,Female,12.086
2000,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2001,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2002,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2004,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2006,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2007,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2008,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2010,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2011,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2012,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2014,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2015,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2016,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2018,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2019,Percentage,.,Baden-Wuerttemberg,code08,,Female,
2020,Percentage,.,Baden-Wuerttemberg,code08,,Female,
1999,Percentage,,Bavaria,code09,,Female,10.003
2003,Percentage,,Bavaria,code09,,Female,11.115
2005,Percentage,,Bavaria,code09,,Female,11.377
2009,Percentage,,Bavaria,code09,,Female,11.571
2013,Percentage,,Bavaria,code09,,Female,11.377
2017,Percentage,,Bavaria,code09,,Female,11.588
2021,Percentage,,Bavaria,code09,,Female,11.999
2000,Percentage,.,Bavaria,code09,,Female,
2001,Percentage,.,Bavaria,code09,,Female,
2002,Percentage,.,Bavaria,code09,,Female,
2004,Percentage,.,Bavaria,code09,,Female,
2006,Percentage,.,Bavaria,code09,,Female,
2007,Percentage,.,Bavaria,code09,,Female,
2008,Percentage,.,Bavaria,code09,,Female,
2010,Percentage,.,Bavaria,code09,,Female,
2011,Percentage,.,Bavaria,code09,,Female,
2012,Percentage,.,Bavaria,code09,,Female,
2014,Percentage,.,Bavaria,code09,,Female,
2015,Percentage,.,Bavaria,code09,,Female,
2016,Percentage,.,Bavaria,code09,,Female,
2018,Percentage,.,Bavaria,code09,,Female,
2019,Percentage,.,Bavaria,code09,,Female,
2020,Percentage,.,Bavaria,code09,,Female,
1999,Percentage,,Berlin,code11,,Female,9.524
2003,Percentage,,Berlin,code11,,Female,10.677
2005,Percentage,,Berlin,code11,,Female,11.15
2009,Percentage,,Berlin,code11,,Female,10.861
2013,Percentage,,Berlin,code11,,Female,11.15
2017,Percentage,,Berlin,code11,,Female,11.141
2021,Percentage,,Berlin,code11,,Female,11.992
2000,Percentage,.,Berlin,code11,,Female,
2001,Percentage,.,Berlin,code11,,Female,
2002,Percentage,.,Berlin,code11,,Female,
2004,Percentage,.,Berlin,code11,,Female,
2006,Percentage,.,Berlin,code11,,Female,
2007,Percentage,.,Berlin,code11,,Female,
2008,Percentage,.,Berlin,code11,,Female,
2010,Percentage,.,Berlin,code11,,Female,
2011,Percentage,.,Berlin,code11,,Female,
2012,Percentage,.,Berlin,code11,,Female,
2014,Percentage,.,Berlin,code11,,Female,
2015,Percentage,.,Berlin,code11,,Female,
2016,Percentage,.,Berlin,code11,,Female,
2018,Percentage,.,Berlin,code11,,Female,
2019,Percentage,.,Berlin,code11,,Female,
2020,Percentage,.,Berlin,code11,,Female,
1999,Percentage,,Brandenburg,code12,,Female,13.231
2003,Percentage,,Brandenburg,code12,,Female,13.704
2005,Percentage,,Brandenburg,code12,,Female,14.338
2009,Percentage,,Brandenburg,code12,,Female,14.31
2013,Percentage,,Brandenburg,code12,,Female,14.338
2017,Percentage,,Brandenburg,code12,,Female,14.41
2021,Percentage,,Brandenburg,code12,,Female,13.944
2000,Percentage,.,Brandenburg,code12,,Female,
2001,Percentage,.,Brandenburg,code12,,Female,
2002,Percentage,.,Brandenburg,code12,,Female,
2004,Percentage,.,Brandenburg,code12,,Female,
2006,Percentage,.,Brandenburg,code12,,Female,
2007,Percentage,.,Brandenburg,code12,,Female,
2008,Percentage,.,Brandenburg,code12,,Female,
2010,Percentage,.,Brandenburg,code12,,Female,
2011,Percentage,.,Brandenburg,code12,,Female,
2012,Percentage,.,Brandenburg,code12,,Female,
2014,Percentage,.,Brandenburg,code12,,Female,
2015,Percentage,.,Brandenburg,code12,,Female,
2016,Percentage,.,Brandenburg,code12,,Female,
2018,Percentage,.,Brandenburg,code12,,Female,
2019,Percentage,.,Brandenburg,code12,,Female,
2020,Percentage,.,Brandenburg,code12,,Female,
1999,Percentage,,Bremen,code04,,Female,8.639
2003,Percentage,,Bremen,code04,,Female,10.002
2005,Percentage,,Bremen,code04,,Female,13.515
2009,Percentage,,Bremen,code04,,Female,12.355
2013,Percentage,,Bremen,code04,,Female,13.515
2017,Percentage,,Bremen,code04,,Female,15.55
2021,Percentage,,Bremen,code04,,Female,14.697
2000,Percentage,.,Bremen,code04,,Female,
2001,Percentage,.,Bremen,code04,,Female,
2002,Percentage,.,Bremen,code04,,Female,
2004,Percentage,.,Bremen,code04,,Female,
2006,Percentage,.,Bremen,code04,,Female,
2007,Percentage,.,Bremen,code04,,Female,
2008,Percentage,.,Bremen,code04,,Female,
2010,Percentage,.,Bremen,code04,,Female,
2011,Percentage,.,Bremen,code04,,Female,
2012,Percentage,.,Bremen,code04,,Female,
2014,Percentage,.,Bremen,code04,,Female,
2015,Percentage,.,Bremen,code04,,Female,
2016,Percentage,.,Bremen,code04,,Female,
2018,Percentage,.,Bremen,code04,,Female,
2019,Percentage,.,Bremen,code04,,Female,
2020,Percentage,.,Bremen,code04,,Female,
1999,Percentage,,Hamburg,code02,,Female,8.402
2003,Percentage,,Hamburg,code02,,Female,8.45
2005,Percentage,,Hamburg,code02,,Female,9.458
2009,Percentage,,Hamburg,code02,,Female,9.378
2013,Percentage,,Hamburg,code02,,Female,9.458
2017,Percentage,,Hamburg,code02,,Female,10.146
2021,Percentage,,Hamburg,code02,,Female,11.2
2000,Percentage,.,Hamburg,code02,,Female,
2001,Percentage,.,Hamburg,code02,,Female,
2002,Percentage,.,Hamburg,code02,,Female,
2004,Percentage,.,Hamburg,code02,,Female,
2006,Percentage,.,Hamburg,code02,,Female,
2007,Percentage,.,Hamburg,code02,,Female,
2008,Percentage,.,Hamburg,code02,,Female,
2010,Percentage,.,Hamburg,code02,,Female,
2011,Percentage,.,Hamburg,code02,,Female,
2012,Percentage,.,Hamburg,code02,,Female,
2014,Percentage,.,Hamburg,code02,,Female,
2015,Percentage,.,Hamburg,code02,,Female,
2016,Percentage,.,Hamburg,code02,,Female,
2018,Percentage,.,Hamburg,code02,,Female,
2019,Percentage,.,Hamburg,code02,,Female,
2020,Percentage,.,Hamburg,code02,,Female,
1999,Percentage,,Hesse,code06,,Female,10.319
2003,Percentage,,Hesse,code06,,Female,10.832
2005,Percentage,,Hesse,code06,,Female,12.744
2009,Percentage,,Hesse,code06,,Female,12.118
2013,Percentage,,Hesse,code06,,Female,12.744
2017,Percentage,,Hesse,code06,,Female,12.853
2021,Percentage,,Hesse,code06,,Female,12.957
2000,Percentage,.,Hesse,code06,,Female,
2001,Percentage,.,Hesse,code06,,Female,
2002,Percentage,.,Hesse,code06,,Female,
2004,Percentage,.,Hesse,code06,,Female,
2006,Percentage,.,Hesse,code06,,Female,
2007,Percentage,.,Hesse,code06,,Female,
2008,Percentage,.,Hesse,code06,,Female,
2010,Percentage,.,Hesse,code06,,Female,
2011,Percentage,.,Hesse,code06,,Female,
2012,Percentage,.,Hesse,code06,,Female,
2014,Percentage,.,Hesse,code06,,Female,
2015,Percentage,.,Hesse,code06,,Female,
2016,Percentage,.,Hesse,code06,,Female,
2018,Percentage,.,Hesse,code06,,Female,
2019,Percentage,.,Hesse,code06,,Female,
2020,Percentage,.,Hesse,code06,,Female,
1999,Percentage,,Mecklenburg Western Pomerania,code13,,Female,13.913
2003,Percentage,,Mecklenburg Western Pomerania,code13,,Female,16.037
2005,Percentage,,Mecklenburg Western Pomerania,code13,,Female,16.546
2009,Percentage,,Mecklenburg Western Pomerania,code13,,Female,17.299
2013,Percentage,,Mecklenburg Western Pomerania,code13,,Female,16.546
2017,Percentage,,Mecklenburg Western Pomerania,code13,,Female,16.691
2021,Percentage,,Mecklenburg Western Pomerania,code13,,Female,18.895
2000,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2001,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2002,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2004,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2006,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2007,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2008,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2010,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2011,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2012,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2014,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2015,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2016,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2018,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2019,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
2020,Percentage,.,Mecklenburg Western Pomerania,code13,,Female,
1999,Percentage,,Lower Saxony,code03,,Female,8.66
2003,Percentage,,Lower Saxony,code03,,Female,9.614
2005,Percentage,,Lower Saxony,code03,,Female,13.141
2009,Percentage,,Lower Saxony,code03,,Female,11.724
2013,Percentage,,Lower Saxony,code03,,Female,13.141
2017,Percentage,,Lower Saxony,code03,,Female,13.135
2021,Percentage,,Lower Saxony,code03,,Female,15.343
2000,Percentage,.,Lower Saxony,code03,,Female,
2001,Percentage,.,Lower Saxony,code03,,Female,
2002,Percentage,.,Lower Saxony,code03,,Female,
2004,Percentage,.,Lower Saxony,code03,,Female,
2006,Percentage,.,Lower Saxony,code03,,Female,
2007,Percentage,.,Lower Saxony,code03,,Female,
2008,Percentage,.,Lower Saxony,code03,,Female,
2010,Percentage,.,Lower Saxony,code03,,Female,
2011,Percentage,.,Lower Saxony,code03,,Female,
2012,Percentage,.,Lower Saxony,code03,,Female,
2014,Percentage,.,Lower Saxony,code03,,Female,
2015,Percentage,.,Lower Saxony,code03,,Female,
2016,Percentage,.,Lower Saxony,code03,,Female,
2018,Percentage,.,Lower Saxony,code03,,Female,
2019,Percentage,.,Lower Saxony,code03,,Female,
2020,Percentage,.,Lower Saxony,code03,,Female,
1999,Percentage,,North Rhine-Westphalia,code05,,Female,9.788
2003,Percentage,,North Rhine-Westphalia,code05,,Female,10.578
2005,Percentage,,North Rhine-Westphalia,code05,,Female,13.28
2009,Percentage,,North Rhine-Westphalia,code05,,Female,12.406
2013,Percentage,,North Rhine-Westphalia,code05,,Female,13.28
2017,Percentage,,North Rhine-Westphalia,code05,,Female,13.278
2021,Percentage,,North Rhine-Westphalia,code05,,Female,14.238
2000,Percentage,.,North Rhine-Westphalia,code05,,Female,
2001,Percentage,.,North Rhine-Westphalia,code05,,Female,
2002,Percentage,.,North Rhine-Westphalia,code05,,Female,
2004,Percentage,.,North Rhine-Westphalia,code05,,Female,
2006,Percentage,.,North Rhine-Westphalia,code05,,Female,
2007,Percentage,.,North Rhine-Westphalia,code05,,Female,
2008,Percentage,.,North Rhine-Westphalia,code05,,Female,
2010,Percentage,.,North Rhine-Westphalia,code05,,Female,
2011,Percentage,.,North Rhine-Westphalia,code05,,Female,
2012,Percentage,.,North Rhine-Westphalia,code05,,Female,
2014,Percentage,.,North Rhine-Westphalia,code05,,Female,
2015,Percentage,.,North Rhine-Westphalia,code05,,Female,
2016,Percentage,.,North Rhine-Westphalia,code05,,Female,
2018,Percentage,.,North Rhine-Westphalia,code05,,Female,
2019,Percentage,.,North Rhine-Westphalia,code05,,Female,
2020,Percentage,.,North Rhine-Westphalia,code05,,Female,
1999,Percentage,,Rhineland Palatinate,code07,,Female,10.477
2003,Percentage,,Rhineland Palatinate,code07,,Female,11.139
2005,Percentage,,Rhineland Palatinate,code07,,Female,13.093
2009,Percentage,,Rhineland Palatinate,code07,,Female,12.623
2013,Percentage,,Rhineland Palatinate,code07,,Female,13.093
2017,Percentage,,Rhineland Palatinate,code07,,Female,13.992
2021,Percentage,,Rhineland Palatinate,code07,,Female,13.665
2000,Percentage,.,Rhineland Palatinate,code07,,Female,
2001,Percentage,.,Rhineland Palatinate,code07,,Female,
2002,Percentage,.,Rhineland Palatinate,code07,,Female,
2004,Percentage,.,Rhineland Palatinate,code07,,Female,
2006,Percentage,.,Rhineland Palatinate,code07,,Female,
2007,Percentage,.,Rhineland Palatinate,code07,,Female,
2008,Percentage,.,Rhineland Palatinate,code07,,Female,
2010,Percentage,.,Rhineland Palatinate,code07,,Female,
2011,Percentage,.,Rhineland Palatinate,code07,,Female,
2012,Percentage,.,Rhineland Palatinate,code07,,Female,
2014,Percentage,.,Rhineland Palatinate,code07,,Female,
2015,Percentage,.,Rhineland Palatinate,code07,,Female,
2016,Percentage,.,Rhineland Palatinate,code07,,Female,
2018,Percentage,.,Rhineland Palatinate,code07,,Female,
2019,Percentage,.,Rhineland Palatinate,code07,,Female,
2020,Percentage,.,Rhineland Palatinate,code07,,Female,
1999,Percentage,,Saarland,code10,,Female,9.636
2003,Percentage,,Saarland,code10,,Female,10.149
2005,Percentage,,Saarland,code10,,Female,11.774
2009,Percentage,,Saarland,code10,,Female,12.614
2013,Percentage,,Saarland,code10,,Female,11.774
2017,Percentage,,Saarland,code10,,Female,10.881
2021,Percentage,,Saarland,code10,,Female,13.296
2000,Percentage,.,Saarland,code10,,Female,
2001,Percentage,.,Saarland,code10,,Female,
2002,Percentage,.,Saarland,code10,,Female,
2004,Percentage,.,Saarland,code10,,Female,
2006,Percentage,.,Saarland,code10,,Female,
2007,Percentage,.,Saarland,code10,,Female,
2008,Percentage,.,Saarland,code10,,Female,
2010,Percentage,.,Saarland,code10,,Female,
2011,Percentage,.,Saarland,code10,,Female,
2012,Percentage,.,Saarland,code10,,Female,
2014,Percentage,.,Saarland,code10,,Female,
2015,Percentage,.,Saarland,code10,,Female,
2016,Percentage,.,Saarland,code10,,Female,
2018,Percentage,.,Saarland,code10,,Female,
2019,Percentage,.,Saarland,code10,,Female,
2020,Percentage,.,Saarland,code10,,Female,
1999,Percentage,,Saxony,code14,,Female,12.192
2003,Percentage,,Saxony,code14,,Female,13.58
2005,Percentage,,Saxony,code14,,Female,14.305
2009,Percentage,,Saxony,code14,,Female,14.506
2013,Percentage,,Saxony,code14,,Female,14.305
2017,Percentage,,Saxony,code14,,Female,15.083
2021,Percentage,,Saxony,code14,,Female,13.935
2000,Percentage,.,Saxony,code14,,Female,
2001,Percentage,.,Saxony,code14,,Female,
2002,Percentage,.,Saxony,code14,,Female,
2004,Percentage,.,Saxony,code14,,Female,
2006,Percentage,.,Saxony,code14,,Female,
2007,Percentage,.,Saxony,code14,,Female,
2008,Percentage,.,Saxony,code14,,Female,
2010,Percentage,.,Saxony,code14,,Female,
2011,Percentage,.,Saxony,code14,,Female,
2012,Percentage,.,Saxony,code14,,Female,
2014,Percentage,.,Saxony,code14,,Female,
2015,Percentage,.,Saxony,code14,,Female,
2016,Percentage,.,Saxony,code14,,Female,
2018,Percentage,.,Saxony,code14,,Female,
2019,Percentage,.,Saxony,code14,,Female,
2020,Percentage,.,Saxony,code14,,Female,
1999,Percentage,,Saxony-Anhalt,code15,,Female,12.709
2003,Percentage,,Saxony-Anhalt,code15,,Female,15.252
2005,Percentage,,Saxony-Anhalt,code15,,Female,16.793
2009,Percentage,,Saxony-Anhalt,code15,,Female,16.757
2013,Percentage,,Saxony-Anhalt,code15,,Female,16.793
2017,Percentage,,Saxony-Anhalt,code15,,Female,16.32
2021,Percentage,,Saxony-Anhalt,code15,,Female,15.953
2000,Percentage,.,Saxony-Anhalt,code15,,Female,
2001,Percentage,.,Saxony-Anhalt,code15,,Female,
2002,Percentage,.,Saxony-Anhalt,code15,,Female,
2004,Percentage,.,Saxony-Anhalt,code15,,Female,
2006,Percentage,.,Saxony-Anhalt,code15,,Female,
2007,Percentage,.,Saxony-Anhalt,code15,,Female,
2008,Percentage,.,Saxony-Anhalt,code15,,Female,
2010,Percentage,.,Saxony-Anhalt,code15,,Female,
2011,Percentage,.,Saxony-Anhalt,code15,,Female,
2012,Percentage,.,Saxony-Anhalt,code15,,Female,
2014,Percentage,.,Saxony-Anhalt,code15,,Female,
2015,Percentage,.,Saxony-Anhalt,code15,,Female,
2016,Percentage,.,Saxony-Anhalt,code15,,Female,
2018,Percentage,.,Saxony-Anhalt,code15,,Female,
2019,Percentage,.,Saxony-Anhalt,code15,,Female,
2020,Percentage,.,Saxony-Anhalt,code15,,Female,
1999,Percentage,,Schleswig-Holstein,code01,,Female,8.37
2003,Percentage,,Schleswig-Holstein,code01,,Female,9.496
2005,Percentage,,Schleswig-Holstein,code01,,Female,11.615
2009,Percentage,,Schleswig-Holstein,code01,,Female,10.253
2013,Percentage,,Schleswig-Holstein,code01,,Female,11.615
2017,Percentage,,Schleswig-Holstein,code01,,Female,11.666
2021,Percentage,,Schleswig-Holstein,code01,,Female,14.127
2000,Percentage,.,Schleswig-Holstein,code01,,Female,
2001,Percentage,.,Schleswig-Holstein,code01,,Female,
2002,Percentage,.,Schleswig-Holstein,code01,,Female,
2004,Percentage,.,Schleswig-Holstein,code01,,Female,
2006,Percentage,.,Schleswig-Holstein,code01,,Female,
2007,Percentage,.,Schleswig-Holstein,code01,,Female,
2008,Percentage,.,Schleswig-Holstein,code01,,Female,
2010,Percentage,.,Schleswig-Holstein,code01,,Female,
2011,Percentage,.,Schleswig-Holstein,code01,,Female,
2012,Percentage,.,Schleswig-Holstein,code01,,Female,
2014,Percentage,.,Schleswig-Holstein,code01,,Female,
2015,Percentage,.,Schleswig-Holstein,code01,,Female,
2016,Percentage,.,Schleswig-Holstein,code01,,Female,
2018,Percentage,.,Schleswig-Holstein,code01,,Female,
2019,Percentage,.,Schleswig-Holstein,code01,,Female,
2020,Percentage,.,Schleswig-Holstein,code01,,Female,
1999,Percentage,,Thuringia,code16,,Female,13.194
2003,Percentage,,Thuringia,code16,,Female,13.095
2005,Percentage,,Thuringia,code16,,Female,14.886
2009,Percentage,,Thuringia,code16,,Female,14.248
2013,Percentage,,Thuringia,code16,,Female,14.886
2017,Percentage,,Thuringia,code16,,Female,16.743
2021,Percentage,,Thuringia,code16,,Female,14.215
2000,Percentage,.,Thuringia,code16,,Female,
2001,Percentage,.,Thuringia,code16,,Female,
2002,Percentage,.,Thuringia,code16,,Female,
2004,Percentage,.,Thuringia,code16,,Female,
2006,Percentage,.,Thuringia,code16,,Female,
2007,Percentage,.,Thuringia,code16,,Female,
2008,Percentage,.,Thuringia,code16,,Female,
2010,Percentage,.,Thuringia,code16,,Female,
2011,Percentage,.,Thuringia,code16,,Female,
2012,Percentage,.,Thuringia,code16,,Female,
2014,Percentage,.,Thuringia,code16,,Female,
2015,Percentage,.,Thuringia,code16,,Female,
2016,Percentage,.,Thuringia,code16,,Female,
2018,Percentage,.,Thuringia,code16,,Female,
2019,Percentage,.,Thuringia,code16,,Female,
2020,Percentage,.,Thuringia,code16,,Female,
1999,Percentage,,,,18 to under 20 years,Female,
2003,Percentage,.,,,18 to under 20 years,Female,
2005,Percentage,,,,18 to under 20 years,Female,
2009,Percentage,.,,,18 to under 20 years,Female,
2013,Percentage,,,,18 to under 20 years,Female,2.814
2017,Percentage,,,,18 to under 20 years,Female,3.402
2021,Percentage,.,,,18 to under 20 years,Female,
2000,Percentage,.,,,18 to under 20 years,Female,
2001,Percentage,.,,,18 to under 20 years,Female,
2002,Percentage,.,,,18 to under 20 years,Female,
2004,Percentage,.,,,18 to under 20 years,Female,
2006,Percentage,.,,,18 to under 20 years,Female,
2007,Percentage,.,,,18 to under 20 years,Female,
2008,Percentage,.,,,18 to under 20 years,Female,
2010,Percentage,.,,,18 to under 20 years,Female,
2011,Percentage,.,,,18 to under 20 years,Female,
2012,Percentage,.,,,18 to under 20 years,Female,
2014,Percentage,.,,,18 to under 20 years,Female,
2015,Percentage,.,,,18 to under 20 years,Female,
2016,Percentage,.,,,18 to under 20 years,Female,
2018,Percentage,.,,,18 to under 20 years,Female,
2019,Percentage,.,,,18 to under 20 years,Female,
2020,Percentage,.,,,18 to under 20 years,Female,
1999,Percentage,,,,20 to under 25 years,Female,
2003,Percentage,.,,,20 to under 25 years,Female,
2005,Percentage,.,,,20 to under 25 years,Female,
2009,Percentage,.,,,20 to under 25 years,Female,
2013,Percentage,,,,20 to under 25 years,Female,4.952
2017,Percentage,,,,20 to under 25 years,Female,4.886
2021,Percentage,,,,20 to under 25 years,Female,5.302
2000,Percentage,.,,,20 to under 25 years,Female,
2001,Percentage,.,,,20 to under 25 years,Female,
2002,Percentage,.,,,20 to under 25 years,Female,
2004,Percentage,.,,,20 to under 25 years,Female,
2006,Percentage,.,,,20 to under 25 years,Female,
2007,Percentage,.,,,20 to under 25 years,Female,
2008,Percentage,.,,,20 to under 25 years,Female,
2010,Percentage,.,,,20 to under 25 years,Female,
2011,Percentage,.,,,20 to under 25 years,Female,
2012,Percentage,.,,,20 to under 25 years,Female,
2014,Percentage,.,,,20 to under 25 years,Female,
2015,Percentage,.,,,20 to under 25 years,Female,
2016,Percentage,.,,,20 to under 25 years,Female,
2018,Percentage,.,,,20 to under 25 years,Female,
2019,Percentage,.,,,20 to under 25 years,Female,
2020,Percentage,.,,,20 to under 25 years,Female,
1999,Percentage,,,,25 to under 30 years,Female,
2003,Percentage,.,,,25 to under 30 years,Female,
2005,Percentage,.,,,25 to under 30 years,Female,
2009,Percentage,.,,,25 to under 30 years,Female,
