Year,Units,COMMENT_OBS_0,Länder,GeoCode,Sector,Value
1991,Percentage,,,,Government and private non-profit institutions,
1992,Percentage,,,,Government and private non-profit institutions,
1993,Percentage,,,,Government and private non-profit institutions,
1994,Percentage,,,,Government and private non-profit institutions,
1995,Percentage,,,,Government and private non-profit institutions,0.33
1996,Percentage,,,,Government and private non-profit institutions,
1997,Percentage,,,,Government and private non-profit institutions,0.32
1998,Percentage,,,,Government and private non-profit institutions,
1999,Percentage,,,,Government and private non-profit institutions,0.32
2000,Percentage,,,,Government and private non-profit institutions,0.32
2001,Percentage,,,,Government and private non-profit institutions,0.33
2002,Percentage,,,,Government and private non-profit institutions,0.33
2003,Percentage,,,,Government and private non-profit institutions,0.33
2004,Percentage,,,,Government and private non-profit institutions,0.33
2005,Percentage,,,,Government and private non-profit institutions,0.34
2006,Percentage,,,,Government and private non-profit institutions,0.34
2007,Percentage,,,,Government and private non-profit institutions,0.34
2008,Percentage,,,,Government and private non-profit institutions,0.36
2009,Percentage,,,,Government and private non-profit institutions,0.4
2010,Percentage,,,,Government and private non-profit institutions,0.4
2011,Percentage,,,,Government and private non-profit institutions,0.4
2012,Percentage,,,,Government and private non-profit institutions,0.41
2013,Percentage,,,,Government and private non-profit institutions,0.41
2014,Percentage,,,,Government and private non-profit institutions,0.41
2015,Percentage,,,,Government and private non-profit institutions,0.4
2016,Percentage,,,,Government and private non-profit institutions,0.4
2017,Percentage,,,,Government and private non-profit institutions,0.4
2018,Percentage,,,,Government and private non-profit institutions,0.41
2019,Percentage,,,,Government and private non-profit institutions,0.42
2020,Percentage,,,,Government and private non-profit institutions,0.45
2021,Percentage,,,,Government and private non-profit institutions,0.46
2022,Percentage,,,,Government and private non-profit institutions,0.44
2023,Percentage,,,,Government and private non-profit institutions,0.44
2025,Percentage,…,,,Government and private non-profit institutions,
1991,Percentage,,,,Universities,
1992,Percentage,,,,Universities,
1993,Percentage,,,,Universities,
1994,Percentage,,,,Universities,
1995,Percentage,,,,Universities,0.39
1996,Percentage,,,,Universities,
1997,Percentage,,,,Universities,0.39
1998,Percentage,,,,Universities,
1999,Percentage,,,,Universities,0.39
2000,Percentage,,,,Universities,0.39
2001,Percentage,,,,Universities,0.4
2002,Percentage,,,,Universities,0.42
2003,Percentage,,,,Universities,0.42
2004,Percentage,,,,Universities,0.4
2005,Percentage,,,,Universities,0.4
2006,Percentage,,,,Universities,0.4
2007,Percentage,,,,Universities,0.39
2008,Percentage,,,,Universities,0.43
2009,Percentage,,,,Universities,0.48
2010,Percentage,,,,Universities,0.49
2011,Percentage,,,,Universities,0.49
2012,Percentage,,,,Universities,0.5
2013,Percentage,,,,Universities,0.5
2014,Percentage,,,,Universities,0.5
2015,Percentage,,,,Universities,0.5
2016,Percentage,,,,Universities,0.52
2017,Percentage,,,,Universities,0.52
2018,Percentage,,,,Universities,0.54
2019,Percentage,,,,Universities,0.54
2020,Percentage,,,,Universities,0.58
2021,Percentage,,,,Universities,0.56
2022,Percentage,,,,Universities,0.55
2023,Percentage,,,,Universities,0.55
2025,Percentage,…,,,Universities,
1991,Percentage,,,,Economy,
1992,Percentage,,,,Economy,
1993,Percentage,,,,Economy,
1994,Percentage,,,,Economy,
1995,Percentage,,,,Economy,1.41
1996,Percentage,,,,Economy,
1997,Percentage,,,,Economy,1.41
1998,Percentage,,,,Economy,
1999,Percentage,,,,Economy,1.62
2000,Percentage,,,,Economy,1.67
2001,Percentage,,,,Economy,1.65
2002,Percentage,,,,Economy,1.66
2003,Percentage,,,,Economy,1.7
2004,Percentage,,,,Economy,1.67
2005,Percentage,,,,Economy,1.66
2006,Percentage,,,,Economy,1.7
2007,Percentage,,,,Economy,1.69
2008,Percentage,,,,Economy,1.78
2009,Percentage,,,,Economy,1.82
2010,Percentage,,,,Economy,1.79
2011,Percentage,,,,Economy,1.86
2012,Percentage,,,,Economy,1.92
2013,Percentage,,,,Economy,1.87
2014,Percentage,,,,Economy,1.91
2015,Percentage,,,,Economy,1.97
2016,Percentage,,,,Economy,1.97
2017,Percentage,,,,Economy,2.06
2018,Percentage,,,,Economy,2.1
2019,Percentage,,,,Economy,2.14
2020,Percentage,,,,Economy,2.06
2021,Percentage,,,,Economy,2.06
2022,Percentage,,,,Economy,2.05
2023,Percentage,,,,Economy,2.14
2025,Percentage,…,,,Economy,
