Year,Units,Series,COMMENT_OBS_0,Federal state,GeoCode,Value
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,24.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,24.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,24.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,23.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saarland,code10,22.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Saarland,code10,20.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Saarland,code10,20.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Saarland,code10,18.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Saarland,code10,18.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Saarland,code10,16.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,9.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,9.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,9.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,9.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,9.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,10.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,11.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,11.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,11.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,11.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,10.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,9.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,8.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony,code14,7.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Saxony,code14,7.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Saxony,code14,6.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Saxony,code14,8.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Saxony,code14,9.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Saxony,code14,7.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,3.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,3.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,3.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,3.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,4.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,5.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,5.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,4.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,5.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,4.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,4.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,6.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,8.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Saxony-Anhalt,code15,7.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Saxony-Anhalt,code15,8.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Saxony-Anhalt,code15,7.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Saxony-Anhalt,code15,6.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Saxony-Anhalt,code15,5.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Saxony-Anhalt,code15,4.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,19.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,17.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,17.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,16.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,16.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,14.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,14.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Schleswig-Holstein,code01,13.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Schleswig-Holstein,code01,13.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Schleswig-Holstein,code01,12.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Schleswig-Holstein,code01,12.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Schleswig-Holstein,code01,12.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Schleswig-Holstein,code01,11.0
2006,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,6.0
2007,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,5.0
2008,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,5.0
2009,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,6.0
2010,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,6.0
2011,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,7.0
2012,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,8.0
2013,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,9.0
2014,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,8.0
2015,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,9.0
2016,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,7.0
2017,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,6.0
2018,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,6.0
2019,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,r,Thuringia,code16,6.0
2020,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Thuringia,code16,5.0
2021,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,p,Thuringia,code16,5.0
2022,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Thuringia,code16,7.0
2023,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Thuringia,code16,7.0
2024,Percentage,<u>Time series of the indicator:</u> Unadjusted Gender Pay Gap,,Thuringia,code16,6.0
