Year,Units,Series,Federal state,GeoCode,Value
2011,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,96.777
2012,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,101.102
2013,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,104.528
2014,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,99.925
2015,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,97.298
2016,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,99.172
2017,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,89.176
2018,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,98.125
2019,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,93.769
2020,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,95.316
2021,2008 = 100,Primary energy consumption,Schleswig-Holstein,code01,97.942
2008,2008 = 100,Primary energy consumption,Thuringia,code16,100.0
2009,2008 = 100,Primary energy consumption,Thuringia,code16,96.12
2010,2008 = 100,Primary energy consumption,Thuringia,code16,100.038
2011,2008 = 100,Primary energy consumption,Thuringia,code16,95.191
2012,2008 = 100,Primary energy consumption,Thuringia,code16,96.752
2013,2008 = 100,Primary energy consumption,Thuringia,code16,98.68
2014,2008 = 100,Primary energy consumption,Thuringia,code16,92.918
2015,2008 = 100,Primary energy consumption,Thuringia,code16,93.123
2016,2008 = 100,Primary energy consumption,Thuringia,code16,95.696
2017,2008 = 100,Primary energy consumption,Thuringia,code16,96.491
2018,2008 = 100,Primary energy consumption,Thuringia,code16,95.144
2019,2008 = 100,Primary energy consumption,Thuringia,code16,93.269
2020,2008 = 100,Primary energy consumption,Thuringia,code16,91.506
