Year,Units,Series,federal state,GeoCode,type of care,Value
2007,percentage,b) 3 to 5-year-olds,bavaria,code09,,18.928
2008,percentage,b) 3 to 5-year-olds,bavaria,code09,,20.124
2009,percentage,b) 3 to 5-year-olds,bavaria,code09,,21.466
2010,percentage,b) 3 to 5-year-olds,bavaria,code09,,22.88
2011,percentage,b) 3 to 5-year-olds,bavaria,code09,,24.958
2012,percentage,b) 3 to 5-year-olds,bavaria,code09,,27.254
2013,percentage,b) 3 to 5-year-olds,bavaria,code09,,29.491
2014,percentage,b) 3 to 5-year-olds,bavaria,code09,,31.995
2015,percentage,b) 3 to 5-year-olds,bavaria,code09,,34.085
2016,percentage,b) 3 to 5-year-olds,bavaria,code09,,34.777
2017,percentage,b) 3 to 5-year-olds,bavaria,code09,,35.2
2018,percentage,b) 3 to 5-year-olds,bavaria,code09,,35.7
2019,percentage,b) 3 to 5-year-olds,bavaria,code09,,36.1
2020,percentage,b) 3 to 5-year-olds,bavaria,code09,,37.5
2021,percentage,b) 3 to 5-year-olds,bavaria,code09,,35.9
2022,percentage,b) 3 to 5-year-olds,bavaria,code09,,35.1
2023,percentage,b) 3 to 5-year-olds,bavaria,code09,,34.2
2024,percentage,b) 3 to 5-year-olds,bavaria,code09,,33.4
2006,percentage,b) 3 to 5-year-olds,berlin,code11,,50.904
2007,percentage,b) 3 to 5-year-olds,berlin,code11,,52.446
2008,percentage,b) 3 to 5-year-olds,berlin,code11,,53.705
2009,percentage,b) 3 to 5-year-olds,berlin,code11,,54.597
2010,percentage,b) 3 to 5-year-olds,berlin,code11,,55.132
2011,percentage,b) 3 to 5-year-olds,berlin,code11,,57.041
2012,percentage,b) 3 to 5-year-olds,berlin,code11,,59.314
2013,percentage,b) 3 to 5-year-olds,berlin,code11,,60.733
2014,percentage,b) 3 to 5-year-olds,berlin,code11,,61.63
2015,percentage,b) 3 to 5-year-olds,berlin,code11,,61.884
2016,percentage,b) 3 to 5-year-olds,berlin,code11,,60.78
2017,percentage,b) 3 to 5-year-olds,berlin,code11,,60.2
2018,percentage,b) 3 to 5-year-olds,berlin,code11,,60.9
2019,percentage,b) 3 to 5-year-olds,berlin,code11,,61.8
2020,percentage,b) 3 to 5-year-olds,berlin,code11,,61.5
2021,percentage,b) 3 to 5-year-olds,berlin,code11,,59.3
2022,percentage,b) 3 to 5-year-olds,berlin,code11,,57.3
2023,percentage,b) 3 to 5-year-olds,berlin,code11,,55.6
2024,percentage,b) 3 to 5-year-olds,berlin,code11,,55.2
2006,percentage,b) 3 to 5-year-olds,brandenburg,code12,,44.228
2007,percentage,b) 3 to 5-year-olds,brandenburg,code12,,47.284
2008,percentage,b) 3 to 5-year-olds,brandenburg,code12,,49.884
2009,percentage,b) 3 to 5-year-olds,brandenburg,code12,,52.601
2010,percentage,b) 3 to 5-year-olds,brandenburg,code12,,54.82
2011,percentage,b) 3 to 5-year-olds,brandenburg,code12,,57.445
2012,percentage,b) 3 to 5-year-olds,brandenburg,code12,,59.303
2013,percentage,b) 3 to 5-year-olds,brandenburg,code12,,61.182
2014,percentage,b) 3 to 5-year-olds,brandenburg,code12,,61.731
2015,percentage,b) 3 to 5-year-olds,brandenburg,code12,,63.548
2016,percentage,b) 3 to 5-year-olds,brandenburg,code12,,62.729
2017,percentage,b) 3 to 5-year-olds,brandenburg,code12,,62.5
2018,percentage,b) 3 to 5-year-olds,brandenburg,code12,,63.0
2019,percentage,b) 3 to 5-year-olds,brandenburg,code12,,64.6
2020,percentage,b) 3 to 5-year-olds,brandenburg,code12,,65.8
2021,percentage,b) 3 to 5-year-olds,brandenburg,code12,,63.5
2022,percentage,b) 3 to 5-year-olds,brandenburg,code12,,63.5
2023,percentage,b) 3 to 5-year-olds,brandenburg,code12,,63.0
2024,percentage,b) 3 to 5-year-olds,brandenburg,code12,,64.8
2006,percentage,b) 3 to 5-year-olds,bremen,code04,,18.724
2007,percentage,b) 3 to 5-year-olds,bremen,code04,,19.35
2008,percentage,b) 3 to 5-year-olds,bremen,code04,,19.957
2009,percentage,b) 3 to 5-year-olds,bremen,code04,,21.305
2010,percentage,b) 3 to 5-year-olds,bremen,code04,,22.344
2011,percentage,b) 3 to 5-year-olds,bremen,code04,,26.5
2012,percentage,b) 3 to 5-year-olds,bremen,code04,,26.421
2013,percentage,b) 3 to 5-year-olds,bremen,code04,,29.694
2014,percentage,b) 3 to 5-year-olds,bremen,code04,,32.511
2015,percentage,b) 3 to 5-year-olds,bremen,code04,,36.006
2016,percentage,b) 3 to 5-year-olds,bremen,code04,,37.255
2017,percentage,b) 3 to 5-year-olds,bremen,code04,,38.3
2018,percentage,b) 3 to 5-year-olds,bremen,code04,,38.9
2019,percentage,b) 3 to 5-year-olds,bremen,code04,,38.8
2020,percentage,b) 3 to 5-year-olds,bremen,code04,,40.4
2021,percentage,b) 3 to 5-year-olds,bremen,code04,,42.5
2022,percentage,b) 3 to 5-year-olds,bremen,code04,,41.5
2023,percentage,b) 3 to 5-year-olds,bremen,code04,,39.0
2024,percentage,b) 3 to 5-year-olds,bremen,code04,,36.7
2006,percentage,b) 3 to 5-year-olds,hamburg,code02,,24.488
2007,percentage,b) 3 to 5-year-olds,hamburg,code02,,27.456
2008,percentage,b) 3 to 5-year-olds,hamburg,code02,,29.197
2009,percentage,b) 3 to 5-year-olds,hamburg,code02,,31.953
2010,percentage,b) 3 to 5-year-olds,hamburg,code02,,34.135
2011,percentage,b) 3 to 5-year-olds,hamburg,code02,,36.827
2012,percentage,b) 3 to 5-year-olds,hamburg,code02,,39.015
2013,percentage,b) 3 to 5-year-olds,hamburg,code02,,42.021
2014,percentage,b) 3 to 5-year-olds,hamburg,code02,,43.368
2015,percentage,b) 3 to 5-year-olds,hamburg,code02,,45.149
2016,percentage,b) 3 to 5-year-olds,hamburg,code02,,45.617
2017,percentage,b) 3 to 5-year-olds,hamburg,code02,,48.6
2018,percentage,b) 3 to 5-year-olds,hamburg,code02,,47.6
2019,percentage,b) 3 to 5-year-olds,hamburg,code02,,50.1
2020,percentage,b) 3 to 5-year-olds,hamburg,code02,,52.0
2021,percentage,b) 3 to 5-year-olds,hamburg,code02,,49.3
2022,percentage,b) 3 to 5-year-olds,hamburg,code02,,49.7
2023,percentage,b) 3 to 5-year-olds,hamburg,code02,,51.5
2024,percentage,b) 3 to 5-year-olds,hamburg,code02,,52.9
2006,percentage,b) 3 to 5-year-olds,hesse,code06,,22.165
2007,percentage,b) 3 to 5-year-olds,hesse,code06,,25.605
2008,percentage,b) 3 to 5-year-olds,hesse,code06,,29.288
2009,percentage,b) 3 to 5-year-olds,hesse,code06,,32.499
2010,percentage,b) 3 to 5-year-olds,hesse,code06,,36.429
2011,percentage,b) 3 to 5-year-olds,hesse,code06,,39.155
2012,percentage,b) 3 to 5-year-olds,hesse,code06,,41.387
2013,percentage,b) 3 to 5-year-olds,hesse,code06,,44.298
2014,percentage,b) 3 to 5-year-olds,hesse,code06,,46.86
2015,percentage,b) 3 to 5-year-olds,hesse,code06,,48.164
2016,percentage,b) 3 to 5-year-olds,hesse,code06,,49.712
2017,percentage,b) 3 to 5-year-olds,hesse,code06,,50.6
2018,percentage,b) 3 to 5-year-olds,hesse,code06,,51.4
2019,percentage,b) 3 to 5-year-olds,hesse,code06,,53.6
2020,percentage,b) 3 to 5-year-olds,hesse,code06,,54.5
2021,percentage,b) 3 to 5-year-olds,hesse,code06,,52.4
2022,percentage,b) 3 to 5-year-olds,hesse,code06,,53.4
2023,percentage,b) 3 to 5-year-olds,hesse,code06,,53.6
2024,percentage,b) 3 to 5-year-olds,hesse,code06,,54.3
2006,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,47.341
2007,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,49.872
2008,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,52.94
2009,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,55.913
2010,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,56.95
2011,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,59.017
2012,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,62.921
2013,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,65.137
2014,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,66.32
2015,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,67.559
2016,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,67.62
2017,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,68.2
2018,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,69.6
2019,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,71.7
2020,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,73.9
2021,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,73.3
2022,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,74.3
2023,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,74.1
2024,percentage,b) 3 to 5-year-olds,mecklenburg western pomerania,code13,,74.4
2006,percentage,b) 3 to 5-year-olds,lower saxony,code03,,7.981
2007,percentage,b) 3 to 5-year-olds,lower saxony,code03,,9.631
2008,percentage,b) 3 to 5-year-olds,lower saxony,code03,,10.864
2009,percentage,b) 3 to 5-year-olds,lower saxony,code03,,12.613
2010,percentage,b) 3 to 5-year-olds,lower saxony,code03,,14.456
2011,percentage,b) 3 to 5-year-olds,lower saxony,code03,,16.809
2012,percentage,b) 3 to 5-year-olds,lower saxony,code03,,19.18
2013,percentage,b) 3 to 5-year-olds,lower saxony,code03,,21.787
2014,percentage,b) 3 to 5-year-olds,lower saxony,code03,,24.523
2015,percentage,b) 3 to 5-year-olds,lower saxony,code03,,26.916
2016,percentage,b) 3 to 5-year-olds,lower saxony,code03,,29.161
2017,percentage,b) 3 to 5-year-olds,lower saxony,code03,,30.4
2018,percentage,b) 3 to 5-year-olds,lower saxony,code03,,31.9
2019,percentage,b) 3 to 5-year-olds,lower saxony,code03,,35.2
2020,percentage,b) 3 to 5-year-olds,lower saxony,code03,,37.6
2021,percentage,b) 3 to 5-year-olds,lower saxony,code03,,38.4
2022,percentage,b) 3 to 5-year-olds,lower saxony,code03,,38.8
2023,percentage,b) 3 to 5-year-olds,lower saxony,code03,,39.2
2024,percentage,b) 3 to 5-year-olds,lower saxony,code03,,39.0
2006,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,19.086
2007,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,21.778
2008,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,26.806
2009,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,30.658
2010,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,33.432
2011,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,35.882
2012,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,38.239
2013,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,40.191
2014,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,42.015
2015,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,44.384
2016,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,45.166
2017,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,45.7
2018,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,46.4
2019,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,47.1
2020,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,47.5
2021,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,48.9
2022,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,49.4
2023,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,49.0
2024,percentage,b) 3 to 5-year-olds,north rhine-westphalia,code05,,49.2
2006,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,18.177
2007,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,20.299
2008,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,23.405
2009,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,28.412
2010,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,33.634
2011,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,38.626
2012,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,44.669
2013,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,46.456
2014,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,47.798
2015,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,49.716
2016,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,50.839
2017,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,52.3
2018,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,52.5
2019,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,53.4
2020,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,53.3
2021,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,52.6
2022,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,53.3
2023,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,54.8
2024,percentage,b) 3 to 5-year-olds,rhineland palatinate,code07,,55.9
2006,percentage,b) 3 to 5-year-olds,saarland,code10,,14.795
2007,percentage,b) 3 to 5-year-olds,saarland,code10,,16.151
2008,percentage,b) 3 to 5-year-olds,saarland,code10,,19.0
2009,percentage,b) 3 to 5-year-olds,saarland,code10,,22.646
2010,percentage,b) 3 to 5-year-olds,saarland,code10,,25.775
2011,percentage,b) 3 to 5-year-olds,saarland,code10,,30.095
2012,percentage,b) 3 to 5-year-olds,saarland,code10,,34.923
2013,percentage,b) 3 to 5-year-olds,saarland,code10,,39.351
2014,percentage,b) 3 to 5-year-olds,saarland,code10,,42.826
2015,percentage,b) 3 to 5-year-olds,saarland,code10,,46.33
2016,percentage,b) 3 to 5-year-olds,saarland,code10,,48.716
2017,percentage,b) 3 to 5-year-olds,saarland,code10,,49.4
2018,percentage,b) 3 to 5-year-olds,saarland,code10,,52.1
2019,percentage,b) 3 to 5-year-olds,saarland,code10,,54.6
2020,percentage,b) 3 to 5-year-olds,saarland,code10,,56.6
2021,percentage,b) 3 to 5-year-olds,saarland,code10,,56.2
2022,percentage,b) 3 to 5-year-olds,saarland,code10,,58.2
2023,percentage,b) 3 to 5-year-olds,saarland,code10,,59.8
2024,percentage,b) 3 to 5-year-olds,saarland,code10,,63.8
2006,percentage,b) 3 to 5-year-olds,saxony,code14,,59.619
2007,percentage,b) 3 to 5-year-olds,saxony,code14,,62.338
2008,percentage,b) 3 to 5-year-olds,saxony,code14,,66.048
2009,percentage,b) 3 to 5-year-olds,saxony,code14,,70.318
2010,percentage,b) 3 to 5-year-olds,saxony,code14,,74.976
2011,percentage,b) 3 to 5-year-olds,saxony,code14,,75.774
2012,percentage,b) 3 to 5-year-olds,saxony,code14,,76.974
2013,percentage,b) 3 to 5-year-olds,saxony,code14,,78.619
2014,percentage,b) 3 to 5-year-olds,saxony,code14,,79.904
2015,percentage,b) 3 to 5-year-olds,saxony,code14,,81.241
2016,percentage,b) 3 to 5-year-olds,saxony,code14,,81.118
2017,percentage,b) 3 to 5-year-olds,saxony,code14,,82.0
2018,percentage,b) 3 to 5-year-olds,saxony,code14,,82.4
2019,percentage,b) 3 to 5-year-olds,saxony,code14,,82.5
2020,percentage,b) 3 to 5-year-olds,saxony,code14,,83.1
2021,percentage,b) 3 to 5-year-olds,saxony,code14,,81.8
2022,percentage,b) 3 to 5-year-olds,saxony,code14,,82.6
2023,percentage,b) 3 to 5-year-olds,saxony,code14,,82.0
2024,percentage,b) 3 to 5-year-olds,saxony,code14,,83.0
2006,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,50.674
2007,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,53.142
2008,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,54.544
2009,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,56.468
2010,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,58.063
2011,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,61.282
2012,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,64.085
2013,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,65.806
2014,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.337
2015,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,83.064
2016,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.549
2017,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,80.9
2018,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,80.6
2019,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.6
2020,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,82.4
2021,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.3
2022,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.0
2023,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,80.7
2024,percentage,b) 3 to 5-year-olds,saxony-anhalt,code15,,81.2
2006,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,10.147
2007,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,11.224
2008,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,12.842
2009,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,14.58
2010,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,16.308
2011,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,19.413
2012,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,21.822
2013,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,24.762
2014,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,26.454
2015,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,30.025
2016,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,32.015
2017,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,34.6
2018,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,35.4
2019,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,37.1
2020,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,37.8
2021,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,39.7
2022,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,40.9
2023,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,42.8
2024,percentage,b) 3 to 5-year-olds,schleswig-holstein,code01,,43.2
2006,percentage,b) 3 to 5-year-olds,thuringia,code16,,84.019
2007,percentage,b) 3 to 5-year-olds,thuringia,code16,,84.499
2008,percentage,b) 3 to 5-year-olds,thuringia,code16,,84.882
2009,percentage,b) 3 to 5-year-olds,thuringia,code16,,86.091
2010,percentage,b) 3 to 5-year-olds,thuringia,code16,,87.112
2011,percentage,b) 3 to 5-year-olds,thuringia,code16,,89.452
2012,percentage,b) 3 to 5-year-olds,thuringia,code16,,87.653
2013,percentage,b) 3 to 5-year-olds,thuringia,code16,,88.398
2014,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.443
2015,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.461
2016,percentage,b) 3 to 5-year-olds,thuringia,code16,,90.825
2017,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.8
2018,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.814
2019,percentage,b) 3 to 5-year-olds,thuringia,code16,,92.255
2020,percentage,b) 3 to 5-year-olds,thuringia,code16,,92.187
2021,percentage,b) 3 to 5-year-olds,thuringia,code16,,92.2
2022,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.617
2023,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.0
2024,percentage,b) 3 to 5-year-olds,thuringia,code16,,91.9
2006,percentage,b) 3 to 5-year-olds,,,day care centres,21.963
2007,percentage,b) 3 to 5-year-olds,,,day care centres,24.189
2008,percentage,b) 3 to 5-year-olds,,,day care centres,26.896
2009,percentage,b) 3 to 5-year-olds,,,day care centres,29.696
2010,percentage,b) 3 to 5-year-olds,,,day care centres,32.138
2011,percentage,b) 3 to 5-year-olds,,,day care centres,34.672
2012,percentage,b) 3 to 5-year-olds,,,day care centres,37.041
2013,percentage,b) 3 to 5-year-olds,,,day care centres,39.267
2014,percentage,b) 3 to 5-year-olds,,,day care centres,41.701
2015,percentage,b) 3 to 5-year-olds,,,day care centres,43.67
2016,percentage,b) 3 to 5-year-olds,,,day care centres,44.49
2017,percentage,b) 3 to 5-year-olds,,,day care centres,45.239
2018,percentage,b) 3 to 5-year-olds,,,day care centres,45.838
2019,percentage,b) 3 to 5-year-olds,,,day care centres,46.871
2020,percentage,b) 3 to 5-year-olds,,,day care centres,47.553
2021,percentage,b) 3 to 5-year-olds,,,day care centres,46.934
2022,percentage,b) 3 to 5-year-olds,,,day care centres,46.99
2023,percentage,b) 3 to 5-year-olds,,,day care centres,46.64
2024,percentage,b) 3 to 5-year-olds,,,day care centres,46.607
2006,percentage,b) 3 to 5-year-olds,,,day care,0.127
2007,percentage,b) 3 to 5-year-olds,,,day care,0.141
2008,percentage,b) 3 to 5-year-olds,,,day care,0.171
2009,percentage,b) 3 to 5-year-olds,,,day care,0.174
2010,percentage,b) 3 to 5-year-olds,,,day care,0.183
2011,percentage,b) 3 to 5-year-olds,,,day care,0.207
2012,percentage,b) 3 to 5-year-olds,,,day care,0.204
2013,percentage,b) 3 to 5-year-olds,,,day care,0.218
2014,percentage,b) 3 to 5-year-olds,,,day care,0.244
2015,percentage,b) 3 to 5-year-olds,,,day care,0.265
2016,percentage,b) 3 to 5-year-olds,,,day care,0.266
2017,percentage,b) 3 to 5-year-olds,,,day care,0.27
2018,percentage,b) 3 to 5-year-olds,,,day care,0.294
2019,percentage,b) 3 to 5-year-olds,,,day care,0.306
2020,percentage,b) 3 to 5-year-olds,,,day care,0.36
2021,percentage,b) 3 to 5-year-olds,,,day care,0.39
2022,percentage,b) 3 to 5-year-olds,,,day care,0.363
2023,percentage,b) 3 to 5-year-olds,,,day care,0.363
2024,percentage,b) 3 to 5-year-olds,,,day care,0.369
