Year,Units,time series,COMMENT_OBS_0,sex,federal state,GeoCode,qualification,Value
2023,percentage,,r,male,hesse,code06,,51.027
2024,percentage,,p,male,hesse,code06,,53.028
2005,percentage,,,male,hesse,code06,,42.617
2006,percentage,,,male,hesse,code06,,41.635
2007,percentage,,,male,hesse,code06,,41.942
2008,percentage,,,male,hesse,code06,,39.945
2009,percentage,,,male,hesse,code06,,42.08
2010,percentage,,,,mecklenburg western pomerania,code13,,33.193
2011,percentage,,,,mecklenburg western pomerania,code13,,32.109
2012,percentage,,,,mecklenburg western pomerania,code13,,30.765
2013,percentage,,,,mecklenburg western pomerania,code13,,33.239
2014,percentage,,,,mecklenburg western pomerania,code13,,35.472
2015,percentage,,,,mecklenburg western pomerania,code13,,34.907
2016,percentage,,,,mecklenburg western pomerania,code13,,32.791
2017,percentage,,,,mecklenburg western pomerania,code13,,32.713
2018,percentage,,,,mecklenburg western pomerania,code13,,37.94
2019,percentage,,,,mecklenburg western pomerania,code13,,38.662
2020,percentage,,,,mecklenburg western pomerania,code13,,38.949
2021,percentage,,r,,mecklenburg western pomerania,code13,,43.363
2022,percentage,,r,,mecklenburg western pomerania,code13,,42.446
2023,percentage,,r,,mecklenburg western pomerania,code13,,44.221
2024,percentage,,p,,mecklenburg western pomerania,code13,,45.285
2005,percentage,,,,mecklenburg western pomerania,code13,,26.349
2006,percentage,,,,mecklenburg western pomerania,code13,,31.139
2007,percentage,,,,mecklenburg western pomerania,code13,,30.477
2008,percentage,,,,mecklenburg western pomerania,code13,,32.339
2009,percentage,,,,mecklenburg western pomerania,code13,,32.347
2010,percentage,,,female,mecklenburg western pomerania,code13,,36.472
2011,percentage,,,female,mecklenburg western pomerania,code13,,35.261
2012,percentage,,,female,mecklenburg western pomerania,code13,,38.453
2013,percentage,,,female,mecklenburg western pomerania,code13,,42.102
2014,percentage,,,female,mecklenburg western pomerania,code13,,43.402
2015,percentage,,,female,mecklenburg western pomerania,code13,,44.062
2016,percentage,,,female,mecklenburg western pomerania,code13,,39.519
2017,percentage,,,female,mecklenburg western pomerania,code13,,39.66
2018,percentage,,,female,mecklenburg western pomerania,code13,,44.357
2019,percentage,,,female,mecklenburg western pomerania,code13,,41.239
2020,percentage,,,female,mecklenburg western pomerania,code13,,45.227
2021,percentage,,r,female,mecklenburg western pomerania,code13,,48.504
2022,percentage,,r,female,mecklenburg western pomerania,code13,,49.661
2023,percentage,,r,female,mecklenburg western pomerania,code13,,54.129
2024,percentage,,p,female,mecklenburg western pomerania,code13,,53.47
2005,percentage,,,female,mecklenburg western pomerania,code13,,27.026
2006,percentage,,,female,mecklenburg western pomerania,code13,,37.251
2007,percentage,,,female,mecklenburg western pomerania,code13,,37.159
2008,percentage,,,female,mecklenburg western pomerania,code13,,39.407
2009,percentage,,,female,mecklenburg western pomerania,code13,,37.558
2010,percentage,,,male,mecklenburg western pomerania,code13,,30.445
2011,percentage,,,male,mecklenburg western pomerania,code13,,29.308
2012,percentage,,,male,mecklenburg western pomerania,code13,,23.899
2013,percentage,,,male,mecklenburg western pomerania,code13,,25.37
2014,percentage,,,male,mecklenburg western pomerania,code13,,28.336
2015,percentage,,,male,mecklenburg western pomerania,code13,,27.005
2016,percentage,,,male,mecklenburg western pomerania,code13,,27.014
2017,percentage,,,male,mecklenburg western pomerania,code13,,26.127
2018,percentage,,,male,mecklenburg western pomerania,code13,,32.373
2019,percentage,,,male,mecklenburg western pomerania,code13,,36.44
2020,percentage,,,male,mecklenburg western pomerania,code13,,33.038
2021,percentage,,r,male,mecklenburg western pomerania,code13,,38.354
2022,percentage,,r,male,mecklenburg western pomerania,code13,,34.814
2023,percentage,,r,male,mecklenburg western pomerania,code13,,34.808
2024,percentage,,p,male,mecklenburg western pomerania,code13,,36.78
2005,percentage,,,male,mecklenburg western pomerania,code13,,25.759
2006,percentage,,,male,mecklenburg western pomerania,code13,,26.081
2007,percentage,,,male,mecklenburg western pomerania,code13,,25.045
2008,percentage,,,male,mecklenburg western pomerania,code13,,26.693
2009,percentage,,,male,mecklenburg western pomerania,code13,,27.74
2010,percentage,,,,lower saxony,code03,,36.194
2011,percentage,,,,lower saxony,code03,,37.469
2012,percentage,,,,lower saxony,code03,,38.152
2013,percentage,,,,lower saxony,code03,,37.92
2014,percentage,,,,lower saxony,code03,,40.33
2015,percentage,,,,lower saxony,code03,,43.228
2016,percentage,,,,lower saxony,code03,,41.48
2017,percentage,,,,lower saxony,code03,,42.601
2018,percentage,,,,lower saxony,code03,,44.019
2019,percentage,,,,lower saxony,code03,,44.673
2020,percentage,,,,lower saxony,code03,,47.773
2021,percentage,,r,,lower saxony,code03,,48.188
2022,percentage,,r,,lower saxony,code03,,49.446
2023,percentage,,r,,lower saxony,code03,,52.463
2024,percentage,,p,,lower saxony,code03,,54.605
2005,percentage,,,,lower saxony,code03,,32.081
2006,percentage,,,,lower saxony,code03,,31.721
2007,percentage,,,,lower saxony,code03,,32.983
2008,percentage,,,,lower saxony,code03,,34.037
2009,percentage,,,,lower saxony,code03,,35.592
2010,percentage,,,female,lower saxony,code03,,37.49
2011,percentage,,,female,lower saxony,code03,,39.557
2012,percentage,,,female,lower saxony,code03,,40.56
2013,percentage,,,female,lower saxony,code03,,38.823
2014,percentage,,,female,lower saxony,code03,,42.47
2015,percentage,,,female,lower saxony,code03,,46.361
2016,percentage,,,female,lower saxony,code03,,44.641
2017,percentage,,,female,lower saxony,code03,,45.946
2018,percentage,,,female,lower saxony,code03,,48.507
2019,percentage,,,female,lower saxony,code03,,49.045
2020,percentage,,,female,lower saxony,code03,,52.709
2021,percentage,,r,female,lower saxony,code03,,52.379
2022,percentage,,r,female,lower saxony,code03,,52.835
2023,percentage,,r,female,lower saxony,code03,,56.81
2024,percentage,,p,female,lower saxony,code03,,59.095
2005,percentage,,,female,lower saxony,code03,,29.536
2006,percentage,,,female,lower saxony,code03,,29.946
2007,percentage,,,female,lower saxony,code03,,30.943
2008,percentage,,,female,lower saxony,code03,,33.133
2009,percentage,,,female,lower saxony,code03,,36.255
2010,percentage,,,male,lower saxony,code03,,34.885
2011,percentage,,,male,lower saxony,code03,,35.403
2012,percentage,,,male,lower saxony,code03,,35.715
2013,percentage,,,male,lower saxony,code03,,37.042
2014,percentage,,,male,lower saxony,code03,,38.263
2015,percentage,,,male,lower saxony,code03,,40.152
2016,percentage,,,male,lower saxony,code03,,38.542
2017,percentage,,,male,lower saxony,code03,,39.515
2018,percentage,,,male,lower saxony,code03,,39.817
2019,percentage,,,male,lower saxony,code03,,40.665
2020,percentage,,,male,lower saxony,code03,,43.017
2021,percentage,,r,male,lower saxony,code03,,44.226
2022,percentage,,r,male,lower saxony,code03,,46.241
2023,percentage,,r,male,lower saxony,code03,,48.267
2024,percentage,,p,male,lower saxony,code03,,50.374
2005,percentage,,,male,lower saxony,code03,,34.599
2006,percentage,,,male,lower saxony,code03,,33.505
2007,percentage,,,male,lower saxony,code03,,35.072
2008,percentage,,,male,lower saxony,code03,,34.922
2009,percentage,,,male,lower saxony,code03,,34.951
2010,percentage,,,,north rhine-westphalia,code05,,41.389
2011,percentage,,,,north rhine-westphalia,code05,,42.073
2012,percentage,,,,north rhine-westphalia,code05,,44.357
2013,percentage,,,,north rhine-westphalia,code05,,45.045
2014,percentage,,,,north rhine-westphalia,code05,,47.883
2015,percentage,,,,north rhine-westphalia,code05,,48.828
2016,percentage,,,,north rhine-westphalia,code05,,50.378
2017,percentage,,,,north rhine-westphalia,code05,,51.044
2018,percentage,,,,north rhine-westphalia,code05,,50.565
2019,percentage,,,,north rhine-westphalia,code05,,50.934
2020,percentage,,,,north rhine-westphalia,code05,,54.558
2021,percentage,,r,,north rhine-westphalia,code05,,54.381
2022,percentage,,r,,north rhine-westphalia,code05,,53.815
2023,percentage,,r,,north rhine-westphalia,code05,,56.022
2024,percentage,,p,,north rhine-westphalia,code05,,57.316
2005,percentage,,,,north rhine-westphalia,code05,,36.964
2006,percentage,,,,north rhine-westphalia,code05,,37.839
2007,percentage,,,,north rhine-westphalia,code05,,38.718
2008,percentage,,,,north rhine-westphalia,code05,,41.096
2009,percentage,,,,north rhine-westphalia,code05,,41.827
2010,percentage,,,female,north rhine-westphalia,code05,,42.215
2011,percentage,,,female,north rhine-westphalia,code05,,43.816
2012,percentage,,,female,north rhine-westphalia,code05,,46.787
2013,percentage,,,female,north rhine-westphalia,code05,,47.416
2014,percentage,,,female,north rhine-westphalia,code05,,50.809
2015,percentage,,,female,north rhine-westphalia,code05,,52.654
2016,percentage,,,female,north rhine-westphalia,code05,,54.355
2017,percentage,,,female,north rhine-westphalia,code05,,54.587
2018,percentage,,,female,north rhine-westphalia,code05,,55.135
2019,percentage,,,female,north rhine-westphalia,code05,,55.337
2020,percentage,,,female,north rhine-westphalia,code05,,60.36
2021,percentage,,r,female,north rhine-westphalia,code05,,58.132
2022,percentage,,r,female,north rhine-westphalia,code05,,58.408
2023,percentage,,r,female,north rhine-westphalia,code05,,60.771
2024,percentage,,p,female,north rhine-westphalia,code05,,62.441
2005,percentage,,,female,north rhine-westphalia,code05,,36.443
2006,percentage,,,female,north rhine-westphalia,code05,,38.012
2007,percentage,,,female,north rhine-westphalia,code05,,38.428
2008,percentage,,,female,north rhine-westphalia,code05,,41.687
2009,percentage,,,female,north rhine-westphalia,code05,,42.652
2010,percentage,,,male,north rhine-westphalia,code05,,40.573
2011,percentage,,,male,north rhine-westphalia,code05,,40.355
2012,percentage,,,male,north rhine-westphalia,code05,,41.997
2013,percentage,,,male,north rhine-westphalia,code05,,42.662
2014,percentage,,,male,north rhine-westphalia,code05,,44.84
2015,percentage,,,male,north rhine-westphalia,code05,,44.902
2016,percentage,,,male,north rhine-westphalia,code05,,46.371
2017,percentage,,,male,north rhine-westphalia,code05,,47.565
2018,percentage,,,male,north rhine-westphalia,code05,,46.096
2019,percentage,,,male,north rhine-westphalia,code05,,46.715
2020,percentage,,,male,north rhine-westphalia,code05,,48.942
2021,percentage,,r,male,north rhine-westphalia,code05,,50.793
2022,percentage,,r,male,north rhine-westphalia,code05,,49.424
2023,percentage,,r,male,north rhine-westphalia,code05,,51.508
2024,percentage,,p,male,north rhine-westphalia,code05,,52.468
2005,percentage,,,male,north rhine-westphalia,code05,,37.481
2006,percentage,,,male,north rhine-westphalia,code05,,37.668
2007,percentage,,,male,north rhine-westphalia,code05,,39.003
2008,percentage,,,male,north rhine-westphalia,code05,,40.506
2009,percentage,,,male,north rhine-westphalia,code05,,40.985
2010,percentage,,,,rhineland palatinate,code07,,38.507
2011,percentage,,,,rhineland palatinate,code07,,39.981
2012,percentage,,,,rhineland palatinate,code07,,42.26
2013,percentage,,,,rhineland palatinate,code07,,41.933
2014,percentage,,,,rhineland palatinate,code07,,43.672
2015,percentage,,,,rhineland palatinate,code07,,42.606
2016,percentage,,,,rhineland palatinate,code07,,44.25
2017,percentage,,,,rhineland palatinate,code07,,44.135
2018,percentage,,,,rhineland palatinate,code07,,44.584
2019,percentage,,,,rhineland palatinate,code07,,48.176
2020,percentage,,,,rhineland palatinate,code07,,49.737
2021,percentage,,r,,rhineland palatinate,code07,,49.019
2022,percentage,,r,,rhineland palatinate,code07,,49.997
2023,percentage,,r,,rhineland palatinate,code07,,51.25
2024,percentage,,p,,rhineland palatinate,code07,,54.829
2005,percentage,,,,rhineland palatinate,code07,,30.417
2006,percentage,,,,rhineland palatinate,code07,,31.903
2007,percentage,,,,rhineland palatinate,code07,,32.928
2008,percentage,,,,rhineland palatinate,code07,,35.304
2009,percentage,,,,rhineland palatinate,code07,,36.684
2010,percentage,,,female,rhineland palatinate,code07,,37.007
2011,percentage,,,female,rhineland palatinate,code07,,40.919
2012,percentage,,,female,rhineland palatinate,code07,,42.304
2013,percentage,,,female,rhineland palatinate,code07,,42.15
2014,percentage,,,female,rhineland palatinate,code07,,45.628
2015,percentage,,,female,rhineland palatinate,code07,,44.601
2016,percentage,,,female,rhineland palatinate,code07,,46.644
2017,percentage,,,female,rhineland palatinate,code07,,47.934
2018,percentage,,,female,rhineland palatinate,code07,,46.716
2019,percentage,,,female,rhineland palatinate,code07,,51.269
2020,percentage,,,female,rhineland palatinate,code07,,53.188
2021,percentage,,r,female,rhineland palatinate,code07,,52.098
2022,percentage,,r,female,rhineland palatinate,code07,,53.228
2023,percentage,,r,female,rhineland palatinate,code07,,53.821
2024,percentage,,p,female,rhineland palatinate,code07,,58.936
2005,percentage,,,female,rhineland palatinate,code07,,26.574
2006,percentage,,,female,rhineland palatinate,code07,,29.304
2007,percentage,,,female,rhineland palatinate,code07,,31.826
2008,percentage,,,female,rhineland palatinate,code07,,35.112
2009,percentage,,,female,rhineland palatinate,code07,,36.994
2010,percentage,,,male,rhineland palatinate,code07,,40.163
2011,percentage,,,male,rhineland palatinate,code07,,38.99
2012,percentage,,,male,rhineland palatinate,code07,,42.203
2013,percentage,,,male,rhineland palatinate,code07,,41.727
2014,percentage,,,male,rhineland palatinate,code07,,41.632
2015,percentage,,,male,rhineland palatinate,code07,,40.687
2016,percentage,,,male,rhineland palatinate,code07,,41.923
2017,percentage,,,male,rhineland palatinate,code07,,40.404
2018,percentage,,,male,rhineland palatinate,code07,,42.472
2019,percentage,,,male,rhineland palatinate,code07,,45.228
2020,percentage,,,male,rhineland palatinate,code07,,46.338
2021,percentage,,r,male,rhineland palatinate,code07,,46.139
2022,percentage,,r,male,rhineland palatinate,code07,,46.849
2023,percentage,,r,male,rhineland palatinate,code07,,48.777
2024,percentage,,p,male,rhineland palatinate,code07,,51.114
2005,percentage,,,male,rhineland palatinate,code07,,34.607
2006,percentage,,,male,rhineland palatinate,code07,,34.728
2007,percentage,,,male,rhineland palatinate,code07,,34.014
2008,percentage,,,male,rhineland palatinate,code07,,35.499
2009,percentage,,,male,rhineland palatinate,code07,,36.351
2010,percentage,,,,saarland,code10,,32.859
2011,percentage,,,,saarland,code10,,34.783
2012,percentage,,,,saarland,code10,,38.257
2013,percentage,,,,saarland,code10,,35.694
2014,percentage,,,,saarland,code10,,35.753
2015,percentage,,,,saarland,code10,,40.201
2016,percentage,,,,saarland,code10,,41.599
2017,percentage,,,,saarland,code10,,39.827
2018,percentage,,,,saarland,code10,,44.596
2019,percentage,,,,saarland,code10,,47.733
2020,percentage,,,,saarland,code10,,55.251
2021,percentage,,r,,saarland,code10,,51.954
2022,percentage,,r,,saarland,code10,,50.937
2023,percentage,,r,,saarland,code10,,48.61
2024,percentage,,p,,saarland,code10,,51.852
2005,percentage,,,,saarland,code10,,32.673
2006,percentage,,,,saarland,code10,,35.007
2007,percentage,,,,saarland,code10,,32.44
2008,percentage,,,,saarland,code10,,36.371
2009,percentage,,,,saarland,code10,,37.232
2010,percentage,,,female,saarland,code10,,36.76
2011,percentage,,,female,saarland,code10,,38.665
2012,percentage,,,female,saarland,code10,,42.193
2013,percentage,,,female,saarland,code10,,39.873
2014,percentage,,,female,saarland,code10,,35.754
2015,percentage,,,female,saarland,code10,,41.255
2016,percentage,,,female,saarland,code10,,37.913
2017,percentage,,,female,saarland,code10,,40.354
2018,percentage,,,female,saarland,code10,,49.159
2019,percentage,,,female,saarland,code10,,54.215
2020,percentage,,,female,saarland,code10,,66.671
2021,percentage,,r,female,saarland,code10,,55.756
2022,percentage,,r,female,saarland,code10,,55.745
2023,percentage,,r,female,saarland,code10,,53.824
2024,percentage,,p,female,saarland,code10,,58.611
2005,percentage,,,female,saarland,code10,,32.814
2006,percentage,,,female,saarland,code10,,34.97
2007,percentage,,,female,saarland,code10,,33.107
2008,percentage,,,female,saarland,code10,,37.423
2009,percentage,,,female,saarland,code10,,40.175
2010,percentage,,,male,saarland,code10,,28.772
2011,percentage,,,male,saarland,code10,,30.839
2012,percentage,,,male,saarland,code10,,34.733
2013,percentage,,,male,saarland,code10,,32.34
2014,percentage,,,male,saarland,code10,,35.774
2015,percentage,,,male,saarland,code10,,39.245
2016,percentage,,,male,saarland,code10,,44.77
2017,percentage,,,male,saarland,code10,,39.374
2018,percentage,,,male,saarland,code10,,40.81
2019,percentage,,,male,saarland,code10,,41.476
2020,percentage,,,male,saarland,code10,,43.5
2021,percentage,,r,male,saarland,code10,,48.515
2022,percentage,,r,male,saarland,code10,,45.95
2023,percentage,,r,male,saarland,code10,,43.814
2024,percentage,,p,male,saarland,code10,,45.396
2005,percentage,,,male,saarland,code10,,32.494
2006,percentage,,,male,saarland,code10,,35.005
2007,percentage,,,male,saarland,code10,,31.656
2008,percentage,,,male,saarland,code10,,35.242
2009,percentage,,,male,saarland,code10,,34.162
2010,percentage,,,,saxony,code14,,46.36
2011,percentage,,,,saxony,code14,,44.031
2012,percentage,,,,saxony,code14,,42.673
2013,percentage,,,,saxony,code14,,45.802
2014,percentage,,,,saxony,code14,,46.177
2015,percentage,,,,saxony,code14,,48.273
2016,percentage,,,,saxony,code14,,46.303
2017,percentage,,,,saxony,code14,,48.008
2018,percentage,,,,saxony,code14,,49.176
2019,percentage,,,,saxony,code14,,50.717
2020,percentage,,,,saxony,code14,,50.961
2021,percentage,,r,,saxony,code14,,52.867
2022,percentage,,r,,saxony,code14,,54.835
2023,percentage,,r,,saxony,code14,,54.873
2024,percentage,,p,,saxony,code14,,57.543
2005,percentage,,,,saxony,code14,,37.891
2006,percentage,,,,saxony,code14,,40.594
2007,percentage,,,,saxony,code14,,44.325
2008,percentage,,,,saxony,code14,,44.452
2009,percentage,,,,saxony,code14,,46.019
2010,percentage,,,female,saxony,code14,,54.98
2011,percentage,,,female,saxony,code14,,53.073
2012,percentage,,,female,saxony,code14,,50.538
2013,percentage,,,female,saxony,code14,,55.404
2014,percentage,,,female,saxony,code14,,54.31
2015,percentage,,,female,saxony,code14,,56.29
2016,percentage,,,female,saxony,code14,,54.852
2017,percentage,,,female,saxony,code14,,56.864
2018,percentage,,,female,saxony,code14,,57.379
2019,percentage,,,female,saxony,code14,,59.763
2020,percentage,,,female,saxony,code14,,58.286
2021,percentage,,r,female,saxony,code14,,59.463
2022,percentage,,r,female,saxony,code14,,62.481
2023,percentage,,r,female,saxony,code14,,62.819
2024,percentage,,p,female,saxony,code14,,63.979
2005,percentage,,,female,saxony,code14,,42.11
2006,percentage,,,female,saxony,code14,,48.179
2007,percentage,,,female,saxony,code14,,52.442
2008,percentage,,,female,saxony,code14,,52.456
2009,percentage,,,female,saxony,code14,,55.446
2010,percentage,,,male,saxony,code14,,38.611
2011,percentage,,,male,saxony,code14,,36.216
2012,percentage,,,male,saxony,code14,,35.996
2013,percentage,,,male,saxony,code14,,37.767
2014,percentage,,,male,saxony,code14,,39.06
2015,percentage,,,male,saxony,code14,,41.035
2016,percentage,,,male,saxony,code14,,38.545
2017,percentage,,,male,saxony,code14,,39.854
2018,percentage,,,male,saxony,code14,,41.556
2019,percentage,,,male,saxony,code14,,41.69
2020,percentage,,,male,saxony,code14,,43.812
2021,percentage,,r,male,saxony,code14,,46.621
2022,percentage,,r,male,saxony,code14,,47.73
2023,percentage,,r,male,saxony,code14,,47.315
2024,percentage,,p,male,saxony,code14,,51.489
2005,percentage,,,male,saxony,code14,,34.289
2006,percentage,,,male,saxony,code14,,34.049
2007,percentage,,,male,saxony,code14,,37.29
2008,percentage,,,male,saxony,code14,,37.836
2009,percentage,,,male,saxony,code14,,37.79
2010,percentage,,,,saxony-anhalt,code15,,32.196
2011,percentage,,,,saxony-anhalt,code15,,31.538
2012,percentage,,,,saxony-anhalt,code15,,30.9
2013,percentage,,,,saxony-anhalt,code15,,30.722
2014,percentage,,,,saxony-anhalt,code15,,32.442
2015,percentage,,,,saxony-anhalt,code15,,34.417
2016,percentage,,,,saxony-anhalt,code15,,33.629
2017,percentage,,,,saxony-anhalt,code15,,35.818
2018,percentage,,,,saxony-anhalt,code15,,38.576
2019,percentage,,,,saxony-anhalt,code15,,36.568
2020,percentage,,,,saxony-anhalt,code15,,39.675
2021,percentage,,r,,saxony-anhalt,code15,,41.624
2022,percentage,,r,,saxony-anhalt,code15,,43.48
2023,percentage,,r,,saxony-anhalt,code15,,42.581
2024,percentage,,p,,saxony-anhalt,code15,,43.035
2005,percentage,,,,saxony-anhalt,code15,,27.938
2006,percentage,,,,saxony-anhalt,code15,,28.41
2007,percentage,,,,saxony-anhalt,code15,,27.008
2008,percentage,,,,saxony-anhalt,code15,,30.452
2009,percentage,,,,saxony-anhalt,code15,,32.577
2010,percentage,,,female,saxony-anhalt,code15,,37.211
2011,percentage,,,female,saxony-anhalt,code15,,37.381
2012,percentage,,,female,saxony-anhalt,code15,,36.312
2013,percentage,,,female,saxony-anhalt,code15,,36.466
2014,percentage,,,female,saxony-anhalt,code15,,39.033
2015,percentage,,,female,saxony-anhalt,code15,,39.992
2016,percentage,,,female,saxony-anhalt,code15,,41.68
2017,percentage,,,female,saxony-anhalt,code15,,41.218
2018,percentage,,,female,saxony-anhalt,code15,,44.332
2019,percentage,,,female,saxony-anhalt,code15,,41.272
2020,percentage,,,female,saxony-anhalt,code15,,49.659
2021,percentage,,r,female,saxony-anhalt,code15,,50.597
2022,percentage,,r,female,saxony-anhalt,code15,,51.455
2023,percentage,,r,female,saxony-anhalt,code15,,49.394
2024,percentage,,p,female,saxony-anhalt,code15,,46.87
2005,percentage,,,female,saxony-anhalt,code15,,31.213
2006,percentage,,,female,saxony-anhalt,code15,,32.145
2007,percentage,,,female,saxony-anhalt,code15,,34.167
2008,percentage,,,female,saxony-anhalt,code15,,36.796
2009,percentage,,,female,saxony-anhalt,code15,,37.137
2010,percentage,,,male,saxony-anhalt,code15,,27.529
2011,percentage,,,male,saxony-anhalt,code15,,26.277
2012,percentage,,,male,saxony-anhalt,code15,,25.92
2013,percentage,,,male,saxony-anhalt,code15,,25.716
2014,percentage,,,male,saxony-anhalt,code15,,26.517
2015,percentage,,,male,saxony-anhalt,code15,,29.854
2016,percentage,,,male,saxony-anhalt,code15,,26.652
2017,percentage,,,male,saxony-anhalt,code15,,30.816
2018,percentage,,,male,saxony-anhalt,code15,,32.811
2019,percentage,,,male,saxony-anhalt,code15,,32.338
2020,percentage,,,male,saxony-anhalt,code15,,30.554
2021,percentage,,r,male,saxony-anhalt,code15,,33.216
2022,percentage,,r,male,saxony-anhalt,code15,,36.29
2023,percentage,,r,male,saxony-anhalt,code15,,36.157
2024,percentage,,p,male,saxony-anhalt,code15,,39.44
2005,percentage,,,male,saxony-anhalt,code15,,25.223
2006,percentage,,,male,saxony-anhalt,code15,,24.949
2007,percentage,,,male,saxony-anhalt,code15,,20.758
2008,percentage,,,male,saxony-anhalt,code15,,24.749
2009,percentage,,,male,saxony-anhalt,code15,,28.203
2010,percentage,,,,schleswig-holstein,code01,,35.818
2011,percentage,,,,schleswig-holstein,code01,,40.479
2012,percentage,,,,schleswig-holstein,code01,,37.279
2013,percentage,,,,schleswig-holstein,code01,,38.185
2014,percentage,,,,schleswig-holstein,code01,,38.917
2015,percentage,,,,schleswig-holstein,code01,,39.774
2016,percentage,,,,schleswig-holstein,code01,,40.312
2017,percentage,,,,schleswig-holstein,code01,,42.434
2018,percentage,,,,schleswig-holstein,code01,,43.394
2019,percentage,,,,schleswig-holstein,code01,,43.426
2020,percentage,,,,schleswig-holstein,code01,,43.492
2021,percentage,,r,,schleswig-holstein,code01,,46.169
2022,percentage,,r,,schleswig-holstein,code01,,45.797
2023,percentage,,r,,schleswig-holstein,code01,,50.537
2024,percentage,,p,,schleswig-holstein,code01,,54.044
2005,percentage,,,,schleswig-holstein,code01,,32.522
2006,percentage,,,,schleswig-holstein,code01,,30.614
2007,percentage,,,,schleswig-holstein,code01,,31.821
2008,percentage,,,,schleswig-holstein,code01,,32.351
2009,percentage,,,,schleswig-holstein,code01,,34.6
2010,percentage,,,female,schleswig-holstein,code01,,36.743
2011,percentage,,,female,schleswig-holstein,code01,,41.709
2012,percentage,,,female,schleswig-holstein,code01,,39.199
2013,percentage,,,female,schleswig-holstein,code01,,40.66
2014,percentage,,,female,schleswig-holstein,code01,,40.683
2015,percentage,,,female,schleswig-holstein,code01,,44.039
2016,percentage,,,female,schleswig-holstein,code01,,43.084
2017,percentage,,,female,schleswig-holstein,code01,,47.043
2018,percentage,,,female,schleswig-holstein,code01,,49.134
2019,percentage,,,female,schleswig-holstein,code01,,45.802
2020,percentage,,,female,schleswig-holstein,code01,,47.986
2021,percentage,,r,female,schleswig-holstein,code01,,50.888
2022,percentage,,r,female,schleswig-holstein,code01,,51.768
2023,percentage,,r,female,schleswig-holstein,code01,,55.594
2024,percentage,,p,female,schleswig-holstein,code01,,59.408
2005,percentage,,,female,schleswig-holstein,code01,,32.061
2006,percentage,,,female,schleswig-holstein,code01,,30.892
2007,percentage,,,female,schleswig-holstein,code01,,31.164
2008,percentage,,,female,schleswig-holstein,code01,,32.799
2009,percentage,,,female,schleswig-holstein,code01,,35.757
2010,percentage,,,male,schleswig-holstein,code01,,34.881
2011,percentage,,,male,schleswig-holstein,code01,,39.187
2012,percentage,,,male,schleswig-holstein,code01,,35.318
2013,percentage,,,male,schleswig-holstein,code01,,35.435
2014,percentage,,,male,schleswig-holstein,code01,,37.012
2015,percentage,,,male,schleswig-holstein,code01,,35.551
2016,percentage,,,male,schleswig-holstein,code01,,37.658
2017,percentage,,,male,schleswig-holstein,code01,,37.924
2018,percentage,,,male,schleswig-holstein,code01,,37.777
2019,percentage,,,male,schleswig-holstein,code01,,41.153
2020,percentage,,,male,schleswig-holstein,code01,,39.053
2021,percentage,,r,male,schleswig-holstein,code01,,41.684
2022,percentage,,r,male,schleswig-holstein,code01,,40.218
2023,percentage,,r,male,schleswig-holstein,code01,,45.741
2024,percentage,,p,male,schleswig-holstein,code01,,49.063
2005,percentage,,,male,schleswig-holstein,code01,,32.983
2006,percentage,,,male,schleswig-holstein,code01,,30.334
2007,percentage,,,male,schleswig-holstein,code01,,32.499
2008,percentage,,,male,schleswig-holstein,code01,,31.852
2009,percentage,,,male,schleswig-holstein,code01,,33.465
2010,percentage,,,,thuringia,code16,,36.366
2011,percentage,,,,thuringia,code16,,37.319
2012,percentage,,,,thuringia,code16,,39.128
2013,percentage,,,,thuringia,code16,,39.753
2014,percentage,,,,thuringia,code16,,37.562
2015,percentage,,,,thuringia,code16,,36.89
2016,percentage,,,,thuringia,code16,,40.326
2017,percentage,,,,thuringia,code16,,40.681
2018,percentage,,,,thuringia,code16,,44.574
2019,percentage,,,,thuringia,code16,,44.773
2020,percentage,,,,thuringia,code16,,46.068
2021,percentage,,r,,thuringia,code16,,46.976
2022,percentage,,r,,thuringia,code16,,49.171
2023,percentage,,r,,thuringia,code16,,47.595
2024,percentage,,p,,thuringia,code16,,52.235
2005,percentage,,,,thuringia,code16,,31.24
2006,percentage,,,,thuringia,code16,,32.24
2007,percentage,,,,thuringia,code16,,36.495
2008,percentage,,,,thuringia,code16,,35.718
2009,percentage,,,,thuringia,code16,,35.356
2010,percentage,,,female,thuringia,code16,,42.954
2011,percentage,,,female,thuringia,code16,,45.287
2012,percentage,,,female,thuringia,code16,,46.336
2013,percentage,,,female,thuringia,code16,,47.056
2014,percentage,,,female,thuringia,code16,,44.548
2015,percentage,,,female,thuringia,code16,,45.386
2016,percentage,,,female,thuringia,code16,,47.965
2017,percentage,,,female,thuringia,code16,,49.471
2018,percentage,,,female,thuringia,code16,,51.737
2019,percentage,,,female,thuringia,code16,,51.22
2020,percentage,,,female,thuringia,code16,,48.544
2021,percentage,,r,female,thuringia,code16,,53.907
2022,percentage,,r,female,thuringia,code16,,54.133
2023,percentage,,r,female,thuringia,code16,,52.034
2024,percentage,,p,female,thuringia,code16,,56.097
2005,percentage,,,female,thuringia,code16,,33.837
2006,percentage,,,female,thuringia,code16,,35.134
2007,percentage,,,female,thuringia,code16,,40.816
2008,percentage,,,female,thuringia,code16,,41.872
2009,percentage,,,female,thuringia,code16,,42.476
