Year,Units,Series,Federal state,GeoCode,Value
2005,Number,EMAS organisations,Lower Saxony,code03,56.0
2006,Number,EMAS organisations,Lower Saxony,code03,58.0
2007,Number,EMAS organisations,Lower Saxony,code03,61.0
2008,Number,EMAS organisations,Lower Saxony,code03,61.0
2009,Number,EMAS organisations,Lower Saxony,code03,67.0
2010,Number,EMAS organisations,Lower Saxony,code03,72.0
2011,Number,EMAS organisations,Lower Saxony,code03,76.0
2012,Number,EMAS organisations,Lower Saxony,code03,62.0
2013,Number,EMAS organisations,Lower Saxony,code03,64.0
2014,Number,EMAS organisations,Lower Saxony,code03,60.0
2015,Number,EMAS organisations,Lower Saxony,code03,56.0
2016,Number,EMAS organisations,Lower Saxony,code03,55.0
2017,Number,EMAS organisations,Lower Saxony,code03,59.0
2018,Number,EMAS organisations,Lower Saxony,code03,55.0
2019,Number,EMAS organisations,Lower Saxony,code03,54.0
2020,Number,EMAS organisations,Lower Saxony,code03,51.0
2021,Number,EMAS organisations,Lower Saxony,code03,51.0
2022,Number,EMAS organisations,Lower Saxony,code03,51.0
2023,Number,EMAS organisations,Lower Saxony,code03,50.0
2005,Number,EMAS organisations,North Rhine-Westphalia,code05,164.0
2006,Number,EMAS organisations,North Rhine-Westphalia,code05,156.0
2007,Number,EMAS organisations,North Rhine-Westphalia,code05,168.0
2008,Number,EMAS organisations,North Rhine-Westphalia,code05,164.0
2009,Number,EMAS organisations,North Rhine-Westphalia,code05,157.0
2010,Number,EMAS organisations,North Rhine-Westphalia,code05,140.0
2011,Number,EMAS organisations,North Rhine-Westphalia,code05,131.0
2012,Number,EMAS organisations,North Rhine-Westphalia,code05,121.0
2013,Number,EMAS organisations,North Rhine-Westphalia,code05,118.0
2014,Number,EMAS organisations,North Rhine-Westphalia,code05,113.0
2015,Number,EMAS organisations,North Rhine-Westphalia,code05,114.0
2016,Number,EMAS organisations,North Rhine-Westphalia,code05,117.0
2017,Number,EMAS organisations,North Rhine-Westphalia,code05,115.0
2018,Number,EMAS organisations,North Rhine-Westphalia,code05,111.0
2019,Number,EMAS organisations,North Rhine-Westphalia,code05,105.0
2020,Number,EMAS organisations,North Rhine-Westphalia,code05,100.0
2021,Number,EMAS organisations,North Rhine-Westphalia,code05,99.0
2022,Number,EMAS organisations,North Rhine-Westphalia,code05,103.0
2023,Number,EMAS organisations,North Rhine-Westphalia,code05,106.0
2005,Number,EMAS organisations,Rhineland Palatinate,code07,53.0
2006,Number,EMAS organisations,Rhineland Palatinate,code07,49.0
2007,Number,EMAS organisations,Rhineland Palatinate,code07,49.0
2008,Number,EMAS organisations,Rhineland Palatinate,code07,44.0
2009,Number,EMAS organisations,Rhineland Palatinate,code07,46.0
2010,Number,EMAS organisations,Rhineland Palatinate,code07,44.0
2011,Number,EMAS organisations,Rhineland Palatinate,code07,37.0
2012,Number,EMAS organisations,Rhineland Palatinate,code07,35.0
2013,Number,EMAS organisations,Rhineland Palatinate,code07,36.0
2014,Number,EMAS organisations,Rhineland Palatinate,code07,37.0
2015,Number,EMAS organisations,Rhineland Palatinate,code07,31.0
2016,Number,EMAS organisations,Rhineland Palatinate,code07,33.0
2017,Number,EMAS organisations,Rhineland Palatinate,code07,33.0
2018,Number,EMAS organisations,Rhineland Palatinate,code07,34.0
2019,Number,EMAS organisations,Rhineland Palatinate,code07,34.0
2020,Number,EMAS organisations,Rhineland Palatinate,code07,24.0
2021,Number,EMAS organisations,Rhineland Palatinate,code07,23.0
2022,Number,EMAS organisations,Rhineland Palatinate,code07,22.0
2023,Number,EMAS organisations,Rhineland Palatinate,code07,23.0
2005,Number,EMAS organisations,Saarland,code10,49.0
2006,Number,EMAS organisations,Saarland,code10,47.0
2007,Number,EMAS organisations,Saarland,code10,50.0
2008,Number,EMAS organisations,Saarland,code10,52.0
2009,Number,EMAS organisations,Saarland,code10,51.0
2010,Number,EMAS organisations,Saarland,code10,49.0
2011,Number,EMAS organisations,Saarland,code10,44.0
2012,Number,EMAS organisations,Saarland,code10,43.0
2013,Number,EMAS organisations,Saarland,code10,44.0
2014,Number,EMAS organisations,Saarland,code10,51.0
2015,Number,EMAS organisations,Saarland,code10,50.0
2016,Number,EMAS organisations,Saarland,code10,51.0
2017,Number,EMAS organisations,Saarland,code10,53.0
2018,Number,EMAS organisations,Saarland,code10,48.0
2019,Number,EMAS organisations,Saarland,code10,49.0
2020,Number,EMAS organisations,Saarland,code10,49.0
2021,Number,EMAS organisations,Saarland,code10,46.0
2022,Number,EMAS organisations,Saarland,code10,44.0
2023,Number,EMAS organisations,Saarland,code10,43.0
2005,Number,EMAS organisations,Saxony,code14,53.0
2006,Number,EMAS organisations,Saxony,code14,47.0
2007,Number,EMAS organisations,Saxony,code14,46.0
2008,Number,EMAS organisations,Saxony,code14,42.0
2009,Number,EMAS organisations,Saxony,code14,40.0
2010,Number,EMAS organisations,Saxony,code14,36.0
2011,Number,EMAS organisations,Saxony,code14,35.0
2012,Number,EMAS organisations,Saxony,code14,35.0
2013,Number,EMAS organisations,Saxony,code14,33.0
2014,Number,EMAS organisations,Saxony,code14,33.0
2015,Number,EMAS organisations,Saxony,code14,32.0
2016,Number,EMAS organisations,Saxony,code14,32.0
2017,Number,EMAS organisations,Saxony,code14,33.0
2018,Number,EMAS organisations,Saxony,code14,30.0
2019,Number,EMAS organisations,Saxony,code14,29.0
2020,Number,EMAS organisations,Saxony,code14,25.0
2021,Number,EMAS organisations,Saxony,code14,23.0
2022,Number,EMAS organisations,Saxony,code14,23.0
2023,Number,EMAS organisations,Saxony,code14,22.0
2005,Number,EMAS organisations,Saxony-Anhalt,code15,34.0
2006,Number,EMAS organisations,Saxony-Anhalt,code15,34.0
2007,Number,EMAS organisations,Saxony-Anhalt,code15,37.0
2008,Number,EMAS organisations,Saxony-Anhalt,code15,38.0
2009,Number,EMAS organisations,Saxony-Anhalt,code15,35.0
2010,Number,EMAS organisations,Saxony-Anhalt,code15,35.0
2011,Number,EMAS organisations,Saxony-Anhalt,code15,28.0
2012,Number,EMAS organisations,Saxony-Anhalt,code15,28.0
2013,Number,EMAS organisations,Saxony-Anhalt,code15,28.0
2014,Number,EMAS organisations,Saxony-Anhalt,code15,24.0
2015,Number,EMAS organisations,Saxony-Anhalt,code15,21.0
2016,Number,EMAS organisations,Saxony-Anhalt,code15,21.0
2017,Number,EMAS organisations,Saxony-Anhalt,code15,22.0
2018,Number,EMAS organisations,Saxony-Anhalt,code15,22.0
2019,Number,EMAS organisations,Saxony-Anhalt,code15,23.0
2020,Number,EMAS organisations,Saxony-Anhalt,code15,21.0
2021,Number,EMAS organisations,Saxony-Anhalt,code15,20.0
2022,Number,EMAS organisations,Saxony-Anhalt,code15,21.0
2023,Number,EMAS organisations,Saxony-Anhalt,code15,22.0
2005,Number,EMAS organisations,Schleswig-Holstein,code01,72.0
2006,Number,EMAS organisations,Schleswig-Holstein,code01,72.0
2007,Number,EMAS organisations,Schleswig-Holstein,code01,66.0
2008,Number,EMAS organisations,Schleswig-Holstein,code01,59.0
2009,Number,EMAS organisations,Schleswig-Holstein,code01,50.0
2010,Number,EMAS organisations,Schleswig-Holstein,code01,36.0
2011,Number,EMAS organisations,Schleswig-Holstein,code01,34.0
2012,Number,EMAS organisations,Schleswig-Holstein,code01,26.0
2013,Number,EMAS organisations,Schleswig-Holstein,code01,26.0
2014,Number,EMAS organisations,Schleswig-Holstein,code01,22.0
2015,Number,EMAS organisations,Schleswig-Holstein,code01,17.0
2016,Number,EMAS organisations,Schleswig-Holstein,code01,18.0
2017,Number,EMAS organisations,Schleswig-Holstein,code01,18.0
2018,Number,EMAS organisations,Schleswig-Holstein,code01,15.0
2019,Number,EMAS organisations,Schleswig-Holstein,code01,15.0
2020,Number,EMAS organisations,Schleswig-Holstein,code01,16.0
2021,Number,EMAS organisations,Schleswig-Holstein,code01,16.0
2022,Number,EMAS organisations,Schleswig-Holstein,code01,16.0
2023,Number,EMAS organisations,Schleswig-Holstein,code01,15.0
2005,Number,EMAS organisations,Thuringia,code16,112.0
2006,Number,EMAS organisations,Thuringia,code16,107.0
2007,Number,EMAS organisations,Thuringia,code16,85.0
2008,Number,EMAS organisations,Thuringia,code16,84.0
2009,Number,EMAS organisations,Thuringia,code16,63.0
2010,Number,EMAS organisations,Thuringia,code16,51.0
2011,Number,EMAS organisations,Thuringia,code16,43.0
2012,Number,EMAS organisations,Thuringia,code16,40.0
2013,Number,EMAS organisations,Thuringia,code16,43.0
2014,Number,EMAS organisations,Thuringia,code16,43.0
2015,Number,EMAS organisations,Thuringia,code16,47.0
2016,Number,EMAS organisations,Thuringia,code16,49.0
2017,Number,EMAS organisations,Thuringia,code16,48.0
2018,Number,EMAS organisations,Thuringia,code16,47.0
2019,Number,EMAS organisations,Thuringia,code16,51.0
2020,Number,EMAS organisations,Thuringia,code16,50.0
2021,Number,EMAS organisations,Thuringia,code16,50.0
2022,Number,EMAS organisations,Thuringia,code16,51.0
2023,Number,EMAS organisations,Thuringia,code16,48.0
