Year,Units,time series,area,COMMENT_OBS_0,länder,GeoCode,Value
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,mecklenburg western pomerania,code13,0.245
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,lower saxony,code03,0.317
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,lower saxony,code03,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,lower saxony,code03,0.294
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,lower saxony,code03,0.287
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,north rhine-westphalia,code05,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,north rhine-westphalia,code05,0.317
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,north rhine-westphalia,code05,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,north rhine-westphalia,code05,0.307
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,north rhine-westphalia,code05,0.305
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,rhineland palatinate,code07,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,rhineland palatinate,code07,0.3
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,rhineland palatinate,code07,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,rhineland palatinate,code07,0.281
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,rhineland palatinate,code07,0.288
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,saarland,code10,0.278
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saarland,code10,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,saarland,code10,0.266
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,saarland,code10,0.291
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,saxony,code14,0.26
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony,code14,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,saxony,code14,0.245
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,saxony,code14,0.243
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,saxony-anhalt,code15,0.298
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,saxony-anhalt,code15,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,saxony-anhalt,code15,0.276
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,saxony-anhalt,code15,0.282
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,schleswig-holstein,code01,0.29
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,schleswig-holstein,code01,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,schleswig-holstein,code01,0.295
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,schleswig-holstein,code01,0.297
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2018,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2019,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2020,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2021,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,thuringia,code16,0.285
2022,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,.,thuringia,code16,
2023,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,thuringia,code16,0.252
2024,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,,,thuringia,code16,0.279
