Year,Units,Series,COMMENT_OBS_0,länder,GeoCode,Value
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,6.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,8.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,saxony-anhalt,code15,7.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,saxony-anhalt,code15,8.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,saxony-anhalt,code15,7.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,saxony-anhalt,code15,6.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,saxony-anhalt,code15,5.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,saxony-anhalt,code15,4.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,18.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,18.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,19.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,18.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,18.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,17.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,18.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,18.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,17.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,16.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,16.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,14.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,14.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,schleswig-holstein,code01,13.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,schleswig-holstein,code01,13.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,schleswig-holstein,code01,12.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,schleswig-holstein,code01,12.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,schleswig-holstein,code01,12.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,schleswig-holstein,code01,11.0
2006,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,6.0
2007,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,5.0
2008,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,5.0
2009,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,6.0
2010,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,6.0
2011,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,7.0
2012,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,8.0
2013,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,9.0
2014,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,8.0
2015,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,9.0
2016,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,7.0
2017,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,6.0
2018,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,6.0
2019,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,r,thuringia,code16,6.0
2020,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,thuringia,code16,5.0
2021,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,p,thuringia,code16,5.0
2022,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,thuringia,code16,7.0
2023,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,thuringia,code16,7.0
2024,percentage,<u>time series of the indicator:</u> unadjusted gender pay gap,,thuringia,code16,6.0
