Year,Units,Series,sex,federal state,GeoCode,Value
2012,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,72.2
2013,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,71.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,72.1
2015,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,72.0
2016,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,74.8
2017,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,75.3
2018,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,75.5
2019,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,75.8
2020,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,74.6
2021,percentage,"employment rate, total (20 to 64-year-olds)",,bremen,code04,72.8
2000,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,57.8
2001,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,59.0
2002,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,58.8
2003,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,60.4
2004,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,57.3
2005,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,57.2
2006,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,60.1
2007,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,63.5
2008,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,63.8
2009,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,65.5
2010,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,66.8
2011,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,67.5
2012,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,67.1
2013,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,67.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,68.1
2015,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,69.0
2016,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,70.8
2017,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,71.7
2018,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,71.5
2019,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,71.3
2020,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,71.0
2021,percentage,"employment rate, total (20 to 64-year-olds)",female,bremen,code04,70.5
2000,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,71.0
2001,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,71.5
2002,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,70.8
2003,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,70.2
2004,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,66.7
2005,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,67.7
2006,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,69.8
2007,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,73.0
2008,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,73.2
2009,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,70.4
2010,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,73.2
2011,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,74.1
2012,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,77.3
2013,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,75.8
2014,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,76.0
2015,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,75.0
2016,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,78.5
2017,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,78.7
2018,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,79.2
2019,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,80.1
2020,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,78.2
2021,percentage,"employment rate, total (20 to 64-year-olds)",male,bremen,code04,75.0
2000,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,69.4
2001,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,69.8
2002,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,67.7
2003,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,67.5
2004,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,67.5
2005,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,70.0
2006,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,71.6
2007,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,73.2
2008,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,74.0
2009,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,74.6
2010,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,75.1
2011,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,76.8
2012,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,76.7
2013,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,77.2
2014,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,78.3
2015,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,78.8
2016,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,78.9
2017,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,79.8
2018,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,79.9
2019,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,80.7
2020,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,78.9
2021,percentage,"employment rate, total (20 to 64-year-olds)",,hamburg,code02,78.5
2000,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,63.4
2001,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,63.4
2002,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,62.6
2003,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,62.7
2004,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,62.0
2005,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,64.0
2006,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,66.9
2007,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,67.5
2008,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,68.7
2009,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,70.1
2010,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,70.8
2011,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,72.6
2012,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,72.6
2013,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,73.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,74.1
2015,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,75.4
2016,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,75.3
2017,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,75.8
2018,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,76.3
2019,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,77.6
2020,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,76.4
2021,percentage,"employment rate, total (20 to 64-year-olds)",female,hamburg,code02,75.4
2000,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,75.5
2001,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,76.2
2002,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,72.7
2003,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,72.3
2004,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,73.0
2005,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,75.9
2006,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,76.2
2007,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,78.8
2008,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,79.3
2009,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,79.1
2010,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,79.5
2011,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,81.1
2012,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,81.0
2013,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,80.8
2014,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,82.5
2015,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,82.3
2016,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,82.4
2017,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,83.8
2018,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,83.6
2019,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,83.8
2020,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,81.5
2021,percentage,"employment rate, total (20 to 64-year-olds)",male,hamburg,code02,81.6
2000,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,70.3
2001,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,71.3
2002,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,70.8
2003,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,70.4
2004,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,70.0
2005,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,70.8
2006,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,72.3
2007,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,73.5
2008,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,74.5
2009,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,75.0
2010,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,75.5
2011,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,77.1
2012,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,77.2
2013,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,77.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,77.4
2015,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,77.8
2016,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,78.5
2017,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,79.2
2018,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,79.4
2019,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,80.2
2020,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,77.9
2021,percentage,"employment rate, total (20 to 64-year-olds)",,hesse,code06,77.6
2000,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,61.9
2001,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,63.6
2002,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,63.8
2003,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,63.4
2004,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,63.0
2005,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,63.5
2006,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,65.2
2007,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,66.5
2008,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,67.9
2009,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,68.9
2010,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,69.4
2011,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,71.1
2012,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,71.5
2013,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,72.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,72.2
2015,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,73.0
2016,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,73.4
2017,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,74.7
2018,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,74.7
2019,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,75.3
2020,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,73.4
2021,percentage,"employment rate, total (20 to 64-year-olds)",female,hesse,code06,73.1
2000,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,78.6
2001,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,78.8
2002,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,77.8
2003,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,77.2
2004,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,77.1
2005,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,78.1
2006,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,79.4
2007,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,80.4
2008,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,81.1
2009,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,81.1
2010,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,81.8
2011,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,83.2
2012,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,82.9
2013,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,82.8
2014,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,82.5
2015,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,82.7
2016,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,83.5
2017,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,83.7
2018,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,83.9
2019,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,85.0
2020,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,82.4
2021,percentage,"employment rate, total (20 to 64-year-olds)",male,hesse,code06,82.1
2000,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,64.5
2001,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,62.4
2002,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,61.5
2003,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,61.8
2004,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,61.3
2005,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,64.3
2006,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,66.9
2007,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,68.4
2008,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,70.3
2009,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,71.4
2010,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,72.8
2011,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,73.5
2012,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,72.8
2013,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,73.1
2014,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,73.9
2015,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,75.0
2016,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,75.6
2017,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,76.5
2018,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,76.7
2019,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,78.3
2020,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,78.6
2021,percentage,"employment rate, total (20 to 64-year-olds)",,mecklenburg western pomerania,code13,80.0
2000,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,59.2
2001,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,59.0
2002,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,58.4
2003,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,59.2
2004,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,58.4
2005,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,62.3
2006,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,64.5
2007,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,65.4
2008,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,67.7
2009,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,69.4
2010,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,71.1
2011,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,70.7
2012,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,70.3
2013,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,71.1
2014,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,72.1
2015,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,72.9
2016,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,74.2
2017,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,75.1
2018,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,75.5
2019,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,76.6
2020,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,77.7
2021,percentage,"employment rate, total (20 to 64-year-olds)",female,mecklenburg western pomerania,code13,78.5
2000,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,69.6
2001,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,65.7
2002,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,64.4
2003,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,64.2
2004,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,64.1
2005,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,66.3
2006,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,69.2
2007,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,71.3
2008,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,72.7
2009,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,73.2
2010,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,74.5
2011,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,76.1
2012,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,75.2
2013,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,75.0
2014,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,75.7
2015,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,77.1
2016,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,76.8
2017,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,77.8
2018,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,77.8
2019,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,79.9
2020,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,79.5
2021,percentage,"employment rate, total (20 to 64-year-olds)",male,mecklenburg western pomerania,code13,81.5
2000,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,68.0
2001,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,68.5
2002,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,68.1
2003,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,67.9
2004,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,67.0
2005,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,68.7
2006,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,70.2
2007,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,72.4
2008,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,73.0
2009,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,74.0
2010,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,75.0
2011,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,76.6
2012,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,77.1
2013,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,77.6
2014,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,77.9
2015,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,77.9
2016,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,77.8
2017,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,78.7
2018,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,79.5
2019,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,80.2
2020,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,78.2
2021,percentage,"employment rate, total (20 to 64-year-olds)",,lower saxony,code03,79.6
2000,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,59.2
2001,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,60.4
2002,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,60.0
2003,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,60.7
2004,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,59.9
2005,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,61.5
2006,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,63.1
2007,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,65.2
2008,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,66.4
2009,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,67.6
2010,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,69.3
2011,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,71.0
2012,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,71.7
2013,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,72.7
2014,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,73.0
2015,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,73.2
2016,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,73.3
2017,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,74.4
2018,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,75.4
2019,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,75.9
2020,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,74.5
2021,percentage,"employment rate, total (20 to 64-year-olds)",female,lower saxony,code03,75.9
2000,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,76.6
2001,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,76.3
2002,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,76.1
2003,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,74.9
2004,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,73.9
2005,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,75.8
2006,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,77.3
2007,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,79.6
2008,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,79.6
2009,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,80.3
2010,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,80.7
2011,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,82.1
2012,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,82.5
2013,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,82.6
2014,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,82.8
2015,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,82.6
2016,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,82.1
2017,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,82.8
2018,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,83.4
2019,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,84.3
2020,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,81.8
2021,percentage,"employment rate, total (20 to 64-year-olds)",male,lower saxony,code03,83.2
2000,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,66.2
2001,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,67.1
2002,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,66.9
2003,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,66.1
2004,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,65.8
2005,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,67.7
2006,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,69.4
2007,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,71.0
2008,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,71.9
2009,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,71.8
2010,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,72.3
2011,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,73.9
2012,percentage,"employment rate, total (20 to 64-year-olds)",,north rhine-westphalia,code05,74.2
