Year,Units,COMMENT_OBS_0,sex,länder,GeoCode,age group,Value
2009,percentage,.,,,,60 to under 65 years,
2013,percentage,,,,,60 to under 65 years,22.704
2017,percentage,,,,,60 to under 65 years,21.982
2021,percentage,,,,,60 to under 65 years,21.094
2000,percentage,.,,,,60 to under 65 years,
2001,percentage,.,,,,60 to under 65 years,
2002,percentage,.,,,,60 to under 65 years,
2004,percentage,.,,,,60 to under 65 years,
2006,percentage,.,,,,60 to under 65 years,
2007,percentage,.,,,,60 to under 65 years,
2008,percentage,.,,,,60 to under 65 years,
2010,percentage,.,,,,60 to under 65 years,
2011,percentage,.,,,,60 to under 65 years,
2012,percentage,.,,,,60 to under 65 years,
2014,percentage,.,,,,60 to under 65 years,
2015,percentage,.,,,,60 to under 65 years,
2016,percentage,.,,,,60 to under 65 years,
2018,percentage,.,,,,60 to under 65 years,
2019,percentage,.,,,,60 to under 65 years,
2020,percentage,.,,,,60 to under 65 years,
1999,percentage,,,,,65 to under 70 years,
2003,percentage,,,,,65 to under 70 years,
2005,percentage,.,,,,65 to under 70 years,
2009,percentage,.,,,,65 to under 70 years,
2013,percentage,,,,,65 to under 70 years,21.943
2017,percentage,,,,,65 to under 70 years,23.506
2021,percentage,,,,,65 to under 70 years,21.126
2000,percentage,.,,,,65 to under 70 years,
2001,percentage,.,,,,65 to under 70 years,
2002,percentage,.,,,,65 to under 70 years,
2004,percentage,.,,,,65 to under 70 years,
2006,percentage,.,,,,65 to under 70 years,
2007,percentage,.,,,,65 to under 70 years,
2008,percentage,.,,,,65 to under 70 years,
2010,percentage,.,,,,65 to under 70 years,
2011,percentage,.,,,,65 to under 70 years,
2012,percentage,.,,,,65 to under 70 years,
2014,percentage,.,,,,65 to under 70 years,
2015,percentage,.,,,,65 to under 70 years,
2016,percentage,.,,,,65 to under 70 years,
2018,percentage,.,,,,65 to under 70 years,
2019,percentage,.,,,,65 to under 70 years,
2020,percentage,.,,,,65 to under 70 years,
1999,percentage,,,,,70 to under 75 years,
2003,percentage,,,,,70 to under 75 years,
2005,percentage,,,,,70 to under 75 years,
2009,percentage,,,,,70 to under 75 years,
2013,percentage,,,,,70 to under 75 years,20.257
2017,percentage,,,,,70 to under 75 years,21.164
2021,percentage,,,,,70 to under 75 years,21.283
2000,percentage,.,,,,70 to under 75 years,
2001,percentage,.,,,,70 to under 75 years,
2002,percentage,.,,,,70 to under 75 years,
2004,percentage,.,,,,70 to under 75 years,
2006,percentage,.,,,,70 to under 75 years,
2007,percentage,.,,,,70 to under 75 years,
2008,percentage,.,,,,70 to under 75 years,
2010,percentage,.,,,,70 to under 75 years,
2011,percentage,.,,,,70 to under 75 years,
2012,percentage,.,,,,70 to under 75 years,
2014,percentage,.,,,,70 to under 75 years,
2015,percentage,.,,,,70 to under 75 years,
2016,percentage,.,,,,70 to under 75 years,
2018,percentage,.,,,,70 to under 75 years,
2019,percentage,.,,,,70 to under 75 years,
2020,percentage,.,,,,70 to under 75 years,
1999,percentage,,,,,75 years and older,
2003,percentage,,,,,75 years and older,
2005,percentage,,,,,75 years and older,
2009,percentage,,,,,75 years and older,
2013,percentage,,,,,75 years and older,17.403
2017,percentage,,,,,75 years and older,17.837
2021,percentage,,,,,75 years and older,16.281
2000,percentage,.,,,,75 years and older,
2001,percentage,.,,,,75 years and older,
2002,percentage,.,,,,75 years and older,
2004,percentage,.,,,,75 years and older,
2006,percentage,.,,,,75 years and older,
2007,percentage,.,,,,75 years and older,
2008,percentage,.,,,,75 years and older,
2010,percentage,.,,,,75 years and older,
2011,percentage,.,,,,75 years and older,
2012,percentage,.,,,,75 years and older,
2014,percentage,.,,,,75 years and older,
2015,percentage,.,,,,75 years and older,
2016,percentage,.,,,,75 years and older,
2018,percentage,.,,,,75 years and older,
2019,percentage,.,,,,75 years and older,
2020,percentage,.,,,,75 years and older,
1999,percentage,,female,baden-wuerttemberg,code08,,9.252
2003,percentage,,female,baden-wuerttemberg,code08,,10.132
2005,percentage,,female,baden-wuerttemberg,code08,,11.239
2009,percentage,,female,baden-wuerttemberg,code08,,11.295
2013,percentage,,female,baden-wuerttemberg,code08,,11.239
2017,percentage,,female,baden-wuerttemberg,code08,,12.125
2021,percentage,,female,baden-wuerttemberg,code08,,12.086
2000,percentage,.,female,baden-wuerttemberg,code08,,
2001,percentage,.,female,baden-wuerttemberg,code08,,
2002,percentage,.,female,baden-wuerttemberg,code08,,
2004,percentage,.,female,baden-wuerttemberg,code08,,
2006,percentage,.,female,baden-wuerttemberg,code08,,
2007,percentage,.,female,baden-wuerttemberg,code08,,
2008,percentage,.,female,baden-wuerttemberg,code08,,
2010,percentage,.,female,baden-wuerttemberg,code08,,
2011,percentage,.,female,baden-wuerttemberg,code08,,
2012,percentage,.,female,baden-wuerttemberg,code08,,
2014,percentage,.,female,baden-wuerttemberg,code08,,
2015,percentage,.,female,baden-wuerttemberg,code08,,
2016,percentage,.,female,baden-wuerttemberg,code08,,
2018,percentage,.,female,baden-wuerttemberg,code08,,
2019,percentage,.,female,baden-wuerttemberg,code08,,
2020,percentage,.,female,baden-wuerttemberg,code08,,
1999,percentage,,female,bavaria,code09,,10.003
2003,percentage,,female,bavaria,code09,,11.115
2005,percentage,,female,bavaria,code09,,11.377
2009,percentage,,female,bavaria,code09,,11.571
2013,percentage,,female,bavaria,code09,,11.377
2017,percentage,,female,bavaria,code09,,11.588
2021,percentage,,female,bavaria,code09,,11.999
2000,percentage,.,female,bavaria,code09,,
2001,percentage,.,female,bavaria,code09,,
2002,percentage,.,female,bavaria,code09,,
2004,percentage,.,female,bavaria,code09,,
2006,percentage,.,female,bavaria,code09,,
2007,percentage,.,female,bavaria,code09,,
2008,percentage,.,female,bavaria,code09,,
2010,percentage,.,female,bavaria,code09,,
2011,percentage,.,female,bavaria,code09,,
2012,percentage,.,female,bavaria,code09,,
2014,percentage,.,female,bavaria,code09,,
2015,percentage,.,female,bavaria,code09,,
2016,percentage,.,female,bavaria,code09,,
2018,percentage,.,female,bavaria,code09,,
2019,percentage,.,female,bavaria,code09,,
2020,percentage,.,female,bavaria,code09,,
1999,percentage,,female,berlin,code11,,9.524
2003,percentage,,female,berlin,code11,,10.677
2005,percentage,,female,berlin,code11,,11.15
2009,percentage,,female,berlin,code11,,10.861
2013,percentage,,female,berlin,code11,,11.15
2017,percentage,,female,berlin,code11,,11.141
2021,percentage,,female,berlin,code11,,11.992
2000,percentage,.,female,berlin,code11,,
2001,percentage,.,female,berlin,code11,,
2002,percentage,.,female,berlin,code11,,
2004,percentage,.,female,berlin,code11,,
2006,percentage,.,female,berlin,code11,,
2007,percentage,.,female,berlin,code11,,
2008,percentage,.,female,berlin,code11,,
2010,percentage,.,female,berlin,code11,,
2011,percentage,.,female,berlin,code11,,
2012,percentage,.,female,berlin,code11,,
2014,percentage,.,female,berlin,code11,,
2015,percentage,.,female,berlin,code11,,
2016,percentage,.,female,berlin,code11,,
2018,percentage,.,female,berlin,code11,,
2019,percentage,.,female,berlin,code11,,
2020,percentage,.,female,berlin,code11,,
1999,percentage,,female,brandenburg,code12,,13.231
2003,percentage,,female,brandenburg,code12,,13.704
2005,percentage,,female,brandenburg,code12,,14.338
2009,percentage,,female,brandenburg,code12,,14.31
2013,percentage,,female,brandenburg,code12,,14.338
2017,percentage,,female,brandenburg,code12,,14.41
2021,percentage,,female,brandenburg,code12,,13.944
2000,percentage,.,female,brandenburg,code12,,
2001,percentage,.,female,brandenburg,code12,,
2002,percentage,.,female,brandenburg,code12,,
2004,percentage,.,female,brandenburg,code12,,
2006,percentage,.,female,brandenburg,code12,,
2007,percentage,.,female,brandenburg,code12,,
2008,percentage,.,female,brandenburg,code12,,
2010,percentage,.,female,brandenburg,code12,,
2011,percentage,.,female,brandenburg,code12,,
2012,percentage,.,female,brandenburg,code12,,
2014,percentage,.,female,brandenburg,code12,,
2015,percentage,.,female,brandenburg,code12,,
2016,percentage,.,female,brandenburg,code12,,
2018,percentage,.,female,brandenburg,code12,,
2019,percentage,.,female,brandenburg,code12,,
2020,percentage,.,female,brandenburg,code12,,
1999,percentage,,female,bremen,code04,,8.639
2003,percentage,,female,bremen,code04,,10.002
2005,percentage,,female,bremen,code04,,13.515
2009,percentage,,female,bremen,code04,,12.355
2013,percentage,,female,bremen,code04,,13.515
2017,percentage,,female,bremen,code04,,15.55
2021,percentage,,female,bremen,code04,,14.697
2000,percentage,.,female,bremen,code04,,
2001,percentage,.,female,bremen,code04,,
2002,percentage,.,female,bremen,code04,,
2004,percentage,.,female,bremen,code04,,
2006,percentage,.,female,bremen,code04,,
2007,percentage,.,female,bremen,code04,,
2008,percentage,.,female,bremen,code04,,
2010,percentage,.,female,bremen,code04,,
2011,percentage,.,female,bremen,code04,,
2012,percentage,.,female,bremen,code04,,
2014,percentage,.,female,bremen,code04,,
2015,percentage,.,female,bremen,code04,,
2016,percentage,.,female,bremen,code04,,
2018,percentage,.,female,bremen,code04,,
2019,percentage,.,female,bremen,code04,,
2020,percentage,.,female,bremen,code04,,
1999,percentage,,female,hamburg,code02,,8.402
2003,percentage,,female,hamburg,code02,,8.45
2005,percentage,,female,hamburg,code02,,9.458
2009,percentage,,female,hamburg,code02,,9.378
2013,percentage,,female,hamburg,code02,,9.458
2017,percentage,,female,hamburg,code02,,10.146
2021,percentage,,female,hamburg,code02,,11.2
2000,percentage,.,female,hamburg,code02,,
2001,percentage,.,female,hamburg,code02,,
2002,percentage,.,female,hamburg,code02,,
2004,percentage,.,female,hamburg,code02,,
2006,percentage,.,female,hamburg,code02,,
2007,percentage,.,female,hamburg,code02,,
2008,percentage,.,female,hamburg,code02,,
2010,percentage,.,female,hamburg,code02,,
2011,percentage,.,female,hamburg,code02,,
2012,percentage,.,female,hamburg,code02,,
2014,percentage,.,female,hamburg,code02,,
2015,percentage,.,female,hamburg,code02,,
2016,percentage,.,female,hamburg,code02,,
2018,percentage,.,female,hamburg,code02,,
2019,percentage,.,female,hamburg,code02,,
2020,percentage,.,female,hamburg,code02,,
1999,percentage,,female,hesse,code06,,10.319
2003,percentage,,female,hesse,code06,,10.832
2005,percentage,,female,hesse,code06,,12.744
2009,percentage,,female,hesse,code06,,12.118
2013,percentage,,female,hesse,code06,,12.744
2017,percentage,,female,hesse,code06,,12.853
2021,percentage,,female,hesse,code06,,12.957
2000,percentage,.,female,hesse,code06,,
2001,percentage,.,female,hesse,code06,,
2002,percentage,.,female,hesse,code06,,
2004,percentage,.,female,hesse,code06,,
2006,percentage,.,female,hesse,code06,,
2007,percentage,.,female,hesse,code06,,
2008,percentage,.,female,hesse,code06,,
2010,percentage,.,female,hesse,code06,,
2011,percentage,.,female,hesse,code06,,
2012,percentage,.,female,hesse,code06,,
2014,percentage,.,female,hesse,code06,,
2015,percentage,.,female,hesse,code06,,
2016,percentage,.,female,hesse,code06,,
2018,percentage,.,female,hesse,code06,,
2019,percentage,.,female,hesse,code06,,
2020,percentage,.,female,hesse,code06,,
1999,percentage,,female,mecklenburg western pomerania,code13,,13.913
2003,percentage,,female,mecklenburg western pomerania,code13,,16.037
2005,percentage,,female,mecklenburg western pomerania,code13,,16.546
2009,percentage,,female,mecklenburg western pomerania,code13,,17.299
2013,percentage,,female,mecklenburg western pomerania,code13,,16.546
2017,percentage,,female,mecklenburg western pomerania,code13,,16.691
2021,percentage,,female,mecklenburg western pomerania,code13,,18.895
2000,percentage,.,female,mecklenburg western pomerania,code13,,
2001,percentage,.,female,mecklenburg western pomerania,code13,,
2002,percentage,.,female,mecklenburg western pomerania,code13,,
2004,percentage,.,female,mecklenburg western pomerania,code13,,
2006,percentage,.,female,mecklenburg western pomerania,code13,,
2007,percentage,.,female,mecklenburg western pomerania,code13,,
2008,percentage,.,female,mecklenburg western pomerania,code13,,
2010,percentage,.,female,mecklenburg western pomerania,code13,,
2011,percentage,.,female,mecklenburg western pomerania,code13,,
2012,percentage,.,female,mecklenburg western pomerania,code13,,
2014,percentage,.,female,mecklenburg western pomerania,code13,,
2015,percentage,.,female,mecklenburg western pomerania,code13,,
2016,percentage,.,female,mecklenburg western pomerania,code13,,
2018,percentage,.,female,mecklenburg western pomerania,code13,,
2019,percentage,.,female,mecklenburg western pomerania,code13,,
2020,percentage,.,female,mecklenburg western pomerania,code13,,
1999,percentage,,female,lower saxony,code03,,8.66
2003,percentage,,female,lower saxony,code03,,9.614
2005,percentage,,female,lower saxony,code03,,13.141
2009,percentage,,female,lower saxony,code03,,11.724
2013,percentage,,female,lower saxony,code03,,13.141
2017,percentage,,female,lower saxony,code03,,13.135
2021,percentage,,female,lower saxony,code03,,15.343
2000,percentage,.,female,lower saxony,code03,,
2001,percentage,.,female,lower saxony,code03,,
2002,percentage,.,female,lower saxony,code03,,
2004,percentage,.,female,lower saxony,code03,,
2006,percentage,.,female,lower saxony,code03,,
2007,percentage,.,female,lower saxony,code03,,
2008,percentage,.,female,lower saxony,code03,,
2010,percentage,.,female,lower saxony,code03,,
2011,percentage,.,female,lower saxony,code03,,
2012,percentage,.,female,lower saxony,code03,,
2014,percentage,.,female,lower saxony,code03,,
2015,percentage,.,female,lower saxony,code03,,
2016,percentage,.,female,lower saxony,code03,,
2018,percentage,.,female,lower saxony,code03,,
2019,percentage,.,female,lower saxony,code03,,
2020,percentage,.,female,lower saxony,code03,,
1999,percentage,,female,north rhine-westphalia,code05,,9.788
2003,percentage,,female,north rhine-westphalia,code05,,10.578
2005,percentage,,female,north rhine-westphalia,code05,,13.28
2009,percentage,,female,north rhine-westphalia,code05,,12.406
2013,percentage,,female,north rhine-westphalia,code05,,13.28
2017,percentage,,female,north rhine-westphalia,code05,,13.278
2021,percentage,,female,north rhine-westphalia,code05,,14.238
2000,percentage,.,female,north rhine-westphalia,code05,,
2001,percentage,.,female,north rhine-westphalia,code05,,
2002,percentage,.,female,north rhine-westphalia,code05,,
2004,percentage,.,female,north rhine-westphalia,code05,,
2006,percentage,.,female,north rhine-westphalia,code05,,
2007,percentage,.,female,north rhine-westphalia,code05,,
2008,percentage,.,female,north rhine-westphalia,code05,,
2010,percentage,.,female,north rhine-westphalia,code05,,
2011,percentage,.,female,north rhine-westphalia,code05,,
2012,percentage,.,female,north rhine-westphalia,code05,,
2014,percentage,.,female,north rhine-westphalia,code05,,
2015,percentage,.,female,north rhine-westphalia,code05,,
2016,percentage,.,female,north rhine-westphalia,code05,,
2018,percentage,.,female,north rhine-westphalia,code05,,
2019,percentage,.,female,north rhine-westphalia,code05,,
2020,percentage,.,female,north rhine-westphalia,code05,,
1999,percentage,,female,rhineland palatinate,code07,,10.477
2003,percentage,,female,rhineland palatinate,code07,,11.139
2005,percentage,,female,rhineland palatinate,code07,,13.093
2009,percentage,,female,rhineland palatinate,code07,,12.623
2013,percentage,,female,rhineland palatinate,code07,,13.093
2017,percentage,,female,rhineland palatinate,code07,,13.992
2021,percentage,,female,rhineland palatinate,code07,,13.665
2000,percentage,.,female,rhineland palatinate,code07,,
2001,percentage,.,female,rhineland palatinate,code07,,
2002,percentage,.,female,rhineland palatinate,code07,,
2004,percentage,.,female,rhineland palatinate,code07,,
2006,percentage,.,female,rhineland palatinate,code07,,
2007,percentage,.,female,rhineland palatinate,code07,,
2008,percentage,.,female,rhineland palatinate,code07,,
2010,percentage,.,female,rhineland palatinate,code07,,
2011,percentage,.,female,rhineland palatinate,code07,,
2012,percentage,.,female,rhineland palatinate,code07,,
2014,percentage,.,female,rhineland palatinate,code07,,
2015,percentage,.,female,rhineland palatinate,code07,,
2016,percentage,.,female,rhineland palatinate,code07,,
2018,percentage,.,female,rhineland palatinate,code07,,
2019,percentage,.,female,rhineland palatinate,code07,,
2020,percentage,.,female,rhineland palatinate,code07,,
1999,percentage,,female,saarland,code10,,9.636
2003,percentage,,female,saarland,code10,,10.149
2005,percentage,,female,saarland,code10,,11.774
2009,percentage,,female,saarland,code10,,12.614
2013,percentage,,female,saarland,code10,,11.774
2017,percentage,,female,saarland,code10,,10.881
2021,percentage,,female,saarland,code10,,13.296
2000,percentage,.,female,saarland,code10,,
2001,percentage,.,female,saarland,code10,,
2002,percentage,.,female,saarland,code10,,
2004,percentage,.,female,saarland,code10,,
2006,percentage,.,female,saarland,code10,,
2007,percentage,.,female,saarland,code10,,
2008,percentage,.,female,saarland,code10,,
2010,percentage,.,female,saarland,code10,,
2011,percentage,.,female,saarland,code10,,
2012,percentage,.,female,saarland,code10,,
2014,percentage,.,female,saarland,code10,,
2015,percentage,.,female,saarland,code10,,
2016,percentage,.,female,saarland,code10,,
2018,percentage,.,female,saarland,code10,,
2019,percentage,.,female,saarland,code10,,
2020,percentage,.,female,saarland,code10,,
1999,percentage,,female,saxony,code14,,12.192
2003,percentage,,female,saxony,code14,,13.58
2005,percentage,,female,saxony,code14,,14.305
2009,percentage,,female,saxony,code14,,14.506
2013,percentage,,female,saxony,code14,,14.305
2017,percentage,,female,saxony,code14,,15.083
2021,percentage,,female,saxony,code14,,13.935
2000,percentage,.,female,saxony,code14,,
2001,percentage,.,female,saxony,code14,,
2002,percentage,.,female,saxony,code14,,
2004,percentage,.,female,saxony,code14,,
2006,percentage,.,female,saxony,code14,,
2007,percentage,.,female,saxony,code14,,
2008,percentage,.,female,saxony,code14,,
2010,percentage,.,female,saxony,code14,,
2011,percentage,.,female,saxony,code14,,
2012,percentage,.,female,saxony,code14,,
2014,percentage,.,female,saxony,code14,,
2015,percentage,.,female,saxony,code14,,
2016,percentage,.,female,saxony,code14,,
2018,percentage,.,female,saxony,code14,,
2019,percentage,.,female,saxony,code14,,
2020,percentage,.,female,saxony,code14,,
1999,percentage,,female,saxony-anhalt,code15,,12.709
2003,percentage,,female,saxony-anhalt,code15,,15.252
2005,percentage,,female,saxony-anhalt,code15,,16.793
2009,percentage,,female,saxony-anhalt,code15,,16.757
2013,percentage,,female,saxony-anhalt,code15,,16.793
2017,percentage,,female,saxony-anhalt,code15,,16.32
2021,percentage,,female,saxony-anhalt,code15,,15.953
2000,percentage,.,female,saxony-anhalt,code15,,
2001,percentage,.,female,saxony-anhalt,code15,,
2002,percentage,.,female,saxony-anhalt,code15,,
2004,percentage,.,female,saxony-anhalt,code15,,
2006,percentage,.,female,saxony-anhalt,code15,,
2007,percentage,.,female,saxony-anhalt,code15,,
2008,percentage,.,female,saxony-anhalt,code15,,
2010,percentage,.,female,saxony-anhalt,code15,,
2011,percentage,.,female,saxony-anhalt,code15,,
2012,percentage,.,female,saxony-anhalt,code15,,
2014,percentage,.,female,saxony-anhalt,code15,,
2015,percentage,.,female,saxony-anhalt,code15,,
2016,percentage,.,female,saxony-anhalt,code15,,
2018,percentage,.,female,saxony-anhalt,code15,,
2019,percentage,.,female,saxony-anhalt,code15,,
2020,percentage,.,female,saxony-anhalt,code15,,
1999,percentage,,female,schleswig-holstein,code01,,8.37
2003,percentage,,female,schleswig-holstein,code01,,9.496
2005,percentage,,female,schleswig-holstein,code01,,11.615
2009,percentage,,female,schleswig-holstein,code01,,10.253
2013,percentage,,female,schleswig-holstein,code01,,11.615
2017,percentage,,female,schleswig-holstein,code01,,11.666
2021,percentage,,female,schleswig-holstein,code01,,14.127
2000,percentage,.,female,schleswig-holstein,code01,,
2001,percentage,.,female,schleswig-holstein,code01,,
2002,percentage,.,female,schleswig-holstein,code01,,
2004,percentage,.,female,schleswig-holstein,code01,,
2006,percentage,.,female,schleswig-holstein,code01,,
2007,percentage,.,female,schleswig-holstein,code01,,
2008,percentage,.,female,schleswig-holstein,code01,,
2010,percentage,.,female,schleswig-holstein,code01,,
2011,percentage,.,female,schleswig-holstein,code01,,
2012,percentage,.,female,schleswig-holstein,code01,,
2014,percentage,.,female,schleswig-holstein,code01,,
2015,percentage,.,female,schleswig-holstein,code01,,
2016,percentage,.,female,schleswig-holstein,code01,,
2018,percentage,.,female,schleswig-holstein,code01,,
2019,percentage,.,female,schleswig-holstein,code01,,
2020,percentage,.,female,schleswig-holstein,code01,,
1999,percentage,,female,thuringia,code16,,13.194
2003,percentage,.,female,thuringia,code16,,13.095
2005,percentage,,female,thuringia,code16,,14.886
2009,percentage,.,female,thuringia,code16,,14.248
2013,percentage,,female,thuringia,code16,,14.886
2017,percentage,,female,thuringia,code16,,16.743
2021,percentage,.,female,thuringia,code16,,14.215
2000,percentage,.,female,thuringia,code16,,
2001,percentage,.,female,thuringia,code16,,
2002,percentage,.,female,thuringia,code16,,
2004,percentage,.,female,thuringia,code16,,
2006,percentage,.,female,thuringia,code16,,
2007,percentage,.,female,thuringia,code16,,
2008,percentage,.,female,thuringia,code16,,
2010,percentage,.,female,thuringia,code16,,
2011,percentage,.,female,thuringia,code16,,
2012,percentage,.,female,thuringia,code16,,
2014,percentage,.,female,thuringia,code16,,
2015,percentage,.,female,thuringia,code16,,
2016,percentage,.,female,thuringia,code16,,
2018,percentage,.,female,thuringia,code16,,
2019,percentage,.,female,thuringia,code16,,
2020,percentage,.,female,thuringia,code16,,
1999,percentage,,female,,,18 to under 20 years,
2003,percentage,.,female,,,18 to under 20 years,
2005,percentage,.,female,,,18 to under 20 years,
2009,percentage,.,female,,,18 to under 20 years,
2013,percentage,,female,,,18 to under 20 years,2.814
2017,percentage,,female,,,18 to under 20 years,3.402
2021,percentage,,female,,,18 to under 20 years,
2000,percentage,.,female,,,18 to under 20 years,
2001,percentage,.,female,,,18 to under 20 years,
2002,percentage,.,female,,,18 to under 20 years,
2004,percentage,.,female,,,18 to under 20 years,
2006,percentage,.,female,,,18 to under 20 years,
2007,percentage,.,female,,,18 to under 20 years,
2008,percentage,.,female,,,18 to under 20 years,
2010,percentage,.,female,,,18 to under 20 years,
2011,percentage,.,female,,,18 to under 20 years,
2012,percentage,.,female,,,18 to under 20 years,
2014,percentage,.,female,,,18 to under 20 years,
2015,percentage,.,female,,,18 to under 20 years,
2016,percentage,.,female,,,18 to under 20 years,
2018,percentage,.,female,,,18 to under 20 years,
2019,percentage,.,female,,,18 to under 20 years,
2020,percentage,.,female,,,18 to under 20 years,
1999,percentage,,female,,,20 to under 25 years,
2003,percentage,.,female,,,20 to under 25 years,
2005,percentage,.,female,,,20 to under 25 years,
2009,percentage,.,female,,,20 to under 25 years,
2013,percentage,,female,,,20 to under 25 years,4.952
2017,percentage,,female,,,20 to under 25 years,4.886
2021,percentage,,female,,,20 to under 25 years,5.302
2000,percentage,.,female,,,20 to under 25 years,
2001,percentage,.,female,,,20 to under 25 years,
2002,percentage,.,female,,,20 to under 25 years,
2004,percentage,.,female,,,20 to under 25 years,
2006,percentage,.,female,,,20 to under 25 years,
2007,percentage,.,female,,,20 to under 25 years,
2008,percentage,.,female,,,20 to under 25 years,
2010,percentage,.,female,,,20 to under 25 years,
2011,percentage,.,female,,,20 to under 25 years,
2012,percentage,.,female,,,20 to under 25 years,
2014,percentage,.,female,,,20 to under 25 years,
2015,percentage,.,female,,,20 to under 25 years,
2016,percentage,.,female,,,20 to under 25 years,
2018,percentage,.,female,,,20 to under 25 years,
2019,percentage,.,female,,,20 to under 25 years,
2020,percentage,.,female,,,20 to under 25 years,
1999,percentage,,female,,,25 to under 30 years,
2003,percentage,.,female,,,25 to under 30 years,
2005,percentage,.,female,,,25 to under 30 years,
2009,percentage,.,female,,,25 to under 30 years,
2013,percentage,,female,,,25 to under 30 years,7.15
2017,percentage,,female,,,25 to under 30 years,8.037
2021,percentage,,female,,,25 to under 30 years,8.958
2000,percentage,.,female,,,25 to under 30 years,
2001,percentage,.,female,,,25 to under 30 years,
2002,percentage,.,female,,,25 to under 30 years,
2004,percentage,.,female,,,25 to under 30 years,
2006,percentage,.,female,,,25 to under 30 years,
2007,percentage,.,female,,,25 to under 30 years,
2008,percentage,.,female,,,25 to under 30 years,
2010,percentage,.,female,,,25 to under 30 years,
2011,percentage,.,female,,,25 to under 30 years,
2012,percentage,.,female,,,25 to under 30 years,
2014,percentage,.,female,,,25 to under 30 years,
2015,percentage,.,female,,,25 to under 30 years,
2016,percentage,.,female,,,25 to under 30 years,
2018,percentage,.,female,,,25 to under 30 years,
2019,percentage,.,female,,,25 to under 30 years,
2020,percentage,.,female,,,25 to under 30 years,
1999,percentage,,female,,,30 to under 35 years,
2003,percentage,.,female,,,30 to under 35 years,
2005,percentage,.,female,,,30 to under 35 years,
2009,percentage,.,female,,,30 to under 35 years,
2013,percentage,,female,,,30 to under 35 years,9.543
2017,percentage,,female,,,30 to under 35 years,10.136
2021,percentage,,female,,,30 to under 35 years,12.29
2000,percentage,.,female,,,30 to under 35 years,
2001,percentage,.,female,,,30 to under 35 years,
2002,percentage,.,female,,,30 to under 35 years,
2004,percentage,.,female,,,30 to under 35 years,
2006,percentage,.,female,,,30 to under 35 years,
2007,percentage,.,female,,,30 to under 35 years,
2008,percentage,.,female,,,30 to under 35 years,
2010,percentage,.,female,,,30 to under 35 years,
2011,percentage,.,female,,,30 to under 35 years,
2012,percentage,.,female,,,30 to under 35 years,
2014,percentage,.,female,,,30 to under 35 years,
2015,percentage,.,female,,,30 to under 35 years,
2016,percentage,.,female,,,30 to under 35 years,
2018,percentage,.,female,,,30 to under 35 years,
2019,percentage,.,female,,,30 to under 35 years,
2020,percentage,.,female,,,30 to under 35 years,
1999,percentage,,female,,,35 to under 40 years,
2003,percentage,.,female,,,35 to under 40 years,
2005,percentage,.,female,,,35 to under 40 years,
2009,percentage,.,female,,,35 to under 40 years,
2013,percentage,,female,,,35 to under 40 years,10.402
2017,percentage,,female,,,35 to under 40 years,10.833
2021,percentage,,female,,,35 to under 40 years,11.281
2000,percentage,.,female,,,35 to under 40 years,
2001,percentage,.,female,,,35 to under 40 years,
2002,percentage,.,female,,,35 to under 40 years,
2004,percentage,.,female,,,35 to under 40 years,
2006,percentage,.,female,,,35 to under 40 years,
2007,percentage,.,female,,,35 to under 40 years,
2008,percentage,.,female,,,35 to under 40 years,
2010,percentage,.,female,,,35 to under 40 years,
2011,percentage,.,female,,,35 to under 40 years,
2012,percentage,.,female,,,35 to under 40 years,
2014,percentage,.,female,,,35 to under 40 years,
2015,percentage,.,female,,,35 to under 40 years,
2016,percentage,.,female,,,35 to under 40 years,
2018,percentage,.,female,,,35 to under 40 years,
2019,percentage,.,female,,,35 to under 40 years,
2020,percentage,.,female,,,35 to under 40 years,
1999,percentage,,female,,,40 to under 45 years,
2003,percentage,.,female,,,40 to under 45 years,
2005,percentage,.,female,,,40 to under 45 years,
2009,percentage,.,female,,,40 to under 45 years,
2013,percentage,,female,,,40 to under 45 years,11.419
2017,percentage,,female,,,40 to under 45 years,12.254
2021,percentage,,female,,,40 to under 45 years,13.034
2000,percentage,.,female,,,40 to under 45 years,
2001,percentage,.,female,,,40 to under 45 years,
2002,percentage,.,female,,,40 to under 45 years,
2004,percentage,.,female,,,40 to under 45 years,
2006,percentage,.,female,,,40 to under 45 years,
2007,percentage,.,female,,,40 to under 45 years,
2008,percentage,.,female,,,40 to under 45 years,
2010,percentage,.,female,,,40 to under 45 years,
2011,percentage,.,female,,,40 to under 45 years,
2012,percentage,.,female,,,40 to under 45 years,
2014,percentage,.,female,,,40 to under 45 years,
2015,percentage,.,female,,,40 to under 45 years,
2016,percentage,.,female,,,40 to under 45 years,
2018,percentage,.,female,,,40 to under 45 years,
2019,percentage,.,female,,,40 to under 45 years,
2020,percentage,.,female,,,40 to under 45 years,
1999,percentage,,female,,,45 to under 50 years,
2003,percentage,.,female,,,45 to under 50 years,
2005,percentage,.,female,,,45 to under 50 years,
2009,percentage,.,female,,,45 to under 50 years,
2013,percentage,,female,,,45 to under 50 years,12.21
2017,percentage,,female,,,45 to under 50 years,12.737
2021,percentage,,female,,,45 to under 50 years,15.78
2000,percentage,.,female,,,45 to under 50 years,
2001,percentage,.,female,,,45 to under 50 years,
2002,percentage,.,female,,,45 to under 50 years,
2004,percentage,.,female,,,45 to under 50 years,
2006,percentage,.,female,,,45 to under 50 years,
