Year,Units,COMMENT_OBS_0,länder,GeoCode,sector,Value
1992,percentage,,,,economy,
1993,percentage,,,,economy,
1994,percentage,,,,economy,
1995,percentage,,,,economy,1.41
1996,percentage,,,,economy,
1997,percentage,,,,economy,1.41
1998,percentage,,,,economy,
1999,percentage,,,,economy,1.62
2000,percentage,,,,economy,1.67
2001,percentage,,,,economy,1.65
2002,percentage,,,,economy,1.66
2003,percentage,,,,economy,1.7
2004,percentage,,,,economy,1.67
2005,percentage,,,,economy,1.66
2006,percentage,,,,economy,1.7
2007,percentage,,,,economy,1.69
2008,percentage,,,,economy,1.78
2009,percentage,,,,economy,1.82
2010,percentage,,,,economy,1.79
2011,percentage,,,,economy,1.86
2012,percentage,,,,economy,1.92
2013,percentage,,,,economy,1.87
2014,percentage,,,,economy,1.91
2015,percentage,,,,economy,1.97
2016,percentage,,,,economy,1.97
2017,percentage,,,,economy,2.06
2018,percentage,,,,economy,2.1
2019,percentage,,,,economy,2.14
2020,percentage,,,,economy,2.06
2021,percentage,,,,economy,2.06
2022,percentage,,,,economy,2.05
2023,percentage,,,,economy,2.14
2025,percentage,…,,,economy,
