Year,Units,sex,federal state,GeoCode,Value
2014,percentage,female,saxony,code14,6.64
2015,percentage,female,saxony,code14,7.14
2016,percentage,female,saxony,code14,7.03
2017,percentage,female,saxony,code14,9.81
2018,percentage,female,saxony,code14,7.0
2019,percentage,female,saxony,code14,6.97
2021,percentage,female,saxony,code14,8.0
2030,percentage,,,,
2005,percentage,male,saxony,code14,9.1
2006,percentage,male,saxony,code14,9.9
2007,percentage,male,saxony,code14,8.2
2008,percentage,male,saxony,code14,8.8
2009,percentage,male,saxony,code14,6.7
2010,percentage,male,saxony,code14,7.6
2011,percentage,male,saxony,code14,7.89
2012,percentage,male,saxony,code14,8.15
2013,percentage,male,saxony,code14,6.3
2014,percentage,male,saxony,code14,7.0
2015,percentage,male,saxony,code14,9.62
2016,percentage,male,saxony,code14,8.33
2017,percentage,male,saxony,code14,7.46
2018,percentage,male,saxony,code14,7.95
2019,percentage,male,saxony,code14,9.39
2020,percentage,male,saxony,code14,8.9
2021,percentage,male,saxony,code14,10.5
2030,percentage,,,,
2005,percentage,,saxony-anhalt,code15,12.4
2006,percentage,,saxony-anhalt,code15,12.2
2007,percentage,,saxony-anhalt,code15,11.8
2008,percentage,,saxony-anhalt,code15,12.1
2009,percentage,,saxony-anhalt,code15,10.8
2010,percentage,,saxony-anhalt,code15,11.7
2011,percentage,,saxony-anhalt,code15,12.92
2012,percentage,,saxony-anhalt,code15,11.05
2013,percentage,,saxony-anhalt,code15,9.7
2014,percentage,,saxony-anhalt,code15,9.3
2015,percentage,,saxony-anhalt,code15,12.17
2016,percentage,,saxony-anhalt,code15,11.17
2017,percentage,,saxony-anhalt,code15,13.56
2018,percentage,,saxony-anhalt,code15,9.07
2019,percentage,,saxony-anhalt,code15,12.68
2020,percentage,,saxony-anhalt,code15,13.2
2021,percentage,,saxony-anhalt,code15,17.0
2030,percentage,,,,
2005,percentage,female,saxony-anhalt,code15,9.8
2006,percentage,female,saxony-anhalt,code15,11.0
2007,percentage,female,saxony-anhalt,code15,9.5
2008,percentage,female,saxony-anhalt,code15,11.2
2009,percentage,female,saxony-anhalt,code15,9.8
2010,percentage,female,saxony-anhalt,code15,9.1
2011,percentage,female,saxony-anhalt,code15,11.65
2012,percentage,female,saxony-anhalt,code15,10.08
2015,percentage,female,saxony-anhalt,code15,11.66
2017,percentage,female,saxony-anhalt,code15,11.9
2019,percentage,female,saxony-anhalt,code15,9.99
2021,percentage,female,saxony-anhalt,code15,15.5
2030,percentage,,,,
2005,percentage,male,saxony-anhalt,code15,14.7
2006,percentage,male,saxony-anhalt,code15,13.3
2007,percentage,male,saxony-anhalt,code15,14.0
2008,percentage,male,saxony-anhalt,code15,13.0
2009,percentage,male,saxony-anhalt,code15,11.7
2010,percentage,male,saxony-anhalt,code15,13.9
2011,percentage,male,saxony-anhalt,code15,13.98
2012,percentage,male,saxony-anhalt,code15,11.83
2013,percentage,male,saxony-anhalt,code15,10.5
2014,percentage,male,saxony-anhalt,code15,9.37
2015,percentage,male,saxony-anhalt,code15,12.61
2016,percentage,male,saxony-anhalt,code15,13.31
2017,percentage,male,saxony-anhalt,code15,14.98
2018,percentage,male,saxony-anhalt,code15,9.99
2019,percentage,male,saxony-anhalt,code15,14.82
2021,percentage,male,saxony-anhalt,code15,18.2
2030,percentage,,,,
2005,percentage,,schleswig-holstein,code01,15.1
2006,percentage,,schleswig-holstein,code01,17.1
2007,percentage,,schleswig-holstein,code01,11.8
2008,percentage,,schleswig-holstein,code01,13.6
2009,percentage,,schleswig-holstein,code01,12.1
2010,percentage,,schleswig-holstein,code01,12.6
2011,percentage,,schleswig-holstein,code01,12.86
2012,percentage,,schleswig-holstein,code01,12.28
2013,percentage,,schleswig-holstein,code01,10.3
2014,percentage,,schleswig-holstein,code01,12.81
2015,percentage,,schleswig-holstein,code01,10.56
2016,percentage,,schleswig-holstein,code01,10.73
2017,percentage,,schleswig-holstein,code01,9.07
2018,percentage,,schleswig-holstein,code01,10.09
2019,percentage,,schleswig-holstein,code01,10.97
2020,percentage,,schleswig-holstein,code01,11.8
2021,percentage,,schleswig-holstein,code01,12.5
2030,percentage,,,,
2005,percentage,female,schleswig-holstein,code01,14.2
2006,percentage,female,schleswig-holstein,code01,16.1
2007,percentage,female,schleswig-holstein,code01,11.6
2008,percentage,female,schleswig-holstein,code01,13.5
2009,percentage,female,schleswig-holstein,code01,13.1
2010,percentage,female,schleswig-holstein,code01,12.8
2011,percentage,female,schleswig-holstein,code01,11.99
2012,percentage,female,schleswig-holstein,code01,11.61
2013,percentage,female,schleswig-holstein,code01,10.3
2014,percentage,female,schleswig-holstein,code01,12.51
2015,percentage,female,schleswig-holstein,code01,8.94
2016,percentage,female,schleswig-holstein,code01,10.64
2017,percentage,female,schleswig-holstein,code01,7.62
2018,percentage,female,schleswig-holstein,code01,8.93
2019,percentage,female,schleswig-holstein,code01,8.66
2021,percentage,female,schleswig-holstein,code01,11.0
2030,percentage,,,,
2005,percentage,male,schleswig-holstein,code01,16.1
2006,percentage,male,schleswig-holstein,code01,18.2
2007,percentage,male,schleswig-holstein,code01,11.9
2008,percentage,male,schleswig-holstein,code01,13.8
2009,percentage,male,schleswig-holstein,code01,11.2
2010,percentage,male,schleswig-holstein,code01,12.5
2011,percentage,male,schleswig-holstein,code01,13.62
2012,percentage,male,schleswig-holstein,code01,12.87
2013,percentage,male,schleswig-holstein,code01,10.4
2014,percentage,male,schleswig-holstein,code01,13.09
2015,percentage,male,schleswig-holstein,code01,12.06
2016,percentage,male,schleswig-holstein,code01,10.82
2017,percentage,male,schleswig-holstein,code01,10.38
2018,percentage,male,schleswig-holstein,code01,11.18
2019,percentage,male,schleswig-holstein,code01,13.23
2020,percentage,male,schleswig-holstein,code01,14.2
2021,percentage,male,schleswig-holstein,code01,13.9
2030,percentage,,,,
2005,percentage,,thuringia,code16,6.6
2006,percentage,,thuringia,code16,8.8
2007,percentage,,thuringia,code16,10.2
2008,percentage,,thuringia,code16,7.4
2009,percentage,,thuringia,code16,5.4
2010,percentage,,thuringia,code16,6.3
2011,percentage,,thuringia,code16,7.65
2012,percentage,,thuringia,code16,6.99
2013,percentage,,thuringia,code16,7.7
2014,percentage,,thuringia,code16,6.12
2015,percentage,,thuringia,code16,8.33
2016,percentage,,thuringia,code16,8.8
2017,percentage,,thuringia,code16,8.71
2018,percentage,,thuringia,code16,8.46
2019,percentage,,thuringia,code16,9.6
2020,percentage,,thuringia,code16,9.1
2021,percentage,,thuringia,code16,10.8
2030,percentage,,,,
2005,percentage,female,thuringia,code16,7.2
2006,percentage,female,thuringia,code16,8.6
2007,percentage,female,thuringia,code16,11.6
2008,percentage,female,thuringia,code16,7.1
2009,percentage,female,thuringia,code16,6.0
2010,percentage,female,thuringia,code16,6.4
2011,percentage,female,thuringia,code16,6.67
2030,percentage,,,,
2005,percentage,male,thuringia,code16,6.1
2006,percentage,male,thuringia,code16,9.0
2007,percentage,male,thuringia,code16,8.8
2008,percentage,male,thuringia,code16,7.7
2009,percentage,male,thuringia,code16,4.8
2010,percentage,male,thuringia,code16,6.2
2011,percentage,male,thuringia,code16,8.49
2012,percentage,male,thuringia,code16,8.04
2013,percentage,male,thuringia,code16,8.3
2015,percentage,male,thuringia,code16,9.13
2016,percentage,male,thuringia,code16,10.02
2017,percentage,male,thuringia,code16,10.56
2018,percentage,male,thuringia,code16,10.1
2019,percentage,male,thuringia,code16,10.48
2021,percentage,male,thuringia,code16,12.2
2030,percentage,,,,
