Year,Units,time series,COMMENT_OBS_0,COMMENT_OBS_1,länder,GeoCode,Value
2009,hours,fathers,,,rhineland palatinate,code07,38.629
2010,hours,fathers,,,rhineland palatinate,code07,38.789
2011,hours,fathers,,,rhineland palatinate,code07,39.75
2012,hours,fathers,,,rhineland palatinate,code07,39.341
2013,hours,fathers,,,rhineland palatinate,code07,39.254
2014,hours,fathers,,,rhineland palatinate,code07,39.13
2015,hours,fathers,,,rhineland palatinate,code07,38.669
2016,hours,fathers,,,rhineland palatinate,code07,38.232
2017,hours,fathers,,,rhineland palatinate,code07,37.719
2018,hours,fathers,,,rhineland palatinate,code07,38.066
2019,hours,fathers,,,rhineland palatinate,code07,38.176
2020,hours,fathers,|,,rhineland palatinate,code07,37.09
2021,hours,fathers,|,,rhineland palatinate,code07,36.808
2022,hours,fathers,,,rhineland palatinate,code07,37.292
2023,hours,fathers,,,rhineland palatinate,code07,36.865
2024,hours,fathers,p,,rhineland palatinate,code07,37.009
2006,hours,fathers,,,saarland,code10,35.576
2007,hours,fathers,|,,saarland,code10,36.795
2008,hours,fathers,,,saarland,code10,37.701
2009,hours,fathers,,,saarland,code10,38.179
2010,hours,fathers,,,saarland,code10,38.598
2011,hours,fathers,,,saarland,code10,38.213
2012,hours,fathers,,,saarland,code10,37.638
2013,hours,fathers,,,saarland,code10,37.312
2014,hours,fathers,,,saarland,code10,36.934
2015,hours,fathers,,,saarland,code10,36.451
2016,hours,fathers,,,saarland,code10,36.487
2017,hours,fathers,,,saarland,code10,36.603
2018,hours,fathers,,,saarland,code10,36.592
2019,hours,fathers,,,saarland,code10,36.89
2020,hours,fathers,|,,saarland,code10,36.557
2021,hours,fathers,|,,saarland,code10,34.937
2022,hours,fathers,,,saarland,code10,35.775
2023,hours,fathers,,,saarland,code10,35.588
2024,hours,fathers,p,,saarland,code10,34.711
2006,hours,fathers,,,saxony,code14,35.088
2007,hours,fathers,|,,saxony,code14,35.807
2008,hours,fathers,,,saxony,code14,36.011
2009,hours,fathers,,,saxony,code14,36.41
2010,hours,fathers,,,saxony,code14,36.337
2011,hours,fathers,,,saxony,code14,36.928
2012,hours,fathers,,,saxony,code14,37.821
2013,hours,fathers,,,saxony,code14,37.484
2014,hours,fathers,,,saxony,code14,37.488
2015,hours,fathers,,,saxony,code14,37.047
2016,hours,fathers,,,saxony,code14,37.672
2017,hours,fathers,,,saxony,code14,37.51
2018,hours,fathers,,,saxony,code14,37.026
2019,hours,fathers,,,saxony,code14,37.163
2020,hours,fathers,|,,saxony,code14,37.148
2021,hours,fathers,|,,saxony,code14,38.003
2022,hours,fathers,,,saxony,code14,38.061
2023,hours,fathers,,,saxony,code14,37.453
2024,hours,fathers,p,,saxony,code14,36.852
2006,hours,fathers,,,saxony-anhalt,code15,33.48
2007,hours,fathers,|,,saxony-anhalt,code15,33.976
2008,hours,fathers,,,saxony-anhalt,code15,33.909
2009,hours,fathers,,,saxony-anhalt,code15,33.288
2010,hours,fathers,,,saxony-anhalt,code15,35.714
2011,hours,fathers,,,saxony-anhalt,code15,36.527
2012,hours,fathers,,,saxony-anhalt,code15,36.713
2013,hours,fathers,,,saxony-anhalt,code15,36.654
2014,hours,fathers,,,saxony-anhalt,code15,36.2
2015,hours,fathers,,,saxony-anhalt,code15,36.57
2016,hours,fathers,,,saxony-anhalt,code15,36.07
2017,hours,fathers,,,saxony-anhalt,code15,35.813
2018,hours,fathers,,,saxony-anhalt,code15,36.465
2019,hours,fathers,,,saxony-anhalt,code15,36.449
2020,hours,fathers,|,,saxony-anhalt,code15,36.84
2021,hours,fathers,|,,saxony-anhalt,code15,36.974
2022,hours,fathers,,,saxony-anhalt,code15,36.828
2023,hours,fathers,,,saxony-anhalt,code15,35.956
2024,hours,fathers,p,,saxony-anhalt,code15,36.168
2006,hours,fathers,,,schleswig-holstein,code01,38.217
2007,hours,fathers,|,,schleswig-holstein,code01,38.529
2008,hours,fathers,,,schleswig-holstein,code01,38.576
2009,hours,fathers,,,schleswig-holstein,code01,38.024
2010,hours,fathers,,,schleswig-holstein,code01,38.324
2011,hours,fathers,,,schleswig-holstein,code01,39.176
2012,hours,fathers,,,schleswig-holstein,code01,39.161
2013,hours,fathers,,,schleswig-holstein,code01,38.409
2014,hours,fathers,,,schleswig-holstein,code01,38.519
2015,hours,fathers,,,schleswig-holstein,code01,37.865
2016,hours,fathers,,,schleswig-holstein,code01,37.609
2017,hours,fathers,,,schleswig-holstein,code01,37.845
2018,hours,fathers,,,schleswig-holstein,code01,37.604
2019,hours,fathers,,,schleswig-holstein,code01,37.926
2020,hours,fathers,|,,schleswig-holstein,code01,36.523
2021,hours,fathers,|,,schleswig-holstein,code01,36.757
2022,hours,fathers,,,schleswig-holstein,code01,36.758
2023,hours,fathers,,,schleswig-holstein,code01,36.346
2024,hours,fathers,p,,schleswig-holstein,code01,36.301
2006,hours,fathers,,,thuringia,code16,35.372
2007,hours,fathers,|,,thuringia,code16,36.396
2008,hours,fathers,,,thuringia,code16,36.716
2009,hours,fathers,,,thuringia,code16,37.0
2010,hours,fathers,,,thuringia,code16,37.94
2011,hours,fathers,,,thuringia,code16,38.335
2012,hours,fathers,,,thuringia,code16,38.25
2013,hours,fathers,,,thuringia,code16,38.353
2014,hours,fathers,,,thuringia,code16,38.084
2015,hours,fathers,,,thuringia,code16,37.755
2016,hours,fathers,,,thuringia,code16,37.323
2017,hours,fathers,,,thuringia,code16,37.056
2018,hours,fathers,,,thuringia,code16,37.191
2019,hours,fathers,,,thuringia,code16,37.209
2020,hours,fathers,|,,thuringia,code16,37.479
2021,hours,fathers,|,,thuringia,code16,38.099
2022,hours,fathers,,,thuringia,code16,37.453
2023,hours,fathers,,,thuringia,code16,36.861
2024,hours,fathers,p,,thuringia,code16,36.346
2006,hours,difference,,,baden-wuerttemberg,code08,25.459
2007,hours,difference,|,,baden-wuerttemberg,code08,25.721
2008,hours,difference,,,baden-wuerttemberg,code08,25.115
2009,hours,difference,,,baden-wuerttemberg,code08,24.591
2010,hours,difference,,,baden-wuerttemberg,code08,24.725
2011,hours,difference,,,baden-wuerttemberg,code08,24.761
2012,hours,difference,,,baden-wuerttemberg,code08,24.626
2013,hours,difference,,,baden-wuerttemberg,code08,24.005
2014,hours,difference,,,baden-wuerttemberg,code08,23.348
2015,hours,difference,,,baden-wuerttemberg,code08,23.229
2016,hours,difference,,,baden-wuerttemberg,code08,22.992
2017,hours,difference,,,baden-wuerttemberg,code08,22.456
2018,hours,difference,,,baden-wuerttemberg,code08,22.131
2019,hours,difference,,,baden-wuerttemberg,code08,22.206
2020,hours,difference,|,,baden-wuerttemberg,code08,21.565
2021,hours,difference,|,,baden-wuerttemberg,code08,21.104
2022,hours,difference,,,baden-wuerttemberg,code08,20.815
2023,hours,difference,,,baden-wuerttemberg,code08,20.402
2024,hours,difference,p,,baden-wuerttemberg,code08,19.969
2006,hours,difference,,,bavaria,code09,25.147
2007,hours,difference,|,,bavaria,code09,24.923
2008,hours,difference,,,bavaria,code09,25.156
2009,hours,difference,,,bavaria,code09,24.53
2010,hours,difference,,,bavaria,code09,24.237
2011,hours,difference,,,bavaria,code09,24.328
2012,hours,difference,,,bavaria,code09,24.134
2013,hours,difference,,,bavaria,code09,23.556
2014,hours,difference,,,bavaria,code09,23.155
2015,hours,difference,,,bavaria,code09,22.978
2016,hours,difference,,,bavaria,code09,22.668
2017,hours,difference,,,bavaria,code09,22.323
2018,hours,difference,,,bavaria,code09,22.16
2019,hours,difference,,,bavaria,code09,21.293
2020,hours,difference,|,,bavaria,code09,21.105
2021,hours,difference,|,,bavaria,code09,20.657
2022,hours,difference,,,bavaria,code09,20.546
2023,hours,difference,,,bavaria,code09,20.084
2024,hours,difference,p,,bavaria,code09,18.994
2006,hours,difference,,,berlin,code11,13.198
2007,hours,difference,|,,berlin,code11,13.592
2008,hours,difference,,,berlin,code11,13.639
2009,hours,difference,,,berlin,code11,14.257
2010,hours,difference,,,berlin,code11,14.674
2011,hours,difference,,,berlin,code11,14.257
2012,hours,difference,,,berlin,code11,14.506
2013,hours,difference,,,berlin,code11,14.181
2014,hours,difference,,,berlin,code11,13.949
2015,hours,difference,,,berlin,code11,14.359
2016,hours,difference,,,berlin,code11,13.365
2017,hours,difference,,,berlin,code11,14.047
2018,hours,difference,,,berlin,code11,13.293
2019,hours,difference,,,berlin,code11,13.374
2020,hours,difference,|,,berlin,code11,11.863
2021,hours,difference,|,,berlin,code11,11.499
2022,hours,difference,,,berlin,code11,13.191
2023,hours,difference,,,berlin,code11,13.096
2024,hours,difference,p,,berlin,code11,12.41
2006,hours,difference,,,brandenburg,code12,10.61
2007,hours,difference,|,,brandenburg,code12,12.015
2008,hours,difference,,,brandenburg,code12,12.281
2009,hours,difference,,,brandenburg,code12,11.553
2010,hours,difference,,,brandenburg,code12,11.913
2011,hours,difference,,,brandenburg,code12,12.538
2012,hours,difference,,,brandenburg,code12,13.582
2013,hours,difference,,,brandenburg,code12,13.677
2014,hours,difference,,,brandenburg,code12,13.843
2015,hours,difference,,,brandenburg,code12,13.338
2016,hours,difference,,,brandenburg,code12,12.156
2017,hours,difference,,,brandenburg,code12,11.044
2018,hours,difference,,,brandenburg,code12,11.574
2019,hours,difference,,,brandenburg,code12,10.75
2020,hours,difference,|,,brandenburg,code12,9.044
2021,hours,difference,|,,brandenburg,code12,9.589
2022,hours,difference,,,brandenburg,code12,9.523
2023,hours,difference,,,brandenburg,code12,9.991
2024,hours,difference,p,,brandenburg,code12,9.308
2006,hours,difference,,,bremen,code04,18.122
2007,hours,difference,|,,bremen,code04,19.772
2008,hours,difference,,,bremen,code04,20.296
2009,hours,difference,,,bremen,code04,16.524
2010,hours,difference,,,bremen,code04,18.902
2011,hours,difference,,,bremen,code04,17.787
2012,hours,difference,,,bremen,code04,19.725
2013,hours,difference,,,bremen,code04,18.965
2014,hours,difference,,,bremen,code04,20.483
2015,hours,difference,,,bremen,code04,18.983
2016,hours,difference,,,bremen,code04,19.429
2017,hours,difference,,,bremen,code04,18.817
2018,hours,difference,,,bremen,code04,18.649
2019,hours,difference,,,bremen,code04,18.138
2020,hours,difference,|,,bremen,code04,16.132
2021,hours,difference,|,,bremen,code04,16.084
2022,hours,difference,,,bremen,code04,17.256
2023,hours,difference,,,bremen,code04,17.375
2024,hours,difference,p,,bremen,code04,16.286
2006,hours,difference,,,hamburg,code02,19.972
2007,hours,difference,|,,hamburg,code02,19.659
2008,hours,difference,,,hamburg,code02,20.233
2009,hours,difference,,,hamburg,code02,21.333
2010,hours,difference,,,hamburg,code02,22.247
2011,hours,difference,,,hamburg,code02,21.171
2012,hours,difference,,,hamburg,code02,19.809
2013,hours,difference,,,hamburg,code02,20.483
2014,hours,difference,,,hamburg,code02,19.76
2015,hours,difference,,,hamburg,code02,18.004
2016,hours,difference,,,hamburg,code02,19.021
2017,hours,difference,,,hamburg,code02,18.269
2018,hours,difference,,,hamburg,code02,17.636
2019,hours,difference,,,hamburg,code02,15.583
2020,hours,difference,|,,hamburg,code02,15.848
2021,hours,difference,|,,hamburg,code02,16.137
2022,hours,difference,,,hamburg,code02,16.148
2023,hours,difference,,,hamburg,code02,15.957
2024,hours,difference,p,,hamburg,code02,15.539
2006,hours,difference,,,hesse,code06,23.879
2007,hours,difference,|,,hesse,code06,23.665
2008,hours,difference,,,hesse,code06,23.534
2009,hours,difference,,,hesse,code06,23.086
2010,hours,difference,,,hesse,code06,22.867
2011,hours,difference,,,hesse,code06,22.86
2012,hours,difference,,,hesse,code06,22.329
2013,hours,difference,,,hesse,code06,22.472
2014,hours,difference,,,hesse,code06,21.463
2015,hours,difference,,,hesse,code06,21.645
2016,hours,difference,,,hesse,code06,21.609
2017,hours,difference,,,hesse,code06,20.452
2018,hours,difference,,,hesse,code06,20.084
2019,hours,difference,,,hesse,code06,19.937
2020,hours,difference,|,,hesse,code06,18.726
2021,hours,difference,|,,hesse,code06,18.402
2022,hours,difference,,,hesse,code06,18.43
2023,hours,difference,,,hesse,code06,17.79
2024,hours,difference,p,,hesse,code06,17.717
2006,hours,difference,,,mecklenburg western pomerania,code13,11.374
2007,hours,difference,|,,mecklenburg western pomerania,code13,13.078
2008,hours,difference,,,mecklenburg western pomerania,code13,14.218
2009,hours,difference,,,mecklenburg western pomerania,code13,12.949
2010,hours,difference,,,mecklenburg western pomerania,code13,11.863
2011,hours,difference,,,mecklenburg western pomerania,code13,12.416
2012,hours,difference,,,mecklenburg western pomerania,code13,11.7
2013,hours,difference,,,mecklenburg western pomerania,code13,12.348
2014,hours,difference,,,mecklenburg western pomerania,code13,11.686
2015,hours,difference,,,mecklenburg western pomerania,code13,10.804
2016,hours,difference,,,mecklenburg western pomerania,code13,11.564
2017,hours,difference,,,mecklenburg western pomerania,code13,12.818
2018,hours,difference,,,mecklenburg western pomerania,code13,10.754
2019,hours,difference,,,mecklenburg western pomerania,code13,10.601
2020,hours,difference,|,,mecklenburg western pomerania,code13,11.447
2021,hours,difference,|,,mecklenburg western pomerania,code13,11.519
2022,hours,difference,,,mecklenburg western pomerania,code13,10.792
2023,hours,difference,,,mecklenburg western pomerania,code13,10.05
2024,hours,difference,p,,mecklenburg western pomerania,code13,10.078
2006,hours,difference,,,lower saxony,code03,23.869
2007,hours,difference,|,,lower saxony,code03,24.156
2008,hours,difference,,,lower saxony,code03,23.923
2009,hours,difference,,,lower saxony,code03,23.203
2010,hours,difference,,,lower saxony,code03,22.548
2011,hours,difference,,,lower saxony,code03,22.615
2012,hours,difference,,,lower saxony,code03,22.957
2013,hours,difference,,,lower saxony,code03,22.495
2014,hours,difference,,,lower saxony,code03,22.435
2015,hours,difference,,,lower saxony,code03,21.674
2016,hours,difference,,,lower saxony,code03,20.501
2017,hours,difference,,,lower saxony,code03,20.264
2018,hours,difference,,,lower saxony,code03,20.071
2019,hours,difference,,,lower saxony,code03,19.849
2020,hours,difference,|,,lower saxony,code03,18.705
2021,hours,difference,|,,lower saxony,code03,18.874
2022,hours,difference,,,lower saxony,code03,18.78
2023,hours,difference,,,lower saxony,code03,18.514
2024,hours,difference,p,,lower saxony,code03,18.431
2006,hours,difference,,,north rhine-westphalia,code05,23.637
2007,hours,difference,|,,north rhine-westphalia,code05,23.901
2008,hours,difference,,,north rhine-westphalia,code05,24.201
2009,hours,difference,,,north rhine-westphalia,code05,23.356
2010,hours,difference,,,north rhine-westphalia,code05,23.087
2011,hours,difference,,,north rhine-westphalia,code05,23.504
2012,hours,difference,,,north rhine-westphalia,code05,23.368
2013,hours,difference,,,north rhine-westphalia,code05,22.358
2014,hours,difference,,,north rhine-westphalia,code05,22.172
2015,hours,difference,,,north rhine-westphalia,code05,21.813
2016,hours,difference,,,north rhine-westphalia,code05,21.528
2017,hours,difference,,,north rhine-westphalia,code05,21.107
2018,hours,difference,,,north rhine-westphalia,code05,20.567
2019,hours,difference,,,north rhine-westphalia,code05,20.333
2020,hours,difference,|,,north rhine-westphalia,code05,18.992
2021,hours,difference,|,,north rhine-westphalia,code05,18.436
2022,hours,difference,,,north rhine-westphalia,code05,18.875
2023,hours,difference,,,north rhine-westphalia,code05,18.492
2024,hours,difference,p,,north rhine-westphalia,code05,18.126
2006,hours,difference,,,rhineland palatinate,code07,23.652
2007,hours,difference,|,,rhineland palatinate,code07,24.351
2008,hours,difference,,,rhineland palatinate,code07,24.644
2009,hours,difference,,,rhineland palatinate,code07,23.459
2010,hours,difference,,,rhineland palatinate,code07,23.467
2011,hours,difference,,,rhineland palatinate,code07,24.087
2012,hours,difference,,,rhineland palatinate,code07,23.423
2013,hours,difference,,,rhineland palatinate,code07,22.82
2014,hours,difference,,,rhineland palatinate,code07,22.61
2015,hours,difference,,,rhineland palatinate,code07,22.18
2016,hours,difference,,,rhineland palatinate,code07,21.51
2017,hours,difference,,,rhineland palatinate,code07,21.103
2018,hours,difference,,,rhineland palatinate,code07,21.079
2019,hours,difference,,,rhineland palatinate,code07,20.861
2020,hours,difference,|,,rhineland palatinate,code07,20.141
2021,hours,difference,|,,rhineland palatinate,code07,19.259
2022,hours,difference,,,rhineland palatinate,code07,19.748
2023,hours,difference,,,rhineland palatinate,code07,18.8
2024,hours,difference,p,,rhineland palatinate,code07,18.624
2006,hours,difference,,,saarland,code10,22.828
2007,hours,difference,|,,saarland,code10,22.934
2008,hours,difference,,,saarland,code10,22.882
2009,hours,difference,,,saarland,code10,24.019
2010,hours,difference,,,saarland,code10,23.886
2011,hours,difference,,,saarland,code10,23.658
2012,hours,difference,,,saarland,code10,22.949
2013,hours,difference,,,saarland,code10,21.762
2014,hours,difference,,,saarland,code10,20.234
2015,hours,difference,,,saarland,code10,19.715
2016,hours,difference,,,saarland,code10,19.564
2017,hours,difference,,,saarland,code10,19.14
2018,hours,difference,,,saarland,code10,18.682
2019,hours,difference,,,saarland,code10,18.072
2020,hours,difference,|,,saarland,code10,17.905
2021,hours,difference,|,,saarland,code10,16.826
2022,hours,difference,,,saarland,code10,18.401
2023,hours,difference,,,saarland,code10,17.869
2024,hours,difference,p,,saarland,code10,16.863
2006,hours,difference,,,saxony,code14,13.592
2007,hours,difference,|,,saxony,code14,14.231
2008,hours,difference,,,saxony,code14,14.429
2009,hours,difference,,,saxony,code14,15.086
2010,hours,difference,,,saxony,code14,14.69
2011,hours,difference,,,saxony,code14,14.707
2012,hours,difference,,,saxony,code14,14.642
2013,hours,difference,,,saxony,code14,14.542
2014,hours,difference,,,saxony,code14,13.957
2015,hours,difference,,,saxony,code14,13.076
2016,hours,difference,,,saxony,code14,13.137
2017,hours,difference,,,saxony,code14,12.912
2018,hours,difference,,,saxony,code14,12.4
2019,hours,difference,,,saxony,code14,11.717
2020,hours,difference,|,,saxony,code14,11.303
2021,hours,difference,|,,saxony,code14,11.441
2022,hours,difference,,,saxony,code14,11.818
2023,hours,difference,,,saxony,code14,11.615
2024,hours,difference,p,,saxony,code14,10.619
2006,hours,difference,,,saxony-anhalt,code15,12.031
2007,hours,difference,|,,saxony-anhalt,code15,12.473
2008,hours,difference,,,saxony-anhalt,code15,13.06
2009,hours,difference,,,saxony-anhalt,code15,11.706
2010,hours,difference,,,saxony-anhalt,code15,13.072
2011,hours,difference,,,saxony-anhalt,code15,13.252
2012,hours,difference,,,saxony-anhalt,code15,13.229
2013,hours,difference,,,saxony-anhalt,code15,13.186
2014,hours,difference,,,saxony-anhalt,code15,12.403
2015,hours,difference,,,saxony-anhalt,code15,13.357
2016,hours,difference,,,saxony-anhalt,code15,11.867
2017,hours,difference,,,saxony-anhalt,code15,11.082
2018,hours,difference,,,saxony-anhalt,code15,11.11
2019,hours,difference,,,saxony-anhalt,code15,10.663
2020,hours,difference,|,,saxony-anhalt,code15,11.149
2021,hours,difference,|,,saxony-anhalt,code15,10.876
2022,hours,difference,,,saxony-anhalt,code15,10.647
2023,hours,difference,,,saxony-anhalt,code15,9.759
2024,hours,difference,p,,saxony-anhalt,code15,10.089
2006,hours,difference,,,schleswig-holstein,code01,24.02
2007,hours,difference,|,,schleswig-holstein,code01,24.217
2008,hours,difference,,,schleswig-holstein,code01,23.74
2009,hours,difference,,,schleswig-holstein,code01,22.677
2010,hours,difference,,,schleswig-holstein,code01,22.024
2011,hours,difference,,,schleswig-holstein,code01,22.669
2012,hours,difference,,,schleswig-holstein,code01,21.914
2013,hours,difference,,,schleswig-holstein,code01,21.667
2014,hours,difference,,,schleswig-holstein,code01,21.275
2015,hours,difference,,,schleswig-holstein,code01,20.273
2016,hours,difference,,,schleswig-holstein,code01,19.698
2017,hours,difference,,,schleswig-holstein,code01,19.456
2018,hours,difference,,,schleswig-holstein,code01,19.001
2019,hours,difference,,,schleswig-holstein,code01,19.069
2020,hours,difference,|,,schleswig-holstein,code01,18.393
2021,hours,difference,|,,schleswig-holstein,code01,18.187
2022,hours,difference,,,schleswig-holstein,code01,17.467
2023,hours,difference,,,schleswig-holstein,code01,17.184
2024,hours,difference,p,,schleswig-holstein,code01,16.886
2006,hours,difference,,,thuringia,code16,14.226
2007,hours,difference,|,,thuringia,code16,15.074
2008,hours,difference,,,thuringia,code16,15.32
2009,hours,difference,,,thuringia,code16,14.853
2010,hours,difference,,,thuringia,code16,14.759
2011,hours,difference,,,thuringia,code16,15.062
2012,hours,difference,,,thuringia,code16,14.918
2013,hours,difference,,,thuringia,code16,13.949
2014,hours,difference,,,thuringia,code16,13.523
2015,hours,difference,,,thuringia,code16,13.832
2016,hours,difference,,,thuringia,code16,12.018
2017,hours,difference,,,thuringia,code16,11.861
2018,hours,difference,,,thuringia,code16,11.268
2019,hours,difference,,,thuringia,code16,11.425
2020,hours,difference,|,,thuringia,code16,12.069
2021,hours,difference,|,,thuringia,code16,12.331
2022,hours,difference,,,thuringia,code16,10.925
2023,hours,difference,,,thuringia,code16,10.926
2024,hours,difference,p,,thuringia,code16,10.715
