Year,Units,COMMENT_OBS_0,federal state,GeoCode,age group,sex,Value
2000,percentage,.,,,25 to under 30 years,female,
2001,percentage,.,,,25 to under 30 years,female,
2002,percentage,.,,,25 to under 30 years,female,
2004,percentage,.,,,25 to under 30 years,female,
2006,percentage,.,,,25 to under 30 years,female,
2007,percentage,.,,,25 to under 30 years,female,
2008,percentage,.,,,25 to under 30 years,female,
2010,percentage,.,,,25 to under 30 years,female,
2011,percentage,.,,,25 to under 30 years,female,
2012,percentage,.,,,25 to under 30 years,female,
2014,percentage,.,,,25 to under 30 years,female,
2015,percentage,.,,,25 to under 30 years,female,
2016,percentage,.,,,25 to under 30 years,female,
2018,percentage,.,,,25 to under 30 years,female,
2019,percentage,.,,,25 to under 30 years,female,
2020,percentage,.,,,25 to under 30 years,female,
1999,percentage,,,,30 to under 35 years,female,
2003,percentage,.,,,30 to under 35 years,female,
2005,percentage,.,,,30 to under 35 years,female,
2009,percentage,.,,,30 to under 35 years,female,
2013,percentage,,,,30 to under 35 years,female,9.543
2017,percentage,,,,30 to under 35 years,female,10.136
2021,percentage,,,,30 to under 35 years,female,12.29
2000,percentage,.,,,30 to under 35 years,female,
2001,percentage,.,,,30 to under 35 years,female,
2002,percentage,.,,,30 to under 35 years,female,
2004,percentage,.,,,30 to under 35 years,female,
2006,percentage,.,,,30 to under 35 years,female,
2007,percentage,.,,,30 to under 35 years,female,
2008,percentage,.,,,30 to under 35 years,female,
2010,percentage,.,,,30 to under 35 years,female,
2011,percentage,.,,,30 to under 35 years,female,
2012,percentage,.,,,30 to under 35 years,female,
2014,percentage,.,,,30 to under 35 years,female,
2015,percentage,.,,,30 to under 35 years,female,
2016,percentage,.,,,30 to under 35 years,female,
2018,percentage,.,,,30 to under 35 years,female,
2019,percentage,.,,,30 to under 35 years,female,
2020,percentage,.,,,30 to under 35 years,female,
1999,percentage,,,,35 to under 40 years,female,
2003,percentage,.,,,35 to under 40 years,female,
2005,percentage,.,,,35 to under 40 years,female,
2009,percentage,.,,,35 to under 40 years,female,
2013,percentage,,,,35 to under 40 years,female,10.402
2017,percentage,,,,35 to under 40 years,female,10.833
2021,percentage,,,,35 to under 40 years,female,11.281
2000,percentage,.,,,35 to under 40 years,female,
2001,percentage,.,,,35 to under 40 years,female,
2002,percentage,.,,,35 to under 40 years,female,
2004,percentage,.,,,35 to under 40 years,female,
2006,percentage,.,,,35 to under 40 years,female,
2007,percentage,.,,,35 to under 40 years,female,
2008,percentage,.,,,35 to under 40 years,female,
2010,percentage,.,,,35 to under 40 years,female,
2011,percentage,.,,,35 to under 40 years,female,
2012,percentage,.,,,35 to under 40 years,female,
2014,percentage,.,,,35 to under 40 years,female,
2015,percentage,.,,,35 to under 40 years,female,
2016,percentage,.,,,35 to under 40 years,female,
2018,percentage,.,,,35 to under 40 years,female,
2019,percentage,.,,,35 to under 40 years,female,
2020,percentage,.,,,35 to under 40 years,female,
1999,percentage,,,,40 to under 45 years,female,
2003,percentage,.,,,40 to under 45 years,female,
2005,percentage,.,,,40 to under 45 years,female,
2009,percentage,.,,,40 to under 45 years,female,
2013,percentage,,,,40 to under 45 years,female,11.419
2017,percentage,,,,40 to under 45 years,female,12.254
2021,percentage,,,,40 to under 45 years,female,13.034
2000,percentage,.,,,40 to under 45 years,female,
2001,percentage,.,,,40 to under 45 years,female,
2002,percentage,.,,,40 to under 45 years,female,
2004,percentage,.,,,40 to under 45 years,female,
2006,percentage,.,,,40 to under 45 years,female,
2007,percentage,.,,,40 to under 45 years,female,
2008,percentage,.,,,40 to under 45 years,female,
2010,percentage,.,,,40 to under 45 years,female,
2011,percentage,.,,,40 to under 45 years,female,
2012,percentage,.,,,40 to under 45 years,female,
2014,percentage,.,,,40 to under 45 years,female,
2015,percentage,.,,,40 to under 45 years,female,
2016,percentage,.,,,40 to under 45 years,female,
2018,percentage,.,,,40 to under 45 years,female,
2019,percentage,.,,,40 to under 45 years,female,
2020,percentage,.,,,40 to under 45 years,female,
1999,percentage,,,,45 to under 50 years,female,
2003,percentage,.,,,45 to under 50 years,female,
2005,percentage,.,,,45 to under 50 years,female,
2009,percentage,.,,,45 to under 50 years,female,
2013,percentage,,,,45 to under 50 years,female,12.21
2017,percentage,,,,45 to under 50 years,female,12.737
2021,percentage,,,,45 to under 50 years,female,15.78
2000,percentage,.,,,45 to under 50 years,female,
2001,percentage,.,,,45 to under 50 years,female,
2002,percentage,.,,,45 to under 50 years,female,
2004,percentage,.,,,45 to under 50 years,female,
2006,percentage,.,,,45 to under 50 years,female,
2007,percentage,.,,,45 to under 50 years,female,
2008,percentage,.,,,45 to under 50 years,female,
2010,percentage,.,,,45 to under 50 years,female,
2011,percentage,.,,,45 to under 50 years,female,
2012,percentage,.,,,45 to under 50 years,female,
2014,percentage,.,,,45 to under 50 years,female,
2015,percentage,.,,,45 to under 50 years,female,
2016,percentage,.,,,45 to under 50 years,female,
2018,percentage,.,,,45 to under 50 years,female,
2019,percentage,.,,,45 to under 50 years,female,
2020,percentage,.,,,45 to under 50 years,female,
1999,percentage,,,,50 to under 55 years,female,
2003,percentage,.,,,50 to under 55 years,female,
2005,percentage,.,,,50 to under 55 years,female,
2009,percentage,.,,,50 to under 55 years,female,
2013,percentage,,,,50 to under 55 years,female,15.033
2017,percentage,,,,50 to under 55 years,female,14.766
2021,percentage,,,,50 to under 55 years,female,15.398
2000,percentage,.,,,50 to under 55 years,female,
2001,percentage,.,,,50 to under 55 years,female,
2002,percentage,.,,,50 to under 55 years,female,
2004,percentage,.,,,50 to under 55 years,female,
2006,percentage,.,,,50 to under 55 years,female,
2007,percentage,.,,,50 to under 55 years,female,
2008,percentage,.,,,50 to under 55 years,female,
2010,percentage,.,,,50 to under 55 years,female,
2011,percentage,.,,,50 to under 55 years,female,
2012,percentage,.,,,50 to under 55 years,female,
2014,percentage,.,,,50 to under 55 years,female,
2015,percentage,.,,,50 to under 55 years,female,
2016,percentage,.,,,50 to under 55 years,female,
2018,percentage,.,,,50 to under 55 years,female,
2019,percentage,.,,,50 to under 55 years,female,
2020,percentage,.,,,50 to under 55 years,female,
1999,percentage,,,,55 to under 60 years,female,
2003,percentage,.,,,55 to under 60 years,female,
2005,percentage,.,,,55 to under 60 years,female,
2009,percentage,.,,,55 to under 60 years,female,
2013,percentage,,,,55 to under 60 years,female,17.315
2017,percentage,,,,55 to under 60 years,female,16.552
2021,percentage,,,,55 to under 60 years,female,16.677
2000,percentage,.,,,55 to under 60 years,female,
2001,percentage,.,,,55 to under 60 years,female,
2002,percentage,.,,,55 to under 60 years,female,
2004,percentage,.,,,55 to under 60 years,female,
2006,percentage,.,,,55 to under 60 years,female,
2007,percentage,.,,,55 to under 60 years,female,
2008,percentage,.,,,55 to under 60 years,female,
2010,percentage,.,,,55 to under 60 years,female,
2011,percentage,.,,,55 to under 60 years,female,
2012,percentage,.,,,55 to under 60 years,female,
2014,percentage,.,,,55 to under 60 years,female,
2015,percentage,.,,,55 to under 60 years,female,
2016,percentage,.,,,55 to under 60 years,female,
2018,percentage,.,,,55 to under 60 years,female,
2019,percentage,.,,,55 to under 60 years,female,
2020,percentage,.,,,55 to under 60 years,female,
1999,percentage,,,,60 to under 65 years,female,
2003,percentage,.,,,60 to under 65 years,female,
2005,percentage,.,,,60 to under 65 years,female,
2009,percentage,.,,,60 to under 65 years,female,
2013,percentage,,,,60 to under 65 years,female,20.751
2017,percentage,,,,60 to under 65 years,female,19.48
2021,percentage,,,,60 to under 65 years,female,18.593
2000,percentage,.,,,60 to under 65 years,female,
2001,percentage,.,,,60 to under 65 years,female,
2002,percentage,.,,,60 to under 65 years,female,
2004,percentage,.,,,60 to under 65 years,female,
2006,percentage,.,,,60 to under 65 years,female,
2007,percentage,.,,,60 to under 65 years,female,
2008,percentage,.,,,60 to under 65 years,female,
2010,percentage,.,,,60 to under 65 years,female,
2011,percentage,.,,,60 to under 65 years,female,
2012,percentage,.,,,60 to under 65 years,female,
2014,percentage,.,,,60 to under 65 years,female,
2015,percentage,.,,,60 to under 65 years,female,
2016,percentage,.,,,60 to under 65 years,female,
2018,percentage,.,,,60 to under 65 years,female,
2019,percentage,.,,,60 to under 65 years,female,
2020,percentage,.,,,60 to under 65 years,female,
1999,percentage,,,,65 to under 70 years,female,
2003,percentage,.,,,65 to under 70 years,female,
2005,percentage,.,,,65 to under 70 years,female,
2009,percentage,.,,,65 to under 70 years,female,
2013,percentage,,,,65 to under 70 years,female,20.324
2017,percentage,,,,65 to under 70 years,female,21.724
2021,percentage,,,,65 to under 70 years,female,19.285
2000,percentage,.,,,65 to under 70 years,female,
2001,percentage,.,,,65 to under 70 years,female,
2002,percentage,.,,,65 to under 70 years,female,
2004,percentage,.,,,65 to under 70 years,female,
2006,percentage,.,,,65 to under 70 years,female,
2007,percentage,.,,,65 to under 70 years,female,
2008,percentage,.,,,65 to under 70 years,female,
2010,percentage,.,,,65 to under 70 years,female,
2011,percentage,.,,,65 to under 70 years,female,
2012,percentage,.,,,65 to under 70 years,female,
2014,percentage,.,,,65 to under 70 years,female,
2015,percentage,.,,,65 to under 70 years,female,
2016,percentage,.,,,65 to under 70 years,female,
2018,percentage,.,,,65 to under 70 years,female,
2019,percentage,.,,,65 to under 70 years,female,
2020,percentage,.,,,65 to under 70 years,female,
1999,percentage,,,,70 to under 75 years,female,
2003,percentage,.,,,70 to under 75 years,female,
2005,percentage,.,,,70 to under 75 years,female,
2009,percentage,.,,,70 to under 75 years,female,
2013,percentage,,,,70 to under 75 years,female,19.42
2017,percentage,,,,70 to under 75 years,female,19.855
2021,percentage,,,,70 to under 75 years,female,20.051
2000,percentage,.,,,70 to under 75 years,female,
2001,percentage,.,,,70 to under 75 years,female,
2002,percentage,.,,,70 to under 75 years,female,
2004,percentage,.,,,70 to under 75 years,female,
2006,percentage,.,,,70 to under 75 years,female,
2007,percentage,.,,,70 to under 75 years,female,
2008,percentage,.,,,70 to under 75 years,female,
2010,percentage,.,,,70 to under 75 years,female,
2011,percentage,.,,,70 to under 75 years,female,
2012,percentage,.,,,70 to under 75 years,female,
2014,percentage,.,,,70 to under 75 years,female,
2015,percentage,.,,,70 to under 75 years,female,
2016,percentage,.,,,70 to under 75 years,female,
2018,percentage,.,,,70 to under 75 years,female,
2019,percentage,.,,,70 to under 75 years,female,
2020,percentage,.,,,70 to under 75 years,female,
1999,percentage,,,,75 years and older,female,
2003,percentage,.,,,75 years and older,female,
2005,percentage,.,,,75 years and older,female,
2009,percentage,.,,,75 years and older,female,
2013,percentage,,,,75 years and older,female,17.941
2017,percentage,,,,75 years and older,female,18.029
2021,percentage,,,,75 years and older,female,16.274
2000,percentage,.,,,75 years and older,female,
2001,percentage,.,,,75 years and older,female,
2002,percentage,.,,,75 years and older,female,
2004,percentage,.,,,75 years and older,female,
2006,percentage,.,,,75 years and older,female,
2007,percentage,.,,,75 years and older,female,
2008,percentage,.,,,75 years and older,female,
2010,percentage,.,,,75 years and older,female,
2011,percentage,.,,,75 years and older,female,
2012,percentage,.,,,75 years and older,female,
2014,percentage,.,,,75 years and older,female,
2015,percentage,.,,,75 years and older,female,
2016,percentage,.,,,75 years and older,female,
2018,percentage,.,,,75 years and older,female,
2019,percentage,.,,,75 years and older,female,
2020,percentage,.,,,75 years and older,female,
1999,percentage,,,,,male,11.1
2003,percentage,,,,,male,12.3
2005,percentage,,,,,male,13.0
2009,percentage,,,,,male,14.2
2013,percentage,,,,,male,15.4
2017,percentage,,,,,male,16.416
2021,percentage,,,,,male,17.298
2000,percentage,.,,,,male,
2001,percentage,.,,,,male,
2002,percentage,.,,,,male,
2004,percentage,.,,,,male,
2006,percentage,.,,,,male,
2007,percentage,.,,,,male,
2008,percentage,.,,,,male,
2010,percentage,.,,,,male,
2011,percentage,.,,,,male,
2012,percentage,.,,,,male,
2014,percentage,.,,,,male,
2015,percentage,.,,,,male,
2016,percentage,.,,,,male,
2018,percentage,.,,,,male,
2019,percentage,.,,,,male,
2020,percentage,.,,,,male,
1999,percentage,,baden-wuerttemberg,code08,,male,10.272
2003,percentage,,baden-wuerttemberg,code08,,male,11.694
2005,percentage,,baden-wuerttemberg,code08,,male,12.052
2009,percentage,,baden-wuerttemberg,code08,,male,13.267
2013,percentage,,baden-wuerttemberg,code08,,male,14.524
2017,percentage,,baden-wuerttemberg,code08,,male,15.306
2021,percentage,,baden-wuerttemberg,code08,,male,15.831
1999,percentage,,bavaria,code09,,male,11.477
2003,percentage,,bavaria,code09,,male,12.192
2005,percentage,,bavaria,code09,,male,12.619
2009,percentage,,bavaria,code09,,male,13.964
2013,percentage,,bavaria,code09,,male,15.023
2017,percentage,,bavaria,code09,,male,15.659
2021,percentage,,bavaria,code09,,male,15.666
1999,percentage,,berlin,code11,,male,8.869
2003,percentage,,berlin,code11,,male,9.642
2005,percentage,,berlin,code11,,male,11.389
2009,percentage,,berlin,code11,,male,11.521
2013,percentage,,berlin,code11,,male,12.313
2017,percentage,,berlin,code11,,male,12.715
2021,percentage,,berlin,code11,,male,14.23
1999,percentage,,brandenburg,code12,,male,12.891
2003,percentage,,brandenburg,code12,,male,12.559
2005,percentage,,brandenburg,code12,,male,13.83
2009,percentage,,brandenburg,code12,,male,15.353
2013,percentage,,brandenburg,code12,,male,15.498
2017,percentage,,brandenburg,code12,,male,16.444
2021,percentage,,brandenburg,code12,,male,18.682
1999,percentage,,bremen,code04,,male,9.347
2003,percentage,,bremen,code04,,male,11.639
2005,percentage,,bremen,code04,,male,11.052
2009,percentage,,bremen,code04,,male,11.17
2013,percentage,,bremen,code04,,male,13.582
2017,percentage,,bremen,code04,,male,18.33
2021,percentage,,bremen,code04,,male,18.793
1999,percentage,,hamburg,code02,,male,8.204
2003,percentage,,hamburg,code02,,male,9.839
2005,percentage,,hamburg,code02,,male,11.122
2009,percentage,,hamburg,code02,,male,10.448
2013,percentage,,hamburg,code02,,male,11.511
2017,percentage,,hamburg,code02,,male,12.849
2021,percentage,,hamburg,code02,,male,12.609
1999,percentage,,hesse,code06,,male,11.322
2003,percentage,,hesse,code06,,male,12.379
2005,percentage,,hesse,code06,,male,13.029
2009,percentage,,hesse,code06,,male,14.522
2013,percentage,,hesse,code06,,male,15.721
2017,percentage,,hesse,code06,,male,16.837
2021,percentage,,hesse,code06,,male,18.153
1999,percentage,,mecklenburg western pomerania,code13,,male,13.705
2003,percentage,,mecklenburg western pomerania,code13,,male,16.471
2005,percentage,,mecklenburg western pomerania,code13,,male,17.022
2009,percentage,,mecklenburg western pomerania,code13,,male,17.148
2013,percentage,,mecklenburg western pomerania,code13,,male,18.039
2017,percentage,,mecklenburg western pomerania,code13,,male,20.759
2021,percentage,,mecklenburg western pomerania,code13,,male,19.337
1999,percentage,,lower saxony,code03,,male,10.326
2003,percentage,,lower saxony,code03,,male,11.33
2005,percentage,,lower saxony,code03,,male,12.227
2009,percentage,,lower saxony,code03,,male,13.758
2013,percentage,,lower saxony,code03,,male,15.226
2017,percentage,,lower saxony,code03,,male,17.169
2021,percentage,,lower saxony,code03,,male,19.559
1999,percentage,,north rhine-westphalia,code05,,male,11.001
2003,percentage,,north rhine-westphalia,code05,,male,12.668
2005,percentage,,north rhine-westphalia,code05,,male,13.359
2009,percentage,,north rhine-westphalia,code05,,male,14.77
2013,percentage,,north rhine-westphalia,code05,,male,16.444
2017,percentage,,north rhine-westphalia,code05,,male,16.886
2021,percentage,,north rhine-westphalia,code05,,male,18.556
1999,percentage,,rhineland palatinate,code07,,male,11.727
2003,percentage,,rhineland palatinate,code07,,male,13.281
2005,percentage,,rhineland palatinate,code07,,male,14.264
2009,percentage,,rhineland palatinate,code07,,male,15.394
2013,percentage,,rhineland palatinate,code07,,male,17.158
2017,percentage,,rhineland palatinate,code07,,male,18.091
2021,percentage,,rhineland palatinate,code07,,male,19.923
1999,percentage,,saarland,code10,,male,9.545
2003,percentage,,saarland,code10,,male,10.37
2005,percentage,,saarland,code10,,male,13.872
2009,percentage,,saarland,code10,,male,15.562
2013,percentage,,saarland,code10,,male,16.365
2017,percentage,,saarland,code10,,male,18.154
2021,percentage,,saarland,code10,,male,20.088
1999,percentage,,saxony,code14,,male,11.486
2003,percentage,,saxony,code14,,male,13.14
2005,percentage,,saxony,code14,,male,12.946
2009,percentage,,saxony,code14,,male,13.384
2013,percentage,,saxony,code14,,male,14.278
2017,percentage,,saxony,code14,,male,15.772
2021,percentage,,saxony,code14,,male,15.576
1999,percentage,,saxony-anhalt,code15,,male,13.609
2003,percentage,,saxony-anhalt,code15,,male,14.71
2005,percentage,,saxony-anhalt,code15,,male,15.755
2009,percentage,,saxony-anhalt,code15,,male,15.801
2013,percentage,,saxony-anhalt,code15,,male,17.477
2017,percentage,,saxony-anhalt,code15,,male,18.706
2021,percentage,,saxony-anhalt,code15,,male,17.078
1999,percentage,,schleswig-holstein,code01,,male,10.106
2003,percentage,,schleswig-holstein,code01,,male,11.019
2005,percentage,,schleswig-holstein,code01,,male,12.484
2009,percentage,,schleswig-holstein,code01,,male,13.974
2013,percentage,,schleswig-holstein,code01,,male,14.95
2017,percentage,,schleswig-holstein,code01,,male,16.843
2021,percentage,,schleswig-holstein,code01,,male,19.078
1999,percentage,,thuringia,code16,,male,14.3
2003,percentage,,thuringia,code16,,male,13.129
2005,percentage,,thuringia,code16,,male,14.549
2009,percentage,,thuringia,code16,,male,15.579
2013,percentage,,thuringia,code16,,male,15.858
2017,percentage,,thuringia,code16,,male,18.608
2021,percentage,,thuringia,code16,,male,19.585
1999,percentage,,,,18 to under 20 years,male,
2003,percentage,.,,,18 to under 20 years,male,
2005,percentage,.,,,18 to under 20 years,male,
2009,percentage,.,,,18 to under 20 years,male,
2013,percentage,,,,18 to under 20 years,male,4.058
2017,percentage,,,,18 to under 20 years,male,4.955
2021,percentage,,,,18 to under 20 years,male,6.553
2000,percentage,.,,,18 to under 20 years,male,
2001,percentage,.,,,18 to under 20 years,male,
2002,percentage,.,,,18 to under 20 years,male,
2004,percentage,.,,,18 to under 20 years,male,
2006,percentage,.,,,18 to under 20 years,male,
2007,percentage,.,,,18 to under 20 years,male,
2008,percentage,.,,,18 to under 20 years,male,
2010,percentage,.,,,18 to under 20 years,male,
2011,percentage,.,,,18 to under 20 years,male,
2012,percentage,.,,,18 to under 20 years,male,
2014,percentage,.,,,18 to under 20 years,male,
2015,percentage,.,,,18 to under 20 years,male,
2016,percentage,.,,,18 to under 20 years,male,
2018,percentage,.,,,18 to under 20 years,male,
2019,percentage,.,,,18 to under 20 years,male,
2020,percentage,.,,,18 to under 20 years,male,
1999,percentage,,,,20 to under 25 years,male,
2003,percentage,.,,,20 to under 25 years,male,
2005,percentage,.,,,20 to under 25 years,male,
2009,percentage,.,,,20 to under 25 years,male,
2013,percentage,,,,20 to under 25 years,male,6.166
2017,percentage,,,,20 to under 25 years,male,6.973
2021,percentage,,,,20 to under 25 years,male,7.308
2000,percentage,.,,,20 to under 25 years,male,
2001,percentage,.,,,20 to under 25 years,male,
2002,percentage,.,,,20 to under 25 years,male,
2004,percentage,.,,,20 to under 25 years,male,
2006,percentage,.,,,20 to under 25 years,male,
2007,percentage,.,,,20 to under 25 years,male,
2008,percentage,.,,,20 to under 25 years,male,
2010,percentage,.,,,20 to under 25 years,male,
2011,percentage,.,,,20 to under 25 years,male,
2012,percentage,.,,,20 to under 25 years,male,
2014,percentage,.,,,20 to under 25 years,male,
2015,percentage,.,,,20 to under 25 years,male,
2016,percentage,.,,,20 to under 25 years,male,
2018,percentage,.,,,20 to under 25 years,male,
2019,percentage,.,,,20 to under 25 years,male,
2020,percentage,.,,,20 to under 25 years,male,
1999,percentage,,,,25 to under 30 years,male,
2003,percentage,.,,,25 to under 30 years,male,
2005,percentage,.,,,25 to under 30 years,male,
2009,percentage,.,,,25 to under 30 years,male,
2013,percentage,,,,25 to under 30 years,male,8.808
2017,percentage,,,,25 to under 30 years,male,10.569
2021,percentage,,,,25 to under 30 years,male,12.572
2000,percentage,.,,,25 to under 30 years,male,
2001,percentage,.,,,25 to under 30 years,male,
2002,percentage,.,,,25 to under 30 years,male,
2004,percentage,.,,,25 to under 30 years,male,
2006,percentage,.,,,25 to under 30 years,male,
2007,percentage,.,,,25 to under 30 years,male,
2008,percentage,.,,,25 to under 30 years,male,
2010,percentage,.,,,25 to under 30 years,male,
2011,percentage,.,,,25 to under 30 years,male,
2012,percentage,.,,,25 to under 30 years,male,
2014,percentage,.,,,25 to under 30 years,male,
2015,percentage,.,,,25 to under 30 years,male,
2016,percentage,.,,,25 to under 30 years,male,
2018,percentage,.,,,25 to under 30 years,male,
2019,percentage,.,,,25 to under 30 years,male,
2020,percentage,.,,,25 to under 30 years,male,
1999,percentage,,,,30 to under 35 years,male,
2003,percentage,.,,,30 to under 35 years,male,
2005,percentage,.,,,30 to under 35 years,male,
2009,percentage,.,,,30 to under 35 years,male,
2013,percentage,,,,30 to under 35 years,male,12.162
2017,percentage,,,,30 to under 35 years,male,13.395
2021,percentage,,,,30 to under 35 years,male,15.416
2000,percentage,.,,,30 to under 35 years,male,
2001,percentage,.,,,30 to under 35 years,male,
2002,percentage,.,,,30 to under 35 years,male,
2004,percentage,.,,,30 to under 35 years,male,
2006,percentage,.,,,30 to under 35 years,male,
2007,percentage,.,,,30 to under 35 years,male,
2008,percentage,.,,,30 to under 35 years,male,
2010,percentage,.,,,30 to under 35 years,male,
2011,percentage,.,,,30 to under 35 years,male,
2012,percentage,.,,,30 to under 35 years,male,
2014,percentage,.,,,30 to under 35 years,male,
2015,percentage,.,,,30 to under 35 years,male,
2016,percentage,.,,,30 to under 35 years,male,
2018,percentage,.,,,30 to under 35 years,male,
2019,percentage,.,,,30 to under 35 years,male,
2020,percentage,.,,,30 to under 35 years,male,
1999,percentage,,,,35 to under 40 years,male,
2003,percentage,.,,,35 to under 40 years,male,
2005,percentage,.,,,35 to under 40 years,male,
2009,percentage,.,,,35 to under 40 years,male,
2013,percentage,,,,35 to under 40 years,male,14.883
2017,percentage,,,,35 to under 40 years,male,15.493
2021,percentage,,,,35 to under 40 years,male,17.247
2000,percentage,.,,,35 to under 40 years,male,
2001,percentage,.,,,35 to under 40 years,male,
2002,percentage,.,,,35 to under 40 years,male,
2004,percentage,.,,,35 to under 40 years,male,
2006,percentage,.,,,35 to under 40 years,male,
2007,percentage,.,,,35 to under 40 years,male,
2008,percentage,.,,,35 to under 40 years,male,
2010,percentage,.,,,35 to under 40 years,male,
2011,percentage,.,,,35 to under 40 years,male,
2012,percentage,.,,,35 to under 40 years,male,
2014,percentage,.,,,35 to under 40 years,male,
2015,percentage,.,,,35 to under 40 years,male,
2016,percentage,.,,,35 to under 40 years,male,
2018,percentage,.,,,35 to under 40 years,male,
2019,percentage,.,,,35 to under 40 years,male,
2020,percentage,.,,,35 to under 40 years,male,
1999,percentage,,,,40 to under 45 years,male,
2003,percentage,.,,,40 to under 45 years,male,
2005,percentage,.,,,40 to under 45 years,male,
2009,percentage,.,,,40 to under 45 years,male,
2013,percentage,,,,40 to under 45 years,male,16.774
2017,percentage,,,,40 to under 45 years,male,18.725
2021,percentage,,,,40 to under 45 years,male,19.522
2000,percentage,.,,,40 to under 45 years,male,
2001,percentage,.,,,40 to under 45 years,male,
2002,percentage,.,,,40 to under 45 years,male,
2004,percentage,.,,,40 to under 45 years,male,
2006,percentage,.,,,40 to under 45 years,male,
2007,percentage,.,,,40 to under 45 years,male,
2008,percentage,.,,,40 to under 45 years,male,
2010,percentage,.,,,40 to under 45 years,male,
2011,percentage,.,,,40 to under 45 years,male,
2012,percentage,.,,,40 to under 45 years,male,
2014,percentage,.,,,40 to under 45 years,male,
2015,percentage,.,,,40 to under 45 years,male,
2016,percentage,.,,,40 to under 45 years,male,
2018,percentage,.,,,40 to under 45 years,male,
2019,percentage,.,,,40 to under 45 years,male,
2020,percentage,.,,,40 to under 45 years,male,
1999,percentage,,,,45 to under 50 years,male,
2003,percentage,.,,,45 to under 50 years,male,
2005,percentage,.,,,45 to under 50 years,male,
2009,percentage,.,,,45 to under 50 years,male,
2013,percentage,,,,45 to under 50 years,male,17.912
2017,percentage,,,,45 to under 50 years,male,19.369
2021,percentage,,,,45 to under 50 years,male,23.49
2000,percentage,.,,,45 to under 50 years,male,
2001,percentage,.,,,45 to under 50 years,male,
2002,percentage,.,,,45 to under 50 years,male,
2004,percentage,.,,,45 to under 50 years,male,
2006,percentage,.,,,45 to under 50 years,male,
2007,percentage,.,,,45 to under 50 years,male,
2008,percentage,.,,,45 to under 50 years,male,
2010,percentage,.,,,45 to under 50 years,male,
2011,percentage,.,,,45 to under 50 years,male,
2012,percentage,.,,,45 to under 50 years,male,
2014,percentage,.,,,45 to under 50 years,male,
2015,percentage,.,,,45 to under 50 years,male,
2016,percentage,.,,,45 to under 50 years,male,
2018,percentage,.,,,45 to under 50 years,male,
2019,percentage,.,,,45 to under 50 years,male,
2020,percentage,.,,,45 to under 50 years,male,
1999,percentage,,,,50 to under 55 years,male,
2003,percentage,.,,,50 to under 55 years,male,
2005,percentage,.,,,50 to under 55 years,male,
2009,percentage,.,,,50 to under 55 years,male,
2013,percentage,,,,50 to under 55 years,male,20.19
2017,percentage,,,,50 to under 55 years,male,20.941
2021,percentage,,,,50 to under 55 years,male,21.825
2000,percentage,.,,,50 to under 55 years,male,
2001,percentage,.,,,50 to under 55 years,male,
2002,percentage,.,,,50 to under 55 years,male,
2004,percentage,.,,,50 to under 55 years,male,
2006,percentage,.,,,50 to under 55 years,male,
2007,percentage,.,,,50 to under 55 years,male,
2008,percentage,.,,,50 to under 55 years,male,
2010,percentage,.,,,50 to under 55 years,male,
2011,percentage,.,,,50 to under 55 years,male,
2012,percentage,.,,,50 to under 55 years,male,
2014,percentage,.,,,50 to under 55 years,male,
2015,percentage,.,,,50 to under 55 years,male,
2016,percentage,.,,,50 to under 55 years,male,
2018,percentage,.,,,50 to under 55 years,male,
2019,percentage,.,,,50 to under 55 years,male,
2020,percentage,.,,,50 to under 55 years,male,
1999,percentage,,,,55 to under 60 years,male,
2003,percentage,.,,,55 to under 60 years,male,
2005,percentage,.,,,55 to under 60 years,male,
2009,percentage,.,,,55 to under 60 years,male,
2013,percentage,,,,55 to under 60 years,male,22.595
2017,percentage,,,,55 to under 60 years,male,22.571
2021,percentage,,,,55 to under 60 years,male,22.302
2000,percentage,.,,,55 to under 60 years,male,
2001,percentage,.,,,55 to under 60 years,male,
2002,percentage,.,,,55 to under 60 years,male,
2004,percentage,.,,,55 to under 60 years,male,
2006,percentage,.,,,55 to under 60 years,male,
2007,percentage,.,,,55 to under 60 years,male,
2008,percentage,.,,,55 to under 60 years,male,
2010,percentage,.,,,55 to under 60 years,male,
2011,percentage,.,,,55 to under 60 years,male,
2012,percentage,.,,,55 to under 60 years,male,
2014,percentage,.,,,55 to under 60 years,male,
2015,percentage,.,,,55 to under 60 years,male,
2016,percentage,.,,,55 to under 60 years,male,
2018,percentage,.,,,55 to under 60 years,male,
2019,percentage,.,,,55 to under 60 years,male,
2020,percentage,.,,,55 to under 60 years,male,
1999,percentage,,,,60 to under 65 years,male,
2003,percentage,.,,,60 to under 65 years,male,
2005,percentage,.,,,60 to under 65 years,male,
2009,percentage,.,,,60 to under 65 years,male,
2013,percentage,,,,60 to under 65 years,male,24.674
2017,percentage,,,,60 to under 65 years,male,24.454
2021,percentage,,,,60 to under 65 years,male,23.474
2000,percentage,.,,,60 to under 65 years,male,
2001,percentage,.,,,60 to under 65 years,male,
2002,percentage,.,,,60 to under 65 years,male,
2004,percentage,.,,,60 to under 65 years,male,
2006,percentage,.,,,60 to under 65 years,male,
2007,percentage,.,,,60 to under 65 years,male,
2008,percentage,.,,,60 to under 65 years,male,
2010,percentage,.,,,60 to under 65 years,male,
2011,percentage,.,,,60 to under 65 years,male,
