Year,Units,COMMENT_OBS_0,Sex,Federal state,GeoCode,Value
2021,Percentage,,Female,Hesse,code06,10.6
2022,Percentage,,Female,Hesse,code06,11.9
2023,Percentage,p,Female,Hesse,code06,12.7
2030,Percentage,…,Female,Hesse,code06,
1999,Percentage,,Male,Hesse,code06,
2000,Percentage,.,Male,Hesse,code06,
2001,Percentage,.,Male,Hesse,code06,
2002,Percentage,.,Male,Hesse,code06,
2003,Percentage,.,Male,Hesse,code06,
2004,Percentage,.,Male,Hesse,code06,
2005,Percentage,,Male,Hesse,code06,13.9
2006,Percentage,,Male,Hesse,code06,15.6
2007,Percentage,,Male,Hesse,code06,10.5
2008,Percentage,,Male,Hesse,code06,13.0
2009,Percentage,,Male,Hesse,code06,12.4
2010,Percentage,,Male,Hesse,code06,13.1
2011,Percentage,,Male,Hesse,code06,11.7
2012,Percentage,,Male,Hesse,code06,9.7
2013,Percentage,,Male,Hesse,code06,10.7
2014,Percentage,,Male,Hesse,code06,10.4
2015,Percentage,,Male,Hesse,code06,9.6
2016,Percentage,,Male,Hesse,code06,11.4
2017,Percentage,,Male,Hesse,code06,11.8
2018,Percentage,,Male,Hesse,code06,12.3
2019,Percentage,,Male,Hesse,code06,11.8
2020,Percentage,,Male,Hesse,code06,14.8
2021,Percentage,,Male,Hesse,code06,16.3
2022,Percentage,,Male,Hesse,code06,17.2
2023,Percentage,p,Male,Hesse,code06,17.0
2030,Percentage,…,Male,Hesse,code06,
1999,Percentage,,,Mecklenburg Western Pomerania,code13,
2000,Percentage,.,,Mecklenburg Western Pomerania,code13,
2001,Percentage,.,,Mecklenburg Western Pomerania,code13,
2002,Percentage,.,,Mecklenburg Western Pomerania,code13,
2003,Percentage,.,,Mecklenburg Western Pomerania,code13,
2004,Percentage,.,,Mecklenburg Western Pomerania,code13,
2005,Percentage,,,Mecklenburg Western Pomerania,code13,14.0
2006,Percentage,,,Mecklenburg Western Pomerania,code13,12.9
2007,Percentage,,,Mecklenburg Western Pomerania,code13,13.1
2008,Percentage,,,Mecklenburg Western Pomerania,code13,8.9
2009,Percentage,,,Mecklenburg Western Pomerania,code13,9.3
2010,Percentage,,,Mecklenburg Western Pomerania,code13,9.2
2011,Percentage,,,Mecklenburg Western Pomerania,code13,9.9
2012,Percentage,,,Mecklenburg Western Pomerania,code13,11.0
2013,Percentage,,,Mecklenburg Western Pomerania,code13,9.6
2014,Percentage,,,Mecklenburg Western Pomerania,code13,9.9
2015,Percentage,,,Mecklenburg Western Pomerania,code13,10.6
2016,Percentage,,,Mecklenburg Western Pomerania,code13,13.6
2017,Percentage,,,Mecklenburg Western Pomerania,code13,9.8
2018,Percentage,,,Mecklenburg Western Pomerania,code13,11.1
2019,Percentage,,,Mecklenburg Western Pomerania,code13,11.4
2020,Percentage,.,,Mecklenburg Western Pomerania,code13,
2021,Percentage,.,,Mecklenburg Western Pomerania,code13,
2022,Percentage,,,Mecklenburg Western Pomerania,code13,14.4
2023,Percentage,p,,Mecklenburg Western Pomerania,code13,14.2
2030,Percentage,…,,Mecklenburg Western Pomerania,code13,
1999,Percentage,,Female,Mecklenburg Western Pomerania,code13,
2000,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2001,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2002,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2003,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2004,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2005,Percentage,,Female,Mecklenburg Western Pomerania,code13,12.7
2006,Percentage,,Female,Mecklenburg Western Pomerania,code13,12.7
2007,Percentage,,Female,Mecklenburg Western Pomerania,code13,12.1
2008,Percentage,,Female,Mecklenburg Western Pomerania,code13,8.3
2009,Percentage,,Female,Mecklenburg Western Pomerania,code13,8.9
2010,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2011,Percentage,,Female,Mecklenburg Western Pomerania,code13,8.8
2012,Percentage,,Female,Mecklenburg Western Pomerania,code13,10.9
2013,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2014,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2015,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2016,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2017,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2018,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2019,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2020,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2021,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2022,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2023,Percentage,.,Female,Mecklenburg Western Pomerania,code13,
2030,Percentage,…,Female,Mecklenburg Western Pomerania,code13,
1999,Percentage,,Male,Mecklenburg Western Pomerania,code13,
2000,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2001,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2002,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2003,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2004,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2005,Percentage,,Male,Mecklenburg Western Pomerania,code13,15.0
2006,Percentage,,Male,Mecklenburg Western Pomerania,code13,13.1
2007,Percentage,,Male,Mecklenburg Western Pomerania,code13,14.0
2008,Percentage,,Male,Mecklenburg Western Pomerania,code13,9.4
2009,Percentage,,Male,Mecklenburg Western Pomerania,code13,9.6
2010,Percentage,,Male,Mecklenburg Western Pomerania,code13,11.6
2011,Percentage,,Male,Mecklenburg Western Pomerania,code13,10.9
2012,Percentage,,Male,Mecklenburg Western Pomerania,code13,11.0
2013,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2014,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2015,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2016,Percentage,,Male,Mecklenburg Western Pomerania,code13,14.3
2017,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2018,Percentage,,Male,Mecklenburg Western Pomerania,code13,12.6
2019,Percentage,,Male,Mecklenburg Western Pomerania,code13,11.8
2020,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2021,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2022,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2023,Percentage,.,Male,Mecklenburg Western Pomerania,code13,
2030,Percentage,…,Male,Mecklenburg Western Pomerania,code13,
1999,Percentage,,,Lower Saxony,code03,
2000,Percentage,.,,Lower Saxony,code03,
2001,Percentage,.,,Lower Saxony,code03,
2002,Percentage,.,,Lower Saxony,code03,
2003,Percentage,.,,Lower Saxony,code03,
2004,Percentage,.,,Lower Saxony,code03,
2005,Percentage,,,Lower Saxony,code03,16.0
2006,Percentage,,,Lower Saxony,code03,14.6
2007,Percentage,,,Lower Saxony,code03,14.0
2008,Percentage,,,Lower Saxony,code03,13.0
2009,Percentage,,,Lower Saxony,code03,12.6
2010,Percentage,,,Lower Saxony,code03,13.9
2011,Percentage,,,Lower Saxony,code03,14.1
2012,Percentage,,,Lower Saxony,code03,11.8
2013,Percentage,,,Lower Saxony,code03,10.8
2014,Percentage,,,Lower Saxony,code03,10.7
2015,Percentage,,,Lower Saxony,code03,10.7
2016,Percentage,,,Lower Saxony,code03,12.1
2017,Percentage,,,Lower Saxony,code03,11.3
2018,Percentage,,,Lower Saxony,code03,11.0
2019,Percentage,,,Lower Saxony,code03,11.9
2020,Percentage,,,Lower Saxony,code03,10.4
2021,Percentage,,,Lower Saxony,code03,12.2
2022,Percentage,,,Lower Saxony,code03,13.8
2023,Percentage,p,,Lower Saxony,code03,15.0
2030,Percentage,…,,Lower Saxony,code03,
1999,Percentage,,Female,Lower Saxony,code03,
2000,Percentage,.,Female,Lower Saxony,code03,
2001,Percentage,.,Female,Lower Saxony,code03,
2002,Percentage,.,Female,Lower Saxony,code03,
2003,Percentage,.,Female,Lower Saxony,code03,
2004,Percentage,.,Female,Lower Saxony,code03,
2005,Percentage,,Female,Lower Saxony,code03,18.5
2006,Percentage,,Female,Lower Saxony,code03,14.3
2007,Percentage,,Female,Lower Saxony,code03,13.6
2008,Percentage,,Female,Lower Saxony,code03,12.1
2009,Percentage,,Female,Lower Saxony,code03,12.4
2010,Percentage,,Female,Lower Saxony,code03,12.8
2011,Percentage,,Female,Lower Saxony,code03,13.7
2012,Percentage,,Female,Lower Saxony,code03,10.0
2013,Percentage,,Female,Lower Saxony,code03,10.4
2014,Percentage,,Female,Lower Saxony,code03,9.9
2015,Percentage,,Female,Lower Saxony,code03,10.5
2016,Percentage,,Female,Lower Saxony,code03,11.5
2017,Percentage,,Female,Lower Saxony,code03,10.4
2018,Percentage,,Female,Lower Saxony,code03,9.7
2019,Percentage,,Female,Lower Saxony,code03,10.7
2020,Percentage,.,Female,Lower Saxony,code03,8.7
2021,Percentage,,Female,Lower Saxony,code03,10.8
2022,Percentage,,Female,Lower Saxony,code03,12.3
2023,Percentage,p,Female,Lower Saxony,code03,11.8
2030,Percentage,…,Female,Lower Saxony,code03,
1999,Percentage,,Male,Lower Saxony,code03,
2000,Percentage,.,Male,Lower Saxony,code03,
2001,Percentage,.,Male,Lower Saxony,code03,
2002,Percentage,.,Male,Lower Saxony,code03,
2003,Percentage,.,Male,Lower Saxony,code03,
2004,Percentage,.,Male,Lower Saxony,code03,
2005,Percentage,,Male,Lower Saxony,code03,13.7
2006,Percentage,,Male,Lower Saxony,code03,14.9
2007,Percentage,,Male,Lower Saxony,code03,14.3
2008,Percentage,,Male,Lower Saxony,code03,13.8
2009,Percentage,,Male,Lower Saxony,code03,12.7
2010,Percentage,,Male,Lower Saxony,code03,15.0
2011,Percentage,,Male,Lower Saxony,code03,14.5
2012,Percentage,,Male,Lower Saxony,code03,13.5
2013,Percentage,,Male,Lower Saxony,code03,11.1
2014,Percentage,,Male,Lower Saxony,code03,11.5
2015,Percentage,,Male,Lower Saxony,code03,10.8
2016,Percentage,,Male,Lower Saxony,code03,12.5
2017,Percentage,,Male,Lower Saxony,code03,12.2
2018,Percentage,,Male,Lower Saxony,code03,12.1
2019,Percentage,,Male,Lower Saxony,code03,13.1
2020,Percentage,,Male,Lower Saxony,code03,11.9
2021,Percentage,,Male,Lower Saxony,code03,13.5
2022,Percentage,,Male,Lower Saxony,code03,15.2
2023,Percentage,p,Male,Lower Saxony,code03,18.2
2030,Percentage,…,Male,Lower Saxony,code03,
1999,Percentage,,,North Rhine-Westphalia,code05,
2000,Percentage,.,,North Rhine-Westphalia,code05,
2001,Percentage,.,,North Rhine-Westphalia,code05,
2002,Percentage,.,,North Rhine-Westphalia,code05,
2003,Percentage,.,,North Rhine-Westphalia,code05,
2004,Percentage,.,,North Rhine-Westphalia,code05,
2005,Percentage,,,North Rhine-Westphalia,code05,15.8
2006,Percentage,,,North Rhine-Westphalia,code05,16.7
2007,Percentage,,,North Rhine-Westphalia,code05,15.0
2008,Percentage,,,North Rhine-Westphalia,code05,14.5
2009,Percentage,,,North Rhine-Westphalia,code05,13.7
2010,Percentage,,,North Rhine-Westphalia,code05,14.6
2011,Percentage,,,North Rhine-Westphalia,code05,13.6
2012,Percentage,,,North Rhine-Westphalia,code05,12.8
2013,Percentage,,,North Rhine-Westphalia,code05,11.6
2014,Percentage,,,North Rhine-Westphalia,code05,11.3
2015,Percentage,,,North Rhine-Westphalia,code05,11.4
2016,Percentage,,,North Rhine-Westphalia,code05,11.4
2017,Percentage,,,North Rhine-Westphalia,code05,11.6
2018,Percentage,,,North Rhine-Westphalia,code05,12.0
2019,Percentage,,,North Rhine-Westphalia,code05,11.2
2020,Percentage,,,North Rhine-Westphalia,code05,10.8
2021,Percentage,,,North Rhine-Westphalia,code05,11.8
2022,Percentage,,,North Rhine-Westphalia,code05,12.8
2023,Percentage,p,,North Rhine-Westphalia,code05,12.8
2030,Percentage,…,,North Rhine-Westphalia,code05,
1999,Percentage,,Female,North Rhine-Westphalia,code05,
2000,Percentage,.,Female,North Rhine-Westphalia,code05,
2001,Percentage,.,Female,North Rhine-Westphalia,code05,
2002,Percentage,.,Female,North Rhine-Westphalia,code05,
2003,Percentage,.,Female,North Rhine-Westphalia,code05,
2004,Percentage,.,Female,North Rhine-Westphalia,code05,
2005,Percentage,,Female,North Rhine-Westphalia,code05,15.6
2006,Percentage,,Female,North Rhine-Westphalia,code05,16.0
2007,Percentage,,Female,North Rhine-Westphalia,code05,13.9
2008,Percentage,,Female,North Rhine-Westphalia,code05,14.5
2009,Percentage,,Female,North Rhine-Westphalia,code05,13.5
2010,Percentage,,Female,North Rhine-Westphalia,code05,13.5
2011,Percentage,,Female,North Rhine-Westphalia,code05,12.3
2012,Percentage,,Female,North Rhine-Westphalia,code05,12.1
2013,Percentage,,Female,North Rhine-Westphalia,code05,10.8
2014,Percentage,,Female,North Rhine-Westphalia,code05,11.1
2015,Percentage,,Female,North Rhine-Westphalia,code05,11.5
2016,Percentage,,Female,North Rhine-Westphalia,code05,10.7
2017,Percentage,,Female,North Rhine-Westphalia,code05,10.6
2018,Percentage,,Female,North Rhine-Westphalia,code05,11.1
2019,Percentage,,Female,North Rhine-Westphalia,code05,9.4
2020,Percentage,,Female,North Rhine-Westphalia,code05,9.0
2021,Percentage,,Female,North Rhine-Westphalia,code05,9.8
2022,Percentage,,Female,North Rhine-Westphalia,code05,11.1
2023,Percentage,p,Female,North Rhine-Westphalia,code05,10.6
2030,Percentage,…,Female,North Rhine-Westphalia,code05,
1999,Percentage,,Male,North Rhine-Westphalia,code05,
2000,Percentage,.,Male,North Rhine-Westphalia,code05,
2001,Percentage,.,Male,North Rhine-Westphalia,code05,
2002,Percentage,.,Male,North Rhine-Westphalia,code05,
2003,Percentage,.,Male,North Rhine-Westphalia,code05,
2004,Percentage,.,Male,North Rhine-Westphalia,code05,
2005,Percentage,,Male,North Rhine-Westphalia,code05,16.0
2006,Percentage,,Male,North Rhine-Westphalia,code05,17.4
2007,Percentage,,Male,North Rhine-Westphalia,code05,16.1
2008,Percentage,,Male,North Rhine-Westphalia,code05,14.6
2009,Percentage,,Male,North Rhine-Westphalia,code05,14.0
2010,Percentage,,Male,North Rhine-Westphalia,code05,15.7
2011,Percentage,,Male,North Rhine-Westphalia,code05,14.8
2012,Percentage,,Male,North Rhine-Westphalia,code05,13.4
2013,Percentage,,Male,North Rhine-Westphalia,code05,12.3
2014,Percentage,,Male,North Rhine-Westphalia,code05,11.4
2015,Percentage,,Male,North Rhine-Westphalia,code05,11.4
2016,Percentage,,Male,North Rhine-Westphalia,code05,12.1
2017,Percentage,,Male,North Rhine-Westphalia,code05,12.5
2018,Percentage,,Male,North Rhine-Westphalia,code05,12.7
2019,Percentage,,Male,North Rhine-Westphalia,code05,12.8
2020,Percentage,,Male,North Rhine-Westphalia,code05,12.4
2021,Percentage,,Male,North Rhine-Westphalia,code05,13.6
2022,Percentage,,Male,North Rhine-Westphalia,code05,14.5
2023,Percentage,p,Male,North Rhine-Westphalia,code05,14.9
2030,Percentage,…,Male,North Rhine-Westphalia,code05,
1999,Percentage,,,Rhineland Palatinate,code07,
2000,Percentage,.,,Rhineland Palatinate,code07,
2001,Percentage,.,,Rhineland Palatinate,code07,
2002,Percentage,.,,Rhineland Palatinate,code07,
2003,Percentage,.,,Rhineland Palatinate,code07,
2004,Percentage,.,,Rhineland Palatinate,code07,
2005,Percentage,,,Rhineland Palatinate,code07,16.4
2006,Percentage,,,Rhineland Palatinate,code07,15.3
2007,Percentage,,,Rhineland Palatinate,code07,15.5
2008,Percentage,,,Rhineland Palatinate,code07,12.4
2009,Percentage,,,Rhineland Palatinate,code07,13.7
2010,Percentage,,,Rhineland Palatinate,code07,15.5
2011,Percentage,,,Rhineland Palatinate,code07,13.5
2012,Percentage,,,Rhineland Palatinate,code07,12.5
2013,Percentage,,,Rhineland Palatinate,code07,13.1
2014,Percentage,,,Rhineland Palatinate,code07,10.4
2015,Percentage,,,Rhineland Palatinate,code07,12.2
2016,Percentage,,,Rhineland Palatinate,code07,11.8
2017,Percentage,,,Rhineland Palatinate,code07,11.7
2018,Percentage,,,Rhineland Palatinate,code07,11.5
2019,Percentage,,,Rhineland Palatinate,code07,11.6
2020,Percentage,,,Rhineland Palatinate,code07,10.1
2021,Percentage,,,Rhineland Palatinate,code07,13.0
2022,Percentage,,,Rhineland Palatinate,code07,13.8
2023,Percentage,p,,Rhineland Palatinate,code07,14.0
2030,Percentage,…,,Rhineland Palatinate,code07,
1999,Percentage,,Female,Rhineland Palatinate,code07,
2000,Percentage,.,Female,Rhineland Palatinate,code07,
2001,Percentage,.,Female,Rhineland Palatinate,code07,
2002,Percentage,.,Female,Rhineland Palatinate,code07,
2003,Percentage,.,Female,Rhineland Palatinate,code07,
2004,Percentage,.,Female,Rhineland Palatinate,code07,
2005,Percentage,,Female,Rhineland Palatinate,code07,17.6
2006,Percentage,,Female,Rhineland Palatinate,code07,16.5
2007,Percentage,,Female,Rhineland Palatinate,code07,13.0
2008,Percentage,,Female,Rhineland Palatinate,code07,11.7
2009,Percentage,,Female,Rhineland Palatinate,code07,13.5
2010,Percentage,,Female,Rhineland Palatinate,code07,14.5
2011,Percentage,,Female,Rhineland Palatinate,code07,12.2
2012,Percentage,,Female,Rhineland Palatinate,code07,13.2
2013,Percentage,,Female,Rhineland Palatinate,code07,12.7
2014,Percentage,,Female,Rhineland Palatinate,code07,9.9
2015,Percentage,,Female,Rhineland Palatinate,code07,12.2
2016,Percentage,,Female,Rhineland Palatinate,code07,10.4
2017,Percentage,,Female,Rhineland Palatinate,code07,10.0
2018,Percentage,,Female,Rhineland Palatinate,code07,9.6
2019,Percentage,,Female,Rhineland Palatinate,code07,10.57
2020,Percentage,.,Female,Rhineland Palatinate,code07,
2021,Percentage,,Female,Rhineland Palatinate,code07,10.8
2022,Percentage,,Female,Rhineland Palatinate,code07,12.2
2023,Percentage,p,Female,Rhineland Palatinate,code07,11.6
2030,Percentage,…,Female,Rhineland Palatinate,code07,
1999,Percentage,,Male,Rhineland Palatinate,code07,
2000,Percentage,.,Male,Rhineland Palatinate,code07,
2001,Percentage,.,Male,Rhineland Palatinate,code07,
2002,Percentage,.,Male,Rhineland Palatinate,code07,
2003,Percentage,.,Male,Rhineland Palatinate,code07,
2004,Percentage,.,Male,Rhineland Palatinate,code07,
2005,Percentage,,Male,Rhineland Palatinate,code07,15.1
2006,Percentage,,Male,Rhineland Palatinate,code07,14.2
2007,Percentage,,Male,Rhineland Palatinate,code07,17.7
2008,Percentage,,Male,Rhineland Palatinate,code07,13.1
2009,Percentage,,Male,Rhineland Palatinate,code07,13.9
2010,Percentage,,Male,Rhineland Palatinate,code07,16.6
2011,Percentage,,Male,Rhineland Palatinate,code07,14.8
2012,Percentage,,Male,Rhineland Palatinate,code07,11.8
2013,Percentage,,Male,Rhineland Palatinate,code07,13.4
2014,Percentage,,Male,Rhineland Palatinate,code07,10.9
2015,Percentage,,Male,Rhineland Palatinate,code07,12.1
2016,Percentage,,Male,Rhineland Palatinate,code07,13.2
2017,Percentage,,Male,Rhineland Palatinate,code07,13.3
2018,Percentage,,Male,Rhineland Palatinate,code07,13.2
2019,Percentage,,Male,Rhineland Palatinate,code07,12.6
2020,Percentage,.,Male,Rhineland Palatinate,code07,12.1
2021,Percentage,,Male,Rhineland Palatinate,code07,14.9
2022,Percentage,,Male,Rhineland Palatinate,code07,15.3
2023,Percentage,p,Male,Rhineland Palatinate,code07,16.3
2030,Percentage,…,Male,Rhineland Palatinate,code07,
1999,Percentage,,,Saarland,code10,
2000,Percentage,.,,Saarland,code10,
2001,Percentage,.,,Saarland,code10,
2002,Percentage,.,,Saarland,code10,
2003,Percentage,.,,Saarland,code10,
2004,Percentage,.,,Saarland,code10,
2005,Percentage,,,Saarland,code10,20.6
2006,Percentage,,,Saarland,code10,20.8
2007,Percentage,,,Saarland,code10,16.3
2008,Percentage,,,Saarland,code10,14.1
2009,Percentage,,,Saarland,code10,14.4
2010,Percentage,,,Saarland,code10,13.2
2011,Percentage,,,Saarland,code10,15.4
2012,Percentage,,,Saarland,code10,12.9
2013,Percentage,,,Saarland,code10,14.1
2014,Percentage,,,Saarland,code10,11.9
2015,Percentage,,,Saarland,code10,12.2
2016,Percentage,,,Saarland,code10,10.3
2017,Percentage,,,Saarland,code10,11.7
2018,Percentage,,,Saarland,code10,11.8
2019,Percentage,,,Saarland,code10,11.5
2020,Percentage,.,,Saarland,code10,
2021,Percentage,.,,Saarland,code10,
2022,Percentage,.,,Saarland,code10,
2023,Percentage,.,,Saarland,code10,
2030,Percentage,…,,Saarland,code10,
1999,Percentage,,Female,Saarland,code10,
2000,Percentage,.,Female,Saarland,code10,
2001,Percentage,.,Female,Saarland,code10,
2002,Percentage,.,Female,Saarland,code10,
2003,Percentage,.,Female,Saarland,code10,
2004,Percentage,.,Female,Saarland,code10,
2005,Percentage,,Female,Saarland,code10,15.5
2006,Percentage,,Female,Saarland,code10,18.8
2007,Percentage,,Female,Saarland,code10,15.9
2008,Percentage,.,Female,Saarland,code10,
2009,Percentage,,Female,Saarland,code10,14.0
2010,Percentage,.,Female,Saarland,code10,
2011,Percentage,.,Female,Saarland,code10,
2012,Percentage,.,Female,Saarland,code10,
2013,Percentage,.,Female,Saarland,code10,14.2
2014,Percentage,.,Female,Saarland,code10,
2015,Percentage,,Female,Saarland,code10,15.9
2016,Percentage,.,Female,Saarland,code10,
2017,Percentage,.,Female,Saarland,code10,
2018,Percentage,.,Female,Saarland,code10,
2019,Percentage,.,Female,Saarland,code10,
2020,Percentage,.,Female,Saarland,code10,
2021,Percentage,.,Female,Saarland,code10,
2022,Percentage,.,Female,Saarland,code10,
2023,Percentage,.,Female,Saarland,code10,
2030,Percentage,…,Female,Saarland,code10,
1999,Percentage,,Male,Saarland,code10,
2000,Percentage,.,Male,Saarland,code10,
2001,Percentage,.,Male,Saarland,code10,
2002,Percentage,.,Male,Saarland,code10,
2003,Percentage,.,Male,Saarland,code10,
2004,Percentage,.,Male,Saarland,code10,
2005,Percentage,,Male,Saarland,code10,26.4
2006,Percentage,,Male,Saarland,code10,22.9
2007,Percentage,,Male,Saarland,code10,16.8
2008,Percentage,,Male,Saarland,code10,13.9
2009,Percentage,,Male,Saarland,code10,14.8
2010,Percentage,,Male,Saarland,code10,14.8
2011,Percentage,,Male,Saarland,code10,18.4
2012,Percentage,,Male,Saarland,code10,14.7
2013,Percentage,,Male,Saarland,code10,14.0
2014,Percentage,.,Male,Saarland,code10,
2015,Percentage,.,Male,Saarland,code10,
2016,Percentage,.,Male,Saarland,code10,
2017,Percentage,,Male,Saarland,code10,13.0
2018,Percentage,.,Male,Saarland,code10,
2019,Percentage,.,Male,Saarland,code10,
2020,Percentage,.,Male,Saarland,code10,
2021,Percentage,.,Male,Saarland,code10,
2022,Percentage,.,Male,Saarland,code10,
2023,Percentage,.,Male,Saarland,code10,
2030,Percentage,…,Male,Saarland,code10,
1999,Percentage,,,Saxony,code14,
2000,Percentage,.,,Saxony,code14,
2001,Percentage,.,,Saxony,code14,
2002,Percentage,.,,Saxony,code14,
2003,Percentage,.,,Saxony,code14,
2004,Percentage,.,,Saxony,code14,
2005,Percentage,,,Saxony,code14,9.8
2006,Percentage,,,Saxony,code14,8.9
2007,Percentage,,,Saxony,code14,8.4
2008,Percentage,,,Saxony,code14,7.4
2009,Percentage,,,Saxony,code14,6.7
2010,Percentage,,,Saxony,code14,7.6
2011,Percentage,,,Saxony,code14,7.7
2012,Percentage,,,Saxony,code14,7.7
2013,Percentage,,,Saxony,code14,6.5
2014,Percentage,,,Saxony,code14,6.8
2015,Percentage,,,Saxony,code14,8.4
2016,Percentage,,,Saxony,code14,7.7
2017,Percentage,,,Saxony,code14,8.6
2018,Percentage,,,Saxony,code14,7.5
2019,Percentage,,,Saxony,code14,8.3
2020,Percentage,,,Saxony,code14,8.0
2021,Percentage,,,Saxony,code14,9.3
2022,Percentage,,,Saxony,code14,8.9
2023,Percentage,p,,Saxony,code14,11.3
2030,Percentage,…,,Saxony,code14,
1999,Percentage,,Female,Saxony,code14,
2000,Percentage,.,Female,Saxony,code14,
2001,Percentage,.,Female,Saxony,code14,
2002,Percentage,.,Female,Saxony,code14,
2003,Percentage,.,Female,Saxony,code14,
2004,Percentage,.,Female,Saxony,code14,
2005,Percentage,,Female,Saxony,code14,10.5
2006,Percentage,,Female,Saxony,code14,7.8
2007,Percentage,,Female,Saxony,code14,8.6
2008,Percentage,,Female,Saxony,code14,5.8
2009,Percentage,,Female,Saxony,code14,6.6
2010,Percentage,,Female,Saxony,code14,7.6
2011,Percentage,,Female,Saxony,code14,7.5
2012,Percentage,,Female,Saxony,code14,7.2
2013,Percentage,,Female,Saxony,code14,6.7
2014,Percentage,,Female,Saxony,code14,6.6
2015,Percentage,,Female,Saxony,code14,7.1
2016,Percentage,,Female,Saxony,code14,7.0
2017,Percentage,,Female,Saxony,code14,9.8
2018,Percentage,,Female,Saxony,code14,7.0
2019,Percentage,,Female,Saxony,code14,7.0
2020,Percentage,.,Female,Saxony,code14,
2021,Percentage,.,Female,Saxony,code14,
2022,Percentage,.,Female,Saxony,code14,
2023,Percentage,.,Female,Saxony,code14,
2030,Percentage,…,Female,Saxony,code14,
1999,Percentage,,Male,Saxony,code14,
2000,Percentage,.,Male,Saxony,code14,
2001,Percentage,.,Male,Saxony,code14,
2002,Percentage,.,Male,Saxony,code14,
2003,Percentage,.,Male,Saxony,code14,
2004,Percentage,.,Male,Saxony,code14,
2005,Percentage,,Male,Saxony,code14,9.1
2006,Percentage,,Male,Saxony,code14,9.9
2007,Percentage,,Male,Saxony,code14,8.2
2008,Percentage,,Male,Saxony,code14,8.8
2009,Percentage,,Male,Saxony,code14,6.7
2010,Percentage,,Male,Saxony,code14,7.6
2011,Percentage,,Male,Saxony,code14,7.9
2012,Percentage,,Male,Saxony,code14,8.1
2013,Percentage,,Male,Saxony,code14,6.3
2014,Percentage,,Male,Saxony,code14,7.0
2015,Percentage,,Male,Saxony,code14,9.6
2016,Percentage,,Male,Saxony,code14,8.3
2017,Percentage,,Male,Saxony,code14,7.5
2018,Percentage,,Male,Saxony,code14,8.0
2019,Percentage,,Male,Saxony,code14,9.4
2020,Percentage,.,Male,Saxony,code14,
2021,Percentage,,Male,Saxony,code14,10.5
2022,Percentage,.,Male,Saxony,code14,
2023,Percentage,p,Male,Saxony,code14,13.3
2030,Percentage,…,Male,Saxony,code14,
1999,Percentage,,,Saxony-Anhalt,code15,
2000,Percentage,.,,Saxony-Anhalt,code15,
2001,Percentage,.,,Saxony-Anhalt,code15,
2002,Percentage,.,,Saxony-Anhalt,code15,
2003,Percentage,.,,Saxony-Anhalt,code15,
2004,Percentage,.,,Saxony-Anhalt,code15,
2005,Percentage,,,Saxony-Anhalt,code15,12.4
2006,Percentage,,,Saxony-Anhalt,code15,12.2
2007,Percentage,,,Saxony-Anhalt,code15,11.8
2008,Percentage,,,Saxony-Anhalt,code15,12.1
2009,Percentage,,,Saxony-Anhalt,code15,10.8
2010,Percentage,,,Saxony-Anhalt,code15,11.7
2011,Percentage,,,Saxony-Anhalt,code15,12.9
2012,Percentage,,,Saxony-Anhalt,code15,11.1
2013,Percentage,,,Saxony-Anhalt,code15,9.7
2014,Percentage,,,Saxony-Anhalt,code15,9.3
2015,Percentage,,,Saxony-Anhalt,code15,12.2
2016,Percentage,,,Saxony-Anhalt,code15,11.2
2017,Percentage,,,Saxony-Anhalt,code15,13.6
2018,Percentage,,,Saxony-Anhalt,code15,9.1
2019,Percentage,,,Saxony-Anhalt,code15,12.7
2020,Percentage,.,,Saxony-Anhalt,code15,
2021,Percentage,,,Saxony-Anhalt,code15,17.0
2022,Percentage,,,Saxony-Anhalt,code15,14.1
