Year,Units,sex,federal state,GeoCode,Value
2006,percentage,,saxony,code14,8.9
2007,percentage,,saxony,code14,8.4
2008,percentage,,saxony,code14,7.4
2009,percentage,,saxony,code14,6.7
2010,percentage,,saxony,code14,7.6
2011,percentage,,saxony,code14,7.7
2012,percentage,,saxony,code14,7.7
2013,percentage,,saxony,code14,6.5
2014,percentage,,saxony,code14,6.8
2015,percentage,,saxony,code14,8.4
2016,percentage,,saxony,code14,7.7
2017,percentage,,saxony,code14,8.6
2018,percentage,,saxony,code14,7.5
2019,percentage,,saxony,code14,8.3
2020,percentage,,saxony,code14,8.0
2021,percentage,,saxony,code14,9.3
2022,percentage,,saxony,code14,8.9
2023,percentage,,saxony,code14,11.3
2005,percentage,female,saxony,code14,10.5
2006,percentage,female,saxony,code14,7.8
2007,percentage,female,saxony,code14,8.6
2008,percentage,female,saxony,code14,5.8
2009,percentage,female,saxony,code14,6.6
2010,percentage,female,saxony,code14,7.6
2011,percentage,female,saxony,code14,7.5
2012,percentage,female,saxony,code14,7.2
2013,percentage,female,saxony,code14,6.7
2014,percentage,female,saxony,code14,6.6
2015,percentage,female,saxony,code14,7.1
2016,percentage,female,saxony,code14,7.0
2017,percentage,female,saxony,code14,9.8
2018,percentage,female,saxony,code14,7.0
2019,percentage,female,saxony,code14,7.0
2005,percentage,male,saxony,code14,9.1
2006,percentage,male,saxony,code14,9.9
2007,percentage,male,saxony,code14,8.2
2008,percentage,male,saxony,code14,8.8
2009,percentage,male,saxony,code14,6.7
2010,percentage,male,saxony,code14,7.6
2011,percentage,male,saxony,code14,7.9
2012,percentage,male,saxony,code14,8.1
2013,percentage,male,saxony,code14,6.3
2014,percentage,male,saxony,code14,7.0
2015,percentage,male,saxony,code14,9.6
2016,percentage,male,saxony,code14,8.3
2017,percentage,male,saxony,code14,7.5
2018,percentage,male,saxony,code14,8.0
2019,percentage,male,saxony,code14,9.4
2021,percentage,male,saxony,code14,10.5
2023,percentage,male,saxony,code14,13.3
2005,percentage,,saxony-anhalt,code15,12.4
2006,percentage,,saxony-anhalt,code15,12.2
2007,percentage,,saxony-anhalt,code15,11.8
2008,percentage,,saxony-anhalt,code15,12.1
2009,percentage,,saxony-anhalt,code15,10.8
2010,percentage,,saxony-anhalt,code15,11.7
2011,percentage,,saxony-anhalt,code15,12.9
2012,percentage,,saxony-anhalt,code15,11.1
2013,percentage,,saxony-anhalt,code15,9.7
2014,percentage,,saxony-anhalt,code15,9.3
2015,percentage,,saxony-anhalt,code15,12.2
2016,percentage,,saxony-anhalt,code15,11.2
2017,percentage,,saxony-anhalt,code15,13.6
2018,percentage,,saxony-anhalt,code15,9.1
2019,percentage,,saxony-anhalt,code15,12.7
2021,percentage,,saxony-anhalt,code15,17.0
2022,percentage,,saxony-anhalt,code15,14.1
2023,percentage,,saxony-anhalt,code15,13.1
2005,percentage,female,saxony-anhalt,code15,9.8
2006,percentage,female,saxony-anhalt,code15,11.0
2007,percentage,female,saxony-anhalt,code15,9.5
2008,percentage,female,saxony-anhalt,code15,11.2
2009,percentage,female,saxony-anhalt,code15,9.8
2010,percentage,female,saxony-anhalt,code15,9.1
2011,percentage,female,saxony-anhalt,code15,11.6
2012,percentage,female,saxony-anhalt,code15,10.1
2015,percentage,female,saxony-anhalt,code15,11.7
2017,percentage,female,saxony-anhalt,code15,11.9
2019,percentage,female,saxony-anhalt,code15,10.0
2005,percentage,male,saxony-anhalt,code15,14.7
2006,percentage,male,saxony-anhalt,code15,13.3
2007,percentage,male,saxony-anhalt,code15,14.0
2008,percentage,male,saxony-anhalt,code15,13.0
2009,percentage,male,saxony-anhalt,code15,11.7
2010,percentage,male,saxony-anhalt,code15,13.9
2011,percentage,male,saxony-anhalt,code15,14.0
2012,percentage,male,saxony-anhalt,code15,11.8
2013,percentage,male,saxony-anhalt,code15,10.5
2014,percentage,male,saxony-anhalt,code15,9.4
2015,percentage,male,saxony-anhalt,code15,12.6
2016,percentage,male,saxony-anhalt,code15,13.3
2017,percentage,male,saxony-anhalt,code15,15.0
2018,percentage,male,saxony-anhalt,code15,10.0
2019,percentage,male,saxony-anhalt,code15,14.8
2005,percentage,,schleswig-holstein,code01,15.1
2006,percentage,,schleswig-holstein,code01,17.1
2007,percentage,,schleswig-holstein,code01,11.8
2008,percentage,,schleswig-holstein,code01,13.6
2009,percentage,,schleswig-holstein,code01,12.1
2010,percentage,,schleswig-holstein,code01,12.6
2011,percentage,,schleswig-holstein,code01,12.9
2012,percentage,,schleswig-holstein,code01,12.3
2013,percentage,,schleswig-holstein,code01,10.3
2014,percentage,,schleswig-holstein,code01,12.8
2015,percentage,,schleswig-holstein,code01,10.6
2016,percentage,,schleswig-holstein,code01,10.7
2017,percentage,,schleswig-holstein,code01,9.1
2018,percentage,,schleswig-holstein,code01,10.1
2019,percentage,,schleswig-holstein,code01,11.0
2020,percentage,,schleswig-holstein,code01,11.8
2021,percentage,,schleswig-holstein,code01,12.5
2022,percentage,,schleswig-holstein,code01,15.2
2023,percentage,,schleswig-holstein,code01,17.0
2005,percentage,female,schleswig-holstein,code01,14.2
2006,percentage,female,schleswig-holstein,code01,16.1
2007,percentage,female,schleswig-holstein,code01,11.6
2008,percentage,female,schleswig-holstein,code01,13.5
2009,percentage,female,schleswig-holstein,code01,13.1
2010,percentage,female,schleswig-holstein,code01,12.8
2011,percentage,female,schleswig-holstein,code01,12.0
2012,percentage,female,schleswig-holstein,code01,11.6
2013,percentage,female,schleswig-holstein,code01,10.3
2014,percentage,female,schleswig-holstein,code01,12.5
2015,percentage,female,schleswig-holstein,code01,8.9
2016,percentage,female,schleswig-holstein,code01,10.6
2017,percentage,female,schleswig-holstein,code01,7.6
2018,percentage,female,schleswig-holstein,code01,8.9
2019,percentage,female,schleswig-holstein,code01,8.7
2022,percentage,female,schleswig-holstein,code01,13.9
2023,percentage,female,schleswig-holstein,code01,14.8
2005,percentage,male,schleswig-holstein,code01,16.1
2006,percentage,male,schleswig-holstein,code01,18.2
2007,percentage,male,schleswig-holstein,code01,11.9
2008,percentage,male,schleswig-holstein,code01,13.8
2009,percentage,male,schleswig-holstein,code01,11.2
2010,percentage,male,schleswig-holstein,code01,12.5
2011,percentage,male,schleswig-holstein,code01,13.6
2012,percentage,male,schleswig-holstein,code01,12.9
2013,percentage,male,schleswig-holstein,code01,10.4
2014,percentage,male,schleswig-holstein,code01,13.1
2015,percentage,male,schleswig-holstein,code01,12.1
2016,percentage,male,schleswig-holstein,code01,10.8
2017,percentage,male,schleswig-holstein,code01,10.4
2018,percentage,male,schleswig-holstein,code01,11.2
2019,percentage,male,schleswig-holstein,code01,13.2
2022,percentage,male,schleswig-holstein,code01,16.4
2023,percentage,male,schleswig-holstein,code01,18.9
2005,percentage,,thuringia,code16,6.6
2006,percentage,,thuringia,code16,8.8
2007,percentage,,thuringia,code16,10.2
2008,percentage,,thuringia,code16,7.4
2009,percentage,,thuringia,code16,5.4
2010,percentage,,thuringia,code16,6.3
2011,percentage,,thuringia,code16,7.7
2012,percentage,,thuringia,code16,7.0
2013,percentage,,thuringia,code16,7.7
2014,percentage,,thuringia,code16,6.1
2015,percentage,,thuringia,code16,8.3
2016,percentage,,thuringia,code16,8.8
2017,percentage,,thuringia,code16,8.7
2018,percentage,,thuringia,code16,8.5
2019,percentage,,thuringia,code16,9.6
2021,percentage,,thuringia,code16,10.8
2022,percentage,,thuringia,code16,10.9
2023,percentage,,thuringia,code16,13.1
2005,percentage,female,thuringia,code16,7.2
2006,percentage,female,thuringia,code16,8.6
2007,percentage,female,thuringia,code16,11.6
2008,percentage,female,thuringia,code16,7.1
2009,percentage,female,thuringia,code16,6.0
2010,percentage,female,thuringia,code16,6.4
2011,percentage,female,thuringia,code16,6.7
2005,percentage,male,thuringia,code16,6.1
2006,percentage,male,thuringia,code16,9.0
2007,percentage,male,thuringia,code16,8.8
2008,percentage,male,thuringia,code16,7.7
2009,percentage,male,thuringia,code16,4.8
2010,percentage,male,thuringia,code16,6.2
2011,percentage,male,thuringia,code16,8.5
2012,percentage,male,thuringia,code16,8.0
2013,percentage,male,thuringia,code16,8.3
2015,percentage,male,thuringia,code16,9.1
2016,percentage,male,thuringia,code16,10.0
2017,percentage,male,thuringia,code16,10.6
2018,percentage,male,thuringia,code16,10.1
2019,percentage,male,thuringia,code16,10.5
