Year,Units,Time series,Sex,Federal state,GeoCode,Value
2005,Percentage,,,North Rhine-Westphalia,code05,36.96
2006,Percentage,,,North Rhine-Westphalia,code05,37.8
2007,Percentage,,,North Rhine-Westphalia,code05,38.7
2008,Percentage,,,North Rhine-Westphalia,code05,40.9
2009,Percentage,,,North Rhine-Westphalia,code05,41.7
2030,Percentage,,,,,
2010,Percentage,,Female,North Rhine-Westphalia,code05,42.1
2011,Percentage,,Female,North Rhine-Westphalia,code05,43.8
2012,Percentage,,Female,North Rhine-Westphalia,code05,46.8
2013,Percentage,,Female,North Rhine-Westphalia,code05,47.4
2014,Percentage,,Female,North Rhine-Westphalia,code05,50.8
2015,Percentage,,Female,North Rhine-Westphalia,code05,52.6
2016,Percentage,,Female,North Rhine-Westphalia,code05,54.2
2017,Percentage,,Female,North Rhine-Westphalia,code05,54.6
2018,Percentage,,Female,North Rhine-Westphalia,code05,55.14
2019,Percentage,,Female,North Rhine-Westphalia,code05,55.34
2020,Percentage,,Female,North Rhine-Westphalia,code05,60.29
2021,Percentage,,Female,North Rhine-Westphalia,code05,57.84
2005,Percentage,,Female,North Rhine-Westphalia,code05,36.4
2006,Percentage,,Female,North Rhine-Westphalia,code05,38.0
2007,Percentage,,Female,North Rhine-Westphalia,code05,38.4
2008,Percentage,,Female,North Rhine-Westphalia,code05,41.5
2009,Percentage,,Female,North Rhine-Westphalia,code05,42.6
2030,Percentage,,,,,
2010,Percentage,,Male,North Rhine-Westphalia,code05,40.5
2011,Percentage,,Male,North Rhine-Westphalia,code05,40.3
2012,Percentage,,Male,North Rhine-Westphalia,code05,42.0
2013,Percentage,,Male,North Rhine-Westphalia,code05,42.6
2014,Percentage,,Male,North Rhine-Westphalia,code05,44.8
2015,Percentage,,Male,North Rhine-Westphalia,code05,44.8
2016,Percentage,,Male,North Rhine-Westphalia,code05,46.3
2017,Percentage,,Male,North Rhine-Westphalia,code05,47.6
2018,Percentage,,Male,North Rhine-Westphalia,code05,46.1
2019,Percentage,,Male,North Rhine-Westphalia,code05,46.71
2020,Percentage,,Male,North Rhine-Westphalia,code05,48.73
2021,Percentage,,Male,North Rhine-Westphalia,code05,50.102
2005,Percentage,,Male,North Rhine-Westphalia,code05,37.5
2006,Percentage,,Male,North Rhine-Westphalia,code05,37.7
2007,Percentage,,Male,North Rhine-Westphalia,code05,39.0
2008,Percentage,,Male,North Rhine-Westphalia,code05,40.3
2009,Percentage,,Male,North Rhine-Westphalia,code05,40.8
2030,Percentage,,,,,
2010,Percentage,,,Rhineland Palatinate,code07,38.49
2011,Percentage,,,Rhineland Palatinate,code07,39.96
2012,Percentage,,,Rhineland Palatinate,code07,42.26
2013,Percentage,,,Rhineland Palatinate,code07,41.9
2014,Percentage,,,Rhineland Palatinate,code07,43.67
2015,Percentage,,,Rhineland Palatinate,code07,42.58
2016,Percentage,,,Rhineland Palatinate,code07,44.23
2017,Percentage,,,Rhineland Palatinate,code07,44.14
2018,Percentage,,,Rhineland Palatinate,code07,44.58
2019,Percentage,,,Rhineland Palatinate,code07,48.18
2020,Percentage,,,Rhineland Palatinate,code07,50.02
2021,Percentage,,,Rhineland Palatinate,code07,50.311
2005,Percentage,,,Rhineland Palatinate,code07,30.42
2006,Percentage,,,Rhineland Palatinate,code07,31.9
2007,Percentage,,,Rhineland Palatinate,code07,32.9
2008,Percentage,,,Rhineland Palatinate,code07,35.3
2009,Percentage,,,Rhineland Palatinate,code07,36.7
2030,Percentage,,,,,
2010,Percentage,,Female,Rhineland Palatinate,code07,37.0
2011,Percentage,,Female,Rhineland Palatinate,code07,40.9
2012,Percentage,,Female,Rhineland Palatinate,code07,42.3
2013,Percentage,,Female,Rhineland Palatinate,code07,42.2
2014,Percentage,,Female,Rhineland Palatinate,code07,45.6
2015,Percentage,,Female,Rhineland Palatinate,code07,44.6
2016,Percentage,,Female,Rhineland Palatinate,code07,46.6
2017,Percentage,,Female,Rhineland Palatinate,code07,47.9
2018,Percentage,,Female,Rhineland Palatinate,code07,46.72
2019,Percentage,,Female,Rhineland Palatinate,code07,51.27
2020,Percentage,,Female,Rhineland Palatinate,code07,53.55
2021,Percentage,,Female,Rhineland Palatinate,code07,52.863
2005,Percentage,,Female,Rhineland Palatinate,code07,26.6
2006,Percentage,,Female,Rhineland Palatinate,code07,29.3
2007,Percentage,,Female,Rhineland Palatinate,code07,31.8
2008,Percentage,,Female,Rhineland Palatinate,code07,35.1
2009,Percentage,,Female,Rhineland Palatinate,code07,37.0
2030,Percentage,,,,,
2010,Percentage,,Male,Rhineland Palatinate,code07,40.1
2011,Percentage,,Male,Rhineland Palatinate,code07,39.0
2012,Percentage,,Male,Rhineland Palatinate,code07,42.2
2013,Percentage,,Male,Rhineland Palatinate,code07,41.7
2014,Percentage,,Male,Rhineland Palatinate,code07,41.6
2015,Percentage,,Male,Rhineland Palatinate,code07,40.6
2016,Percentage,,Male,Rhineland Palatinate,code07,41.9
2017,Percentage,,Male,Rhineland Palatinate,code07,40.4
2018,Percentage,,Male,Rhineland Palatinate,code07,42.47
2019,Percentage,,Male,Rhineland Palatinate,code07,45.23
2020,Percentage,,Male,Rhineland Palatinate,code07,46.46
2021,Percentage,,Male,Rhineland Palatinate,code07,47.89
2005,Percentage,,Male,Rhineland Palatinate,code07,34.6
2006,Percentage,,Male,Rhineland Palatinate,code07,34.7
2007,Percentage,,Male,Rhineland Palatinate,code07,34.0
2008,Percentage,,Male,Rhineland Palatinate,code07,35.5
2009,Percentage,,Male,Rhineland Palatinate,code07,36.3
2030,Percentage,,,,,
2010,Percentage,,,Saarland,code10,32.86
2011,Percentage,,,Saarland,code10,34.78
2012,Percentage,,,Saarland,code10,38.26
2013,Percentage,,,Saarland,code10,35.69
2014,Percentage,,,Saarland,code10,35.75
2015,Percentage,,,Saarland,code10,40.2
2016,Percentage,,,Saarland,code10,41.4
2017,Percentage,,,Saarland,code10,39.83
2018,Percentage,,,Saarland,code10,44.6
2019,Percentage,,,Saarland,code10,47.73
2020,Percentage,,,Saarland,code10,55.3
2021,Percentage,,,Saarland,code10,56.152
2005,Percentage,,,Saarland,code10,32.67
2006,Percentage,,,Saarland,code10,35.0
2007,Percentage,,,Saarland,code10,32.4
2008,Percentage,,,Saarland,code10,36.2
2009,Percentage,,,Saarland,code10,37.2
2030,Percentage,,,,,
2010,Percentage,,Female,Saarland,code10,36.8
2011,Percentage,,Female,Saarland,code10,38.7
2012,Percentage,,Female,Saarland,code10,42.2
2013,Percentage,,Female,Saarland,code10,39.9
2014,Percentage,,Female,Saarland,code10,35.8
2015,Percentage,,Female,Saarland,code10,41.3
2016,Percentage,,Female,Saarland,code10,37.9
2017,Percentage,,Female,Saarland,code10,40.4
2018,Percentage,,Female,Saarland,code10,49.16
2019,Percentage,,Female,Saarland,code10,54.21
2020,Percentage,,Female,Saarland,code10,65.87
2021,Percentage,,Female,Saarland,code10,61.148
2005,Percentage,,Female,Saarland,code10,32.8
2006,Percentage,,Female,Saarland,code10,35.0
2007,Percentage,,Female,Saarland,code10,33.0
2008,Percentage,,Female,Saarland,code10,37.2
2009,Percentage,,Female,Saarland,code10,40.2
2030,Percentage,,,,,
2010,Percentage,,Male,Saarland,code10,28.8
2011,Percentage,,Male,Saarland,code10,30.8
2012,Percentage,,Male,Saarland,code10,34.7
2013,Percentage,,Male,Saarland,code10,32.3
2014,Percentage,,Male,Saarland,code10,35.8
2015,Percentage,,Male,Saarland,code10,39.2
2016,Percentage,,Male,Saarland,code10,44.4
2017,Percentage,,Male,Saarland,code10,39.4
2018,Percentage,,Male,Saarland,code10,40.81
2019,Percentage,,Male,Saarland,code10,41.48
2020,Percentage,,Male,Saarland,code10,44.2
2021,Percentage,,Male,Saarland,code10,51.589
2005,Percentage,,Male,Saarland,code10,32.5
2006,Percentage,,Male,Saarland,code10,35.0
2007,Percentage,,Male,Saarland,code10,31.7
2008,Percentage,,Male,Saarland,code10,35.1
2009,Percentage,,Male,Saarland,code10,34.2
2030,Percentage,,,,,
2010,Percentage,,,Saxony,code14,46.36
2011,Percentage,,,Saxony,code14,44.03
2012,Percentage,,,Saxony,code14,42.67
2013,Percentage,,,Saxony,code14,45.8
2014,Percentage,,,Saxony,code14,46.18
2015,Percentage,,,Saxony,code14,48.27
2016,Percentage,,,Saxony,code14,46.22
2017,Percentage,,,Saxony,code14,48.01
2018,Percentage,,,Saxony,code14,49.18
2019,Percentage,,,Saxony,code14,50.72
2020,Percentage,,,Saxony,code14,51.6
2021,Percentage,,,Saxony,code14,52.548
2005,Percentage,,,Saxony,code14,37.89
2006,Percentage,,,Saxony,code14,40.6
2007,Percentage,,,Saxony,code14,44.3
2008,Percentage,,,Saxony,code14,44.4
2009,Percentage,,,Saxony,code14,46.0
2030,Percentage,,,,,
2010,Percentage,,Female,Saxony,code14,55.0
2011,Percentage,,Female,Saxony,code14,53.1
2012,Percentage,,Female,Saxony,code14,50.5
2013,Percentage,,Female,Saxony,code14,55.4
2014,Percentage,,Female,Saxony,code14,54.3
2015,Percentage,,Female,Saxony,code14,56.3
2016,Percentage,,Female,Saxony,code14,54.9
2017,Percentage,,Female,Saxony,code14,56.9
2018,Percentage,,Female,Saxony,code14,57.38
2019,Percentage,,Female,Saxony,code14,59.76
2020,Percentage,,Female,Saxony,code14,58.95
2021,Percentage,,Female,Saxony,code14,59.178
2005,Percentage,,Female,Saxony,code14,42.1
2006,Percentage,,Female,Saxony,code14,48.2
2007,Percentage,,Female,Saxony,code14,52.4
2008,Percentage,,Female,Saxony,code14,52.4
2009,Percentage,,Female,Saxony,code14,55.4
2030,Percentage,,,,,
2010,Percentage,,Male,Saxony,code14,38.6
2011,Percentage,,Male,Saxony,code14,36.2
2012,Percentage,,Male,Saxony,code14,36.0
2013,Percentage,,Male,Saxony,code14,37.8
2014,Percentage,,Male,Saxony,code14,39.1
2015,Percentage,,Male,Saxony,code14,41.0
2016,Percentage,,Male,Saxony,code14,38.4
2017,Percentage,,Male,Saxony,code14,39.9
2018,Percentage,,Male,Saxony,code14,41.56
2019,Percentage,,Male,Saxony,code14,41.69
2020,Percentage,,Male,Saxony,code14,44.42
2021,Percentage,,Male,Saxony,code14,46.283
2005,Percentage,,Male,Saxony,code14,34.3
2006,Percentage,,Male,Saxony,code14,34.0
2007,Percentage,,Male,Saxony,code14,37.3
2008,Percentage,,Male,Saxony,code14,37.8
2009,Percentage,,Male,Saxony,code14,37.8
2030,Percentage,,,,,
2010,Percentage,,,Saxony-Anhalt,code15,32.16
2011,Percentage,,,Saxony-Anhalt,code15,31.44
2012,Percentage,,,Saxony-Anhalt,code15,30.9
2013,Percentage,,,Saxony-Anhalt,code15,30.62
2014,Percentage,,,Saxony-Anhalt,code15,32.35
2015,Percentage,,,Saxony-Anhalt,code15,34.21
2016,Percentage,,,Saxony-Anhalt,code15,33.41
2017,Percentage,,,Saxony-Anhalt,code15,35.82
2018,Percentage,,,Saxony-Anhalt,code15,38.58
2019,Percentage,,,Saxony-Anhalt,code15,36.57
2020,Percentage,,,Saxony-Anhalt,code15,39.88
2021,Percentage,,,Saxony-Anhalt,code15,40.282
2005,Percentage,,,Saxony-Anhalt,code15,27.9
2006,Percentage,,,Saxony-Anhalt,code15,28.4
2007,Percentage,,,Saxony-Anhalt,code15,27.0
2008,Percentage,,,Saxony-Anhalt,code15,30.3
2009,Percentage,,,Saxony-Anhalt,code15,32.3
2030,Percentage,,,,,
2010,Percentage,,Female,Saxony-Anhalt,code15,37.1
2011,Percentage,,Female,Saxony-Anhalt,code15,37.2
2012,Percentage,,Female,Saxony-Anhalt,code15,36.3
2013,Percentage,,Female,Saxony-Anhalt,code15,36.5
2014,Percentage,,Female,Saxony-Anhalt,code15,38.9
2015,Percentage,,Female,Saxony-Anhalt,code15,39.8
2016,Percentage,,Female,Saxony-Anhalt,code15,41.5
2017,Percentage,,Female,Saxony-Anhalt,code15,41.2
2018,Percentage,,Female,Saxony-Anhalt,code15,44.33
2019,Percentage,,Female,Saxony-Anhalt,code15,41.27
2020,Percentage,,Female,Saxony-Anhalt,code15,50.36
2021,Percentage,,Female,Saxony-Anhalt,code15,49.164
2005,Percentage,,Female,Saxony-Anhalt,code15,31.2
2006,Percentage,,Female,Saxony-Anhalt,code15,32.1
2007,Percentage,,Female,Saxony-Anhalt,code15,34.2
2008,Percentage,,Female,Saxony-Anhalt,code15,36.6
2009,Percentage,,Female,Saxony-Anhalt,code15,36.9
2030,Percentage,,,,,
2010,Percentage,,Male,Saxony-Anhalt,code15,27.5
2011,Percentage,,Male,Saxony-Anhalt,code15,26.2
2012,Percentage,,Male,Saxony-Anhalt,code15,25.9
2013,Percentage,,Male,Saxony-Anhalt,code15,25.6
2014,Percentage,,Male,Saxony-Anhalt,code15,26.5
2015,Percentage,,Male,Saxony-Anhalt,code15,29.6
2016,Percentage,,Male,Saxony-Anhalt,code15,26.4
2017,Percentage,,Male,Saxony-Anhalt,code15,30.8
2018,Percentage,,Male,Saxony-Anhalt,code15,32.81
2019,Percentage,,Male,Saxony-Anhalt,code15,32.34
2020,Percentage,,Male,Saxony-Anhalt,code15,30.51
2021,Percentage,,Male,Saxony-Anhalt,code15,31.979
2005,Percentage,,Male,Saxony-Anhalt,code15,25.2
2006,Percentage,,Male,Saxony-Anhalt,code15,24.9
2007,Percentage,,Male,Saxony-Anhalt,code15,20.8
2008,Percentage,,Male,Saxony-Anhalt,code15,24.7
2009,Percentage,,Male,Saxony-Anhalt,code15,27.9
2030,Percentage,,,,,
2010,Percentage,,,Schleswig-Holstein,code01,35.78
2011,Percentage,,,Schleswig-Holstein,code01,40.39
2012,Percentage,,,Schleswig-Holstein,code01,37.28
2013,Percentage,,,Schleswig-Holstein,code01,38.19
2014,Percentage,,,Schleswig-Holstein,code01,38.89
2015,Percentage,,,Schleswig-Holstein,code01,39.66
2016,Percentage,,,Schleswig-Holstein,code01,40.06
2017,Percentage,,,Schleswig-Holstein,code01,42.43
2018,Percentage,,,Schleswig-Holstein,code01,43.39
2019,Percentage,,,Schleswig-Holstein,code01,43.43
2020,Percentage,,,Schleswig-Holstein,code01,43.426
2021,Percentage,,,Schleswig-Holstein,code01,46.573
2005,Percentage,,,Schleswig-Holstein,code01,32.52
2006,Percentage,,,Schleswig-Holstein,code01,30.6
2007,Percentage,,,Schleswig-Holstein,code01,31.8
2008,Percentage,,,Schleswig-Holstein,code01,32.1
2009,Percentage,,,Schleswig-Holstein,code01,34.6
2030,Percentage,,,,,
2010,Percentage,,Female,Schleswig-Holstein,code01,36.7
2011,Percentage,,Female,Schleswig-Holstein,code01,41.7
2012,Percentage,,Female,Schleswig-Holstein,code01,39.2
2013,Percentage,,Female,Schleswig-Holstein,code01,40.7
2014,Percentage,,Female,Schleswig-Holstein,code01,40.7
2015,Percentage,,Female,Schleswig-Holstein,code01,43.9
2016,Percentage,,Female,Schleswig-Holstein,code01,42.9
2017,Percentage,,Female,Schleswig-Holstein,code01,47.0
2018,Percentage,,Female,Schleswig-Holstein,code01,49.13
2019,Percentage,,Female,Schleswig-Holstein,code01,45.8
2020,Percentage,,Female,Schleswig-Holstein,code01,45.802
2021,Percentage,,Female,Schleswig-Holstein,code01,51.306
2005,Percentage,,Female,Schleswig-Holstein,code01,32.1
2006,Percentage,,Female,Schleswig-Holstein,code01,30.9
2007,Percentage,,Female,Schleswig-Holstein,code01,31.2
2008,Percentage,,Female,Schleswig-Holstein,code01,32.7
2009,Percentage,,Female,Schleswig-Holstein,code01,35.8
2030,Percentage,,,,,
2010,Percentage,,Male,Schleswig-Holstein,code01,34.9
2011,Percentage,,Male,Schleswig-Holstein,code01,39.0
2012,Percentage,,Male,Schleswig-Holstein,code01,35.3
2013,Percentage,,Male,Schleswig-Holstein,code01,35.4
2014,Percentage,,Male,Schleswig-Holstein,code01,37.0
2015,Percentage,,Male,Schleswig-Holstein,code01,35.5
2016,Percentage,,Male,Schleswig-Holstein,code01,37.4
2017,Percentage,,Male,Schleswig-Holstein,code01,37.9
2018,Percentage,,Male,Schleswig-Holstein,code01,37.78
2019,Percentage,,Male,Schleswig-Holstein,code01,41.15
2020,Percentage,,Male,Schleswig-Holstein,code01,41.153
2021,Percentage,,Male,Schleswig-Holstein,code01,42.166
2005,Percentage,,Male,Schleswig-Holstein,code01,33.0
2006,Percentage,,Male,Schleswig-Holstein,code01,30.3
2007,Percentage,,Male,Schleswig-Holstein,code01,32.5
2008,Percentage,,Male,Schleswig-Holstein,code01,31.3
2009,Percentage,,Male,Schleswig-Holstein,code01,33.4
2030,Percentage,,,,,
2010,Percentage,,,Thuringia,code16,36.4
2011,Percentage,,,Thuringia,code16,37.2
2012,Percentage,,,Thuringia,code16,39.1
2013,Percentage,,,Thuringia,code16,39.8
2014,Percentage,,,Thuringia,code16,37.6
2015,Percentage,,,Thuringia,code16,36.89
2016,Percentage,,,Thuringia,code16,40.28
2017,Percentage,,,Thuringia,code16,40.68
2018,Percentage,,,Thuringia,code16,44.57
2019,Percentage,,,Thuringia,code16,44.77
2020,Percentage,,,Thuringia,code16,44.773
2021,Percentage,,,Thuringia,code16,46.885
2005,Percentage,,,Thuringia,code16,31.24
2006,Percentage,,,Thuringia,code16,32.2
2007,Percentage,,,Thuringia,code16,36.5
2008,Percentage,,,Thuringia,code16,35.7
2009,Percentage,,,Thuringia,code16,35.4
2030,Percentage,,,,,
2010,Percentage,,Female,Thuringia,code16,43.0
2011,Percentage,,Female,Thuringia,code16,45.2
2012,Percentage,,Female,Thuringia,code16,46.3
2013,Percentage,,Female,Thuringia,code16,47.1
2014,Percentage,,Female,Thuringia,code16,44.5
2015,Percentage,,Female,Thuringia,code16,45.4
2016,Percentage,,Female,Thuringia,code16,48.0
2017,Percentage,,Female,Thuringia,code16,49.5
2018,Percentage,,Female,Thuringia,code16,51.74
2019,Percentage,,Female,Thuringia,code16,51.22
2020,Percentage,,Female,Thuringia,code16,51.22
2021,Percentage,,Female,Thuringia,code16,53.721
2005,Percentage,,Female,Thuringia,code16,33.8
2006,Percentage,,Female,Thuringia,code16,35.1
2007,Percentage,,Female,Thuringia,code16,40.8
2008,Percentage,,Female,Thuringia,code16,41.9
2009,Percentage,,Female,Thuringia,code16,42.5
2030,Percentage,,,,,
2010,Percentage,,Male,Thuringia,code16,30.5
2011,Percentage,,Male,Thuringia,code16,29.9
2012,Percentage,,Male,Thuringia,code16,32.8
2013,Percentage,,Male,Thuringia,code16,33.0
2014,Percentage,,Male,Thuringia,code16,31.3
2015,Percentage,,Male,Thuringia,code16,29.9
2016,Percentage,,Male,Thuringia,code16,33.4
2017,Percentage,,Male,Thuringia,code16,32.9
2018,Percentage,,Male,Thuringia,code16,38.1
2019,Percentage,,Male,Thuringia,code16,38.9
2020,Percentage,,Male,Thuringia,code16,38.895
2021,Percentage,,Male,Thuringia,code16,40.853
2005,Percentage,,Male,Thuringia,code16,29.1
2006,Percentage,,Male,Thuringia,code16,29.7
2007,Percentage,,Male,Thuringia,code16,32.6
2008,Percentage,,Male,Thuringia,code16,30.4
2009,Percentage,,Male,Thuringia,code16,29.1
2030,Percentage,,,,,
1999,Percentage,With tertiary qualification,,,,24.8
2010,Percentage,With tertiary qualification,,,,29.77
2011,Percentage,With tertiary qualification,,,,30.68
2012,Percentage,With tertiary qualification,,,,31.9
2013,Percentage,With tertiary qualification,,,,33.08
2014,Percentage,With tertiary qualification,,,,31.36
2015,Percentage,With tertiary qualification,,,,32.25
2016,Percentage,With tertiary qualification,,,,33.1
2017,Percentage,With tertiary qualification,,,,34.0
2018,Percentage,With tertiary qualification,,,,34.93
2019,Percentage,With tertiary qualification,,,,35.5
2020,Percentage,With tertiary qualification,,,,36.6
2021,Percentage,With tertiary qualification,,,,37.8
2000,Percentage,With tertiary qualification,,,,25.33
2001,Percentage,With tertiary qualification,,,,25.05
2002,Percentage,With tertiary qualification,,,,25.07
2003,Percentage,With tertiary qualification,,,,25.05
2004,Percentage,With tertiary qualification,,,,26.76
2005,Percentage,With tertiary qualification,,,,26.06
2006,Percentage,With tertiary qualification,,,,25.85
2007,Percentage,With tertiary qualification,,,,26.5
2008,Percentage,With tertiary qualification,,,,27.6
2009,Percentage,With tertiary qualification,,,,29.37
2030,Percentage,With tertiary qualification,,,,
1999,Percentage,With tertiary qualification,Female,,,21.358
2010,Percentage,With tertiary qualification,Female,,,29.658
2011,Percentage,With tertiary qualification,Female,,,31.528
2012,Percentage,With tertiary qualification,Female,,,32.87
2013,Percentage,With tertiary qualification,Female,,,34.0
2014,Percentage,With tertiary qualification,Female,,,30.804
2015,Percentage,With tertiary qualification,Female,,,32.321
2016,Percentage,With tertiary qualification,Female,,,32.9
2017,Percentage,With tertiary qualification,Female,,,34.191
2018,Percentage,With tertiary qualification,Female,,,35.335
2019,Percentage,With tertiary qualification,Female,,,36.0
2020,Percentage,With tertiary qualification,Female,,,37.3
2021,Percentage,With tertiary qualification,Female,,,38.6
2000,Percentage,With tertiary qualification,Female,,,21.778
2001,Percentage,With tertiary qualification,Female,,,21.688
2002,Percentage,With tertiary qualification,Female,,,22.091
2003,Percentage,With tertiary qualification,Female,,,22.511
2004,Percentage,With tertiary qualification,Female,,,24.258
2005,Percentage,With tertiary qualification,Female,,,24.128
2006,Percentage,With tertiary qualification,Female,,,24.415
2007,Percentage,With tertiary qualification,Female,,,25.663
2008,Percentage,With tertiary qualification,Female,,,26.974
2009,Percentage,With tertiary qualification,Female,,,29.178
2030,Percentage,With tertiary qualification,,,,
1999,Percentage,With tertiary qualification,Male,,,28.072
2010,Percentage,With tertiary qualification,Male,,,29.879
2011,Percentage,With tertiary qualification,Male,,,29.843
2012,Percentage,With tertiary qualification,Male,,,30.946
2013,Percentage,With tertiary qualification,Male,,,32.178
2014,Percentage,With tertiary qualification,Male,,,31.922
2015,Percentage,With tertiary qualification,Male,,,32.19
2016,Percentage,With tertiary qualification,Male,,,33.3
2017,Percentage,With tertiary qualification,Male,,,33.816
2018,Percentage,With tertiary qualification,Male,,,34.535
2019,Percentage,With tertiary qualification,Male,,,35.1
2020,Percentage,With tertiary qualification,Male,,,36.0
2021,Percentage,With tertiary qualification,Male,,,37.0
2000,Percentage,With tertiary qualification,Male,,,28.762
2001,Percentage,With tertiary qualification,Male,,,28.33
2002,Percentage,With tertiary qualification,Male,,,27.933
2003,Percentage,With tertiary qualification,Male,,,27.431
2004,Percentage,With tertiary qualification,Male,,,29.151
2005,Percentage,With tertiary qualification,Male,,,27.957
2006,Percentage,With tertiary qualification,Male,,,27.247
2007,Percentage,With tertiary qualification,Male,,,27.31
2008,Percentage,With tertiary qualification,Male,,,28.226
2009,Percentage,With tertiary qualification,Male,,,29.56
2030,Percentage,With tertiary qualification,,,,
1999,Percentage,With post-secondary non-tertiary qualification,,,,8.55
2010,Percentage,With post-secondary non-tertiary qualification,,,,11.545
2011,Percentage,With post-secondary non-tertiary qualification,,,,11.548
2012,Percentage,With post-secondary non-tertiary qualification,,,,11.535
2013,Percentage,With post-secondary non-tertiary qualification,,,,11.4
2014,Percentage,With post-secondary non-tertiary qualification,,,,14.306
2015,Percentage,With post-secondary non-tertiary qualification,,,,14.515
2016,Percentage,With post-secondary non-tertiary qualification,,,,14.779
2017,Percentage,With post-secondary non-tertiary qualification,,,,14.836
2018,Percentage,With post-secondary non-tertiary qualification,,,,14.907
2019,Percentage,With post-secondary non-tertiary qualification,,,,14.988
2020,Percentage,With post-secondary non-tertiary qualification,,,,15.7
2021,Percentage,With post-secondary non-tertiary qualification,,,,15.4
2000,Percentage,With post-secondary non-tertiary qualification,,,,7.666
2001,Percentage,With post-secondary non-tertiary qualification,,,,8.12
2002,Percentage,With post-secondary non-tertiary qualification,,,,8.206
2003,Percentage,With post-secondary non-tertiary qualification,,,,8.847
2004,Percentage,With post-secondary non-tertiary qualification,,,,9.463
2005,Percentage,With post-secondary non-tertiary qualification,,,,9.923
2006,Percentage,With post-secondary non-tertiary qualification,,,,10.655
2007,Percentage,With post-secondary non-tertiary qualification,,,,11.135
2008,Percentage,With post-secondary non-tertiary qualification,,,,11.163
2009,Percentage,With post-secondary non-tertiary qualification,,,,11.343
2030,Percentage,With post-secondary non-tertiary qualification,,,,
1999,Percentage,With post-secondary non-tertiary qualification,Female,,,10.031
2010,Percentage,With post-secondary non-tertiary qualification,Female,,,13.019
2011,Percentage,With post-secondary non-tertiary qualification,Female,,,12.891
2012,Percentage,With post-secondary non-tertiary qualification,Female,,,13.171
2013,Percentage,With post-secondary non-tertiary qualification,Female,,,12.803
2014,Percentage,With post-secondary non-tertiary qualification,Female,,,17.611
2015,Percentage,With post-secondary non-tertiary qualification,Female,,,18.2
2016,Percentage,With post-secondary non-tertiary qualification,Female,,,18.395
2017,Percentage,With post-secondary non-tertiary qualification,Female,,,18.449
2018,Percentage,With post-secondary non-tertiary qualification,Female,,,18.492
2019,Percentage,With post-secondary non-tertiary qualification,Female,,,18.411
2020,Percentage,With post-secondary non-tertiary qualification,Female,,,19.328
2021,Percentage,With post-secondary non-tertiary qualification,Female,,,18.8
2000,Percentage,With post-secondary non-tertiary qualification,Female,,,9.101
2001,Percentage,With post-secondary non-tertiary qualification,Female,,,9.4
2002,Percentage,With post-secondary non-tertiary qualification,Female,,,9.16
2003,Percentage,With post-secondary non-tertiary qualification,Female,,,9.682
2004,Percentage,With post-secondary non-tertiary qualification,Female,,,10.395
2005,Percentage,With post-secondary non-tertiary qualification,Female,,,10.873
2006,Percentage,With post-secondary non-tertiary qualification,Female,,,12.066
2007,Percentage,With post-secondary non-tertiary qualification,Female,,,12.363
2008,Percentage,With post-secondary non-tertiary qualification,Female,,,12.711
2009,Percentage,With post-secondary non-tertiary qualification,Female,,,13.032
2030,Percentage,With post-secondary non-tertiary qualification,,,,
1999,Percentage,With post-secondary non-tertiary qualification,Male,,,7.144
2010,Percentage,With post-secondary non-tertiary qualification,Male,,,10.095
2011,Percentage,With post-secondary non-tertiary qualification,Male,,,10.23
2012,Percentage,With post-secondary non-tertiary qualification,Male,,,9.935
2013,Percentage,With post-secondary non-tertiary qualification,Male,,,10.018
2014,Percentage,With post-secondary non-tertiary qualification,Male,,,11.015
2015,Percentage,With post-secondary non-tertiary qualification,Male,,,10.918
2016,Percentage,With post-secondary non-tertiary qualification,Male,,,11.274
2017,Percentage,With post-secondary non-tertiary qualification,Male,,,11.372
2018,Percentage,With post-secondary non-tertiary qualification,Male,,,11.485
2019,Percentage,With post-secondary non-tertiary qualification,Male,,,11.664
2020,Percentage,With post-secondary non-tertiary qualification,Male,,,12.261
2021,Percentage,With post-secondary non-tertiary qualification,Male,,,12.1
2000,Percentage,With post-secondary non-tertiary qualification,Male,,,6.283
2001,Percentage,With post-secondary non-tertiary qualification,Male,,,6.869
2002,Percentage,With post-secondary non-tertiary qualification,Male,,,7.29
2003,Percentage,With post-secondary non-tertiary qualification,Male,,,8.062
2004,Percentage,With post-secondary non-tertiary qualification,Male,,,8.571
2005,Percentage,With post-secondary non-tertiary qualification,Male,,,8.995
2006,Percentage,With post-secondary non-tertiary qualification,Male,,,9.273
2007,Percentage,With post-secondary non-tertiary qualification,Male,,,9.941
2008,Percentage,With post-secondary non-tertiary qualification,Male,,,9.633
2009,Percentage,With post-secondary non-tertiary qualification,Male,,,9.673
2030,Percentage,With post-secondary non-tertiary qualification,,,,
