Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Länder,GeoCode,Value
1992,Percentage,,,Thuringia,code16,12.572
1993,Percentage,,,Thuringia,code16,10.255
1994,Percentage,,,Thuringia,code16,16.765
1995,Percentage,,,Thuringia,code16,24.799
1996,Percentage,,,Thuringia,code16,28.317
1997,Percentage,,,Thuringia,code16,31.408
1998,Percentage,,,Thuringia,code16,29.901
1999,Percentage,,,Thuringia,code16,31.45
2000,Percentage,r,,Thuringia,code16,33.204
2001,Percentage,r,,Thuringia,code16,34.04
2002,Percentage,r,,Thuringia,code16,35.129
2003,Percentage,r,,Thuringia,code16,35.695
2004,Percentage,r,,Thuringia,code16,36.834
2005,Percentage,r,,Thuringia,code16,39.016
2006,Percentage,r,,Thuringia,code16,39.332
2007,Percentage,r,,Thuringia,code16,38.606
2008,Percentage,r,,Thuringia,code16,37.045
2009,Percentage,r,,Thuringia,code16,38.926
2010,Percentage,r,,Thuringia,code16,38.538
2011,Percentage,r,,Thuringia,code16,36.362
2012,Percentage,r,,Thuringia,code16,35.335
2013,Percentage,r,,Thuringia,code16,35.16
2014,Percentage,r,,Thuringia,code16,32.835
2015,Percentage,r,,Thuringia,code16,31.654
2016,Percentage,r,,Thuringia,code16,30.084
2017,Percentage,r,,Thuringia,code16,29.702
2018,Percentage,r,,Thuringia,code16,26.955
2019,Percentage,r,,Thuringia,code16,26.028
2020,Percentage,r,,Thuringia,code16,27.876
2021,Percentage,r,,Thuringia,code16,27.494
2022,Percentage,r,p,Thuringia,code16,24.535
2023,Percentage,r,p,Thuringia,code16,22.338
2024,Percentage,p,,Thuringia,code16,21.506
