Year,Units,Series,COMMENT_OBS_0,Bundesland,GeoCode,Value
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Nordrhein-Westfalen,code05,17.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Nordrhein-Westfalen,code05,17.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Nordrhein-Westfalen,code05,16.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Nordrhein-Westfalen,code05,15.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,21.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,22.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,22.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,22.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,22.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,22.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,22.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,22.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,21.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,20.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,20.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,19.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,18.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Rheinland-Pfalz,code07,17.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Rheinland-Pfalz,code07,15.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Rheinland-Pfalz,code07,15.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Rheinland-Pfalz,code07,15.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Rheinland-Pfalz,code07,15.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Rheinland-Pfalz,code07,14.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Rheinland-Pfalz,code07,14.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,24.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,26.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,26.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,25.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,25.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,25.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,25.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,24.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,23.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,24.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,24.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,24.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,23.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Saarland,code10,22.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Saarland,code10,20.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Saarland,code10,20.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Saarland,code10,18.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Saarland,code10,18.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Saarland,code10,16.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Saarland,code10,16.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,9.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,9.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,9.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,9.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,9.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,10.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,11.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,11.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,11.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,11.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,10.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,9.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,8.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen,code14,7.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Sachsen,code14,7.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Sachsen,code14,6.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Sachsen,code14,8.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Sachsen,code14,9.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Sachsen,code14,7.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Sachsen,code14,6.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,3.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,3.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,3.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,3.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,4.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,5.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,5.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,4.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,5.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,4.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,4.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,6.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,8.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Sachsen-Anhalt,code15,7.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Sachsen-Anhalt,code15,8.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Sachsen-Anhalt,code15,7.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Sachsen-Anhalt,code15,6.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Sachsen-Anhalt,code15,5.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Sachsen-Anhalt,code15,4.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Sachsen-Anhalt,code15,4.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,19.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,17.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,18.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,17.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,16.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,16.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,14.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,14.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Schleswig-Holstein,code01,13.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Schleswig-Holstein,code01,13.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Schleswig-Holstein,code01,12.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Schleswig-Holstein,code01,12.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Schleswig-Holstein,code01,12.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Schleswig-Holstein,code01,11.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Schleswig-Holstein,code01,12.0
2006,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,6.0
2007,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,5.0
2008,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,5.0
2009,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,6.0
2010,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,6.0
2011,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,7.0
2012,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,8.0
2013,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,9.0
2014,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,8.0
2015,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,9.0
2016,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,7.0
2017,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,6.0
2018,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,6.0
2019,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,r,Thüringen,code16,6.0
2020,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Thüringen,code16,5.0
2021,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,p,Thüringen,code16,5.0
2022,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Thüringen,code16,7.0
2023,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Thüringen,code16,7.0
2024,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Thüringen,code16,6.0
2025,Prozent,<u>Zeitreihe des Indikators:</u> Unbereinigter Gender Pay Gap,,Thüringen,code16,5.0
