Year,Units,title,sex,Bundesland,GeoCode,Value
2012,percentage (%),foreign school graduates,female,hh,code02,91.6
2013,percentage (%),foreign school graduates,female,hh,code02,91.6
2014,percentage (%),foreign school graduates,female,hh,code02,92.1
2015,percentage (%),foreign school graduates,female,hh,code02,91.9
2016,percentage (%),foreign school graduates,female,hh,code02,88.3
2017,percentage (%),foreign school graduates,female,hh,code02,89.0
2018,percentage (%),foreign school graduates,female,hh,code02,87.3
2019,percentage (%),foreign school graduates,female,hh,code02,89.2
1996,percentage (%),foreign school graduates,male,hh,code02,79.2
1997,percentage (%),foreign school graduates,male,hh,code02,79.8
1998,percentage (%),foreign school graduates,male,hh,code02,79.0
1999,percentage (%),foreign school graduates,male,hh,code02,75.0
2000,percentage (%),foreign school graduates,male,hh,code02,77.4
2001,percentage (%),foreign school graduates,male,hh,code02,76.5
2002,percentage (%),foreign school graduates,male,hh,code02,79.6
2003,percentage (%),foreign school graduates,male,hh,code02,78.1
2004,percentage (%),foreign school graduates,male,hh,code02,76.7
2005,percentage (%),foreign school graduates,male,hh,code02,76.8
2006,percentage (%),foreign school graduates,male,hh,code02,77.9
2007,percentage (%),foreign school graduates,male,hh,code02,79.0
2008,percentage (%),foreign school graduates,male,hh,code02,82.2
2009,percentage (%),foreign school graduates,male,hh,code02,82.9
2010,percentage (%),foreign school graduates,male,hh,code02,84.7
2011,percentage (%),foreign school graduates,male,hh,code02,86.2
2012,percentage (%),foreign school graduates,male,hh,code02,87.4
2013,percentage (%),foreign school graduates,male,hh,code02,89.3
2014,percentage (%),foreign school graduates,male,hh,code02,88.0
2015,percentage (%),foreign school graduates,male,hh,code02,87.1
2016,percentage (%),foreign school graduates,male,hh,code02,84.7
2017,percentage (%),foreign school graduates,male,hh,code02,86.4
2018,percentage (%),foreign school graduates,male,hh,code02,83.1
2019,percentage (%),foreign school graduates,male,hh,code02,84.7
1996,percentage (%),foreign school graduates,a) total,he,code06,79.0
1997,percentage (%),foreign school graduates,a) total,he,code06,80.5
1998,percentage (%),foreign school graduates,a) total,he,code06,82.0
1999,percentage (%),foreign school graduates,a) total,he,code06,79.9
2000,percentage (%),foreign school graduates,a) total,he,code06,78.5
2001,percentage (%),foreign school graduates,a) total,he,code06,80.0
2002,percentage (%),foreign school graduates,a) total,he,code06,80.9
2003,percentage (%),foreign school graduates,a) total,he,code06,81.1
2004,percentage (%),foreign school graduates,a) total,he,code06,81.8
2005,percentage (%),foreign school graduates,a) total,he,code06,83.2
2006,percentage (%),foreign school graduates,a) total,he,code06,83.9
2007,percentage (%),foreign school graduates,a) total,he,code06,84.0
2008,percentage (%),foreign school graduates,a) total,he,code06,87.1
2009,percentage (%),foreign school graduates,a) total,he,code06,85.9
2010,percentage (%),foreign school graduates,a) total,he,code06,87.0
2011,percentage (%),foreign school graduates,a) total,he,code06,88.3
2012,percentage (%),foreign school graduates,a) total,he,code06,89.0
2013,percentage (%),foreign school graduates,a) total,he,code06,90.3
2014,percentage (%),foreign school graduates,a) total,he,code06,90.7
2015,percentage (%),foreign school graduates,a) total,he,code06,91.9
2016,percentage (%),foreign school graduates,a) total,he,code06,89.8
2017,percentage (%),foreign school graduates,a) total,he,code06,89.7
2018,percentage (%),foreign school graduates,a) total,he,code06,89.7
2019,percentage (%),foreign school graduates,a) total,he,code06,88.7
1996,percentage (%),foreign school graduates,female,he,code06,83.2
1997,percentage (%),foreign school graduates,female,he,code06,84.2
1998,percentage (%),foreign school graduates,female,he,code06,85.9
1999,percentage (%),foreign school graduates,female,he,code06,83.9
2000,percentage (%),foreign school graduates,female,he,code06,82.6
2001,percentage (%),foreign school graduates,female,he,code06,83.6
2002,percentage (%),foreign school graduates,female,he,code06,83.9
2003,percentage (%),foreign school graduates,female,he,code06,84.3
2004,percentage (%),foreign school graduates,female,he,code06,84.9
2005,percentage (%),foreign school graduates,female,he,code06,86.7
2006,percentage (%),foreign school graduates,female,he,code06,86.0
2007,percentage (%),foreign school graduates,female,he,code06,86.1
2008,percentage (%),foreign school graduates,female,he,code06,88.7
2009,percentage (%),foreign school graduates,female,he,code06,88.4
2010,percentage (%),foreign school graduates,female,he,code06,89.6
2011,percentage (%),foreign school graduates,female,he,code06,89.7
2012,percentage (%),foreign school graduates,female,he,code06,91.2
2013,percentage (%),foreign school graduates,female,he,code06,91.6
2014,percentage (%),foreign school graduates,female,he,code06,92.9
2015,percentage (%),foreign school graduates,female,he,code06,93.8
2016,percentage (%),foreign school graduates,female,he,code06,92.2
2017,percentage (%),foreign school graduates,female,he,code06,91.2
2018,percentage (%),foreign school graduates,female,he,code06,91.9
2019,percentage (%),foreign school graduates,female,he,code06,91.1
1996,percentage (%),foreign school graduates,male,he,code06,75.4
1997,percentage (%),foreign school graduates,male,he,code06,77.1
1998,percentage (%),foreign school graduates,male,he,code06,78.4
1999,percentage (%),foreign school graduates,male,he,code06,76.4
2000,percentage (%),foreign school graduates,male,he,code06,74.9
2001,percentage (%),foreign school graduates,male,he,code06,76.8
2002,percentage (%),foreign school graduates,male,he,code06,78.2
2003,percentage (%),foreign school graduates,male,he,code06,78.4
2004,percentage (%),foreign school graduates,male,he,code06,79.0
2005,percentage (%),foreign school graduates,male,he,code06,80.0
2006,percentage (%),foreign school graduates,male,he,code06,81.9
2007,percentage (%),foreign school graduates,male,he,code06,82.0
2008,percentage (%),foreign school graduates,male,he,code06,85.4
2009,percentage (%),foreign school graduates,male,he,code06,83.4
2010,percentage (%),foreign school graduates,male,he,code06,84.3
2011,percentage (%),foreign school graduates,male,he,code06,87.0
2012,percentage (%),foreign school graduates,male,he,code06,86.9
2013,percentage (%),foreign school graduates,male,he,code06,89.0
2014,percentage (%),foreign school graduates,male,he,code06,88.6
2015,percentage (%),foreign school graduates,male,he,code06,90.0
2016,percentage (%),foreign school graduates,male,he,code06,87.6
2017,percentage (%),foreign school graduates,male,he,code06,88.4
2018,percentage (%),foreign school graduates,male,he,code06,88.0
2019,percentage (%),foreign school graduates,male,he,code06,86.7
1996,percentage (%),foreign school graduates,a) total,mv,code13,87.2
1997,percentage (%),foreign school graduates,a) total,mv,code13,85.7
1998,percentage (%),foreign school graduates,a) total,mv,code13,73.9
1999,percentage (%),foreign school graduates,a) total,mv,code13,78.7
2000,percentage (%),foreign school graduates,a) total,mv,code13,85.6
2001,percentage (%),foreign school graduates,a) total,mv,code13,73.0
2002,percentage (%),foreign school graduates,a) total,mv,code13,83.4
2003,percentage (%),foreign school graduates,a) total,mv,code13,79.5
2004,percentage (%),foreign school graduates,a) total,mv,code13,85.3
2005,percentage (%),foreign school graduates,a) total,mv,code13,78.7
2006,percentage (%),foreign school graduates,a) total,mv,code13,85.2
2007,percentage (%),foreign school graduates,a) total,mv,code13,81.5
2008,percentage (%),foreign school graduates,a) total,mv,code13,86.7
2009,percentage (%),foreign school graduates,a) total,mv,code13,85.3
2010,percentage (%),foreign school graduates,a) total,mv,code13,83.8
2011,percentage (%),foreign school graduates,a) total,mv,code13,81.9
2012,percentage (%),foreign school graduates,a) total,mv,code13,89.3
2013,percentage (%),foreign school graduates,a) total,mv,code13,83.1
2014,percentage (%),foreign school graduates,a) total,mv,code13,87.2
2015,percentage (%),foreign school graduates,a) total,mv,code13,91.8
2016,percentage (%),foreign school graduates,a) total,mv,code13,84.1
2017,percentage (%),foreign school graduates,a) total,mv,code13,80.2
2018,percentage (%),foreign school graduates,a) total,mv,code13,75.0
2019,percentage (%),foreign school graduates,a) total,mv,code13,79.2
1996,percentage (%),foreign school graduates,female,mv,code13,100.0
1997,percentage (%),foreign school graduates,female,mv,code13,90.0
1998,percentage (%),foreign school graduates,female,mv,code13,73.7
1999,percentage (%),foreign school graduates,female,mv,code13,79.7
2000,percentage (%),foreign school graduates,female,mv,code13,91.5
2001,percentage (%),foreign school graduates,female,mv,code13,83.3
2002,percentage (%),foreign school graduates,female,mv,code13,94.6
2003,percentage (%),foreign school graduates,female,mv,code13,88.0
2004,percentage (%),foreign school graduates,female,mv,code13,91.5
2005,percentage (%),foreign school graduates,female,mv,code13,86.5
2006,percentage (%),foreign school graduates,female,mv,code13,88.6
2007,percentage (%),foreign school graduates,female,mv,code13,82.9
2008,percentage (%),foreign school graduates,female,mv,code13,92.1
2009,percentage (%),foreign school graduates,female,mv,code13,89.9
2010,percentage (%),foreign school graduates,female,mv,code13,88.2
2011,percentage (%),foreign school graduates,female,mv,code13,87.4
2012,percentage (%),foreign school graduates,female,mv,code13,90.4
2013,percentage (%),foreign school graduates,female,mv,code13,85.8
2014,percentage (%),foreign school graduates,female,mv,code13,89.8
2015,percentage (%),foreign school graduates,female,mv,code13,92.7
2016,percentage (%),foreign school graduates,female,mv,code13,90.3
2017,percentage (%),foreign school graduates,female,mv,code13,89.9
2018,percentage (%),foreign school graduates,female,mv,code13,84.7
2019,percentage (%),foreign school graduates,female,mv,code13,82.8
1996,percentage (%),foreign school graduates,male,mv,code13,75.0
1997,percentage (%),foreign school graduates,male,mv,code13,81.8
1998,percentage (%),foreign school graduates,male,mv,code13,74.1
1999,percentage (%),foreign school graduates,male,mv,code13,77.8
2000,percentage (%),foreign school graduates,male,mv,code13,76.6
2001,percentage (%),foreign school graduates,male,mv,code13,63.6
2002,percentage (%),foreign school graduates,male,mv,code13,71.8
2003,percentage (%),foreign school graduates,male,mv,code13,70.4
2004,percentage (%),foreign school graduates,male,mv,code13,77.7
2005,percentage (%),foreign school graduates,male,mv,code13,71.4
2006,percentage (%),foreign school graduates,male,mv,code13,82.7
2007,percentage (%),foreign school graduates,male,mv,code13,80.0
2008,percentage (%),foreign school graduates,male,mv,code13,80.8
2009,percentage (%),foreign school graduates,male,mv,code13,80.4
2010,percentage (%),foreign school graduates,male,mv,code13,79.6
2011,percentage (%),foreign school graduates,male,mv,code13,76.7
2012,percentage (%),foreign school graduates,male,mv,code13,88.3
2013,percentage (%),foreign school graduates,male,mv,code13,80.2
2014,percentage (%),foreign school graduates,male,mv,code13,84.6
2015,percentage (%),foreign school graduates,male,mv,code13,90.8
2016,percentage (%),foreign school graduates,male,mv,code13,78.7
2017,percentage (%),foreign school graduates,male,mv,code13,73.3
2018,percentage (%),foreign school graduates,male,mv,code13,69.7
2019,percentage (%),foreign school graduates,male,mv,code13,76.8
1996,percentage (%),foreign school graduates,a) total,ni,code03,72.7
1997,percentage (%),foreign school graduates,a) total,ni,code03,72.7
1998,percentage (%),foreign school graduates,a) total,ni,code03,74.8
1999,percentage (%),foreign school graduates,a) total,ni,code03,74.1
2000,percentage (%),foreign school graduates,a) total,ni,code03,72.4
2001,percentage (%),foreign school graduates,a) total,ni,code03,72.6
2002,percentage (%),foreign school graduates,a) total,ni,code03,73.4
2003,percentage (%),foreign school graduates,a) total,ni,code03,71.5
2004,percentage (%),foreign school graduates,a) total,ni,code03,77.6
2005,percentage (%),foreign school graduates,a) total,ni,code03,75.0
2006,percentage (%),foreign school graduates,a) total,ni,code03,75.1
2007,percentage (%),foreign school graduates,a) total,ni,code03,79.9
2008,percentage (%),foreign school graduates,a) total,ni,code03,80.0
2009,percentage (%),foreign school graduates,a) total,ni,code03,82.7
2010,percentage (%),foreign school graduates,a) total,ni,code03,83.8
2011,percentage (%),foreign school graduates,a) total,ni,code03,84.3
2012,percentage (%),foreign school graduates,a) total,ni,code03,86.4
2013,percentage (%),foreign school graduates,a) total,ni,code03,86.3
2014,percentage (%),foreign school graduates,a) total,ni,code03,87.8
2015,percentage (%),foreign school graduates,a) total,ni,code03,85.6
2016,percentage (%),foreign school graduates,a) total,ni,code03,83.7
2017,percentage (%),foreign school graduates,a) total,ni,code03,77.1
2018,percentage (%),foreign school graduates,a) total,ni,code03,77.1
2019,percentage (%),foreign school graduates,a) total,ni,code03,76.9
1996,percentage (%),foreign school graduates,female,ni,code03,77.4
1997,percentage (%),foreign school graduates,female,ni,code03,77.4
1998,percentage (%),foreign school graduates,female,ni,code03,80.1
1999,percentage (%),foreign school graduates,female,ni,code03,79.9
2000,percentage (%),foreign school graduates,female,ni,code03,78.3
2001,percentage (%),foreign school graduates,female,ni,code03,78.5
2002,percentage (%),foreign school graduates,female,ni,code03,79.4
2003,percentage (%),foreign school graduates,female,ni,code03,77.1
2004,percentage (%),foreign school graduates,female,ni,code03,82.6
2005,percentage (%),foreign school graduates,female,ni,code03,80.5
2006,percentage (%),foreign school graduates,female,ni,code03,80.3
2007,percentage (%),foreign school graduates,female,ni,code03,84.1
2008,percentage (%),foreign school graduates,female,ni,code03,84.0
2009,percentage (%),foreign school graduates,female,ni,code03,86.2
2010,percentage (%),foreign school graduates,female,ni,code03,87.1
2011,percentage (%),foreign school graduates,female,ni,code03,87.8
2012,percentage (%),foreign school graduates,female,ni,code03,89.0
2013,percentage (%),foreign school graduates,female,ni,code03,87.7
2014,percentage (%),foreign school graduates,female,ni,code03,88.6
2015,percentage (%),foreign school graduates,female,ni,code03,86.5
2016,percentage (%),foreign school graduates,female,ni,code03,85.8
2017,percentage (%),foreign school graduates,female,ni,code03,82.0
2018,percentage (%),foreign school graduates,female,ni,code03,80.6
2019,percentage (%),foreign school graduates,female,ni,code03,80.5
1996,percentage (%),foreign school graduates,male,ni,code03,68.6
1997,percentage (%),foreign school graduates,male,ni,code03,68.6
1998,percentage (%),foreign school graduates,male,ni,code03,70.6
1999,percentage (%),foreign school graduates,male,ni,code03,68.9
2000,percentage (%),foreign school graduates,male,ni,code03,67.2
2001,percentage (%),foreign school graduates,male,ni,code03,67.4
2002,percentage (%),foreign school graduates,male,ni,code03,68.0
2003,percentage (%),foreign school graduates,male,ni,code03,67.1
2004,percentage (%),foreign school graduates,male,ni,code03,73.5
2005,percentage (%),foreign school graduates,male,ni,code03,70.4
2006,percentage (%),foreign school graduates,male,ni,code03,70.4
2007,percentage (%),foreign school graduates,male,ni,code03,75.9
2008,percentage (%),foreign school graduates,male,ni,code03,76.2
2009,percentage (%),foreign school graduates,male,ni,code03,79.4
2010,percentage (%),foreign school graduates,male,ni,code03,80.7
2011,percentage (%),foreign school graduates,male,ni,code03,81.0
2012,percentage (%),foreign school graduates,male,ni,code03,83.9
2013,percentage (%),foreign school graduates,male,ni,code03,85.0
2014,percentage (%),foreign school graduates,male,ni,code03,87.0
2015,percentage (%),foreign school graduates,male,ni,code03,84.7
2016,percentage (%),foreign school graduates,male,ni,code03,81.8
2017,percentage (%),foreign school graduates,male,ni,code03,73.2
2018,percentage (%),foreign school graduates,male,ni,code03,74.5
2019,percentage (%),foreign school graduates,male,ni,code03,73.9
1996,percentage (%),foreign school graduates,a) total,nw,code05,87.3
1997,percentage (%),foreign school graduates,a) total,nw,code05,87.0
1998,percentage (%),foreign school graduates,a) total,nw,code05,87.2
1999,percentage (%),foreign school graduates,a) total,nw,code05,87.7
2000,percentage (%),foreign school graduates,a) total,nw,code05,86.9
2001,percentage (%),foreign school graduates,a) total,nw,code05,86.4
2002,percentage (%),foreign school graduates,a) total,nw,code05,85.6
2003,percentage (%),foreign school graduates,a) total,nw,code05,86.3
2004,percentage (%),foreign school graduates,a) total,nw,code05,86.1
2005,percentage (%),foreign school graduates,a) total,nw,code05,85.9
2006,percentage (%),foreign school graduates,a) total,nw,code05,86.2
2007,percentage (%),foreign school graduates,a) total,nw,code05,85.8
2008,percentage (%),foreign school graduates,a) total,nw,code05,85.9
2009,percentage (%),foreign school graduates,a) total,nw,code05,86.9
2010,percentage (%),foreign school graduates,a) total,nw,code05,87.7
2011,percentage (%),foreign school graduates,a) total,nw,code05,88.7
2012,percentage (%),foreign school graduates,a) total,nw,code05,89.0
2013,percentage (%),foreign school graduates,a) total,nw,code05,89.8
2014,percentage (%),foreign school graduates,a) total,nw,code05,88.5
2015,percentage (%),foreign school graduates,a) total,nw,code05,88.9
2016,percentage (%),foreign school graduates,a) total,nw,code05,88.4
2017,percentage (%),foreign school graduates,a) total,nw,code05,84.6
2018,percentage (%),foreign school graduates,a) total,nw,code05,84.0
2019,percentage (%),foreign school graduates,a) total,nw,code05,84.1
1996,percentage (%),foreign school graduates,female,nw,code05,90.2
1997,percentage (%),foreign school graduates,female,nw,code05,90.2
1998,percentage (%),foreign school graduates,female,nw,code05,90.4
1999,percentage (%),foreign school graduates,female,nw,code05,90.4
2000,percentage (%),foreign school graduates,female,nw,code05,89.7
2001,percentage (%),foreign school graduates,female,nw,code05,89.5
2002,percentage (%),foreign school graduates,female,nw,code05,88.6
2003,percentage (%),foreign school graduates,female,nw,code05,89.0
2004,percentage (%),foreign school graduates,female,nw,code05,89.2
2005,percentage (%),foreign school graduates,female,nw,code05,89.1
2006,percentage (%),foreign school graduates,female,nw,code05,88.8
2007,percentage (%),foreign school graduates,female,nw,code05,88.5
2008,percentage (%),foreign school graduates,female,nw,code05,88.6
2009,percentage (%),foreign school graduates,female,nw,code05,88.7
2010,percentage (%),foreign school graduates,female,nw,code05,89.6
2011,percentage (%),foreign school graduates,female,nw,code05,90.5
2012,percentage (%),foreign school graduates,female,nw,code05,90.6
2013,percentage (%),foreign school graduates,female,nw,code05,91.5
2014,percentage (%),foreign school graduates,female,nw,code05,90.3
2015,percentage (%),foreign school graduates,female,nw,code05,90.4
2016,percentage (%),foreign school graduates,female,nw,code05,90.3
2017,percentage (%),foreign school graduates,female,nw,code05,87.8
2018,percentage (%),foreign school graduates,female,nw,code05,86.7
2019,percentage (%),foreign school graduates,female,nw,code05,86.5
1996,percentage (%),foreign school graduates,male,nw,code05,84.7
1997,percentage (%),foreign school graduates,male,nw,code05,84.1
1998,percentage (%),foreign school graduates,male,nw,code05,84.3
1999,percentage (%),foreign school graduates,male,nw,code05,85.2
2000,percentage (%),foreign school graduates,male,nw,code05,84.1
2001,percentage (%),foreign school graduates,male,nw,code05,83.5
2002,percentage (%),foreign school graduates,male,nw,code05,82.6
2003,percentage (%),foreign school graduates,male,nw,code05,83.7
2004,percentage (%),foreign school graduates,male,nw,code05,83.1
2005,percentage (%),foreign school graduates,male,nw,code05,83.1
2006,percentage (%),foreign school graduates,male,nw,code05,83.8
2007,percentage (%),foreign school graduates,male,nw,code05,83.1
2008,percentage (%),foreign school graduates,male,nw,code05,83.4
2009,percentage (%),foreign school graduates,male,nw,code05,85.1
2010,percentage (%),foreign school graduates,male,nw,code05,85.9
2011,percentage (%),foreign school graduates,male,nw,code05,86.9
2012,percentage (%),foreign school graduates,male,nw,code05,87.4
2013,percentage (%),foreign school graduates,male,nw,code05,88.1
2014,percentage (%),foreign school graduates,male,nw,code05,86.7
2015,percentage (%),foreign school graduates,male,nw,code05,87.4
2016,percentage (%),foreign school graduates,male,nw,code05,86.6
2017,percentage (%),foreign school graduates,male,nw,code05,81.7
2018,percentage (%),foreign school graduates,male,nw,code05,81.7
2019,percentage (%),foreign school graduates,male,nw,code05,82.0
1996,percentage (%),foreign school graduates,a) total,rp,code07,78.3
1997,percentage (%),foreign school graduates,a) total,rp,code07,77.2
1998,percentage (%),foreign school graduates,a) total,rp,code07,74.8
1999,percentage (%),foreign school graduates,a) total,rp,code07,73.0
2000,percentage (%),foreign school graduates,a) total,rp,code07,74.8
2001,percentage (%),foreign school graduates,a) total,rp,code07,76.8
2002,percentage (%),foreign school graduates,a) total,rp,code07,78.1
2003,percentage (%),foreign school graduates,a) total,rp,code07,74.6
2004,percentage (%),foreign school graduates,a) total,rp,code07,78.5
2005,percentage (%),foreign school graduates,a) total,rp,code07,85.0
2006,percentage (%),foreign school graduates,a) total,rp,code07,83.2
2007,percentage (%),foreign school graduates,a) total,rp,code07,84.9
2008,percentage (%),foreign school graduates,a) total,rp,code07,84.1
2009,percentage (%),foreign school graduates,a) total,rp,code07,86.4
2010,percentage (%),foreign school graduates,a) total,rp,code07,88.2
2011,percentage (%),foreign school graduates,a) total,rp,code07,89.2
2012,percentage (%),foreign school graduates,a) total,rp,code07,90.0
2013,percentage (%),foreign school graduates,a) total,rp,code07,89.7
2014,percentage (%),foreign school graduates,a) total,rp,code07,89.0
2015,percentage (%),foreign school graduates,a) total,rp,code07,88.1
2016,percentage (%),foreign school graduates,a) total,rp,code07,86.0
2017,percentage (%),foreign school graduates,a) total,rp,code07,82.4
2018,percentage (%),foreign school graduates,a) total,rp,code07,82.1
2019,percentage (%),foreign school graduates,a) total,rp,code07,82.2
1996,percentage (%),foreign school graduates,female,rp,code07,84.8
1997,percentage (%),foreign school graduates,female,rp,code07,81.9
1998,percentage (%),foreign school graduates,female,rp,code07,81.2
1999,percentage (%),foreign school graduates,female,rp,code07,79.7
2000,percentage (%),foreign school graduates,female,rp,code07,81.1
2001,percentage (%),foreign school graduates,female,rp,code07,81.8
2002,percentage (%),foreign school graduates,female,rp,code07,82.9
2003,percentage (%),foreign school graduates,female,rp,code07,76.0
2004,percentage (%),foreign school graduates,female,rp,code07,83.2
2005,percentage (%),foreign school graduates,female,rp,code07,87.3
2006,percentage (%),foreign school graduates,female,rp,code07,88.1
2007,percentage (%),foreign school graduates,female,rp,code07,88.8
2008,percentage (%),foreign school graduates,female,rp,code07,87.2
2009,percentage (%),foreign school graduates,female,rp,code07,89.8
2010,percentage (%),foreign school graduates,female,rp,code07,90.6
2011,percentage (%),foreign school graduates,female,rp,code07,91.3
2012,percentage (%),foreign school graduates,female,rp,code07,92.0
2013,percentage (%),foreign school graduates,female,rp,code07,92.2
2014,percentage (%),foreign school graduates,female,rp,code07,90.5
2015,percentage (%),foreign school graduates,female,rp,code07,90.5
2016,percentage (%),foreign school graduates,female,rp,code07,90.3
2017,percentage (%),foreign school graduates,female,rp,code07,86.9
2018,percentage (%),foreign school graduates,female,rp,code07,87.2
2019,percentage (%),foreign school graduates,female,rp,code07,86.6
1996,percentage (%),foreign school graduates,male,rp,code07,73.1
1997,percentage (%),foreign school graduates,male,rp,code07,72.9
1998,percentage (%),foreign school graduates,male,rp,code07,69.5
1999,percentage (%),foreign school graduates,male,rp,code07,67.5
2000,percentage (%),foreign school graduates,male,rp,code07,69.4
2001,percentage (%),foreign school graduates,male,rp,code07,72.6
2002,percentage (%),foreign school graduates,male,rp,code07,73.6
2003,percentage (%),foreign school graduates,male,rp,code07,72.9
2004,percentage (%),foreign school graduates,male,rp,code07,74.0
2005,percentage (%),foreign school graduates,male,rp,code07,82.8
2006,percentage (%),foreign school graduates,male,rp,code07,78.8
2007,percentage (%),foreign school graduates,male,rp,code07,81.1
2008,percentage (%),foreign school graduates,male,rp,code07,81.2
2009,percentage (%),foreign school graduates,male,rp,code07,83.3
2010,percentage (%),foreign school graduates,male,rp,code07,85.9
2011,percentage (%),foreign school graduates,male,rp,code07,87.2
2012,percentage (%),foreign school graduates,male,rp,code07,88.1
2013,percentage (%),foreign school graduates,male,rp,code07,87.3
2014,percentage (%),foreign school graduates,male,rp,code07,87.6
2015,percentage (%),foreign school graduates,male,rp,code07,86.1
2016,percentage (%),foreign school graduates,male,rp,code07,82.2
2017,percentage (%),foreign school graduates,male,rp,code07,78.7
2018,percentage (%),foreign school graduates,male,rp,code07,78.3
2019,percentage (%),foreign school graduates,male,rp,code07,78.5
1996,percentage (%),foreign school graduates,a) total,sl,code10,76.6
1997,percentage (%),foreign school graduates,a) total,sl,code10,82.8
1998,percentage (%),foreign school graduates,a) total,sl,code10,80.6
1999,percentage (%),foreign school graduates,a) total,sl,code10,79.2
2000,percentage (%),foreign school graduates,a) total,sl,code10,76.1
2001,percentage (%),foreign school graduates,a) total,sl,code10,80.8
2002,percentage (%),foreign school graduates,a) total,sl,code10,83.1
2003,percentage (%),foreign school graduates,a) total,sl,code10,82.3
2004,percentage (%),foreign school graduates,a) total,sl,code10,83.3
2005,percentage (%),foreign school graduates,a) total,sl,code10,84.9
2006,percentage (%),foreign school graduates,a) total,sl,code10,85.9
2007,percentage (%),foreign school graduates,a) total,sl,code10,88.1
2008,percentage (%),foreign school graduates,a) total,sl,code10,87.9
2009,percentage (%),foreign school graduates,a) total,sl,code10,89.7
2010,percentage (%),foreign school graduates,a) total,sl,code10,89.8
2011,percentage (%),foreign school graduates,a) total,sl,code10,91.0
2012,percentage (%),foreign school graduates,a) total,sl,code10,93.2
2013,percentage (%),foreign school graduates,a) total,sl,code10,91.7
2014,percentage (%),foreign school graduates,a) total,sl,code10,92.5
2015,percentage (%),foreign school graduates,a) total,sl,code10,90.8
2016,percentage (%),foreign school graduates,a) total,sl,code10,83.0
2017,percentage (%),foreign school graduates,a) total,sl,code10,84.9
2018,percentage (%),foreign school graduates,a) total,sl,code10,79.8
2019,percentage (%),foreign school graduates,a) total,sl,code10,78.5
1996,percentage (%),foreign school graduates,female,sl,code10,76.6
1997,percentage (%),foreign school graduates,female,sl,code10,82.8
1998,percentage (%),foreign school graduates,female,sl,code10,80.6
1999,percentage (%),foreign school graduates,female,sl,code10,79.2
2000,percentage (%),foreign school graduates,female,sl,code10,76.1
2001,percentage (%),foreign school graduates,female,sl,code10,80.8
2002,percentage (%),foreign school graduates,female,sl,code10,83.1
2003,percentage (%),foreign school graduates,female,sl,code10,82.3
2004,percentage (%),foreign school graduates,female,sl,code10,83.3
2005,percentage (%),foreign school graduates,female,sl,code10,84.9
2006,percentage (%),foreign school graduates,female,sl,code10,85.9
2007,percentage (%),foreign school graduates,female,sl,code10,88.1
2008,percentage (%),foreign school graduates,female,sl,code10,87.9
2009,percentage (%),foreign school graduates,female,sl,code10,89.7
2010,percentage (%),foreign school graduates,female,sl,code10,89.8
2011,percentage (%),foreign school graduates,female,sl,code10,91.0
2012,percentage (%),foreign school graduates,female,sl,code10,93.2
2013,percentage (%),foreign school graduates,female,sl,code10,91.7
2014,percentage (%),foreign school graduates,female,sl,code10,92.5
2015,percentage (%),foreign school graduates,female,sl,code10,90.8
2016,percentage (%),foreign school graduates,female,sl,code10,83.0
2017,percentage (%),foreign school graduates,female,sl,code10,84.9
2018,percentage (%),foreign school graduates,female,sl,code10,79.8
2019,percentage (%),foreign school graduates,female,sl,code10,83.9
1996,percentage (%),foreign school graduates,male,sl,code10,67.7
1997,percentage (%),foreign school graduates,male,sl,code10,73.4
1998,percentage (%),foreign school graduates,male,sl,code10,70.9
1999,percentage (%),foreign school graduates,male,sl,code10,70.6
2000,percentage (%),foreign school graduates,male,sl,code10,70.3
2001,percentage (%),foreign school graduates,male,sl,code10,68.1
2002,percentage (%),foreign school graduates,male,sl,code10,72.6
2003,percentage (%),foreign school graduates,male,sl,code10,78.0
2004,percentage (%),foreign school graduates,male,sl,code10,75.4
2005,percentage (%),foreign school graduates,male,sl,code10,79.1
2006,percentage (%),foreign school graduates,male,sl,code10,81.9
2007,percentage (%),foreign school graduates,male,sl,code10,80.4
2008,percentage (%),foreign school graduates,male,sl,code10,81.2
2009,percentage (%),foreign school graduates,male,sl,code10,82.9
2010,percentage (%),foreign school graduates,male,sl,code10,85.8
2011,percentage (%),foreign school graduates,male,sl,code10,87.8
2012,percentage (%),foreign school graduates,male,sl,code10,86.7
2013,percentage (%),foreign school graduates,male,sl,code10,88.6
2014,percentage (%),foreign school graduates,male,sl,code10,87.8
2015,percentage (%),foreign school graduates,male,sl,code10,85.2
2016,percentage (%),foreign school graduates,male,sl,code10,66.9
2017,percentage (%),foreign school graduates,male,sl,code10,68.4
2018,percentage (%),foreign school graduates,male,sl,code10,71.9
2019,percentage (%),foreign school graduates,male,sl,code10,73.8
1996,percentage (%),foreign school graduates,a) total,sn,code14,63.9
1997,percentage (%),foreign school graduates,a) total,sn,code14,69.1
1998,percentage (%),foreign school graduates,a) total,sn,code14,68.8
1999,percentage (%),foreign school graduates,a) total,sn,code14,73.3
2000,percentage (%),foreign school graduates,a) total,sn,code14,80.2
2001,percentage (%),foreign school graduates,a) total,sn,code14,75.4
2002,percentage (%),foreign school graduates,a) total,sn,code14,68.2
2003,percentage (%),foreign school graduates,a) total,sn,code14,77.9
2004,percentage (%),foreign school graduates,a) total,sn,code14,80.1
