Year,Units,display,title,Bundesland,GeoCode,Value
2019,number,a) time series,b) students from other developing and emerging countries,bb,,4978
2005,number,a) time series,b) students from other developing and emerging countries,hb,,3751
2006,number,a) time series,b) students from other developing and emerging countries,hb,,3484
2007,number,a) time series,b) students from other developing and emerging countries,hb,,3339
2008,number,a) time series,b) students from other developing and emerging countries,hb,,3236
2009,number,a) time series,b) students from other developing and emerging countries,hb,,3109
2010,number,a) time series,b) students from other developing and emerging countries,hb,,2958
2011,number,a) time series,b) students from other developing and emerging countries,hb,,2961
2012,number,a) time series,b) students from other developing and emerging countries,hb,,2993
2013,number,a) time series,b) students from other developing and emerging countries,hb,,3119
2014,number,a) time series,b) students from other developing and emerging countries,hb,,3305
2015,number,a) time series,b) students from other developing and emerging countries,hb,,3385
2016,number,a) time series,b) students from other developing and emerging countries,hb,,3555
2017,number,a) time series,b) students from other developing and emerging countries,hb,,3985
2018,number,a) time series,b) students from other developing and emerging countries,hb,,4150
2019,number,a) time series,b) students from other developing and emerging countries,hb,,4500
2005,number,a) time series,b) students from other developing and emerging countries,hh,,4837
2006,number,a) time series,b) students from other developing and emerging countries,hh,,4860
2007,number,a) time series,b) students from other developing and emerging countries,hh,,4484
2008,number,a) time series,b) students from other developing and emerging countries,hh,,4496
2009,number,a) time series,b) students from other developing and emerging countries,hh,,4606
2010,number,a) time series,b) students from other developing and emerging countries,hh,,4757
2011,number,a) time series,b) students from other developing and emerging countries,hh,,4978
2012,number,a) time series,b) students from other developing and emerging countries,hh,,5344
2013,number,a) time series,b) students from other developing and emerging countries,hh,,5471
2014,number,a) time series,b) students from other developing and emerging countries,hh,,5623
2015,number,a) time series,b) students from other developing and emerging countries,hh,,5970
2016,number,a) time series,b) students from other developing and emerging countries,hh,,6349
2017,number,a) time series,b) students from other developing and emerging countries,hh,,6778
2018,number,a) time series,b) students from other developing and emerging countries,hh,,7608
2019,number,a) time series,b) students from other developing and emerging countries,hh,,7888
2005,number,a) time series,b) students from other developing and emerging countries,he,,13808
2006,number,a) time series,b) students from other developing and emerging countries,he,,13737
2007,number,a) time series,b) students from other developing and emerging countries,he,,12328
2008,number,a) time series,b) students from other developing and emerging countries,he,,14027
2009,number,a) time series,b) students from other developing and emerging countries,he,,15436
2010,number,a) time series,b) students from other developing and emerging countries,he,,16660
2011,number,a) time series,b) students from other developing and emerging countries,he,,16633
2012,number,a) time series,b) students from other developing and emerging countries,he,,17584
2013,number,a) time series,b) students from other developing and emerging countries,he,,18830
2014,number,a) time series,b) students from other developing and emerging countries,he,,19958
2015,number,a) time series,b) students from other developing and emerging countries,he,,21090
2016,number,a) time series,b) students from other developing and emerging countries,he,,22111
2017,number,a) time series,b) students from other developing and emerging countries,he,,23165
2018,number,a) time series,b) students from other developing and emerging countries,he,,24689
2019,number,a) time series,b) students from other developing and emerging countries,he,,25741
2005,number,a) time series,b) students from other developing and emerging countries,mv,,1071
2006,number,a) time series,b) students from other developing and emerging countries,mv,,1056
2007,number,a) time series,b) students from other developing and emerging countries,mv,,1063
2008,number,a) time series,b) students from other developing and emerging countries,mv,,1028
2009,number,a) time series,b) students from other developing and emerging countries,mv,,1105
2010,number,a) time series,b) students from other developing and emerging countries,mv,,1160
2011,number,a) time series,b) students from other developing and emerging countries,mv,,1160
2012,number,a) time series,b) students from other developing and emerging countries,mv,,1188
2013,number,a) time series,b) students from other developing and emerging countries,mv,,1329
2014,number,a) time series,b) students from other developing and emerging countries,mv,,1437
2015,number,a) time series,b) students from other developing and emerging countries,mv,,1664
2016,number,a) time series,b) students from other developing and emerging countries,mv,,1955
2017,number,a) time series,b) students from other developing and emerging countries,mv,,2406
2018,number,a) time series,b) students from other developing and emerging countries,mv,,2691
2019,number,a) time series,b) students from other developing and emerging countries,mv,,2785
2005,number,a) time series,b) students from other developing and emerging countries,ni,,10134
2006,number,a) time series,b) students from other developing and emerging countries,ni,,9857
2007,number,a) time series,b) students from other developing and emerging countries,ni,,9224
2008,number,a) time series,b) students from other developing and emerging countries,ni,,9284
2009,number,a) time series,b) students from other developing and emerging countries,ni,,9243
2010,number,a) time series,b) students from other developing and emerging countries,ni,,9143
2011,number,a) time series,b) students from other developing and emerging countries,ni,,9105
2012,number,a) time series,b) students from other developing and emerging countries,ni,,9668
2013,number,a) time series,b) students from other developing and emerging countries,ni,,10475
2014,number,a) time series,b) students from other developing and emerging countries,ni,,11479
2015,number,a) time series,b) students from other developing and emerging countries,ni,,12813
2016,number,a) time series,b) students from other developing and emerging countries,ni,,13967
2017,number,a) time series,b) students from other developing and emerging countries,ni,,15599
2018,number,a) time series,b) students from other developing and emerging countries,ni,,17043
2019,number,a) time series,b) students from other developing and emerging countries,ni,,18259
2005,number,a) time series,b) students from other developing and emerging countries,nw,,35892
2006,number,a) time series,b) students from other developing and emerging countries,nw,,35688
2007,number,a) time series,b) students from other developing and emerging countries,nw,,32856
2008,number,a) time series,b) students from other developing and emerging countries,nw,,33436
2009,number,a) time series,b) students from other developing and emerging countries,nw,,34448
2010,number,a) time series,b) students from other developing and emerging countries,nw,,35346
2011,number,a) time series,b) students from other developing and emerging countries,nw,,37622
2012,number,a) time series,b) students from other developing and emerging countries,nw,,40638
2013,number,a) time series,b) students from other developing and emerging countries,nw,,44330
2014,number,a) time series,b) students from other developing and emerging countries,nw,,47929
2015,number,a) time series,b) students from other developing and emerging countries,nw,,50866
2016,number,a) time series,b) students from other developing and emerging countries,nw,,54724
2017,number,a) time series,b) students from other developing and emerging countries,nw,,56753
2018,number,a) time series,b) students from other developing and emerging countries,nw,,60421
2019,number,a) time series,b) students from other developing and emerging countries,nw,,64421
2005,number,a) time series,b) students from other developing and emerging countries,rp,,5760
2006,number,a) time series,b) students from other developing and emerging countries,rp,,5969
2007,number,a) time series,b) students from other developing and emerging countries,rp,,6413
2008,number,a) time series,b) students from other developing and emerging countries,rp,,6525
2009,number,a) time series,b) students from other developing and emerging countries,rp,,6335
2010,number,a) time series,b) students from other developing and emerging countries,rp,,6226
2011,number,a) time series,b) students from other developing and emerging countries,rp,,5974
2012,number,a) time series,b) students from other developing and emerging countries,rp,,5990
2013,number,a) time series,b) students from other developing and emerging countries,rp,,6083
2014,number,a) time series,b) students from other developing and emerging countries,rp,,6295
2015,number,a) time series,b) students from other developing and emerging countries,rp,,6620
2016,number,a) time series,b) students from other developing and emerging countries,rp,,7138
2017,number,a) time series,b) students from other developing and emerging countries,rp,,7835
2018,number,a) time series,b) students from other developing and emerging countries,rp,,9016
2019,number,a) time series,b) students from other developing and emerging countries,rp,,9720
2005,number,a) time series,b) students from other developing and emerging countries,sl,,1243
2006,number,a) time series,b) students from other developing and emerging countries,sl,,1365
2007,number,a) time series,b) students from other developing and emerging countries,sl,,1362
2008,number,a) time series,b) students from other developing and emerging countries,sl,,1375
2009,number,a) time series,b) students from other developing and emerging countries,sl,,1434
2010,number,a) time series,b) students from other developing and emerging countries,sl,,1641
2011,number,a) time series,b) students from other developing and emerging countries,sl,,1734
2012,number,a) time series,b) students from other developing and emerging countries,sl,,1808
2013,number,a) time series,b) students from other developing and emerging countries,sl,,1856
2014,number,a) time series,b) students from other developing and emerging countries,sl,,1903
2015,number,a) time series,b) students from other developing and emerging countries,sl,,1952
2016,number,a) time series,b) students from other developing and emerging countries,sl,,1961
2017,number,a) time series,b) students from other developing and emerging countries,sl,,2031
2018,number,a) time series,b) students from other developing and emerging countries,sl,,2203
2019,number,a) time series,b) students from other developing and emerging countries,sl,,2441
2005,number,a) time series,b) students from other developing and emerging countries,sn,,4328
2006,number,a) time series,b) students from other developing and emerging countries,sn,,4440
2007,number,a) time series,b) students from other developing and emerging countries,sn,,4601
2008,number,a) time series,b) students from other developing and emerging countries,sn,,4440
2009,number,a) time series,b) students from other developing and emerging countries,sn,,4624
2010,number,a) time series,b) students from other developing and emerging countries,sn,,4789
2011,number,a) time series,b) students from other developing and emerging countries,sn,,5172
2012,number,a) time series,b) students from other developing and emerging countries,sn,,5850
2013,number,a) time series,b) students from other developing and emerging countries,sn,,6813
2014,number,a) time series,b) students from other developing and emerging countries,sn,,7861
2015,number,a) time series,b) students from other developing and emerging countries,sn,,9042
2016,number,a) time series,b) students from other developing and emerging countries,sn,,9496
2017,number,a) time series,b) students from other developing and emerging countries,sn,,9846
2018,number,a) time series,b) students from other developing and emerging countries,sn,,10885
2019,number,a) time series,b) students from other developing and emerging countries,sn,,11245
2005,number,a) time series,b) students from other developing and emerging countries,st,,2825
2006,number,a) time series,b) students from other developing and emerging countries,st,,2964
2007,number,a) time series,b) students from other developing and emerging countries,st,,2997
2008,number,a) time series,b) students from other developing and emerging countries,st,,2976
2009,number,a) time series,b) students from other developing and emerging countries,st,,3142
2010,number,a) time series,b) students from other developing and emerging countries,st,,3330
2011,number,a) time series,b) students from other developing and emerging countries,st,,3633
2012,number,a) time series,b) students from other developing and emerging countries,st,,3962
2013,number,a) time series,b) students from other developing and emerging countries,st,,4198
2014,number,a) time series,b) students from other developing and emerging countries,st,,4561
2015,number,a) time series,b) students from other developing and emerging countries,st,,4970
2016,number,a) time series,b) students from other developing and emerging countries,st,,5061
2017,number,a) time series,b) students from other developing and emerging countries,st,,5401
2018,number,a) time series,b) students from other developing and emerging countries,st,,5810
2019,number,a) time series,b) students from other developing and emerging countries,st,,6336
2005,number,a) time series,b) students from other developing and emerging countries,sh,,2071
2006,number,a) time series,b) students from other developing and emerging countries,sh,,2135
2007,number,a) time series,b) students from other developing and emerging countries,sh,,2149
2008,number,a) time series,b) students from other developing and emerging countries,sh,,2131
2009,number,a) time series,b) students from other developing and emerging countries,sh,,2192
2010,number,a) time series,b) students from other developing and emerging countries,sh,,2219
2011,number,a) time series,b) students from other developing and emerging countries,sh,,2248
2012,number,a) time series,b) students from other developing and emerging countries,sh,,2356
2013,number,a) time series,b) students from other developing and emerging countries,sh,,2400
2014,number,a) time series,b) students from other developing and emerging countries,sh,,2575
2015,number,a) time series,b) students from other developing and emerging countries,sh,,2741
2016,number,a) time series,b) students from other developing and emerging countries,sh,,3116
2017,number,a) time series,b) students from other developing and emerging countries,sh,,3101
2018,number,a) time series,b) students from other developing and emerging countries,sh,,3358
2019,number,a) time series,b) students from other developing and emerging countries,sh,,3549
2005,number,a) time series,b) students from other developing and emerging countries,th,,1615
2006,number,a) time series,b) students from other developing and emerging countries,th,,1759
2007,number,a) time series,b) students from other developing and emerging countries,th,,1971
2008,number,a) time series,b) students from other developing and emerging countries,th,,1937
2009,number,a) time series,b) students from other developing and emerging countries,th,,2169
2010,number,a) time series,b) students from other developing and emerging countries,th,,2437
2011,number,a) time series,b) students from other developing and emerging countries,th,,2517
2012,number,a) time series,b) students from other developing and emerging countries,th,,2860
2013,number,a) time series,b) students from other developing and emerging countries,th,,3396
2014,number,a) time series,b) students from other developing and emerging countries,th,,3852
2015,number,a) time series,b) students from other developing and emerging countries,th,,4243
2016,number,a) time series,b) students from other developing and emerging countries,th,,4488
2017,number,a) time series,b) students from other developing and emerging countries,th,,4846
2018,number,a) time series,b) students from other developing and emerging countries,th,,5500
2019,number,a) time series,b) students from other developing and emerging countries,th,,6655
2005,number,a) time series,e) researchers from ldcs,,,209
2006,number,a) time series,e) researchers from ldcs,,,212
2007,number,a) time series,e) researchers from ldcs,,,207
2008,number,a) time series,e) researchers from ldcs,,,254
2009,number,a) time series,e) researchers from ldcs,,,299
2010,number,a) time series,e) researchers from ldcs,,,331
2011,number,a) time series,e) researchers from ldcs,,,382
2012,number,a) time series,e) researchers from ldcs,,,420
2013,number,a) time series,e) researchers from ldcs,,,476
2014,number,a) time series,e) researchers from ldcs,,,500
2015,number,a) time series,e) researchers from ldcs,,,517
2016,number,a) time series,e) researchers from ldcs,,,558
2017,number,a) time series,e) researchers from ldcs,,,649
2018,number,a) time series,e) researchers from ldcs,,,687
2019,number,a) time series,e) researchers from ldcs,,,681
2006,number,a) time series,e) researchers from ldcs,bw,,40
2007,number,a) time series,e) researchers from ldcs,bw,,45
2008,number,a) time series,e) researchers from ldcs,bw,,52
2009,number,a) time series,e) researchers from ldcs,bw,,51
2010,number,a) time series,e) researchers from ldcs,bw,,57
2011,number,a) time series,e) researchers from ldcs,bw,,85
2012,number,a) time series,e) researchers from ldcs,bw,,96
2013,number,a) time series,e) researchers from ldcs,bw,,93
2014,number,a) time series,e) researchers from ldcs,bw,,98
2015,number,a) time series,e) researchers from ldcs,bw,,106
2016,number,a) time series,e) researchers from ldcs,bw,,118
2017,number,a) time series,e) researchers from ldcs,bw,,150
2018,number,a) time series,e) researchers from ldcs,bw,,140
2019,number,a) time series,e) researchers from ldcs,bw,,141
2006,number,a) time series,e) researchers from ldcs,by,,26
2007,number,a) time series,e) researchers from ldcs,by,,23
2008,number,a) time series,e) researchers from ldcs,by,,24
2009,number,a) time series,e) researchers from ldcs,by,,35
2010,number,a) time series,e) researchers from ldcs,by,,39
2011,number,a) time series,e) researchers from ldcs,by,,57
2012,number,a) time series,e) researchers from ldcs,by,,67
2013,number,a) time series,e) researchers from ldcs,by,,68
2014,number,a) time series,e) researchers from ldcs,by,,71
2015,number,a) time series,e) researchers from ldcs,by,,70
2016,number,a) time series,e) researchers from ldcs,by,,60
2017,number,a) time series,e) researchers from ldcs,by,,75
2018,number,a) time series,e) researchers from ldcs,by,,63
2019,number,a) time series,e) researchers from ldcs,by,,76
2006,number,a) time series,e) researchers from ldcs,be,,6
2007,number,a) time series,e) researchers from ldcs,be,,5
2008,number,a) time series,e) researchers from ldcs,be,,7
2009,number,a) time series,e) researchers from ldcs,be,,8
2010,number,a) time series,e) researchers from ldcs,be,,10
2011,number,a) time series,e) researchers from ldcs,be,,11
2012,number,a) time series,e) researchers from ldcs,be,,12
2013,number,a) time series,e) researchers from ldcs,be,,19
2014,number,a) time series,e) researchers from ldcs,be,,22
2015,number,a) time series,e) researchers from ldcs,be,,25
2016,number,a) time series,e) researchers from ldcs,be,,34
2017,number,a) time series,e) researchers from ldcs,be,,30
2018,number,a) time series,e) researchers from ldcs,be,,31
2019,number,a) time series,e) researchers from ldcs,be,,35
2006,number,a) time series,e) researchers from ldcs,bb,,3
2007,number,a) time series,e) researchers from ldcs,bb,,2
2008,number,a) time series,e) researchers from ldcs,bb,,6
2009,number,a) time series,e) researchers from ldcs,bb,,8
2010,number,a) time series,e) researchers from ldcs,bb,,8
2011,number,a) time series,e) researchers from ldcs,bb,,5
2012,number,a) time series,e) researchers from ldcs,bb,,8
2013,number,a) time series,e) researchers from ldcs,bb,,7
2014,number,a) time series,e) researchers from ldcs,bb,,4
2015,number,a) time series,e) researchers from ldcs,bb,,7
2016,number,a) time series,e) researchers from ldcs,bb,,13
2017,number,a) time series,e) researchers from ldcs,bb,,6
2018,number,a) time series,e) researchers from ldcs,bb,,8
2019,number,a) time series,e) researchers from ldcs,bb,,18
2006,number,a) time series,e) researchers from ldcs,hb,,5
2007,number,a) time series,e) researchers from ldcs,hb,,3
2008,number,a) time series,e) researchers from ldcs,hb,,6
2009,number,a) time series,e) researchers from ldcs,hb,,8
2010,number,a) time series,e) researchers from ldcs,hb,,8
2011,number,a) time series,e) researchers from ldcs,hb,,6
2012,number,a) time series,e) researchers from ldcs,hb,,5
2013,number,a) time series,e) researchers from ldcs,hb,,10
2014,number,a) time series,e) researchers from ldcs,hb,,9
2015,number,a) time series,e) researchers from ldcs,hb,,13
2016,number,a) time series,e) researchers from ldcs,hb,,11
2017,number,a) time series,e) researchers from ldcs,hb,,11
2018,number,a) time series,e) researchers from ldcs,hb,,10
2019,number,a) time series,e) researchers from ldcs,hb,,11
2006,number,a) time series,e) researchers from ldcs,hh,,8
2007,number,a) time series,e) researchers from ldcs,hh,,11
2008,number,a) time series,e) researchers from ldcs,hh,,5
2009,number,a) time series,e) researchers from ldcs,hh,,7
2010,number,a) time series,e) researchers from ldcs,hh,,14
2011,number,a) time series,e) researchers from ldcs,hh,,14
2012,number,a) time series,e) researchers from ldcs,hh,,14
2013,number,a) time series,e) researchers from ldcs,hh,,19
2014,number,a) time series,e) researchers from ldcs,hh,,20
2015,number,a) time series,e) researchers from ldcs,hh,,15
2016,number,a) time series,e) researchers from ldcs,hh,,19
2017,number,a) time series,e) researchers from ldcs,hh,,23
2018,number,a) time series,e) researchers from ldcs,hh,,20
2019,number,a) time series,e) researchers from ldcs,hh,,19
2006,number,a) time series,e) researchers from ldcs,he,,18
2007,number,a) time series,e) researchers from ldcs,he,,19
2008,number,a) time series,e) researchers from ldcs,he,,20
2009,number,a) time series,e) researchers from ldcs,he,,17
2010,number,a) time series,e) researchers from ldcs,he,,27
2011,number,a) time series,e) researchers from ldcs,he,,25
2012,number,a) time series,e) researchers from ldcs,he,,26
2013,number,a) time series,e) researchers from ldcs,he,,36
2014,number,a) time series,e) researchers from ldcs,he,,40
2015,number,a) time series,e) researchers from ldcs,he,,42
2016,number,a) time series,e) researchers from ldcs,he,,53
2017,number,a) time series,e) researchers from ldcs,he,,58
2018,number,a) time series,e) researchers from ldcs,he,,59
2019,number,a) time series,e) researchers from ldcs,he,,43
2006,number,a) time series,e) researchers from ldcs,mv,,5
2007,number,a) time series,e) researchers from ldcs,mv,,3
2008,number,a) time series,e) researchers from ldcs,mv,,4
2009,number,a) time series,e) researchers from ldcs,mv,,5
2010,number,a) time series,e) researchers from ldcs,mv,,5
2011,number,a) time series,e) researchers from ldcs,mv,,14
2012,number,a) time series,e) researchers from ldcs,mv,,11
2013,number,a) time series,e) researchers from ldcs,mv,,11
2014,number,a) time series,e) researchers from ldcs,mv,,13
2015,number,a) time series,e) researchers from ldcs,mv,,9
2016,number,a) time series,e) researchers from ldcs,mv,,13
2017,number,a) time series,e) researchers from ldcs,mv,,17
2018,number,a) time series,e) researchers from ldcs,mv,,13
2019,number,a) time series,e) researchers from ldcs,mv,,9
2006,number,a) time series,e) researchers from ldcs,ni,,32
2007,number,a) time series,e) researchers from ldcs,ni,,27
2008,number,a) time series,e) researchers from ldcs,ni,,26
2009,number,a) time series,e) researchers from ldcs,ni,,30
2010,number,a) time series,e) researchers from ldcs,ni,,30
2011,number,a) time series,e) researchers from ldcs,ni,,26
2012,number,a) time series,e) researchers from ldcs,ni,,31
2013,number,a) time series,e) researchers from ldcs,ni,,35
2014,number,a) time series,e) researchers from ldcs,ni,,41
2015,number,a) time series,e) researchers from ldcs,ni,,41
2016,number,a) time series,e) researchers from ldcs,ni,,48
2017,number,a) time series,e) researchers from ldcs,ni,,57
2018,number,a) time series,e) researchers from ldcs,ni,,58
2019,number,a) time series,e) researchers from ldcs,ni,,49
2006,number,a) time series,e) researchers from ldcs,nw,,24
2007,number,a) time series,e) researchers from ldcs,nw,,24
2008,number,a) time series,e) researchers from ldcs,nw,,48
2009,number,a) time series,e) researchers from ldcs,nw,,51
2010,number,a) time series,e) researchers from ldcs,nw,,51
2011,number,a) time series,e) researchers from ldcs,nw,,63
2012,number,a) time series,e) researchers from ldcs,nw,,64
2013,number,a) time series,e) researchers from ldcs,nw,,85
2014,number,a) time series,e) researchers from ldcs,nw,,87
2015,number,a) time series,e) researchers from ldcs,nw,,89
2016,number,a) time series,e) researchers from ldcs,nw,,99
2017,number,a) time series,e) researchers from ldcs,nw,,113
2018,number,a) time series,e) researchers from ldcs,nw,,127
2019,number,a) time series,e) researchers from ldcs,nw,,123
2006,number,a) time series,e) researchers from ldcs,rp,,10
2007,number,a) time series,e) researchers from ldcs,rp,,13
2008,number,a) time series,e) researchers from ldcs,rp,,15
2009,number,a) time series,e) researchers from ldcs,rp,,19
2010,number,a) time series,e) researchers from ldcs,rp,,20
2011,number,a) time series,e) researchers from ldcs,rp,,18
2012,number,a) time series,e) researchers from ldcs,rp,,19
2013,number,a) time series,e) researchers from ldcs,rp,,15
2014,number,a) time series,e) researchers from ldcs,rp,,16
2015,number,a) time series,e) researchers from ldcs,rp,,17
2016,number,a) time series,e) researchers from ldcs,rp,,15
2017,number,a) time series,e) researchers from ldcs,rp,,21
2018,number,a) time series,e) researchers from ldcs,rp,,25
2019,number,a) time series,e) researchers from ldcs,rp,,31
2006,number,a) time series,e) researchers from ldcs,sl,,3
2007,number,a) time series,e) researchers from ldcs,sl,,3
2008,number,a) time series,e) researchers from ldcs,sl,,4
2009,number,a) time series,e) researchers from ldcs,sl,,8
2010,number,a) time series,e) researchers from ldcs,sl,,6
2011,number,a) time series,e) researchers from ldcs,sl,,6
2012,number,a) time series,e) researchers from ldcs,sl,,5
2013,number,a) time series,e) researchers from ldcs,sl,,3
2014,number,a) time series,e) researchers from ldcs,sl,,5
2015,number,a) time series,e) researchers from ldcs,sl,,5
2016,number,a) time series,e) researchers from ldcs,sl,,5
2017,number,a) time series,e) researchers from ldcs,sl,,1
2018,number,a) time series,e) researchers from ldcs,sl,,8
2019,number,a) time series,e) researchers from ldcs,sl,,9
2006,number,a) time series,e) researchers from ldcs,sn,,19
2007,number,a) time series,e) researchers from ldcs,sn,,17
2008,number,a) time series,e) researchers from ldcs,sn,,19
2009,number,a) time series,e) researchers from ldcs,sn,,23
2010,number,a) time series,e) researchers from ldcs,sn,,29
2011,number,a) time series,e) researchers from ldcs,sn,,24
2012,number,a) time series,e) researchers from ldcs,sn,,32
2013,number,a) time series,e) researchers from ldcs,sn,,32
2014,number,a) time series,e) researchers from ldcs,sn,,30
2015,number,a) time series,e) researchers from ldcs,sn,,36
2016,number,a) time series,e) researchers from ldcs,sn,,35
2017,number,a) time series,e) researchers from ldcs,sn,,42
2018,number,a) time series,e) researchers from ldcs,sn,,56
2019,number,a) time series,e) researchers from ldcs,sn,,53
2006,number,a) time series,e) researchers from ldcs,st,,5
2007,number,a) time series,e) researchers from ldcs,st,,1
2008,number,a) time series,e) researchers from ldcs,st,,3
2009,number,a) time series,e) researchers from ldcs,st,,5
2010,number,a) time series,e) researchers from ldcs,st,,5
2011,number,a) time series,e) researchers from ldcs,st,,3
2012,number,a) time series,e) researchers from ldcs,st,,4
2013,number,a) time series,e) researchers from ldcs,st,,8
2014,number,a) time series,e) researchers from ldcs,st,,9
2015,number,a) time series,e) researchers from ldcs,st,,10
2016,number,a) time series,e) researchers from ldcs,st,,7
2017,number,a) time series,e) researchers from ldcs,st,,9
2018,number,a) time series,e) researchers from ldcs,st,,17
2019,number,a) time series,e) researchers from ldcs,st,,14
2006,number,a) time series,e) researchers from ldcs,sh,,5
2007,number,a) time series,e) researchers from ldcs,sh,,6
2008,number,a) time series,e) researchers from ldcs,sh,,8
2009,number,a) time series,e) researchers from ldcs,sh,,11
2010,number,a) time series,e) researchers from ldcs,sh,,10
2011,number,a) time series,e) researchers from ldcs,sh,,13
2012,number,a) time series,e) researchers from ldcs,sh,,11
2013,number,a) time series,e) researchers from ldcs,sh,,13
2014,number,a) time series,e) researchers from ldcs,sh,,15
2015,number,a) time series,e) researchers from ldcs,sh,,12
2016,number,a) time series,e) researchers from ldcs,sh,,14
2017,number,a) time series,e) researchers from ldcs,sh,,17
2018,number,a) time series,e) researchers from ldcs,sh,,23
2019,number,a) time series,e) researchers from ldcs,sh,,27
2006,number,a) time series,e) researchers from ldcs,th,,3
2007,number,a) time series,e) researchers from ldcs,th,,5
2008,number,a) time series,e) researchers from ldcs,th,,7
2009,number,a) time series,e) researchers from ldcs,th,,13
2010,number,a) time series,e) researchers from ldcs,th,,12
2011,number,a) time series,e) researchers from ldcs,th,,12
2012,number,a) time series,e) researchers from ldcs,th,,15
2013,number,a) time series,e) researchers from ldcs,th,,22
2014,number,a) time series,e) researchers from ldcs,th,,20
2015,number,a) time series,e) researchers from ldcs,th,,20
2016,number,a) time series,e) researchers from ldcs,th,,17
2017,number,a) time series,e) researchers from ldcs,th,,19
2018,number,a) time series,e) researchers from ldcs,th,,29
2019,number,a) time series,e) researchers from ldcs,th,,23
2005,number,a) time series,c) researchers from other developing and emerging countries,,,5848
2006,number,a) time series,c) researchers from other developing and emerging countries,,,6434
2007,number,a) time series,c) researchers from other developing and emerging countries,,,6766
2008,number,a) time series,c) researchers from other developing and emerging countries,,,8180
2009,number,a) time series,c) researchers from other developing and emerging countries,,,9482
2010,number,a) time series,c) researchers from other developing and emerging countries,,,10614
2011,number,a) time series,c) researchers from other developing and emerging countries,,,10946
2012,number,a) time series,c) researchers from other developing and emerging countries,,,11741
2013,number,a) time series,c) researchers from other developing and emerging countries,,,12865
2014,number,a) time series,c) researchers from other developing and emerging countries,,,13837
2015,number,a) time series,c) researchers from other developing and emerging countries,,,14592
2016,number,a) time series,c) researchers from other developing and emerging countries,,,15317
2017,number,a) time series,c) researchers from other developing and emerging countries,,,16904
2018,number,a) time series,c) researchers from other developing and emerging countries,,,18429
2019,number,a) time series,c) researchers from other developing and emerging countries,,,20214
2006,number,a) time series,c) researchers from other developing and emerging countries,bw,,1190
2007,number,a) time series,c) researchers from other developing and emerging countries,bw,,1333
2008,number,a) time series,c) researchers from other developing and emerging countries,bw,,1579
2009,number,a) time series,c) researchers from other developing and emerging countries,bw,,1847
2010,number,a) time series,c) researchers from other developing and emerging countries,bw,,2049
2011,number,a) time series,c) researchers from other developing and emerging countries,bw,,1986
2012,number,a) time series,c) researchers from other developing and emerging countries,bw,,2155
2013,number,a) time series,c) researchers from other developing and emerging countries,bw,,2388
2014,number,a) time series,c) researchers from other developing and emerging countries,bw,,2547
2015,number,a) time series,c) researchers from other developing and emerging countries,bw,,2691
2016,number,a) time series,c) researchers from other developing and emerging countries,bw,,2761
2017,number,a) time series,c) researchers from other developing and emerging countries,bw,,3164
2018,number,a) time series,c) researchers from other developing and emerging countries,bw,,3314
2019,number,a) time series,c) researchers from other developing and emerging countries,bw,,3458
2006,number,a) time series,c) researchers from other developing and emerging countries,by,,872
2007,number,a) time series,c) researchers from other developing and emerging countries,by,,934
2008,number,a) time series,c) researchers from other developing and emerging countries,by,,1171
2009,number,a) time series,c) researchers from other developing and emerging countries,by,,1296
2010,number,a) time series,c) researchers from other developing and emerging countries,by,,1483
2011,number,a) time series,c) researchers from other developing and emerging countries,by,,1612
2012,number,a) time series,c) researchers from other developing and emerging countries,by,,1767
2013,number,a) time series,c) researchers from other developing and emerging countries,by,,1956
2014,number,a) time series,c) researchers from other developing and emerging countries,by,,2150
2015,number,a) time series,c) researchers from other developing and emerging countries,by,,2212
2016,number,a) time series,c) researchers from other developing and emerging countries,by,,2280
2017,number,a) time series,c) researchers from other developing and emerging countries,by,,2425
2018,number,a) time series,c) researchers from other developing and emerging countries,by,,2600
2019,number,a) time series,c) researchers from other developing and emerging countries,by,,2910
2006,number,a) time series,c) researchers from other developing and emerging countries,be,,468
2007,number,a) time series,c) researchers from other developing and emerging countries,be,,461
2008,number,a) time series,c) researchers from other developing and emerging countries,be,,550
2009,number,a) time series,c) researchers from other developing and emerging countries,be,,597
2010,number,a) time series,c) researchers from other developing and emerging countries,be,,620
2011,number,a) time series,c) researchers from other developing and emerging countries,be,,603
2012,number,a) time series,c) researchers from other developing and emerging countries,be,,672
2013,number,a) time series,c) researchers from other developing and emerging countries,be,,688
2014,number,a) time series,c) researchers from other developing and emerging countries,be,,765
2015,number,a) time series,c) researchers from other developing and emerging countries,be,,858
2016,number,a) time series,c) researchers from other developing and emerging countries,be,,877
2017,number,a) time series,c) researchers from other developing and emerging countries,be,,934
2018,number,a) time series,c) researchers from other developing and emerging countries,be,,1000
2019,number,a) time series,c) researchers from other developing and emerging countries,be,,1138
2006,number,a) time series,c) researchers from other developing and emerging countries,bb,,97
2007,number,a) time series,c) researchers from other developing and emerging countries,bb,,109
2008,number,a) time series,c) researchers from other developing and emerging countries,bb,,124
2009,number,a) time series,c) researchers from other developing and emerging countries,bb,,151
2010,number,a) time series,c) researchers from other developing and emerging countries,bb,,170
2011,number,a) time series,c) researchers from other developing and emerging countries,bb,,208
2012,number,a) time series,c) researchers from other developing and emerging countries,bb,,204
