Year,Units,display,sex,age,Bundesland,GeoCode,Value
2003,percentage (%),a) time series,female,60 - 64 years,,,15.9
2004,percentage (%),a) time series,female,60 - 64 years,,,17.6
2005,percentage (%),a) time series,female,60 - 64 years,,,20.7
2006,percentage (%),a) time series,female,60 - 64 years,,,21.9
2007,percentage (%),a) time series,female,60 - 64 years,,,24.9
2008,percentage (%),a) time series,female,60 - 64 years,,,27.2
2009,percentage (%),a) time series,female,60 - 64 years,,,30.4
2010,percentage (%),a) time series,female,60 - 64 years,,,33.1
2011,percentage (%),a) time series,female,60 - 64 years,,,36.5
2012,percentage (%),a) time series,female,60 - 64 years,,,38.8
2013,percentage (%),a) time series,female,60 - 64 years,,,42.8
2014,percentage (%),a) time series,female,60 - 64 years,,,46.2
2015,percentage (%),a) time series,female,60 - 64 years,,,47.9
2016,percentage (%),a) time series,female,60 - 64 years,,,50.8
2017,percentage (%),a) time series,female,60 - 64 years,,,53.3
2000,percentage (%),a) time series,male,60 - 64 years,,,27.2
2001,percentage (%),a) time series,male,60 - 64 years,,,28.4
2002,percentage (%),a) time series,male,60 - 64 years,,,30.2
2003,percentage (%),a) time series,male,60 - 64 years,,,31.2
2004,percentage (%),a) time series,male,60 - 64 years,,,33.2
2005,percentage (%),a) time series,male,60 - 64 years,,,35.9
2006,percentage (%),a) time series,male,60 - 64 years,,,37.7
2007,percentage (%),a) time series,male,60 - 64 years,,,41.2
2008,percentage (%),a) time series,male,60 - 64 years,,,43.2
2009,percentage (%),a) time series,male,60 - 64 years,,,47.0
2010,percentage (%),a) time series,male,60 - 64 years,,,49.4
2011,percentage (%),a) time series,male,60 - 64 years,,,52.4
2012,percentage (%),a) time series,male,60 - 64 years,,,54.9
2013,percentage (%),a) time series,male,60 - 64 years,,,57.7
2014,percentage (%),a) time series,male,60 - 64 years,,,59.4
2015,percentage (%),a) time series,male,60 - 64 years,,,59.1
2016,percentage (%),a) time series,male,60 - 64 years,,,61.5
2017,percentage (%),a) time series,male,60 - 64 years,,,63.7
