Year,Units,display,age,Bundesland,GeoCode,Value
2017,percentage (%),a) time series,adults (15 years and older),sn,code14,21.47
2018,percentage (%),a) time series,adults (15 years and older),sn,code14,
2019,percentage (%),a) time series,adults (15 years and older),sn,code14,
2030,percentage (%),a) time series,adults (15 years and older),sn,code14,
1995,percentage (%),a) time series,adults (15 years and older),st,code15,27.62
1996,percentage (%),a) time series,adults (15 years and older),st,code15,
1997,percentage (%),a) time series,adults (15 years and older),st,code15,
1998,percentage (%),a) time series,adults (15 years and older),st,code15,
1999,percentage (%),a) time series,adults (15 years and older),st,code15,29.23
2000,percentage (%),a) time series,adults (15 years and older),st,code15,
2001,percentage (%),a) time series,adults (15 years and older),st,code15,
2002,percentage (%),a) time series,adults (15 years and older),st,code15,
2003,percentage (%),a) time series,adults (15 years and older),st,code15,27.23
2004,percentage (%),a) time series,adults (15 years and older),st,code15,
2005,percentage (%),a) time series,adults (15 years and older),st,code15,27.9
2006,percentage (%),a) time series,adults (15 years and older),st,code15,
2007,percentage (%),a) time series,adults (15 years and older),st,code15,
2008,percentage (%),a) time series,adults (15 years and older),st,code15,
2009,percentage (%),a) time series,adults (15 years and older),st,code15,28.9
2010,percentage (%),a) time series,adults (15 years and older),st,code15,
2011,percentage (%),a) time series,adults (15 years and older),st,code15,
2012,percentage (%),a) time series,adults (15 years and older),st,code15,
2013,percentage (%),a) time series,adults (15 years and older),st,code15,27.85
2014,percentage (%),a) time series,adults (15 years and older),st,code15,
2015,percentage (%),a) time series,adults (15 years and older),st,code15,
2016,percentage (%),a) time series,adults (15 years and older),st,code15,
2017,percentage (%),a) time series,adults (15 years and older),st,code15,24.77
2018,percentage (%),a) time series,adults (15 years and older),st,code15,
2019,percentage (%),a) time series,adults (15 years and older),st,code15,
2030,percentage (%),a) time series,adults (15 years and older),st,code15,
1995,percentage (%),a) time series,adults (15 years and older),sh,code01,31.09
1996,percentage (%),a) time series,adults (15 years and older),sh,code01,
1997,percentage (%),a) time series,adults (15 years and older),sh,code01,
1998,percentage (%),a) time series,adults (15 years and older),sh,code01,
1999,percentage (%),a) time series,adults (15 years and older),sh,code01,31.74
2000,percentage (%),a) time series,adults (15 years and older),sh,code01,
2001,percentage (%),a) time series,adults (15 years and older),sh,code01,
2002,percentage (%),a) time series,adults (15 years and older),sh,code01,
2003,percentage (%),a) time series,adults (15 years and older),sh,code01,30.31
2004,percentage (%),a) time series,adults (15 years and older),sh,code01,
2005,percentage (%),a) time series,adults (15 years and older),sh,code01,29.5
2006,percentage (%),a) time series,adults (15 years and older),sh,code01,
2007,percentage (%),a) time series,adults (15 years and older),sh,code01,
2008,percentage (%),a) time series,adults (15 years and older),sh,code01,
2009,percentage (%),a) time series,adults (15 years and older),sh,code01,27.0
2010,percentage (%),a) time series,adults (15 years and older),sh,code01,
2011,percentage (%),a) time series,adults (15 years and older),sh,code01,
2012,percentage (%),a) time series,adults (15 years and older),sh,code01,
2013,percentage (%),a) time series,adults (15 years and older),sh,code01,25.9
2014,percentage (%),a) time series,adults (15 years and older),sh,code01,
2015,percentage (%),a) time series,adults (15 years and older),sh,code01,
2016,percentage (%),a) time series,adults (15 years and older),sh,code01,
2017,percentage (%),a) time series,adults (15 years and older),sh,code01,23.5
2018,percentage (%),a) time series,adults (15 years and older),sh,code01,
2019,percentage (%),a) time series,adults (15 years and older),sh,code01,
2030,percentage (%),a) time series,adults (15 years and older),sh,code01,
1995,percentage (%),a) time series,adults (15 years and older),th,code16,25.22
1996,percentage (%),a) time series,adults (15 years and older),th,code16,
1997,percentage (%),a) time series,adults (15 years and older),th,code16,
1998,percentage (%),a) time series,adults (15 years and older),th,code16,
1999,percentage (%),a) time series,adults (15 years and older),th,code16,26.8
2000,percentage (%),a) time series,adults (15 years and older),th,code16,
2001,percentage (%),a) time series,adults (15 years and older),th,code16,
2002,percentage (%),a) time series,adults (15 years and older),th,code16,
2003,percentage (%),a) time series,adults (15 years and older),th,code16,26.9
2004,percentage (%),a) time series,adults (15 years and older),th,code16,
2005,percentage (%),a) time series,adults (15 years and older),th,code16,27.2
2006,percentage (%),a) time series,adults (15 years and older),th,code16,
2007,percentage (%),a) time series,adults (15 years and older),th,code16,
2008,percentage (%),a) time series,adults (15 years and older),th,code16,
2009,percentage (%),a) time series,adults (15 years and older),th,code16,26.7
2010,percentage (%),a) time series,adults (15 years and older),th,code16,
2011,percentage (%),a) time series,adults (15 years and older),th,code16,
2012,percentage (%),a) time series,adults (15 years and older),th,code16,
2013,percentage (%),a) time series,adults (15 years and older),th,code16,26.11
2014,percentage (%),a) time series,adults (15 years and older),th,code16,
2015,percentage (%),a) time series,adults (15 years and older),th,code16,
2016,percentage (%),a) time series,adults (15 years and older),th,code16,
2017,percentage (%),a) time series,adults (15 years and older),th,code16,26.24
2018,percentage (%),a) time series,adults (15 years and older),th,code16,
2019,percentage (%),a) time series,adults (15 years and older),th,code16,
2030,percentage (%),a) time series,adults (15 years and older),th,code16,
