Year,Units,display,sex,Bundesland,GeoCode,Value
2014,per 100 000 inhabitants,a) time series,male,he,code06,255.4
2015,per 100 000 inhabitants,a) time series,male,he,code06,266.0
1998,per 100 000 inhabitants,a) time series,male,hh,code02,417.4
1999,per 100 000 inhabitants,a) time series,male,hh,code02,404.9
2000,per 100 000 inhabitants,a) time series,male,hh,code02,396.1
2001,per 100 000 inhabitants,a) time series,male,hh,code02,381.3
2002,per 100 000 inhabitants,a) time series,male,hh,code02,372.3
2003,per 100 000 inhabitants,a) time series,male,hh,code02,363.6
2004,per 100 000 inhabitants,a) time series,male,hh,code02,353.4
2005,per 100 000 inhabitants,a) time series,male,hh,code02,339.9
2006,per 100 000 inhabitants,a) time series,male,hh,code02,325.8
2007,per 100 000 inhabitants,a) time series,male,hh,code02,317.1
2008,per 100 000 inhabitants,a) time series,male,hh,code02,312.6
2009,per 100 000 inhabitants,a) time series,male,hh,code02,306.2
2010,per 100 000 inhabitants,a) time series,male,hh,code02,316.6
2011,per 100 000 inhabitants,a) time series,male,hh,code02,326.6
2012,per 100 000 inhabitants,a) time series,male,hh,code02,304.6
2013,per 100 000 inhabitants,a) time series,male,hh,code02,302.7
2014,per 100 000 inhabitants,a) time series,male,hh,code02,301.4
2015,per 100 000 inhabitants,a) time series,male,hh,code02,293.2
1998,per 100 000 inhabitants,a) time series,male,mv,code13,524.5
1999,per 100 000 inhabitants,a) time series,male,mv,code13,508.9
2000,per 100 000 inhabitants,a) time series,male,mv,code13,488.0
2001,per 100 000 inhabitants,a) time series,male,mv,code13,475.4
2002,per 100 000 inhabitants,a) time series,male,mv,code13,456.0
2003,per 100 000 inhabitants,a) time series,male,mv,code13,456.8
2004,per 100 000 inhabitants,a) time series,male,mv,code13,427.6
2005,per 100 000 inhabitants,a) time series,male,mv,code13,405.2
2006,per 100 000 inhabitants,a) time series,male,mv,code13,388.7
2007,per 100 000 inhabitants,a) time series,male,mv,code13,387.0
2008,per 100 000 inhabitants,a) time series,male,mv,code13,383.0
2009,per 100 000 inhabitants,a) time series,male,mv,code13,377.6
2010,per 100 000 inhabitants,a) time series,male,mv,code13,378.2
2011,per 100 000 inhabitants,a) time series,male,mv,code13,384.1
2012,per 100 000 inhabitants,a) time series,male,mv,code13,375.1
2013,per 100 000 inhabitants,a) time series,male,mv,code13,361.9
2014,per 100 000 inhabitants,a) time series,male,mv,code13,358.3
2015,per 100 000 inhabitants,a) time series,male,mv,code13,364.9
1998,per 100 000 inhabitants,a) time series,male,ni,code03,399.0
1999,per 100 000 inhabitants,a) time series,male,ni,code03,386.7
2000,per 100 000 inhabitants,a) time series,male,ni,code03,381.8
2001,per 100 000 inhabitants,a) time series,male,ni,code03,364.7
2002,per 100 000 inhabitants,a) time series,male,ni,code03,365.2
2003,per 100 000 inhabitants,a) time series,male,ni,code03,358.9
2004,per 100 000 inhabitants,a) time series,male,ni,code03,341.0
2005,per 100 000 inhabitants,a) time series,male,ni,code03,333.1
2006,per 100 000 inhabitants,a) time series,male,ni,code03,323.7
2007,per 100 000 inhabitants,a) time series,male,ni,code03,318.0
2008,per 100 000 inhabitants,a) time series,male,ni,code03,310.7
2009,per 100 000 inhabitants,a) time series,male,ni,code03,312.8
2010,per 100 000 inhabitants,a) time series,male,ni,code03,300.3
2011,per 100 000 inhabitants,a) time series,male,ni,code03,303.9
2012,per 100 000 inhabitants,a) time series,male,ni,code03,297.7
2013,per 100 000 inhabitants,a) time series,male,ni,code03,297.6
2014,per 100 000 inhabitants,a) time series,male,ni,code03,292.1
2015,per 100 000 inhabitants,a) time series,male,ni,code03,294.0
1998,per 100 000 inhabitants,a) time series,male,nw,code05,403.9
1999,per 100 000 inhabitants,a) time series,male,nw,code05,390.2
2000,per 100 000 inhabitants,a) time series,male,nw,code05,381.8
2001,per 100 000 inhabitants,a) time series,male,nw,code05,366.9
2002,per 100 000 inhabitants,a) time series,male,nw,code05,362.1
2003,per 100 000 inhabitants,a) time series,male,nw,code05,361.1
2004,per 100 000 inhabitants,a) time series,male,nw,code05,341.9
2005,per 100 000 inhabitants,a) time series,male,nw,code05,338.1
2006,per 100 000 inhabitants,a) time series,male,nw,code05,323.2
2007,per 100 000 inhabitants,a) time series,male,nw,code05,320.8
2008,per 100 000 inhabitants,a) time series,male,nw,code05,314.3
2009,per 100 000 inhabitants,a) time series,male,nw,code05,311.3
2010,per 100 000 inhabitants,a) time series,male,nw,code05,311.8
2011,per 100 000 inhabitants,a) time series,male,nw,code05,304.5
2012,per 100 000 inhabitants,a) time series,male,nw,code05,300.4
2013,per 100 000 inhabitants,a) time series,male,nw,code05,298.4
2014,per 100 000 inhabitants,a) time series,male,nw,code05,288.2
2015,per 100 000 inhabitants,a) time series,male,nw,code05,292.9
1998,per 100 000 inhabitants,a) time series,male,rp,code07,393.5
1999,per 100 000 inhabitants,a) time series,male,rp,code07,375.1
2000,per 100 000 inhabitants,a) time series,male,rp,code07,374.4
2001,per 100 000 inhabitants,a) time series,male,rp,code07,360.2
2002,per 100 000 inhabitants,a) time series,male,rp,code07,350.4
2003,per 100 000 inhabitants,a) time series,male,rp,code07,346.0
2004,per 100 000 inhabitants,a) time series,male,rp,code07,327.9
2005,per 100 000 inhabitants,a) time series,male,rp,code07,327.3
2006,per 100 000 inhabitants,a) time series,male,rp,code07,304.8
2007,per 100 000 inhabitants,a) time series,male,rp,code07,302.4
2008,per 100 000 inhabitants,a) time series,male,rp,code07,299.7
2009,per 100 000 inhabitants,a) time series,male,rp,code07,299.4
2010,per 100 000 inhabitants,a) time series,male,rp,code07,293.0
2011,per 100 000 inhabitants,a) time series,male,rp,code07,286.1
2012,per 100 000 inhabitants,a) time series,male,rp,code07,279.1
2013,per 100 000 inhabitants,a) time series,male,rp,code07,278.0
2014,per 100 000 inhabitants,a) time series,male,rp,code07,266.9
2015,per 100 000 inhabitants,a) time series,male,rp,code07,273.2
1998,per 100 000 inhabitants,a) time series,male,sh,code01,389.4
1999,per 100 000 inhabitants,a) time series,male,sh,code01,385.6
2000,per 100 000 inhabitants,a) time series,male,sh,code01,380.5
2001,per 100 000 inhabitants,a) time series,male,sh,code01,364.2
2002,per 100 000 inhabitants,a) time series,male,sh,code01,355.9
2003,per 100 000 inhabitants,a) time series,male,sh,code01,348.3
2004,per 100 000 inhabitants,a) time series,male,sh,code01,343.6
2005,per 100 000 inhabitants,a) time series,male,sh,code01,330.3
2006,per 100 000 inhabitants,a) time series,male,sh,code01,319.4
2007,per 100 000 inhabitants,a) time series,male,sh,code01,312.3
2008,per 100 000 inhabitants,a) time series,male,sh,code01,309.2
2009,per 100 000 inhabitants,a) time series,male,sh,code01,311.3
2010,per 100 000 inhabitants,a) time series,male,sh,code01,305.3
2011,per 100 000 inhabitants,a) time series,male,sh,code01,301.0
2012,per 100 000 inhabitants,a) time series,male,sh,code01,287.4
2013,per 100 000 inhabitants,a) time series,male,sh,code01,302.3
2014,per 100 000 inhabitants,a) time series,male,sh,code01,281.7
2015,per 100 000 inhabitants,a) time series,male,sh,code01,298.4
1998,per 100 000 inhabitants,a) time series,male,sl,code10,428.5
1999,per 100 000 inhabitants,a) time series,male,sl,code10,443.4
2000,per 100 000 inhabitants,a) time series,male,sl,code10,421.2
2001,per 100 000 inhabitants,a) time series,male,sl,code10,416.7
2002,per 100 000 inhabitants,a) time series,male,sl,code10,396.4
2003,per 100 000 inhabitants,a) time series,male,sl,code10,413.3
2004,per 100 000 inhabitants,a) time series,male,sl,code10,378.6
2005,per 100 000 inhabitants,a) time series,male,sl,code10,376.8
2006,per 100 000 inhabitants,a) time series,male,sl,code10,366.2
2007,per 100 000 inhabitants,a) time series,male,sl,code10,350.0
2008,per 100 000 inhabitants,a) time series,male,sl,code10,363.2
2009,per 100 000 inhabitants,a) time series,male,sl,code10,344.5
2010,per 100 000 inhabitants,a) time series,male,sl,code10,339.8
2011,per 100 000 inhabitants,a) time series,male,sl,code10,331.1
2012,per 100 000 inhabitants,a) time series,male,sl,code10,316.7
2013,per 100 000 inhabitants,a) time series,male,sl,code10,334.8
2014,per 100 000 inhabitants,a) time series,male,sl,code10,305.6
2015,per 100 000 inhabitants,a) time series,male,sl,code10,319.8
1998,per 100 000 inhabitants,a) time series,male,sn,code14,428.4
1999,per 100 000 inhabitants,a) time series,male,sn,code14,415.6
2000,per 100 000 inhabitants,a) time series,male,sn,code14,413.1
2001,per 100 000 inhabitants,a) time series,male,sn,code14,386.3
2002,per 100 000 inhabitants,a) time series,male,sn,code14,387.0
2003,per 100 000 inhabitants,a) time series,male,sn,code14,376.2
2004,per 100 000 inhabitants,a) time series,male,sn,code14,358.4
2005,per 100 000 inhabitants,a) time series,male,sn,code14,351.2
2006,per 100 000 inhabitants,a) time series,male,sn,code14,347.2
2007,per 100 000 inhabitants,a) time series,male,sn,code14,335.2
2008,per 100 000 inhabitants,a) time series,male,sn,code14,330.2
2009,per 100 000 inhabitants,a) time series,male,sn,code14,329.7
2010,per 100 000 inhabitants,a) time series,male,sn,code14,328.3
2011,per 100 000 inhabitants,a) time series,male,sn,code14,326.7
2012,per 100 000 inhabitants,a) time series,male,sn,code14,322.0
2013,per 100 000 inhabitants,a) time series,male,sn,code14,334.6
2014,per 100 000 inhabitants,a) time series,male,sn,code14,320.8
2015,per 100 000 inhabitants,a) time series,male,sn,code14,331.3
1998,per 100 000 inhabitants,a) time series,male,st,code15,502.2
1999,per 100 000 inhabitants,a) time series,male,st,code15,472.3
2000,per 100 000 inhabitants,a) time series,male,st,code15,472.7
2001,per 100 000 inhabitants,a) time series,male,st,code15,446.0
2002,per 100 000 inhabitants,a) time series,male,st,code15,451.1
2003,per 100 000 inhabitants,a) time series,male,st,code15,433.4
2004,per 100 000 inhabitants,a) time series,male,st,code15,418.3
2005,per 100 000 inhabitants,a) time series,male,st,code15,406.6
2006,per 100 000 inhabitants,a) time series,male,st,code15,397.5
2007,per 100 000 inhabitants,a) time series,male,st,code15,389.4
2008,per 100 000 inhabitants,a) time series,male,st,code15,386.3
2009,per 100 000 inhabitants,a) time series,male,st,code15,388.3
2010,per 100 000 inhabitants,a) time series,male,st,code15,376.2
2011,per 100 000 inhabitants,a) time series,male,st,code15,375.7
2012,per 100 000 inhabitants,a) time series,male,st,code15,375.4
2013,per 100 000 inhabitants,a) time series,male,st,code15,372.9
2014,per 100 000 inhabitants,a) time series,male,st,code15,363.0
2015,per 100 000 inhabitants,a) time series,male,st,code15,373.7
1998,per 100 000 inhabitants,a) time series,male,th,code16,454.2
1999,per 100 000 inhabitants,a) time series,male,th,code16,439.4
2000,per 100 000 inhabitants,a) time series,male,th,code16,414.8
2001,per 100 000 inhabitants,a) time series,male,th,code16,398.8
2002,per 100 000 inhabitants,a) time series,male,th,code16,388.2
2003,per 100 000 inhabitants,a) time series,male,th,code16,385.8
2004,per 100 000 inhabitants,a) time series,male,th,code16,372.2
2005,per 100 000 inhabitants,a) time series,male,th,code16,353.6
2006,per 100 000 inhabitants,a) time series,male,th,code16,354.1
2007,per 100 000 inhabitants,a) time series,male,th,code16,344.9
2008,per 100 000 inhabitants,a) time series,male,th,code16,343.9
2009,per 100 000 inhabitants,a) time series,male,th,code16,336.6
2010,per 100 000 inhabitants,a) time series,male,th,code16,331.0
2011,per 100 000 inhabitants,a) time series,male,th,code16,329.6
2012,per 100 000 inhabitants,a) time series,male,th,code16,331.7
2013,per 100 000 inhabitants,a) time series,male,th,code16,316.6
2014,per 100 000 inhabitants,a) time series,male,th,code16,316.8
2015,per 100 000 inhabitants,a) time series,male,th,code16,336.7
