Year,Units,display,age,Bundesland,Kreis,GeoCode,Value
2014,percentage (%),a) time series,0- to 2-year-olds,,haßberge,code09674,6.1
2015,percentage (%),a) time series,0- to 2-year-olds,,haßberge,code09674,7.3
2016,percentage (%),a) time series,0- to 2-year-olds,,haßberge,code09674,7.7
2017,percentage (%),a) time series,0- to 2-year-olds,,haßberge,code09674,7.5
2018,percentage (%),a) time series,0- to 2-year-olds,,haßberge,code09674,8.6
2019,percentage (%),a) time series,0- to 2-year-olds,,haßberge,code09674,9.3
2012,percentage (%),a) time series,0- to 2-year-olds,,kitzingen,code09675,5.7
2013,percentage (%),a) time series,0- to 2-year-olds,,kitzingen,code09675,6.6
2014,percentage (%),a) time series,0- to 2-year-olds,,kitzingen,code09675,6.6
2015,percentage (%),a) time series,0- to 2-year-olds,,kitzingen,code09675,8.2
2016,percentage (%),a) time series,0- to 2-year-olds,,kitzingen,code09675,8.6
2017,percentage (%),a) time series,0- to 2-year-olds,,kitzingen,code09675,9.7
2018,percentage (%),a) time series,0- to 2-year-olds,,kitzingen,code09675,9.3
2019,percentage (%),a) time series,0- to 2-year-olds,,kitzingen,code09675,10.7
2012,percentage (%),a) time series,0- to 2-year-olds,,miltenberg,code09676,3.9
2013,percentage (%),a) time series,0- to 2-year-olds,,miltenberg,code09676,4.8
2014,percentage (%),a) time series,0- to 2-year-olds,,miltenberg,code09676,6.2
2015,percentage (%),a) time series,0- to 2-year-olds,,miltenberg,code09676,6.1
2016,percentage (%),a) time series,0- to 2-year-olds,,miltenberg,code09676,6.9
2017,percentage (%),a) time series,0- to 2-year-olds,,miltenberg,code09676,7.3
2018,percentage (%),a) time series,0- to 2-year-olds,,miltenberg,code09676,6.6
2019,percentage (%),a) time series,0- to 2-year-olds,,miltenberg,code09676,7.2
2012,percentage (%),a) time series,0- to 2-year-olds,,main-spessart,code09677,5.2
2013,percentage (%),a) time series,0- to 2-year-olds,,main-spessart,code09677,6.1
2014,percentage (%),a) time series,0- to 2-year-olds,,main-spessart,code09677,7.5
2015,percentage (%),a) time series,0- to 2-year-olds,,main-spessart,code09677,7.1
2016,percentage (%),a) time series,0- to 2-year-olds,,main-spessart,code09677,7.6
2017,percentage (%),a) time series,0- to 2-year-olds,,main-spessart,code09677,8.5
2018,percentage (%),a) time series,0- to 2-year-olds,,main-spessart,code09677,8.7
2019,percentage (%),a) time series,0- to 2-year-olds,,main-spessart,code09677,9.0
2012,percentage (%),a) time series,0- to 2-year-olds,,schweinfurt,code09678,5.2
2013,percentage (%),a) time series,0- to 2-year-olds,,schweinfurt,code09678,6.6
2014,percentage (%),a) time series,0- to 2-year-olds,,schweinfurt,code09678,7.6
2015,percentage (%),a) time series,0- to 2-year-olds,,schweinfurt,code09678,7.5
2016,percentage (%),a) time series,0- to 2-year-olds,,schweinfurt,code09678,8.2
2017,percentage (%),a) time series,0- to 2-year-olds,,schweinfurt,code09678,8.2
2018,percentage (%),a) time series,0- to 2-year-olds,,schweinfurt,code09678,10.4
2019,percentage (%),a) time series,0- to 2-year-olds,,schweinfurt,code09678,11.7
2012,percentage (%),a) time series,0- to 2-year-olds,,würzburg,code09679,6.2
2013,percentage (%),a) time series,0- to 2-year-olds,,würzburg,code09679,7.4
2014,percentage (%),a) time series,0- to 2-year-olds,,würzburg,code09679,7.3
2015,percentage (%),a) time series,0- to 2-year-olds,,würzburg,code09679,8.2
2016,percentage (%),a) time series,0- to 2-year-olds,,würzburg,code09679,8.2
2017,percentage (%),a) time series,0- to 2-year-olds,,würzburg,code09679,9.1
2018,percentage (%),a) time series,0- to 2-year-olds,,würzburg,code09679,9.7
2019,percentage (%),a) time series,0- to 2-year-olds,,würzburg,code09679,10.1
2012,percentage (%),a) time series,0- to 2-year-olds,,"augsburg, stadt",code09761,8.6
2013,percentage (%),a) time series,0- to 2-year-olds,,"augsburg, stadt",code09761,9.4
2014,percentage (%),a) time series,0- to 2-year-olds,,"augsburg, stadt",code09761,11.4
2015,percentage (%),a) time series,0- to 2-year-olds,,"augsburg, stadt",code09761,13.1
2016,percentage (%),a) time series,0- to 2-year-olds,,"augsburg, stadt",code09761,12.7
2017,percentage (%),a) time series,0- to 2-year-olds,,"augsburg, stadt",code09761,12.3
2018,percentage (%),a) time series,0- to 2-year-olds,,"augsburg, stadt",code09761,11.8
2019,percentage (%),a) time series,0- to 2-year-olds,,"augsburg, stadt",code09761,12.1
2012,percentage (%),a) time series,0- to 2-year-olds,,"kaufbeuren, stadt",code09762,3.9
2013,percentage (%),a) time series,0- to 2-year-olds,,"kaufbeuren, stadt",code09762,4.6
2014,percentage (%),a) time series,0- to 2-year-olds,,"kaufbeuren, stadt",code09762,3.5
2015,percentage (%),a) time series,0- to 2-year-olds,,"kaufbeuren, stadt",code09762,2.7
2016,percentage (%),a) time series,0- to 2-year-olds,,"kaufbeuren, stadt",code09762,3.3
2017,percentage (%),a) time series,0- to 2-year-olds,,"kaufbeuren, stadt",code09762,4.0
2018,percentage (%),a) time series,0- to 2-year-olds,,"kaufbeuren, stadt",code09762,3.8
2019,percentage (%),a) time series,0- to 2-year-olds,,"kaufbeuren, stadt",code09762,3.6
2012,percentage (%),a) time series,0- to 2-year-olds,,"kempten (allgäu), stadt",code09763,7.0
2013,percentage (%),a) time series,0- to 2-year-olds,,"kempten (allgäu), stadt",code09763,8.5
2014,percentage (%),a) time series,0- to 2-year-olds,,"kempten (allgäu), stadt",code09763,9.1
2015,percentage (%),a) time series,0- to 2-year-olds,,"kempten (allgäu), stadt",code09763,9.7
2016,percentage (%),a) time series,0- to 2-year-olds,,"kempten (allgäu), stadt",code09763,9.2
2017,percentage (%),a) time series,0- to 2-year-olds,,"kempten (allgäu), stadt",code09763,8.9
2018,percentage (%),a) time series,0- to 2-year-olds,,"kempten (allgäu), stadt",code09763,8.9
2019,percentage (%),a) time series,0- to 2-year-olds,,"kempten (allgäu), stadt",code09763,9.2
2012,percentage (%),a) time series,0- to 2-year-olds,,"memmingen, stadt",code09764,4.2
2013,percentage (%),a) time series,0- to 2-year-olds,,"memmingen, stadt",code09764,3.7
2014,percentage (%),a) time series,0- to 2-year-olds,,"memmingen, stadt",code09764,4.7
2015,percentage (%),a) time series,0- to 2-year-olds,,"memmingen, stadt",code09764,4.3
2016,percentage (%),a) time series,0- to 2-year-olds,,"memmingen, stadt",code09764,4.2
2017,percentage (%),a) time series,0- to 2-year-olds,,"memmingen, stadt",code09764,4.9
2018,percentage (%),a) time series,0- to 2-year-olds,,"memmingen, stadt",code09764,3.5
2019,percentage (%),a) time series,0- to 2-year-olds,,"memmingen, stadt",code09764,3.8
2012,percentage (%),a) time series,0- to 2-year-olds,,aichach-friedberg,code09771,5.8
2013,percentage (%),a) time series,0- to 2-year-olds,,aichach-friedberg,code09771,6.1
2014,percentage (%),a) time series,0- to 2-year-olds,,aichach-friedberg,code09771,7.2
2015,percentage (%),a) time series,0- to 2-year-olds,,aichach-friedberg,code09771,6.5
2016,percentage (%),a) time series,0- to 2-year-olds,,aichach-friedberg,code09771,7.1
2017,percentage (%),a) time series,0- to 2-year-olds,,aichach-friedberg,code09771,7.7
2018,percentage (%),a) time series,0- to 2-year-olds,,aichach-friedberg,code09771,7.8
2019,percentage (%),a) time series,0- to 2-year-olds,,aichach-friedberg,code09771,8.7
2012,percentage (%),a) time series,0- to 2-year-olds,,augsburg,code09772,5.1
2013,percentage (%),a) time series,0- to 2-year-olds,,augsburg,code09772,5.9
2014,percentage (%),a) time series,0- to 2-year-olds,,augsburg,code09772,7.5
2015,percentage (%),a) time series,0- to 2-year-olds,,augsburg,code09772,7.7
2016,percentage (%),a) time series,0- to 2-year-olds,,augsburg,code09772,7.4
2017,percentage (%),a) time series,0- to 2-year-olds,,augsburg,code09772,8.2
2018,percentage (%),a) time series,0- to 2-year-olds,,augsburg,code09772,8.7
2019,percentage (%),a) time series,0- to 2-year-olds,,augsburg,code09772,9.0
2012,percentage (%),a) time series,0- to 2-year-olds,,dillingen an der donau,code09773,2.5
2013,percentage (%),a) time series,0- to 2-year-olds,,dillingen an der donau,code09773,2.6
2014,percentage (%),a) time series,0- to 2-year-olds,,dillingen an der donau,code09773,3.9
2015,percentage (%),a) time series,0- to 2-year-olds,,dillingen an der donau,code09773,2.9
2016,percentage (%),a) time series,0- to 2-year-olds,,dillingen an der donau,code09773,2.9
2017,percentage (%),a) time series,0- to 2-year-olds,,dillingen an der donau,code09773,4.1
2018,percentage (%),a) time series,0- to 2-year-olds,,dillingen an der donau,code09773,4.3
2019,percentage (%),a) time series,0- to 2-year-olds,,dillingen an der donau,code09773,4.2
2012,percentage (%),a) time series,0- to 2-year-olds,,günzburg,code09774,3.0
2013,percentage (%),a) time series,0- to 2-year-olds,,günzburg,code09774,3.9
2014,percentage (%),a) time series,0- to 2-year-olds,,günzburg,code09774,4.5
2015,percentage (%),a) time series,0- to 2-year-olds,,günzburg,code09774,4.8
2016,percentage (%),a) time series,0- to 2-year-olds,,günzburg,code09774,4.8
2017,percentage (%),a) time series,0- to 2-year-olds,,günzburg,code09774,5.3
2018,percentage (%),a) time series,0- to 2-year-olds,,günzburg,code09774,5.4
2019,percentage (%),a) time series,0- to 2-year-olds,,günzburg,code09774,6.0
2012,percentage (%),a) time series,0- to 2-year-olds,,neu-ulm,code09775,7.0
2013,percentage (%),a) time series,0- to 2-year-olds,,neu-ulm,code09775,6.9
2014,percentage (%),a) time series,0- to 2-year-olds,,neu-ulm,code09775,8.9
2015,percentage (%),a) time series,0- to 2-year-olds,,neu-ulm,code09775,9.8
2016,percentage (%),a) time series,0- to 2-year-olds,,neu-ulm,code09775,9.7
2017,percentage (%),a) time series,0- to 2-year-olds,,neu-ulm,code09775,10.2
2018,percentage (%),a) time series,0- to 2-year-olds,,neu-ulm,code09775,10.7
2019,percentage (%),a) time series,0- to 2-year-olds,,neu-ulm,code09775,10.8
2012,percentage (%),a) time series,0- to 2-year-olds,,lindau (bodensee),code09776,4.1
2013,percentage (%),a) time series,0- to 2-year-olds,,lindau (bodensee),code09776,4.3
2014,percentage (%),a) time series,0- to 2-year-olds,,lindau (bodensee),code09776,6.2
2015,percentage (%),a) time series,0- to 2-year-olds,,lindau (bodensee),code09776,6.1
2016,percentage (%),a) time series,0- to 2-year-olds,,lindau (bodensee),code09776,5.6
2017,percentage (%),a) time series,0- to 2-year-olds,,lindau (bodensee),code09776,6.0
2018,percentage (%),a) time series,0- to 2-year-olds,,lindau (bodensee),code09776,6.6
2019,percentage (%),a) time series,0- to 2-year-olds,,lindau (bodensee),code09776,6.3
2012,percentage (%),a) time series,0- to 2-year-olds,,ostallgäu,code09777,2.4
2013,percentage (%),a) time series,0- to 2-year-olds,,ostallgäu,code09777,3.2
2014,percentage (%),a) time series,0- to 2-year-olds,,ostallgäu,code09777,3.1
2015,percentage (%),a) time series,0- to 2-year-olds,,ostallgäu,code09777,3.6
2016,percentage (%),a) time series,0- to 2-year-olds,,ostallgäu,code09777,3.9
2017,percentage (%),a) time series,0- to 2-year-olds,,ostallgäu,code09777,3.8
2018,percentage (%),a) time series,0- to 2-year-olds,,ostallgäu,code09777,3.9
2019,percentage (%),a) time series,0- to 2-year-olds,,ostallgäu,code09777,3.6
2012,percentage (%),a) time series,0- to 2-year-olds,,unterallgäu,code09778,2.3
2013,percentage (%),a) time series,0- to 2-year-olds,,unterallgäu,code09778,2.7
2014,percentage (%),a) time series,0- to 2-year-olds,,unterallgäu,code09778,3.0
2015,percentage (%),a) time series,0- to 2-year-olds,,unterallgäu,code09778,2.9
2016,percentage (%),a) time series,0- to 2-year-olds,,unterallgäu,code09778,3.4
2017,percentage (%),a) time series,0- to 2-year-olds,,unterallgäu,code09778,3.9
2018,percentage (%),a) time series,0- to 2-year-olds,,unterallgäu,code09778,3.7
2019,percentage (%),a) time series,0- to 2-year-olds,,unterallgäu,code09778,3.9
2012,percentage (%),a) time series,0- to 2-year-olds,,donau-ries,code09779,4.9
2013,percentage (%),a) time series,0- to 2-year-olds,,donau-ries,code09779,6.2
2014,percentage (%),a) time series,0- to 2-year-olds,,donau-ries,code09779,7.1
2015,percentage (%),a) time series,0- to 2-year-olds,,donau-ries,code09779,7.7
2016,percentage (%),a) time series,0- to 2-year-olds,,donau-ries,code09779,7.3
2017,percentage (%),a) time series,0- to 2-year-olds,,donau-ries,code09779,7.4
2018,percentage (%),a) time series,0- to 2-year-olds,,donau-ries,code09779,8.3
2019,percentage (%),a) time series,0- to 2-year-olds,,donau-ries,code09779,8.1
2012,percentage (%),a) time series,0- to 2-year-olds,,oberallgäu,code09780,2.9
2013,percentage (%),a) time series,0- to 2-year-olds,,oberallgäu,code09780,3.8
2014,percentage (%),a) time series,0- to 2-year-olds,,oberallgäu,code09780,4.9
2015,percentage (%),a) time series,0- to 2-year-olds,,oberallgäu,code09780,4.8
2016,percentage (%),a) time series,0- to 2-year-olds,,oberallgäu,code09780,4.9
2017,percentage (%),a) time series,0- to 2-year-olds,,oberallgäu,code09780,4.9
2018,percentage (%),a) time series,0- to 2-year-olds,,oberallgäu,code09780,5.6
2019,percentage (%),a) time series,0- to 2-year-olds,,oberallgäu,code09780,5.1
2012,percentage (%),a) time series,0- to 2-year-olds,,"berlin, stadt",code11000,28.7
2013,percentage (%),a) time series,0- to 2-year-olds,,"berlin, stadt",code11000,29.9
2014,percentage (%),a) time series,0- to 2-year-olds,,"berlin, stadt",code11000,30.8
2015,percentage (%),a) time series,0- to 2-year-olds,,"berlin, stadt",code11000,30.1
2016,percentage (%),a) time series,0- to 2-year-olds,,"berlin, stadt",code11000,30.3
2017,percentage (%),a) time series,0- to 2-year-olds,,"berlin, stadt",code11000,29.9
2018,percentage (%),a) time series,0- to 2-year-olds,,"berlin, stadt",code11000,31.1
2019,percentage (%),a) time series,0- to 2-year-olds,,"berlin, stadt",code11000,30.3
2012,percentage (%),a) time series,0- to 2-year-olds,,"brandenburg an der havel, stadt",code12051,36.8
2013,percentage (%),a) time series,0- to 2-year-olds,,"brandenburg an der havel, stadt",code12051,38.3
2014,percentage (%),a) time series,0- to 2-year-olds,,"brandenburg an der havel, stadt",code12051,41.0
2015,percentage (%),a) time series,0- to 2-year-olds,,"brandenburg an der havel, stadt",code12051,40.6
2016,percentage (%),a) time series,0- to 2-year-olds,,"brandenburg an der havel, stadt",code12051,41.7
2017,percentage (%),a) time series,0- to 2-year-olds,,"brandenburg an der havel, stadt",code12051,40.0
2018,percentage (%),a) time series,0- to 2-year-olds,,"brandenburg an der havel, stadt",code12051,41.9
2019,percentage (%),a) time series,0- to 2-year-olds,,"brandenburg an der havel, stadt",code12051,41.1
2012,percentage (%),a) time series,0- to 2-year-olds,,"cottbus, stadt",code12052,44.9
2013,percentage (%),a) time series,0- to 2-year-olds,,"cottbus, stadt",code12052,45.9
2014,percentage (%),a) time series,0- to 2-year-olds,,"cottbus, stadt",code12052,42.0
2015,percentage (%),a) time series,0- to 2-year-olds,,"cottbus, stadt",code12052,41.9
2016,percentage (%),a) time series,0- to 2-year-olds,,"cottbus, stadt",code12052,42.6
2017,percentage (%),a) time series,0- to 2-year-olds,,"cottbus, stadt",code12052,40.7
2018,percentage (%),a) time series,0- to 2-year-olds,,"cottbus, stadt",code12052,37.9
2019,percentage (%),a) time series,0- to 2-year-olds,,"cottbus, stadt",code12052,37.1
2012,percentage (%),a) time series,0- to 2-year-olds,,"frankfurt (oder), stadt",code12053,39.1
2013,percentage (%),a) time series,0- to 2-year-olds,,"frankfurt (oder), stadt",code12053,40.2
2014,percentage (%),a) time series,0- to 2-year-olds,,"frankfurt (oder), stadt",code12053,37.5
2015,percentage (%),a) time series,0- to 2-year-olds,,"frankfurt (oder), stadt",code12053,38.0
2016,percentage (%),a) time series,0- to 2-year-olds,,"frankfurt (oder), stadt",code12053,39.7
2017,percentage (%),a) time series,0- to 2-year-olds,,"frankfurt (oder), stadt",code12053,38.3
2018,percentage (%),a) time series,0- to 2-year-olds,,"frankfurt (oder), stadt",code12053,38.0
2019,percentage (%),a) time series,0- to 2-year-olds,,"frankfurt (oder), stadt",code12053,38.6
2012,percentage (%),a) time series,0- to 2-year-olds,,"potsdam, stadt",code12054,46.3
2013,percentage (%),a) time series,0- to 2-year-olds,,"potsdam, stadt",code12054,44.6
2014,percentage (%),a) time series,0- to 2-year-olds,,"potsdam, stadt",code12054,44.2
2015,percentage (%),a) time series,0- to 2-year-olds,,"potsdam, stadt",code12054,42.8
2016,percentage (%),a) time series,0- to 2-year-olds,,"potsdam, stadt",code12054,44.7
2017,percentage (%),a) time series,0- to 2-year-olds,,"potsdam, stadt",code12054,42.6
2018,percentage (%),a) time series,0- to 2-year-olds,,"potsdam, stadt",code12054,41.8
2019,percentage (%),a) time series,0- to 2-year-olds,,"potsdam, stadt",code12054,42.1
2012,percentage (%),a) time series,0- to 2-year-olds,,barnim,code12060,41.3
2013,percentage (%),a) time series,0- to 2-year-olds,,barnim,code12060,42.5
2014,percentage (%),a) time series,0- to 2-year-olds,,barnim,code12060,44.5
2015,percentage (%),a) time series,0- to 2-year-olds,,barnim,code12060,42.0
2016,percentage (%),a) time series,0- to 2-year-olds,,barnim,code12060,42.4
2017,percentage (%),a) time series,0- to 2-year-olds,,barnim,code12060,42.6
2018,percentage (%),a) time series,0- to 2-year-olds,,barnim,code12060,44.5
2019,percentage (%),a) time series,0- to 2-year-olds,,barnim,code12060,44.1
2012,percentage (%),a) time series,0- to 2-year-olds,,dahme-spreewald,code12061,37.2
2013,percentage (%),a) time series,0- to 2-year-olds,,dahme-spreewald,code12061,37.2
2014,percentage (%),a) time series,0- to 2-year-olds,,dahme-spreewald,code12061,37.1
2015,percentage (%),a) time series,0- to 2-year-olds,,dahme-spreewald,code12061,38.3
2016,percentage (%),a) time series,0- to 2-year-olds,,dahme-spreewald,code12061,39.5
2017,percentage (%),a) time series,0- to 2-year-olds,,dahme-spreewald,code12061,37.7
2018,percentage (%),a) time series,0- to 2-year-olds,,dahme-spreewald,code12061,39.3
2019,percentage (%),a) time series,0- to 2-year-olds,,dahme-spreewald,code12061,41.7
2012,percentage (%),a) time series,0- to 2-year-olds,,elbe-elster,code12062,34.3
2013,percentage (%),a) time series,0- to 2-year-olds,,elbe-elster,code12062,35.1
2014,percentage (%),a) time series,0- to 2-year-olds,,elbe-elster,code12062,38.3
2015,percentage (%),a) time series,0- to 2-year-olds,,elbe-elster,code12062,38.3
2016,percentage (%),a) time series,0- to 2-year-olds,,elbe-elster,code12062,38.3
2017,percentage (%),a) time series,0- to 2-year-olds,,elbe-elster,code12062,37.2
2018,percentage (%),a) time series,0- to 2-year-olds,,elbe-elster,code12062,39.8
2019,percentage (%),a) time series,0- to 2-year-olds,,elbe-elster,code12062,40.6
2012,percentage (%),a) time series,0- to 2-year-olds,,havelland,code12063,33.1
2013,percentage (%),a) time series,0- to 2-year-olds,,havelland,code12063,33.3
2014,percentage (%),a) time series,0- to 2-year-olds,,havelland,code12063,34.8
2015,percentage (%),a) time series,0- to 2-year-olds,,havelland,code12063,33.8
2016,percentage (%),a) time series,0- to 2-year-olds,,havelland,code12063,34.3
2017,percentage (%),a) time series,0- to 2-year-olds,,havelland,code12063,32.6
2018,percentage (%),a) time series,0- to 2-year-olds,,havelland,code12063,34.7
2019,percentage (%),a) time series,0- to 2-year-olds,,havelland,code12063,35.9
2012,percentage (%),a) time series,0- to 2-year-olds,,märkisch-oderland,code12064,39.1
2013,percentage (%),a) time series,0- to 2-year-olds,,märkisch-oderland,code12064,38.0
2014,percentage (%),a) time series,0- to 2-year-olds,,märkisch-oderland,code12064,37.3
2015,percentage (%),a) time series,0- to 2-year-olds,,märkisch-oderland,code12064,37.2
2016,percentage (%),a) time series,0- to 2-year-olds,,märkisch-oderland,code12064,38.8
2017,percentage (%),a) time series,0- to 2-year-olds,,märkisch-oderland,code12064,39.8
2018,percentage (%),a) time series,0- to 2-year-olds,,märkisch-oderland,code12064,40.0
2019,percentage (%),a) time series,0- to 2-year-olds,,märkisch-oderland,code12064,41.6
2012,percentage (%),a) time series,0- to 2-year-olds,,oberhavel,code12065,34.3
2013,percentage (%),a) time series,0- to 2-year-olds,,oberhavel,code12065,35.3
2014,percentage (%),a) time series,0- to 2-year-olds,,oberhavel,code12065,35.2
2015,percentage (%),a) time series,0- to 2-year-olds,,oberhavel,code12065,36.8
2016,percentage (%),a) time series,0- to 2-year-olds,,oberhavel,code12065,35.3
2017,percentage (%),a) time series,0- to 2-year-olds,,oberhavel,code12065,35.6
2018,percentage (%),a) time series,0- to 2-year-olds,,oberhavel,code12065,37.4
2019,percentage (%),a) time series,0- to 2-year-olds,,oberhavel,code12065,38.5
2012,percentage (%),a) time series,0- to 2-year-olds,,oberspreewald-lausitz,code12066,33.2
2013,percentage (%),a) time series,0- to 2-year-olds,,oberspreewald-lausitz,code12066,34.8
2014,percentage (%),a) time series,0- to 2-year-olds,,oberspreewald-lausitz,code12066,33.6
2015,percentage (%),a) time series,0- to 2-year-olds,,oberspreewald-lausitz,code12066,35.4
2016,percentage (%),a) time series,0- to 2-year-olds,,oberspreewald-lausitz,code12066,35.5
2017,percentage (%),a) time series,0- to 2-year-olds,,oberspreewald-lausitz,code12066,36.5
2018,percentage (%),a) time series,0- to 2-year-olds,,oberspreewald-lausitz,code12066,38.0
2019,percentage (%),a) time series,0- to 2-year-olds,,oberspreewald-lausitz,code12066,39.8
2012,percentage (%),a) time series,0- to 2-year-olds,,oder-spree,code12067,38.2
2013,percentage (%),a) time series,0- to 2-year-olds,,oder-spree,code12067,38.4
2014,percentage (%),a) time series,0- to 2-year-olds,,oder-spree,code12067,37.5
2015,percentage (%),a) time series,0- to 2-year-olds,,oder-spree,code12067,36.8
2016,percentage (%),a) time series,0- to 2-year-olds,,oder-spree,code12067,36.8
2017,percentage (%),a) time series,0- to 2-year-olds,,oder-spree,code12067,37.0
2018,percentage (%),a) time series,0- to 2-year-olds,,oder-spree,code12067,36.4
2019,percentage (%),a) time series,0- to 2-year-olds,,oder-spree,code12067,36.6
2012,percentage (%),a) time series,0- to 2-year-olds,,ostprignitz-ruppin,code12068,31.0
2013,percentage (%),a) time series,0- to 2-year-olds,,ostprignitz-ruppin,code12068,31.6
2014,percentage (%),a) time series,0- to 2-year-olds,,ostprignitz-ruppin,code12068,30.9
2015,percentage (%),a) time series,0- to 2-year-olds,,ostprignitz-ruppin,code12068,31.6
2016,percentage (%),a) time series,0- to 2-year-olds,,ostprignitz-ruppin,code12068,30.0
2017,percentage (%),a) time series,0- to 2-year-olds,,ostprignitz-ruppin,code12068,31.1
2018,percentage (%),a) time series,0- to 2-year-olds,,ostprignitz-ruppin,code12068,33.5
2019,percentage (%),a) time series,0- to 2-year-olds,,ostprignitz-ruppin,code12068,35.6
2012,percentage (%),a) time series,0- to 2-year-olds,,potsdam-mittelmark,code12069,41.8
2013,percentage (%),a) time series,0- to 2-year-olds,,potsdam-mittelmark,code12069,43.2
2014,percentage (%),a) time series,0- to 2-year-olds,,potsdam-mittelmark,code12069,42.8
2015,percentage (%),a) time series,0- to 2-year-olds,,potsdam-mittelmark,code12069,40.7
2016,percentage (%),a) time series,0- to 2-year-olds,,potsdam-mittelmark,code12069,42.8
2017,percentage (%),a) time series,0- to 2-year-olds,,potsdam-mittelmark,code12069,42.0
2018,percentage (%),a) time series,0- to 2-year-olds,,potsdam-mittelmark,code12069,43.9
2019,percentage (%),a) time series,0- to 2-year-olds,,potsdam-mittelmark,code12069,45.8
2012,percentage (%),a) time series,0- to 2-year-olds,,prignitz,code12070,28.3
2013,percentage (%),a) time series,0- to 2-year-olds,,prignitz,code12070,30.3
2014,percentage (%),a) time series,0- to 2-year-olds,,prignitz,code12070,31.7
2015,percentage (%),a) time series,0- to 2-year-olds,,prignitz,code12070,30.9
2016,percentage (%),a) time series,0- to 2-year-olds,,prignitz,code12070,30.6
2017,percentage (%),a) time series,0- to 2-year-olds,,prignitz,code12070,33.2
2018,percentage (%),a) time series,0- to 2-year-olds,,prignitz,code12070,34.6
2019,percentage (%),a) time series,0- to 2-year-olds,,prignitz,code12070,36.7
2012,percentage (%),a) time series,0- to 2-year-olds,,spree-neiße,code12071,36.4
2013,percentage (%),a) time series,0- to 2-year-olds,,spree-neiße,code12071,37.0
2014,percentage (%),a) time series,0- to 2-year-olds,,spree-neiße,code12071,38.9
2015,percentage (%),a) time series,0- to 2-year-olds,,spree-neiße,code12071,38.6
2016,percentage (%),a) time series,0- to 2-year-olds,,spree-neiße,code12071,40.5
2017,percentage (%),a) time series,0- to 2-year-olds,,spree-neiße,code12071,39.6
2018,percentage (%),a) time series,0- to 2-year-olds,,spree-neiße,code12071,40.5
2019,percentage (%),a) time series,0- to 2-year-olds,,spree-neiße,code12071,39.7
2012,percentage (%),a) time series,0- to 2-year-olds,,teltow-fläming,code12072,38.6
2013,percentage (%),a) time series,0- to 2-year-olds,,teltow-fläming,code12072,40.2
2014,percentage (%),a) time series,0- to 2-year-olds,,teltow-fläming,code12072,38.4
2015,percentage (%),a) time series,0- to 2-year-olds,,teltow-fläming,code12072,38.5
2016,percentage (%),a) time series,0- to 2-year-olds,,teltow-fläming,code12072,40.4
2017,percentage (%),a) time series,0- to 2-year-olds,,teltow-fläming,code12072,35.1
2018,percentage (%),a) time series,0- to 2-year-olds,,teltow-fläming,code12072,35.2
2019,percentage (%),a) time series,0- to 2-year-olds,,teltow-fläming,code12072,36.2
2012,percentage (%),a) time series,0- to 2-year-olds,,uckermark,code12073,28.8
2013,percentage (%),a) time series,0- to 2-year-olds,,uckermark,code12073,30.8
2014,percentage (%),a) time series,0- to 2-year-olds,,uckermark,code12073,29.6
2015,percentage (%),a) time series,0- to 2-year-olds,,uckermark,code12073,29.3
2016,percentage (%),a) time series,0- to 2-year-olds,,uckermark,code12073,30.3
2017,percentage (%),a) time series,0- to 2-year-olds,,uckermark,code12073,31.9
2018,percentage (%),a) time series,0- to 2-year-olds,,uckermark,code12073,31.7
2019,percentage (%),a) time series,0- to 2-year-olds,,uckermark,code12073,32.0
2012,percentage (%),a) time series,0- to 2-year-olds,,"bremen, stadt",code04011,11.4
2013,percentage (%),a) time series,0- to 2-year-olds,,"bremen, stadt",code04011,12.5
2014,percentage (%),a) time series,0- to 2-year-olds,,"bremen, stadt",code04011,15.6
2015,percentage (%),a) time series,0- to 2-year-olds,,"bremen, stadt",code04011,16.1
2016,percentage (%),a) time series,0- to 2-year-olds,,"bremen, stadt",code04011,16.4
2017,percentage (%),a) time series,0- to 2-year-olds,,"bremen, stadt",code04011,16.1
2018,percentage (%),a) time series,0- to 2-year-olds,,"bremen, stadt",code04011,16.3
2019,percentage (%),a) time series,0- to 2-year-olds,,"bremen, stadt",code04011,16.2
2012,percentage (%),a) time series,0- to 2-year-olds,,"bremerhaven, stadt",code04012,10.8
2013,percentage (%),a) time series,0- to 2-year-olds,,"bremerhaven, stadt",code04012,12.5
2014,percentage (%),a) time series,0- to 2-year-olds,,"bremerhaven, stadt",code04012,14.4
2015,percentage (%),a) time series,0- to 2-year-olds,,"bremerhaven, stadt",code04012,17.3
2016,percentage (%),a) time series,0- to 2-year-olds,,"bremerhaven, stadt",code04012,17.2
2017,percentage (%),a) time series,0- to 2-year-olds,,"bremerhaven, stadt",code04012,16.6
2018,percentage (%),a) time series,0- to 2-year-olds,,"bremerhaven, stadt",code04012,15.4
2019,percentage (%),a) time series,0- to 2-year-olds,,"bremerhaven, stadt",code04012,15.4
2012,percentage (%),a) time series,0- to 2-year-olds,,hamburg,code02000,21.0
2013,percentage (%),a) time series,0- to 2-year-olds,,hamburg,code02000,21.5
2014,percentage (%),a) time series,0- to 2-year-olds,,hamburg,code02000,21.8
2015,percentage (%),a) time series,0- to 2-year-olds,,hamburg,code02000,22.7
2016,percentage (%),a) time series,0- to 2-year-olds,,hamburg,code02000,22.9
